context: Hm? response:	You got it?
context: We join back to back in the past and future.\Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm.\Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much. response:	The ones in the first level of the mine are ruffians among kobolds.
context: Repeating an answer full of mistakes,\I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm.\Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds. response:	They're poorly dressed and weak.
context: I will reach out my hands to seek the light, again and again.\That's a talisman.\A kobold's protective charm.\Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak. response:	That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.
context: That's a talisman.\A kobold's protective charm.\Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds. response:	So the others will have better talismans?
context: A kobold's protective charm.\Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans? response:	Yes.
context: Every kobold has a talisman.\Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes. response:	Well, no matter.
context: Ohhh...\But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes.\Well, no matter. response:	I'll be taking this.
context: But this doesn't look like it's worth much.\The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes.\Well, no matter.\I'll be taking this. response:	What?
context: The ones in the first level of the mine are ruffians among kobolds.\They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes.\Well, no matter.\I'll be taking this.\What? response:	Nothing.
context: They're poorly dressed and weak.\That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes.\Well, no matter.\I'll be taking this.\What?\Nothing. response:	There's probably a nicer way of retrieving spoils from a fight.
context: That's why Volunteer Soldiers call them low-class kobolds or lesser kobolds.\So the others will have better talismans?\Yes.\Well, no matter.\I'll be taking this.\What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight. response:	But, well...
context: So the others will have better talismans?\Yes.\Well, no matter.\I'll be taking this.\What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well... response:	That's right...
context: Yes.\Well, no matter.\I'll be taking this.\What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right... response:	To the kobolds, we're invaders.
context: Well, no matter.\I'll be taking this.\What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right...\To the kobolds, we're invaders. response:	Nothing changes even if we have pangs of guilt.
context: I'll be taking this.\What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt. response:	No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.
context: What?\Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same. response:	The whole thing is still the same.
context: Nothing.\There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same. response:	Ranta does it without hesitation, but I'm trying to make up for that guilt.
context: There's probably a nicer way of retrieving spoils from a fight.\But, well...\That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt. response:	That might be hypocritical of me...
context: But, well...\That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me... response:	No matter if they're an enemy or prey, I should at least be paying my respects in this way.
context: That's right...\To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way. response:	Let's move.
context: To the kobolds, we're invaders.\Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move. response:	The Cyrene Mine has more than ten levels.
context: Nothing changes even if we have pangs of guilt.\No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels. response:	Lesser kobolds, normal kobolds, and elder kobolds live here.
context: No matter if we take their nose rings off carefully or tear them off violently, the end result is still the same.\The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here. response:	Only the elder kobolds can freely use the gondola.
context: The whole thing is still the same.\Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola. response:	The gondola?
context: Ranta does it without hesitation, but I'm trying to make up for that guilt.\That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola? response:	There is a gondola installed in the mineshaft from the third layer down.
context: That might be hypocritical of me...\No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down. response:	We'll be mostly going up and down through the wells, though.
context: No matter if they're an enemy or prey, I should at least be paying my respects in this way.\Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though. response:	Is it because the gondola is heavily guarded?
context: Let's move.\The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded? response:	Yes.
context: The Cyrene Mine has more than ten levels.\Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes. response:	The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.
context: Lesser kobolds, normal kobolds, and elder kobolds live here.\Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status. response:	The elders seem pretty stuck-up.
context: Only the elder kobolds can freely use the gondola.\The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up. response:	Normal kobolds dwell in the second level down, so that's where things will get serious.
context: The gondola?\There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious. response:	So the hard part is still to come, huh.
context: There is a gondola installed in the mineshaft from the third layer down.\We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh. response:	They're quite noisy.
context: We'll be mostly going up and down through the wells, though.\Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy. response:	They're always noisy at these times.
context: Is it because the gondola is heavily guarded?\Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times. response:	Sleeping kobolds only wake up when there's something big going on.
context: Yes.\The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on. response:	Do you hear something?
context: The elders are the leaders, the normal kobolds are workers, and lesser kobolds don't hold any status.\The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something? response:	Yeah.
context: The elders seem pretty stuck-up.\Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah. response:	Woah.
context: Normal kobolds dwell in the second level down, so that's where things will get serious.\So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah.\Woah. response:	Is it... sleeping?
context: So the hard part is still to come, huh.\They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah.\Woah.\Is it... sleeping? response:	Should I get'em?
context: They're quite noisy.\They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah.\Woah.\Is it... sleeping?\Should I get'em? response:	Nice and quick.
context: They're always noisy at these times.\Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah.\Woah.\Is it... sleeping?\Should I get'em?\Nice and quick. response:	What?!
context: Sleeping kobolds only wake up when there's something big going on.\Do you hear something?\Yeah.\Woah.\Is it... sleeping?\Should I get'em?\Nice and quick.\What?! response:	It'd be some easy loot.
context: Do you hear something?\Yeah.\Woah.\Is it... sleeping?\Should I get'em?\Nice and quick.\What?!\It'd be some easy loot. response:	You
context: Yeah.\Woah.\Is it... sleeping?\Should I get'em?\Nice and quick.\What?!\It'd be some easy loot.\You response:	Are you a demon or something?
context: Woah.\Is it... sleeping?\Should I get'em?\Nice and quick.\What?!\It'd be some easy loot.\You\Are you a demon or something? response:	Tsk, tsk, tsk.
context: Is it... sleeping?\Should I get'em?\Nice and quick.\What?!\It'd be some easy loot.\You\Are you a demon or something?\Tsk, tsk, tsk. response:	I'm no demon.
context: Should I get'em?\Nice and quick.\What?!\It'd be some easy loot.\You\Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon. response:	I'm a Dark Knight.
context: Nice and quick.\What?!\It'd be some easy loot.\You\Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight. response:	Get it?
context: What?!\It'd be some easy loot.\You\Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight.\Get it? response:	I serve the Dark God Skullhell-sama.
context: It'd be some easy loot.\You\Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama. response:	We believe that in death, all are equal.
context: You\Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal. response:	The Vices that we value
context: Are you a demon or something?\Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value response:	are the antithesis of what you call in your pretty little words common sense and morals.
context: Tsk, tsk, tsk.\I'm no demon.\I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals. response:	Antithesis.
context: I'm no demon.\I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis. response:	It's an important concept, so I'll say it a third time.
context: I'm a Dark Knight.\Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time. response:	Antithesis!
context: Get it?\I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis! response:	Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals.
context: I serve the Dark God Skullhell-sama.\We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis!\Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals. response:	We should be driven by things like our desires, instincts, and impulses.
context: We believe that in death, all are equal.\The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis!\Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals.\We should be driven by things like our desires, instincts, and impulses. response:	That's how it should be.
context: The Vices that we value\are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis!\Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals.\We should be driven by things like our desires, instincts, and impulses.\That's how it should be. response:	And at the end, we all die, just the same.
context: are the antithesis of what you call in your pretty little words common sense and morals.\Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis!\Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals.\We should be driven by things like our desires, instincts, and impulses.\That's how it should be.\And at the end, we all die, just the same. response:	Get it?
context: Antithesis.\It's an important concept, so I'll say it a third time.\Antithesis!\Eventually, you'll fall into death's embrace anyway, so it's stupid to be bound by useless ideals.\We should be driven by things like our desires, instincts, and impulses.\That's how it should be.\And at the end, we all die, just the same.\Get it? response:	I'm going.
