context: I have a reliable friend who can protect you in my stead. response:	You do?
context: kindly proceed to his designated court.\Good luck!\To arms!\What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives, response:	they'd pour a nutritious drink into a sake cup and
context: Good luck!\To arms!\What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and response:	Konatsu!
context: To arms!\What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu! response:	Here you go.
context: What does that mean?\Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go. response:	Excuse me, sir?
context: Taichi, are you ready?\It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go.\Excuse me, sir? response:	Yes?
context: It's a battle cry used during peasant uprisings in the Edo period.\Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go.\Excuse me, sir?\Yes? response:	Please enjoy.
context: Yes.\Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go.\Excuse me, sir?\Yes?\Please enjoy. response:	Can I help you?
context: Willing to sacrifice their lives,\they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go.\Excuse me, sir?\Yes?\Please enjoy.\Can I help you? response:	Do you have this in pink?
context: they'd pour a nutritious drink into a sake cup and\Konatsu!\Here you go.\Excuse me, sir?\Yes?\Please enjoy.\Can I help you?\Do you have this in pink? response:	Pink?
context: Konatsu!\Here you go.\Excuse me, sir?\Yes?\Please enjoy.\Can I help you?\Do you have this in pink?\Pink? response:	Sorry, we only have what's on display.
context: Here you go.\Excuse me, sir?\Yes?\Please enjoy.\Can I help you?\Do you have this in pink?\Pink?\Sorry, we only have what's on display. response:	Red would work.
context: Excuse me, sir?\Yes?\Please enjoy.\Can I help you?\Do you have this in pink?\Pink?\Sorry, we only have what's on display.\Red would work. response:	Are you sure?
context: Yes?\Please enjoy.\Can I help you?\Do you have this in pink?\Pink?\Sorry, we only have what's on display.\Red would work.\Are you sure? response:	Oh, hey!
context: Please enjoy.\Can I help you?\Do you have this in pink?\Pink?\Sorry, we only have what's on display.\Red would work.\Are you sure?\Oh, hey! response:	You're home early.
context: Can I help you?\Do you have this in pink?\Pink?\Sorry, we only have what's on display.\Red would work.\Are you sure?\Oh, hey!\You're home early. response:	Yeah.
context: Do you have this in pink?\Pink?\Sorry, we only have what's on display.\Red would work.\Are you sure?\Oh, hey!\You're home early.\Yeah. response:	I'll take this one, please.
context: Pink?\Sorry, we only have what's on display.\Red would work.\Are you sure?\Oh, hey!\You're home early.\Yeah.\I'll take this one, please. response:	Certainly.
context: Sorry, we only have what's on display.\Red would work.\Are you sure?\Oh, hey!\You're home early.\Yeah.\I'll take this one, please.\Certainly. response:	Beg your pardon, but could I get some tea?
context: Red would work.\Are you sure?\Oh, hey!\You're home early.\Yeah.\I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea? response:	One moment, please!
context: Are you sure?\Oh, hey!\You're home early.\Yeah.\I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea?\One moment, please! response:	I'll make dinner tonight.
context: Oh, hey!\You're home early.\Yeah.\I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight. response:	Ah, thank you.
context: You're home early.\Yeah.\I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight.\Ah, thank you. response:	The register is right this way.
context: Yeah.\I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight.\Ah, thank you.\The register is right this way. response:	Shirahamazaka
context: I'll take this one, please.\Certainly.\Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight.\Ah, thank you.\The register is right this way.\Shirahamazaka response:	Match won by Wada.
context: Certainly.\Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight.\Ah, thank you.\The register is right this way.\Shirahamazaka\Match won by Wada. response:	Being in the top eight is pretty amazing, right?!
context: Beg your pardon, but could I get some tea?\One moment, please!\I'll make dinner tonight.\Ah, thank you.\The register is right this way.\Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?! response:	Yup!
context: One moment, please!\I'll make dinner tonight.\Ah, thank you.\The register is right this way.\Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup! response:	He needed to place in the top four to go to the championships.
context: I'll make dinner tonight.\Ah, thank you.\The register is right this way.\Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships. response:	Aww, he was so close!
context: Ah, thank you.\The register is right this way.\Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close! response:	Tanaka-kun's taking a long time.
context: The register is right this way.\Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time. response:	I'll check on him.
context: Shirahamazaka\Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him. response:	Buy me a green tea, too?
context: Match won by Wada.\Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too? response:	What?
context: Being in the top eight is pretty amazing, right?!\Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too?\What? response:	I mean, good luck!
context: Yup!\He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too?\What?\I mean, good luck! response:	Hold my bag.
context: He needed to place in the top four to go to the championships.\Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too?\What?\I mean, good luck!\Hold my bag. response:	Are you crying?
context: Aww, he was so close!\Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too?\What?\I mean, good luck!\Hold my bag.\Are you crying? response:	Of course not!
context: Tanaka-kun's taking a long time.\I'll check on him.\Buy me a green tea, too?\What?\I mean, good luck!\Hold my bag.\Are you crying?\Of course not! response:	I was just doing some visualization training,
context: I'll check on him.\Buy me a green tea, too?\What?\I mean, good luck!\Hold my bag.\Are you crying?\Of course not!\I was just doing some visualization training, response:	while it's all still fresh in my mind.
context: Buy me a green tea, too?\What?\I mean, good luck!\Hold my bag.\Are you crying?\Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind. response:	I never want to lose again.
context: What?\I mean, good luck!\Hold my bag.\Are you crying?\Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again. response:	Haruka-san?
context: I mean, good luck!\Hold my bag.\Are you crying?\Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again.\Haruka-san? response:	Yes?
context: Hold my bag.\Are you crying?\Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again.\Haruka-san?\Yes? response:	How long has Tanaka-kun been playing badminton?
context: Are you crying?\Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again.\Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton? response:	Since around third grade, I think.
context: Of course not!\I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again.\Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think. response:	He wanted his own racquet the second I joined the club.
context: I was just doing some visualization training,\while it's all still fresh in my mind.\I never want to lose again.\Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club. response:	Oh, yeah?
context: while it's all still fresh in my mind.\I never want to lose again.\Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah? response:	If you've been playing since grade school,
context: I never want to lose again.\Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school, response:	why didn't you go to a high school with a badminton program?
context: Haruka-san?\Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program? response:	No particular reason.
context: Yes?\How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason. response:	I could ride my bike to Shira High and,
context: How long has Tanaka-kun been playing badminton?\Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and, response:	at the time, the club had more people.
context: Since around third grade, I think.\He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people. response:	There was also a player I really admired...
context: He wanted his own racquet the second I joined the club.\Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired... response:	So that player's the reason you took up badmin?
context: Oh, yeah?\If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin? response:	Stop oversimplifying things!
context: If you've been playing since grade school,\why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things! response:	Oh, hang on.
context: why didn't you go to a high school with a badminton program?\No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on. response:	Here you go.
context: No particular reason.\I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on.\Here you go. response:	Oww, that's hot!
context: I could ride my bike to Shira High and,\at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on.\Here you go.\Oww, that's hot! response:	They sell hot ones even in the summer, so you don't catch a chill.
context: at the time, the club had more people.\There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on.\Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill. response:	Jeez!
context: There was also a player I really admired...\So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on.\Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez! response:	What are you doing?
context: So that player's the reason you took up badmin?\Stop oversimplifying things!\Oh, hang on.\Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing? response:	Yeah, what the heck?
context: Stop oversimplifying things!\Oh, hang on.\Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing?\Yeah, what the heck? response:	Hey, Sawa?
context: Oh, hang on.\Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing?\Yeah, what the heck?\Hey, Sawa? response:	Do you think Wakana's okay?
context: Here you go.\Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing?\Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay? response:	She has seemed a bit down lately.
context: Oww, that's hot!\They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing?\Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately. response:	The water's super cold, Mommy!
context: They sell hot ones even in the summer, so you don't catch a chill.\Jeez!\What are you doing?\Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy! response:	Wakana-chan?
context: Jeez!\What are you doing?\Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan? response:	It is you!
context: What are you doing?\Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan?\It is you! response:	Mrs. Okita...
context: Yeah, what the heck?\Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan?\It is you!\Mrs. Okita... response:	Call me Shiho.
context: Hey, Sawa?\Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan?\It is you!\Mrs. Okita...\Call me Shiho. response:	Had my first spill in a long time.
context: Do you think Wakana's okay?\She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan?\It is you!\Mrs. Okita...\Call me Shiho.\Had my first spill in a long time. response:	You're a lifesaver.
context: She has seemed a bit down lately.\The water's super cold, Mommy!\Wakana-chan?\It is you!\Mrs. Okita...\Call me Shiho.\Had my first spill in a long time.\You're a lifesaver. response:	But let's keep this a secret from Sawa, okay?
context: The water's super cold, Mommy!\Wakana-chan?\It is you!\Mrs. Okita...\Call me Shiho.\Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay? response:	She'll just say I'm getting too old for this stuff.
context: Wakana-chan?\It is you!\Mrs. Okita...\Call me Shiho.\Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff. response:	Spunkier every year, I tell you...
context: It is you!\Mrs. Okita...\Call me Shiho.\Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you... response:	You seem quite close.
context: Mrs. Okita...\Call me Shiho.\Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close. response:	Boy is it hot.
context: Call me Shiho.\Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close.\Boy is it hot. response:	Thanks, you can put it down anywhere.
context: Had my first spill in a long time.\You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close.\Boy is it hot.\Thanks, you can put it down anywhere. response:	You must be drenched in sweat.
context: You're a lifesaver.\But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close.\Boy is it hot.\Thanks, you can put it down anywhere.\You must be drenched in sweat. response:	Would you like to take a bath?
context: But let's keep this a secret from Sawa, okay?\She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close.\Boy is it hot.\Thanks, you can put it down anywhere.\You must be drenched in sweat.\Would you like to take a bath? response:	No, thank you, I'm fine.
context: She'll just say I'm getting too old for this stuff.\Spunkier every year, I tell you...\You seem quite close.\Boy is it hot.\Thanks, you can put it down anywhere.\You must be drenched in sweat.\Would you like to take a bath?\No, thank you, I'm fine. response:	All right.
context: Spunkier every year, I tell you...\You seem quite close.\Boy is it hot.\Thanks, you can put it down anywhere.\You must be drenched in sweat.\Would you like to take a bath?\No, thank you, I'm fine.\All right. response:	Oh, yeah!
