context: Get off your butts and start doing damage! response:	Up the tempo, and whittle down his health!
context: Continue to train, without giving up.\These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid. response:	William, defeat the enemy!
context: These are the lessons we must hand down.\Hurry!\Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid.\William, defeat the enemy! response:	The bigger the pinch you overcome,
context: Hurry!\Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid.\William, defeat the enemy!\The bigger the pinch you overcome, response:	the better the food tastes after!
context: Shiroe's team will lead the attack!\Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid.\William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after! response:	Do you guys love pumpkins?
context: Nice! Nice!\500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid.\William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins? response:	Guild vs. Guild After-Halloween Athletic Meet!!
context: 500 dogs is a lucky sign!\You can't get this excitement in real life!\Stupid.\William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!! response:	We sure do!
context: You can't get this excitement in real life!\Stupid.\William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do! response:	We swear on our guild master's glasses and Takayama's good work card
context: Stupid.\William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card response:	that we will win!
context: William, defeat the enemy!\The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win! response:	Planning Committee
context: The bigger the pinch you overcome,\the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee response:	Me, too...
context: the better the food tastes after!\Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee\Me, too... response:	You're on the planning committee. You stay here and work.
context: Do you guys love pumpkins?\Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee\Me, too...\You're on the planning committee. You stay here and work. response:	No! I want to play tug-of-war, too!
context: Guild vs. Guild After-Halloween Athletic Meet!!\We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee\Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too! response:	Shiroe of the Northern Lands
context: We sure do!\We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee\Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands response:	Shiroe of the Northern Lands.
context: We swear on our guild master's glasses and Takayama's good work card\that we will win!\Planning Committee\Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands. response:	After-Halloween Planning Committee
context: that we will win!\Planning Committee\Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee response:	By the way, why After-Halloween?
context: Planning Committee\Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween? response:	Remember the Halloween event?
context: Me, too...\You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event? response:	Indeed.
context: You're on the planning committee. You stay here and work.\No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event?\Indeed. response:	The one held during the last three days of October,
context: No! I want to play tug-of-war, too!\Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event?\Indeed.\The one held during the last three days of October, response:	where monsters drop pumpkins when defeated, yes?
context: Shiroe of the Northern Lands\Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event?\Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes? response:	So, since we ended up with too many pumpkins,
context: Shiroe of the Northern Lands.\After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event?\Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins, response:	we decided to do something with them as a prize.
context: After-Halloween Planning Committee\By the way, why After-Halloween?\Remember the Halloween event?\Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize. response:	Marielle the strategist thinks of everything!
context: By the way, why After-Halloween?\Remember the Halloween event?\Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything! response:	Air glasses?
context: Remember the Halloween event?\Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses? response:	But still...
context: Indeed.\The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses?\But still... response:	Akihabara has become so peaceful.
context: The one held during the last three days of October,\where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses?\But still...\Akihabara has become so peaceful. response:	That's right.
context: where monsters drop pumpkins when defeated, yes?\So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses?\But still...\Akihabara has become so peaceful.\That's right. response:	We were suddenly sent to a world exactly like a video game,
context: So, since we ended up with too many pumpkins,\we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses?\But still...\Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game, response:	and we decided we had to do something,
context: we decided to do something with them as a prize.\Marielle the strategist thinks of everything!\Air glasses?\But still...\Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something, response:	so we founded the Round Table.
context: Marielle the strategist thinks of everything!\Air glasses?\But still...\Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table. response:	There were all kinds of things we'd never get to experience in real life.
context: Air glasses?\But still...\Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life. response:	Everyone truly worked hard.
context: But still...\Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard. response:	Including Serara.
context: Akihabara has become so peaceful.\That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara. response:	Using your hands is against the rules!
context: That's right.\We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara.\Using your hands is against the rules! response:	And if you drop the bun, you pay for it!
context: We were suddenly sent to a world exactly like a video game,\and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it! response:	Win and have a pumpkin party with Nyanta!
context: and we decided we had to do something,\so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta! response:	Win and have a pumpkin party with Nyanta!
context: so we founded the Round Table.\There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta! response:	And Tohya and Minori.
context: There were all kinds of things we'd never get to experience in real life.\Everyone truly worked hard.\Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori. response:	Tohya, don't just fling it as hard as you can!
context: Everyone truly worked hard.\Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can! response:	You need to watch how the phantoms move!
context: Including Serara.\Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move! response:	Roger!
context: Using your hands is against the rules!\And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger! response:	Okay, leave it to me!
context: And if you drop the bun, you pay for it!\Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger!\Okay, leave it to me! response:	And Isuzu and Rudy.
context: Win and have a pumpkin party with Nyanta!\Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger!\Okay, leave it to me!\And Isuzu and Rudy. response:	Everyone ready?
context: Win and have a pumpkin party with Nyanta!\And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger!\Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready? response:	In the face of teamwork like ours,
context: And Tohya and Minori.\Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger!\Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours, response:	a race where we have to synchronize our timing is nothing.
context: Tohya, don't just fling it as hard as you can!\You need to watch how the phantoms move!\Roger!\Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing. response:	Set!
context: You need to watch how the phantoms move!\Roger!\Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set! response:	Hey, it's already started!
context: Roger!\Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started! response:	What?!
context: Okay, leave it to me!\And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started!\What?! response:	So, this is the obstacle course?
context: And Isuzu and Rudy.\Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started!\What?!\So, this is the obstacle course? response:	Nice fight!
context: Everyone ready?\In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started!\What?!\So, this is the obstacle course?\Nice fight! response:	Way to go, Akatsuki!
context: In the face of teamwork like ours,\a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started!\What?!\So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki! response:	She's amazing!
context: a race where we have to synchronize our timing is nothing.\Set!\Hey, it's already started!\What?!\So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki!\She's amazing! response:	In first place is Akatsuki, from Log Horizon!
context: Set!\Hey, it's already started!\What?!\So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon! response:	I'll win this fight, my lord.
context: Hey, it's already started!\What?!\So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord. response:	Akatsuki!
context: What?!\So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki! response:	You're awesome!
context: So, this is the obstacle course?\Nice fight!\Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki!\You're awesome! response:	Congrats!
context: Nice fight!\Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki!\You're awesome!\Congrats! response:	I wish little Shiro and the rest could've participated.
context: Way to go, Akatsuki!\She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki!\You're awesome!\Congrats!\I wish little Shiro and the rest could've participated. response:	It can't be helped.
context: She's amazing!\In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki!\You're awesome!\Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped. response:	There's still a lot to do.
context: In first place is Akatsuki, from Log Horizon!\I'll win this fight, my lord.\Akatsuki!\You're awesome!\Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do. response:	Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: I'll win this fight, my lord.\Akatsuki!\You're awesome!\Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	Yeah...
context: Akatsuki!\You're awesome!\Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah... response:	Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None
context: You're awesome!\Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None response:	They're just armor.
context: Congrats!\I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor. response:	There's nothing inside.
context: I wish little Shiro and the rest could've participated.\It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside. response:	I know that, but...
context: It can't be helped.\There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside.\I know that, but... response:	They're still Royal Guards, right?
context: There's still a lot to do.\Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside.\I know that, but...\They're still Royal Guards, right? response:	The Royal Guard only attacks adventurers when they fight in a no-combat zone.
context: Guild Building Japan Server Akihabara City/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside.\I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone. response:	That's true, but...
context: Yeah...\Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside.\I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but... response:	Shiroe is late.
context: Underground Corridor Japan Server Akihabara Separate Zone/ No Monsters No PVP Entry Restrictions/ None Exit Restrictions/ None\They're just armor.\There's nothing inside.\I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late. response:	I wonder if the negotiations aren't going well.
context: They're just armor.\There's nothing inside.\I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well. response:	They haven't gone well from the start.
context: There's nothing inside.\I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start. response:	How many times have we come here?
context: I know that, but...\They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here? response:	The Kunie Clan...
context: They're still Royal Guards, right?\The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here?\The Kunie Clan... response:	Aren't they the clan that controls the banks? The flow of money in this world?
context: The Royal Guard only attacks adventurers when they fight in a no-combat zone.\That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world? response:	It isn't only the banks.
context: That's true, but...\Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks. response:	They control the Royal Guard system and all the lifelines.
context: Shiroe is late.\I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines. response:	Supposedly, they also maintain the barriers that keep monsters out of towns.
context: I wonder if the negotiations aren't going well.\They haven't gone well from the start.\How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns. response:	Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan
context: They haven't gone well from the start.\How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan response:	You're sure it's impossible?
context: How many times have we come here?\The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible? response:	It goes against an ancient treaty.
context: The Kunie Clan...\Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty. response:	Then, could we arrange financing from the Kunie Clan?
context: Aren't they the clan that controls the banks? The flow of money in this world?\It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan? response:	Unlikely.
context: It isn't only the banks.\They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely. response:	As you all know, the Round Table
context: They control the Royal Guard system and all the lifelines.\Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table response:	has purchased the Guild Building, Cathedral, Trade Building,
context: Supposedly, they also maintain the barriers that keep monsters out of towns.\Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building, response:	and several other facilities around the city.
context: Kinjou Race/ Half-Alv Successor, Lv. 50 Kunie Clan\You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city. response:	We do this to ensure that they will not fall into enemy hands.
context: You're sure it's impossible?\It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands. response:	But...
context: It goes against an ancient treaty.\Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But... response:	The costs are incredible.
context: Then, could we arrange financing from the Kunie Clan?\Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible. response:	It all runs ten million gold a month.
context: Unlikely.\As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible.\It all runs ten million gold a month. response:	Wasn't the cost of this building five million gold?
context: As you all know, the Round Table\has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold? response:	We're paying twice that a month?
context: has purchased the Guild Building, Cathedral, Trade Building,\and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month? response:	Well, it's obvious that the Round Table is going to go broke.
context: and several other facilities around the city.\We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke. response:	We won't be able to do festivals or athletic meets anymore.
context: We do this to ensure that they will not fall into enemy hands.\But...\The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke.\We won't be able to do festivals or athletic meets anymore. response:	We have bigger problems than that.
context: But...\The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke.\We won't be able to do festivals or athletic meets anymore.\We have bigger problems than that. response:	Have you told the rest of the town?
context: The costs are incredible.\It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke.\We won't be able to do festivals or athletic meets anymore.\We have bigger problems than that.\Have you told the rest of the town? response:	Not yet.
context: It all runs ten million gold a month.\Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke.\We won't be able to do festivals or athletic meets anymore.\We have bigger problems than that.\Have you told the rest of the town?\Not yet. response:	Right now, it isn't a good idea for the Round Table to show weakness.
context: Wasn't the cost of this building five million gold?\We're paying twice that a month?\Well, it's obvious that the Round Table is going to go broke.\We won't be able to do festivals or athletic meets anymore.\We have bigger problems than that.\Have you told the rest of the town?\Not yet.\Right now, it isn't a good idea for the Round Table to show weakness. response:	You're concerned about the South?
