context: This is what started it all. response:	Thank you very much, Inaho.
context: I'm glad.\I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life. response:	It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.
context: I am Asseylum Vers Allusia.\I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth. response:	The Terrans are innocent.
context: I am the Princess Royal, granddaughter of\Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent. response:	Stop the fighting immediately.
context: Rayregalia Vers Rayvers, Emperor of Vers.\I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately. response:	And then make peace with Earth.
context: I address the people of Father Vers.\I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth. response:	I beg you, put a stop to this tragedy.
context: I call for an immediate cessation of hostilities in this meaningless war.\I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy. response:	This is the Tharsis!
context: I am safe. Alive and well.\It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis! response:	I retrieved it from Castle Cruhteo.
context: It is not Terrans who made an attempt on my life.\It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo. response:	He was unworthy of it.
context: It was a plot by the Orbital Knights, who have their sights set on an invasion of Earth.\The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it. response:	Its Aldnoah drive is powered down...
context: The Terrans are innocent.\Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down... response:	Which means that Count Cruhteo truly is...
context: Stop the fighting immediately.\And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is... response:	Princess Asseylum's location has been pinpointed
context: And then make peace with Earth.\I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed response:	via laser transmission to the Moon base.
context: I beg you, put a stop to this tragedy.\This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base. response:	The Moon base is under the control of those who feel as I do.
context: This is the Tharsis!\I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do. response:	Her Highness' proclamation will reach no one's ears.
context: I retrieved it from Castle Cruhteo.\He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears. response:	The final battle is about to take place at the enemy's main stronghold.
context: He was unworthy of it.\Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold. response:	Even with the full might of a Landing Castle, it will be no easy feat.
context: Its Aldnoah drive is powered down...\Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat. response:	My debt to your father is paid.
context: Which means that Count Cruhteo truly is...\Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid. response:	You may join my forces or you may flee to Earth.
context: Princess Asseylum's location has been pinpointed\via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth. response:	Do as you will.
context: via laser transmission to the Moon base.\The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will. response:	Mars Knight Landing Castle descending!
context: The Moon base is under the control of those who feel as I do.\Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending! response:	Projected touchdown point, within a 20km radius of United Earth HQ!
context: Her Highness' proclamation will reach no one's ears.\The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ! response:	So, they aren't the least bit interested in peace.
context: The final battle is about to take place at the enemy's main stronghold.\Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace. response:	Abandon surface installations! All personnel, evacuate underground!
context: Even with the full might of a Landing Castle, it will be no easy feat.\My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground! response:	I have to say, I didn't expect them to make a direct move on this place.
context: My debt to your father is paid.\You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place. response:	I thought the war was supposed to end!
context: You may join my forces or you may flee to Earth.\Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end! response:	Milady...
context: Do as you will.\Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady... response:	An act of futility.
context: Mars Knight Landing Castle descending!\Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady...\An act of futility. response:	Commencing attack.
context: Projected touchdown point, within a 20km radius of United Earth HQ!\So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady...\An act of futility.\Commencing attack. response:	Enemy missile impacts! They're bunker busters!
context: So, they aren't the least bit interested in peace.\Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady...\An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters! response:	Bedrock has been perforated! Warheads descending towards base complex!
context: Abandon surface installations! All personnel, evacuate underground!\I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady...\An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex! response:	Sally forth!
context: I have to say, I didn't expect them to make a direct move on this place.\I thought the war was supposed to end!\Milady...\An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth! response:	Sky carrier, launch!
context: I thought the war was supposed to end!\Milady...\An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch! response:	Missile impacts and shield penetration in 18 locations!
context: Milady...\An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations! response:	Vibrations believed to be enemy mechanized force now descending!
context: An act of futility.\Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending! response:	Kataphrakt platoons, get all your units launched ASAP!
context: Commencing attack.\Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP! response:	Shire Platoon, in position!
context: Enemy missile impacts! They're bunker busters!\Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position! response:	Falabella Platoon, in position!
context: Bedrock has been perforated! Warheads descending towards base complex!\Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position! response:	Vibration source still closing in. 59 seconds to enemy contact.
context: Sally forth!\Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact. response:	All units, prepare to engage!
context: Sky carrier, launch!\Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage! response:	Roger!
context: Missile impacts and shield penetration in 18 locations!\Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger! response:	Here they come!
context: Vibrations believed to be enemy mechanized force now descending!\Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger!\Here they come! response:	Annihilate them, my faithful servants!
context: Kataphrakt platoons, get all your units launched ASAP!\Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger!\Here they come!\Annihilate them, my faithful servants! response:	It's an enemy Kataphrakt assault!
context: Shire Platoon, in position!\Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger!\Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault! response:	Intercept team attrition rate, 50!
context: Falabella Platoon, in position!\Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger!\Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50! response:	All advance!
context: Vibration source still closing in. 59 seconds to enemy contact.\All units, prepare to engage!\Roger!\Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance! response:	Search for Princess Asseylum and terminate on sight!
context: All units, prepare to engage!\Roger!\Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight! response:	Milady, it's dangerous here. I suggest we relocate at once.
context: Roger!\Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once. response:	I've revealed that my assassination was a lie, so why are they still...
context: Here they come!\Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still... response:	Milady...
context: Annihilate them, my faithful servants!\It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady... response:	War truly was their objective all along. The assassination was merely an excuse.
context: It's an enemy Kataphrakt assault!\Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse. response:	It never mattered one whit if I was alive or dead...
context: Intercept team attrition rate, 50!\All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead... response:	That is not true at all! You are the beloved princess of Vers!
context: All advance!\Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers! response:	Why, then, is this place presently under attack?!
context: Search for Princess Asseylum and terminate on sight!\Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?! response:	Forgive me.
context: Milady, it's dangerous here. I suggest we relocate at once.\I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me. response:	Not at all.
context: I've revealed that my assassination was a lie, so why are they still...\Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me.\Not at all. response:	Is there no one left who can put an end to the Orbital Knights' folly?
context: Milady...\War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly? response:	Is there nothing more that I can do?
context: War truly was their objective all along. The assassination was merely an excuse.\It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do? response:	Milady...
context: It never mattered one whit if I was alive or dead...\That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady... response:	Munitions loading 70 complete!
context: That is not true at all! You are the beloved princess of Vers!\Why, then, is this place presently under attack?!\Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady...\Munitions loading 70 complete! response:	Launching a frontal assault against United Earth HQ...
context: Why, then, is this place presently under attack?!\Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ... response:	It'll be hard to hold negotiations if the government collapses.
context: Forgive me.\Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses. response:	They have no intention of negotiating.
context: Not at all.\Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating. response:	Invade a territory with overwhelming force and lay claim to it as their own.
context: Is there no one left who can put an end to the Orbital Knights' folly?\Is there nothing more that I can do?\Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own. response:	There will be no one to denounce them over it, and no international law.
context: Is there nothing more that I can do?\Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law. response:	This is primitive, pure war that dates back to before the industrial revolution.
context: Milady...\Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution. response:	Have you gotten through to the princess?
context: Munitions loading 70 complete!\Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess? response:	No, ma'am. I'm paging the leader of her security detail, though.
context: Launching a frontal assault against United Earth HQ...\It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though. response:	All pilots, stand by in your Kats! Be ready to move out at a moment's notice!
context: It'll be hard to hold negotiations if the government collapses.\They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice! response:	Warrant Officer Kaizuka, is the Deucalion leaving?
context: They have no intention of negotiating.\Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving? response:	Beats me. This might turn into a defensive action.
context: Invade a territory with overwhelming force and lay claim to it as their own.\There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action. response:	This is Mustang Leader.
context: There will be no one to denounce them over it, and no international law.\This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader. response:	Nao, you've got a phone call.
context: This is primitive, pure war that dates back to before the industrial revolution.\Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call. response:	Mustang 22.
context: Have you gotten through to the princess?\No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22. response:	I shall help, too.
context: No, ma'am. I'm paging the leader of her security detail, though.\All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22.\I shall help, too. response:	Seylum...
context: All pilots, stand by in your Kats! Be ready to move out at a moment's notice!\Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22.\I shall help, too.\Seylum... response:	All Vers weaponry is powered by Aldnoah drives.
context: Warrant Officer Kaizuka, is the Deucalion leaving?\Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22.\I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives. response:	Landing Castles are no exception.
context: Beats me. This might turn into a defensive action.\This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22.\I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception. response:	If its Aldnoah drive is shut down, the Landing Castle will cease to function.
context: This is Mustang Leader.\Nao, you've got a phone call.\Mustang 22.\I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function. response:	How would we do that?
context: Nao, you've got a phone call.\Mustang 22.\I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that? response:	If the person who activated the drive loses his life, it will automatically shut down.
context: Mustang 22.\I shall help, too.\Seylum...\All Vers weaponry is powered by Aldnoah drives.\Landing Castles are no exception.\If its Aldnoah drive is shut down, the Landing Castle will cease to function.\How would we do that?\If the person who activated the drive loses his life, it will automatically shut down. response:	Ah, just like how the Deucalion fell out of the sky when you went into cardiac arrest.
