context: Kill... the Symbol of Peace. response:	Nice to meet you.
context: Anyway, we should make getting help our top priority.\It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you... response:	Stupid, stupid, stupid!
context: It would be best to follow the shore\and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid! response:	I'm not thinking of doing anything that'll get in his way.
context: and avoid the central plaza as we head toward the exit.\That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way. response:	But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...
context: That's true.\Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little... response:	We had our first win in our first battle.
context: Mr. Aizawa has drawn a large number of villains to the plaza.\But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle. response:	That was where we were mistaken.
context: But... there are too many villains.\Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken. response:	We were under the illusion that our powers could actually work against the enemy.
context: Of course, Mr. Aizawa is trying to suppress them...\Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy. response:	Scatter you and kill you, huh?
context: Wait, Midoriya, don't tell me you...\Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh? response:	I hate to say this...
context: Stupid, stupid, stupid!\I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this... response:	Th-This guy...
context: I'm not thinking of doing anything that'll get in his way.\But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this...\Th-This guy... response:	The instant we warped here...
context: But... if we can just find an opening and lessen Mr. Aizawa's load, even a little...\We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this...\Th-This guy...\The instant we warped here... response:	Is he really a kid?
context: We had our first win in our first battle.\That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this...\Th-This guy...\The instant we warped here...\Is he really a kid? response:	O-Ow...
context: That was where we were mistaken.\We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this...\Th-This guy...\The instant we warped here...\Is he really a kid?\O-Ow... response:	Where is he?
context: We were under the illusion that our powers could actually work against the enemy.\Scatter you and kill you, huh?\I hate to say this...\Th-This guy...\The instant we warped here...\Is he really a kid?\O-Ow...\Where is he? response:	I went through the trouble of bringing this whole crowd, too...
context: Scatter you and kill you, huh?\I hate to say this...\Th-This guy...\The instant we warped here...\Is he really a kid?\O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too... response:	Killing All Might...
context: I hate to say this...\Th-This guy...\The instant we warped here...\Is he really a kid?\O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might... response:	At first glance, I thought they had gathered all their elite
context: Th-This guy...\The instant we warped here...\Is he really a kid?\O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite response:	and would overpower him by numbers...
context: The instant we warped here...\Is he really a kid?\O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers... response:	From what I saw, there were only four or five truly dangerous people.
context: Is he really a kid?\O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people. response:	If that's the case, then the next step I should take is...
context: O-Ow...\Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is... response:	Hey, at this rate, your cells will slowly die.
context: Where is he?\I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die. response:	I want to be a hero.
context: I went through the trouble of bringing this whole crowd, too...\Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero. response:	I would like to avoid something so cruel if possible.
context: Killing All Might...\At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible. response:	On what basis do you think you can kill All Might?
context: At first glance, I thought they had gathered all their elite\and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might? response:	What's your plan?
context: and would overpower him by numbers...\From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan? response:	Scary! Seriously, did you see that just now?!
context: From what I saw, there were only four or five truly dangerous people.\If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?! response:	I saw the River Styx, seriously!
context: If that's the case, then the next step I should take is...\Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously! response:	What the heck is up with these guys?!
context: Hey, at this rate, your cells will slowly die.\I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?! response:	What's going on?!
context: I want to be a hero.\I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?! response:	Worry about that later.
context: I would like to avoid something so cruel if possible.\On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?!\Worry about that later. response:	Right now, we need to figure out how we'll get away from all these people.
context: On what basis do you think you can kill All Might?\What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people. response:	Then give me a weapon, too!
context: What's your plan?\Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too! response:	You're the electric guy, aren't you?
context: Scary! Seriously, did you see that just now?!\I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you? response:	Hurry up and take care of them!
context: I saw the River Styx, seriously!\What the heck is up with these guys?!\What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them! response:	You saw during the combat training, didn't you?!
context: What the heck is up with these guys?!\What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?! response:	We were paired up!
context: What's going on?!\Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up! response:	I can only cover myself with electricity!
context: Worry about that later.\Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity! response:	I can discharge electricity, but it's not like I can control it!
context: Right now, we need to figure out how we'll get away from all these people.\Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it! response:	I'll hit you two, too!
context: Then give me a weapon, too!\You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too! response:	It's like, you know, the same as Todoroki!
context: You're the electric guy, aren't you?\Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki! response:	Even if we wanted to call for help, there's interference jammin' the signal.
context: Hurry up and take care of them!\You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal. response:	Listen, you two!
context: You saw during the combat training, didn't you?!\We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two! response:	Right now, you can't count on me!
context: We were paired up!\I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me! response:	I'm counting on you!
context: I can only cover myself with electricity!\I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me!\I'm counting on you! response:	You're a guy, stop whining.
context: I can discharge electricity, but it's not like I can control it!\I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining. response:	Then, I'll use you as a human stun gun!
context: I'll hit you two, too!\It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun! response:	Seriously?! Idiot!
context: It's like, you know, the same as Todoroki!\Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot! response:	Oh, it's working.
context: Even if we wanted to call for help, there's interference jammin' the signal.\Listen, you two!\Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working. response:	I'm strong!
context: Listen, you two!\Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working.\I'm strong! response:	You two can count on me!
context: Right now, you can't count on me!\I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working.\I'm strong!\You two can count on me! response:	Hey, you're too happy-go-lucky.
context: I'm counting on you!\You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working.\I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky. response:	Stop messing around, kid!
context: You're a guy, stop whining.\Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working.\I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid! response:	Both of you should take this more seriously.
context: Then, I'll use you as a human stun gun!\Seriously?! Idiot!\Oh, it's working.\I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously. response:	Sorry, I thought it was a good idea at the time.
context: Seriously?! Idiot!\Oh, it's working.\I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time. response:	Jirou Kyouka!
context: Oh, it's working.\I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka! response:	Quirk: Earphone Jack!
context: I'm strong!\You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack! response:	She can amplify and send her own explosively loud heartbeats by inserting her plugs.
context: You two can count on me!\Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs. response:	She can also catch very quiet sounds and stuff!
context: Hey, you're too happy-go-lucky.\Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff! response:	Kaminari, you should have requested something to help you aim in your costume order!
context: Stop messing around, kid!\Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order! response:	Done!
context: Both of you should take this more seriously.\Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done! response:	Huh?!
context: Sorry, I thought it was a good idea at the time.\Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?! response:	It takes some time...
context: Jirou Kyouka!\Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?!\It takes some time... response:	A sheet?
context: Quirk: Earphone Jack!\She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?!\It takes some time...\A sheet? response:	Is it supposed to be a shield?
context: She can amplify and send her own explosively loud heartbeats by inserting her plugs.\She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?!\It takes some time...\A sheet?\Is it supposed to be a shield? response:	It's an insulation sheet 100 millimeters thick.
context: She can also catch very quiet sounds and stuff!\Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?!\It takes some time...\A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick. response:	Kaminari.
context: Kaminari, you should have requested something to help you aim in your costume order!\Done!\Huh?!\It takes some time...\A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari. response:	I see.
context: Done!\Huh?!\It takes some time...\A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari.\I see. response:	In that case I can be...
context: Huh?!\It takes some time...\A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari.\I see.\In that case I can be... response:	Now then, I am worried about the others.
context: It takes some time...\A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari.\I see.\In that case I can be...\Now then, I am worried about the others. response:	Let us join them quickly.
context: A sheet?\Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari.\I see.\In that case I can be...\Now then, I am worried about the others.\Let us join them quickly. response:	Wait, your clothes got super punk!
context: Is it supposed to be a shield?\It's an insulation sheet 100 millimeters thick.\Kaminari.\I see.\In that case I can be...\Now then, I am worried about the others.\Let us join them quickly.\Wait, your clothes got super punk! response:	I can make them again!
