context: This is bad! response:	It's spewing fire!
context: Idiot!\Chise!\Hey, hang in there!\Ruth...\Where's Chise?\To think it escaped...\Shannon-san...\Why... response:	How do you feel?
context: Chise!\Hey, hang in there!\Ruth...\Where's Chise?\To think it escaped...\Shannon-san...\Why...\How do you feel? response:	Can you get up?
context: Hey, hang in there!\Ruth...\Where's Chise?\To think it escaped...\Shannon-san...\Why...\How do you feel?\Can you get up? response:	I'll get up.
context: Ruth...\Where's Chise?\To think it escaped...\Shannon-san...\Why...\How do you feel?\Can you get up?\I'll get up. response:	Wow.
context: Where's Chise?\To think it escaped...\Shannon-san...\Why...\How do you feel?\Can you get up?\I'll get up.\Wow. response:	It might be tight, but don't take it off.
context: To think it escaped...\Shannon-san...\Why...\How do you feel?\Can you get up?\I'll get up.\Wow.\It might be tight, but don't take it off. response:	It feels like it's going to burst.
context: Shannon-san...\Why...\How do you feel?\Can you get up?\I'll get up.\Wow.\It might be tight, but don't take it off.\It feels like it's going to burst. response:	Chise!
context: Why...\How do you feel?\Can you get up?\I'll get up.\Wow.\It might be tight, but don't take it off.\It feels like it's going to burst.\Chise! response:	Chise!
context: How do you feel?\Can you get up?\I'll get up.\Wow.\It might be tight, but don't take it off.\It feels like it's going to burst.\Chise!\Chise! response:	Angelica-san.
context: Can you get up?\I'll get up.\Wow.\It might be tight, but don't take it off.\It feels like it's going to burst.\Chise!\Chise!\Angelica-san. response:	Jeez, you reek.
context: I'll get up.\Wow.\It might be tight, but don't take it off.\It feels like it's going to burst.\Chise!\Chise!\Angelica-san.\Jeez, you reek. response:	She beat you to her, loser.
context: Wow.\It might be tight, but don't take it off.\It feels like it's going to burst.\Chise!\Chise!\Angelica-san.\Jeez, you reek.\She beat you to her, loser. response:	I'd do the same to my own daughter.
context: It might be tight, but don't take it off.\It feels like it's going to burst.\Chise!\Chise!\Angelica-san.\Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter. response:	I told you not to try to do everything by yourself.
context: It feels like it's going to burst.\Chise!\Chise!\Angelica-san.\Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself. response:	I already gave him an earful.
context: Chise!\Chise!\Angelica-san.\Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful. response:	I wonder what she did to him.
context: Chise!\Angelica-san.\Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him. response:	How's the dragon?
context: Angelica-san.\Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him.\How's the dragon? response:	And the other people?
context: Jeez, you reek.\She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him.\How's the dragon?\And the other people? response:	Everyone went home.
context: She beat you to her, loser.\I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him.\How's the dragon?\And the other people?\Everyone went home. response:	The dragon is sleeping.
context: I'd do the same to my own daughter.\I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him.\How's the dragon?\And the other people?\Everyone went home.\The dragon is sleeping. response:	Thank goodness.
context: I told you not to try to do everything by yourself.\I already gave him an earful.\I wonder what she did to him.\How's the dragon?\And the other people?\Everyone went home.\The dragon is sleeping.\Thank goodness. response:	Elias, are you burned or anything?
context: I already gave him an earful.\I wonder what she did to him.\How's the dragon?\And the other people?\Everyone went home.\The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything? response:	You don't realize you're in worse shape than I am, do you?
context: I wonder what she did to him.\How's the dragon?\And the other people?\Everyone went home.\The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you? response:	Actually, not really.
context: How's the dragon?\And the other people?\Everyone went home.\The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really. response:	I know.
context: And the other people?\Everyone went home.\The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know. response:	Well now, I can't let that lousy explainer explain, can I?
context: Everyone went home.\The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I? response:	Lindel-san.
context: The dragon is sleeping.\Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san. response:	Your arm...
context: Thank goodness.\Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm... response:	I've forced you into an unenviable role.
context: Elias, are you burned or anything?\You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm...\I've forced you into an unenviable role. response:	I'm sorry.
context: You don't realize you're in worse shape than I am, do you?\Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm...\I've forced you into an unenviable role.\I'm sorry. response:	I only did it because I could.
context: Actually, not really.\I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm...\I've forced you into an unenviable role.\I'm sorry.\I only did it because I could. response:	That's why this is so bad.
context: I know.\Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm...\I've forced you into an unenviable role.\I'm sorry.\I only did it because I could.\That's why this is so bad. response:	You've been cursed by the dragon's powers.
context: Well now, I can't let that lousy explainer explain, can I?\Lindel-san.\Your arm...\I've forced you into an unenviable role.\I'm sorry.\I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers. response:	Cursed?
context: Lindel-san.\Your arm...\I've forced you into an unenviable role.\I'm sorry.\I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed? response:	It's going to fester in your body.
context: Your arm...\I've forced you into an unenviable role.\I'm sorry.\I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body. response:	It'll attack, torment, and hex you.
context: I've forced you into an unenviable role.\I'm sorry.\I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you. response:	No human body could contain it.
context: I'm sorry.\I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it. response:	Sooner or later, your body will fall apart.
context: I only did it because I could.\That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart. response:	How long will this body last?
context: That's why this is so bad.\You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last? response:	I don't know. I'm sorry.
context: You've been cursed by the dragon's powers.\Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry. response:	I see.
context: Cursed?\It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry.\I see. response:	So...
context: It's going to fester in your body.\It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry.\I see.\So... response:	I've lived with two curses so far.
context: It'll attack, torment, and hex you.\No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry.\I see.\So...\I've lived with two curses so far. response:	I was forced to live with them.
context: No human body could contain it.\Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry.\I see.\So...\I've lived with two curses so far.\I was forced to live with them. response:	One is this, my Sleigh Beggy body.
context: Sooner or later, your body will fall apart.\How long will this body last?\I don't know. I'm sorry.\I see.\So...\I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body. response:	The other...
context: How long will this body last?\I don't know. I'm sorry.\I see.\So...\I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body.\The other... response:	As long as I live, it'll probably never leave me.
context: I don't know. I'm sorry.\I see.\So...\I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me. response:	Taking on one more doesn't seem like such a big deal.
context: I see.\So...\I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal. response:	You're...
context: So...\I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're... response:	He's angry.
context: I've lived with two curses so far.\I was forced to live with them.\One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're...\He's angry. response:	Huh? That's him angry?
context: I was forced to live with them.\One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're...\He's angry.\Huh? That's him angry? response:	I'm sorry.
context: One is this, my Sleigh Beggy body.\The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're...\He's angry.\Huh? That's him angry?\I'm sorry. response:	I can't ask you to forgive me.
context: The other...\As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're...\He's angry.\Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me. response:	Please don't apologize.
context: As long as I live, it'll probably never leave me.\Taking on one more doesn't seem like such a big deal.\You're...\He's angry.\Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me.\Please don't apologize. response:	This is proof.
context: Taking on one more doesn't seem like such a big deal.\You're...\He's angry.\Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me.\Please don't apologize.\This is proof. response:	That I was able to think of someone other than myself.
context: You're...\He's angry.\Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me.\Please don't apologize.\This is proof.\That I was able to think of someone other than myself. response:	You do have the option of living on the other side.
context: He's angry.\Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me.\Please don't apologize.\This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side. response:	But that's...
context: Huh? That's him angry?\I'm sorry.\I can't ask you to forgive me.\Please don't apologize.\This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's... response:	I'll think about it.
context: I'm sorry.\I can't ask you to forgive me.\Please don't apologize.\This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's...\I'll think about it. response:	Chise!
context: I can't ask you to forgive me.\Please don't apologize.\This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's...\I'll think about it.\Chise! response:	Are you sure?
context: Please don't apologize.\This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's...\I'll think about it.\Chise!\Are you sure? response:	You may cease to be human.
context: This is proof.\That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's...\I'll think about it.\Chise!\Are you sure?\You may cease to be human. response:	I'm ready for the worst.
context: That I was able to think of someone other than myself.\You do have the option of living on the other side.\But that's...\I'll think about it.\Chise!\Are you sure?\You may cease to be human.\I'm ready for the worst. response:	I have to do what I can.
context: You do have the option of living on the other side.\But that's...\I'll think about it.\Chise!\Are you sure?\You may cease to be human.\I'm ready for the worst.\I have to do what I can. response:	Are you sure you should be out?
context: But that's...\I'll think about it.\Chise!\Are you sure?\You may cease to be human.\I'm ready for the worst.\I have to do what I can.\Are you sure you should be out? response:	You didn't tell anyone, either.
context: I'll think about it.\Chise!\Are you sure?\You may cease to be human.\I'm ready for the worst.\I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either. response:	I prefer the air outside.
context: Chise!\Are you sure?\You may cease to be human.\I'm ready for the worst.\I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside. response:	How can you be smiling?
context: Are you sure?\You may cease to be human.\I'm ready for the worst.\I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling? response:	When did you...
context: You may cease to be human.\I'm ready for the worst.\I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling?\When did you... response:	Since you tried to leave from the window and flipped around in the sky.
context: I'm ready for the worst.\I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky. response:	That's from the very beginning.
context: I have to do what I can.\Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning. response:	My puppy seems to have lost her mind.
context: Are you sure you should be out?\You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind. response:	I was just pretending to be smart.
context: You didn't tell anyone, either.\I prefer the air outside.\How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart. response:	Haven't I told you?
context: I prefer the air outside.\How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you? response:	You've forgotten to let me know when you go out, yet you're still well-spoken.
context: How can you be smiling?\When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken. response:	I mean, you didn't reply to me.
context: When did you...\Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me. response:	I was straightening things out.
context: Since you tried to leave from the window and flipped around in the sky.\That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out. response:	All day?
context: That's from the very beginning.\My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out.\All day? response:	Yeah.
context: My puppy seems to have lost her mind.\I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out.\All day?\Yeah. response:	You always try to go somewhere by yourself.
context: I was just pretending to be smart.\Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out.\All day?\Yeah.\You always try to go somewhere by yourself. response:	Even though you always offer me your hand and grip back.
context: Haven't I told you?\You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out.\All day?\Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back. response:	Even though you ask me to come home.
context: You've forgotten to let me know when you go out, yet you're still well-spoken.\I mean, you didn't reply to me.\I was straightening things out.\All day?\Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home. response:	And yet you're going to leave me, just like that?
context: I mean, you didn't reply to me.\I was straightening things out.\All day?\Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that? response:	It's not like I'm going to die right away.
context: I was straightening things out.\All day?\Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away. response:	I don't think.
context: All day?\Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think. response:	How was I so optimistic?
context: Yeah.\You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think.\How was I so optimistic? response:	I knew this would happen to you someday.
context: You always try to go somewhere by yourself.\Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think.\How was I so optimistic?\I knew this would happen to you someday. response:	I should have stopped you, but I didn't.
context: Even though you always offer me your hand and grip back.\Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think.\How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't. response:	Somewhere inside,
context: Even though you ask me to come home.\And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think.\How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside, response:	I'm still thinking that you're always going to be in that home, going forward.
context: And yet you're going to leave me, just like that?\It's not like I'm going to die right away.\I don't think.\How was I so optimistic?\I knew this would happen to you someday.\I should have stopped you, but I didn't.\Somewhere inside,\I'm still thinking that you're always going to be in that home, going forward. response:	That you would manage somehow.
