context: The Second Dish response:	Episode 3
context: Is something wrong?\No... It's nothing.\I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it. response:	The 92nd class is indeed a generation of prodigies.
context: No... It's nothing.\I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies. response:	The Generation of Prodigies
context: I need to go to the washroom.\Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies response:	Hayama-kun!
context: Hmm...\Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun! response:	What are you doing out here?
context: Tadokoro Megumi, was it?\It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun!\What are you doing out here? response:	Nothing much.
context: It seems the girl possesses even greater power\that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun!\What are you doing out here?\Nothing much. response:	I just wanted to feel the night breeze.
context: that still lies dormant within her.\I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun!\What are you doing out here?\Nothing much.\I just wanted to feel the night breeze. response:	Hey, Hayama-kun,
context: I went bare before I even realized it.\The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun!\What are you doing out here?\Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun, response:	don't get too bent on winning this.
context: The 92nd class is indeed a generation of prodigies.\The Generation of Prodigies\Hayama-kun!\What are you doing out here?\Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this. response:	I'm already so proud of you for passing the prelims!
context: The Generation of Prodigies\Hayama-kun!\What are you doing out here?\Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims! response:	It's a great stage.
context: Hayama-kun!\What are you doing out here?\Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage. response:	Just try to enjoy it, okay?
context: What are you doing out here?\Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay? response:	A smile like that's only going to get me even more determined to win.
context: Nothing much.\I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win. response:	I will reach the top, no matter what!
context: I just wanted to feel the night breeze.\Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what! response:	Bro, did you pack everything you need into the bag?
context: Hey, Hayama-kun,\don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag? response:	Oh, do you have the victory charm I gave you?
context: don't get too bent on winning this.\I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you? response:	I do.
context: I'm already so proud of you for passing the prelims!\It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do. response:	I bought this pillow yesterday that's supposed to give you a good night's rest.
context: It's a great stage.\Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest. response:	Let's do some aromatherapy to help you relax, too!
context: Just try to enjoy it, okay?\A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too! response:	Calm down, Isami.
context: A smile like that's only going to get me even more determined to win.\I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami. response:	I'm gonna pray that you'll be able to give it all you've got tomorrow.
context: I will reach the top, no matter what!\Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow. response:	Don't worry, little brother.
context: Bro, did you pack everything you need into the bag?\Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother. response:	I've been honing my skills
context: Oh, do you have the victory charm I gave you?\I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills response:	so that I can face off with Yukihira again in the main tournament.
context: I do.\I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament. response:	Just watch, Isami.
context: I bought this pillow yesterday that's supposed to give you a good night's rest.\Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami. response:	Our Italian cooking will not be defeated!
context: Let's do some aromatherapy to help you relax, too!\Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated! response:	Please watch me, Erina-sama.
context: Calm down, Isami.\I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama. response:	I will be sure to return to you with a win.
context: I'm gonna pray that you'll be able to give it all you've got tomorrow.\Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win. response:	You're a good girl, Hisako.
context: Don't worry, little brother.\I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako. response:	I have high expectations.
context: I've been honing my skills\so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations. response:	For Jun...
context: so that I can face off with Yukihira again in the main tournament.\Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations.\For Jun... response:	For Isami...
context: Just watch, Isami.\Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations.\For Jun...\For Isami... response:	For Erina-sama...
context: Our Italian cooking will not be defeated!\Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations.\For Jun...\For Isami...\For Erina-sama... response:	I have to win!
context: Please watch me, Erina-sama.\I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations.\For Jun...\For Isami...\For Erina-sama...\I have to win! response:	We're now on Day 2 of the Autumn Elections Main Tournament.
context: I will be sure to return to you with a win.\You're a good girl, Hisako.\I have high expectations.\For Jun...\For Isami...\For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament. response:	This day will determine the final four to proceed to the semi-finals!
context: You're a good girl, Hisako.\I have high expectations.\For Jun...\For Isami...\For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals! response:	I wonder what heated battles we'll see today!
context: I have high expectations.\For Jun...\For Isami...\For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today! response:	Soma-kun's late.
context: For Jun...\For Isami...\For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late. response:	Oh, c'mon!
context: For Isami...\For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon! response:	He should be seeing this to prepare for his next match!
context: For Erina-sama...\I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match! response:	I couldn't get him to wake up.
context: I have to win!\We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up. response:	Maybe I should've just dragged him here.
context: We're now on Day 2 of the Autumn Elections Main Tournament.\This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here. response:	He pretty much pulled an all-nighter the night before.
context: This day will determine the final four to proceed to the semi-finals!\I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before. response:	But I heard he's at least left the dorm, so I think he'll make it.
context: I wonder what heated battles we'll see today!\Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it. response:	Hey.
context: Soma-kun's late.\Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey. response:	We meet again, Yukihira Soma.
context: Oh, c'mon!\He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma. response:	Oh, you're the guy from the prelims.
context: He should be seeing this to prepare for his next match!\I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims. response:	93 points!
context: I couldn't get him to wake up.\Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points! response:	Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun
context: Maybe I should've just dragged him here.\He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun response:	Candidate Yukihira scored 93 points!
context: He pretty much pulled an all-nighter the night before.\But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points! response:	He's now in second place!
context: But I heard he's at least left the dorm, so I think he'll make it.\Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place! response:	Oh, sorry, transfer student.
context: Hey.\We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student. response:	I didn't see you.
context: We meet again, Yukihira Soma.\Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student.\I didn't see you. response:	There's no need to glare like that, Yukihira Soma.
context: Oh, you're the guy from the prelims.\93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma. response:	I'm just thinkin' we can go to the tournament hall together, that's all.
context: 93 points!\Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all. response:	Huh?
context: Block A Ranking Hayama Akira Yukihira Soma Kurokiba Ryo Marui Zenji Ibusaki Shun\Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh? response:	Yeah, sure, whatever.
context: Candidate Yukihira scored 93 points!\He's now in second place!\Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever. response:	Okay, hang on a sec.
context: He's now in second place!\Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever.\Okay, hang on a sec. response:	This bike reeks of testosterone.
context: Oh, sorry, transfer student.\I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone. response:	He pretty much screams punk.
context: I didn't see you.\There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk. response:	Sorry to keep you waiting.
context: There's no need to glare like that, Yukihira Soma.\I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting. response:	Yeah, no kidding.
context: I'm just thinkin' we can go to the tournament hall together, that's all.\Huh?\Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding. response:	I didn't think you'd be tying the cover down with rope.
context: Huh?\Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope. response:	It's more than justified.
context: Yeah, sure, whatever.\Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified. response:	I've registered the bike, of course,
context: Okay, hang on a sec.\This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course, response:	and I've subscribed to a GPS tracking service,
context: This bike reeks of testosterone.\He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service, response:	so even if it gets stolen, I'll find it right away.
context: He pretty much screams punk.\Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away. response:	Why're you trying to intimidate me about all that?
context: Sorry to keep you waiting.\Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that? response:	Right down to the last detail, is my creed when it comes to cooking,
context: Yeah, no kidding.\I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking, response:	and anything else, really.
context: I didn't think you'd be tying the cover down with rope.\It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really. response:	Huh...
context: It's more than justified.\I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really.\Huh... response:	For all his bulk, he's a more sensitive guy than I'd have made him out to be.
context: I've registered the bike, of course,\and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really.\Huh...\For all his bulk, he's a more sensitive guy than I'd have made him out to be. response:	I haven't told you my name yet, have I?
context: and I've subscribed to a GPS tracking service,\so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really.\Huh...\For all his bulk, he's a more sensitive guy than I'd have made him out to be.\I haven't told you my name yet, have I? response:	I'm Mimasaka Subaru. Remember that.
context: so even if it gets stolen, I'll find it right away.\Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really.\Huh...\For all his bulk, he's a more sensitive guy than I'd have made him out to be.\I haven't told you my name yet, have I?\I'm Mimasaka Subaru. Remember that. response:	Mimasaka
context: Why're you trying to intimidate me about all that?\Right down to the last detail, is my creed when it comes to cooking,\and anything else, really.\Huh...\For all his bulk, he's a more sensitive guy than I'd have made him out to be.\I haven't told you my name yet, have I?\I'm Mimasaka Subaru. Remember that.\Mimasaka response:	The eighth main tournament contestant.
