context: Wow, so pretty! response:	Such beautiful flowers, Sister!
context: But she is always with me.\Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red.\Can I have some?\Sure.\Really?\I believe this will be remembered as a tale of those who threw down response:	the gauntlet against the machines.
context: Come to think of it, Sis, you always get strawberry.\Do I?\I like the color red.\Can I have some?\Sure.\Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines. response:	Don't wreak too much havoc.
context: Do I?\I like the color red.\Can I have some?\Sure.\Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc. response:	I can't fight trying to be nice to the machines.
context: I like the color red.\Can I have some?\Sure.\Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines. response:	You only need water to grow...
context: Can I have some?\Sure.\Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow... response:	Thanks as always.
context: Sure.\Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always. response:	I gave you a little extra.
context: Really?\I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always.\I gave you a little extra. response:	Gee, thanks!
context: I believe this will be remembered as a tale of those who threw down\the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always.\I gave you a little extra.\Gee, thanks! response:	Huh?
context: the gauntlet against the machines.\Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always.\I gave you a little extra.\Gee, thanks!\Huh? response:	Sorry.
context: Don't wreak too much havoc.\I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always.\I gave you a little extra.\Gee, thanks!\Huh?\Sorry. response:	I'm always causing trouble.
context: I can't fight trying to be nice to the machines.\You only need water to grow...\Thanks as always.\I gave you a little extra.\Gee, thanks!\Huh?\Sorry.\I'm always causing trouble. response:	Bye.
context: You only need water to grow...\Thanks as always.\I gave you a little extra.\Gee, thanks!\Huh?\Sorry.\I'm always causing trouble.\Bye. response:	That's okay. Don't die young.
context: Thanks as always.\I gave you a little extra.\Gee, thanks!\Huh?\Sorry.\I'm always causing trouble.\Bye.\That's okay. Don't die young. response:	Thank you!
context: I gave you a little extra.\Gee, thanks!\Huh?\Sorry.\I'm always causing trouble.\Bye.\That's okay. Don't die young.\Thank you! response:	Good evening. Sorry to keep you waiting.
context: Gee, thanks!\Huh?\Sorry.\I'm always causing trouble.\Bye.\That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting. response:	My, it sure has been a while.
context: Huh?\Sorry.\I'm always causing trouble.\Bye.\That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while. response:	Hi.
context: Sorry.\I'm always causing trouble.\Bye.\That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi. response:	Haven't you forgotten something?
context: I'm always causing trouble.\Bye.\That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi.\Haven't you forgotten something? response:	No, I haven't. Here it is.
context: Bye.\That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi.\Haven't you forgotten something?\No, I haven't. Here it is. response:	You remembered! I'm so happy!
context: That's okay. Don't die young.\Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi.\Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy! response:	It's a device to enhance your emotion functions...
context: Thank you!\Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi.\Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions... response:	This will make you feel so much better, though it is illegal...
context: Good evening. Sorry to keep you waiting.\My, it sure has been a while.\Hi.\Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal... response:	Well, now it's time for a little compensation.
context: My, it sure has been a while.\Hi.\Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation. response:	My killer bra-removing technique.
context: Hi.\Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique. response:	You're so impatient.
context: Haven't you forgotten something?\No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient. response:	Ah, so nice.
context: No, I haven't. Here it is.\You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient.\Ah, so nice. response:	These curves, they're godly.
context: You remembered! I'm so happy!\It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient.\Ah, so nice.\These curves, they're godly. response:	I simply can't resist what's in front of me!
context: It's a device to enhance your emotion functions...\This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient.\Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me! response:	Cappeli D'angelo.
context: This will make you feel so much better, though it is illegal...\Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient.\Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo. response:	Cappelini, Fedelini.
context: Well, now it's time for a little compensation.\My killer bra-removing technique.\You're so impatient.\Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini. response:	Spaghettini, Spaghetti.
context: My killer bra-removing technique.\You're so impatient.\Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti. response:	Boil water in a large pot.
context: You're so impatient.\Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot. response:	Add a little salt...
context: Ah, so nice.\These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt... response:	Al Dente.
context: These curves, they're godly.\I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt...\Al Dente. response:	Boil until it has the firmness of hair.
context: I simply can't resist what's in front of me!\Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt...\Al Dente.\Boil until it has the firmness of hair. response:	Cappeli!
context: Cappeli D'angelo.\Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt...\Al Dente.\Boil until it has the firmness of hair.\Cappeli! response:	It's rude not to knock.
context: Cappelini, Fedelini.\Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt...\Al Dente.\Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock. response:	Oh, you're there.
context: Spaghettini, Spaghetti.\Boil water in a large pot.\Add a little salt...\Al Dente.\Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock.\Oh, you're there. response:	Yes, this is Jack's Corporation.
context: Boil water in a large pot.\Add a little salt...\Al Dente.\Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation. response:	Right now?
context: Add a little salt...\Al Dente.\Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation.\Right now? response:	I'm currently busy with something else.
context: Al Dente.\Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else. response:	Right... Right, I'll call you when I'm finished here.
context: Boil until it has the firmness of hair.\Cappeli!\It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here. response:	Just get here quick!
context: Cappeli!\It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick! response:	Yeah, I want to rush over right now!
context: It's rude not to knock.\Oh, you're there.\Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now! response:	Yes, but could you wait just a little bit?
context: Oh, you're there.\Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit? response:	Come quickly or I'll kill ya!
context: Yes, this is Jack's Corporation.\Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya! response:	Ta-da!
context: Right now?\I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da! response:	Super hot stuff, indeed!
context: I'm currently busy with something else.\Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed! response:	You'll get lots of money for these!
context: Right... Right, I'll call you when I'm finished here.\Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these! response:	That's all you got?
context: Just get here quick!\Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got? response:	Oh, not again!
context: Yeah, I want to rush over right now!\Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got?\Oh, not again! response:	You scratch my back, I'll scratch yours.
context: Yes, but could you wait just a little bit?\Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours. response:	What if they found out we strip them down?
context: Come quickly or I'll kill ya!\Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down? response:	That'd be it!
context: Ta-da!\Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it! response:	It's going to be the end of me, end of you...
context: Super hot stuff, indeed!\You'll get lots of money for these!\That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you... response:	Whatever! Just take them away.
context: You'll get lots of money for these!\That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away. response:	Really?
context: That's all you got?\Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away.\Really? response:	Okay! Thanks for the business!
context: Oh, not again!\You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away.\Really?\Okay! Thanks for the business! response:	Secure and trustworthy, Jack's Recycle Corporation!
context: You scratch my back, I'll scratch yours.\What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away.\Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation! response:	Looking forward to working with you again.
context: What if they found out we strip them down?\That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away.\Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again. response:	You can call me without business, too.
context: That'd be it!\It's going to be the end of me, end of you...\Whatever! Just take them away.\Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too. response:	Hey, hey, hey!
context: It's going to be the end of me, end of you...\Whatever! Just take them away.\Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey! response:	Can't you move them with a little more care?
context: Whatever! Just take them away.\Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care? response:	Time to move out of this place, too.
context: Really?\Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too. response:	Awful!
context: Okay! Thanks for the business!\Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too.\Awful! response:	Shit!
context: Secure and trustworthy, Jack's Recycle Corporation!\Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too.\Awful!\Shit! response:	Hi, Eleanor. It's me!
context: Looking forward to working with you again.\You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too.\Awful!\Shit!\Hi, Eleanor. It's me! response:	Just got replacement parts for the Regeneration Device.
context: You can call me without business, too.\Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too.\Awful!\Shit!\Hi, Eleanor. It's me!\Just got replacement parts for the Regeneration Device. response:	Oh, really?
context: Hey, hey, hey!\Can't you move them with a little more care?\Time to move out of this place, too.\Awful!\Shit!\Hi, Eleanor. It's me!\Just got replacement parts for the Regeneration Device.\Oh, really? response:	Right, I'll deliver it tomorrow.
context: Can't you move them with a little more care?\Time to move out of this place, too.\Awful!\Shit!\Hi, Eleanor. It's me!\Just got replacement parts for the Regeneration Device.\Oh, really?\Right, I'll deliver it tomorrow. response:	Right, absolutely.
context: Time to move out of this place, too.\Awful!\Shit!\Hi, Eleanor. It's me!\Just got replacement parts for the Regeneration Device.\Oh, really?\Right, I'll deliver it tomorrow.\Right, absolutely. response:	Oh, really? Thank you so much!
context: Awful!\Shit!\Hi, Eleanor. It's me!\Just got replacement parts for the Regeneration Device.\Oh, really?\Right, I'll deliver it tomorrow.\Right, absolutely.\Oh, really? Thank you so much! response:	By the way, you know Karen? She's no good...
