context: Ichiya from Blue Pegasus, together with the allies he gathered underneath him, response:	completely wiped out Oracion Seis!
context: Begone! Begone before the name of Zero!\Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this? response:	Natsu!
context: Now you are also a resident of the land of nil.\It is over.\What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this?\Natsu! response:	And you call yourself the child of Igneel?
context: It is over.\What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel? response:	Yeah! But how am I supposed to bust up something that huge?
context: What the... Damn it... I can't see anything.\All my strength is gone...\Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge? response:	You mustn't let your feelings get the better of you!
context: All my strength is gone...\Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you! response:	You mustn't lose faith in your own power!
context: Damn it all...\Natsu!\What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power! response:	Natsu!
context: Natsu!\What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu! response:	You are a Dragon Slayer!
context: What is the matter? You'll be defeated from something like this?\Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer! response:	Do not forget the pride that comes with that title!
context: Natsu!\And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title! response:	I, Igneel, am with you!
context: And you call yourself the child of Igneel?\Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you! response:	Yeah, right!
context: Yeah! But how am I supposed to bust up something that huge?\You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right! response:	But, I don't get it at all...
context: You mustn't let your feelings get the better of you!\You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right!\But, I don't get it at all... response:	Ice Cannon!
context: You mustn't lose faith in your own power!\Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right!\But, I don't get it at all...\Ice Cannon! response:	Go!
context: Natsu!\You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right!\But, I don't get it at all...\Ice Cannon!\Go! response:	Rampage!
context: You are a Dragon Slayer!\Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right!\But, I don't get it at all...\Ice Cannon!\Go!\Rampage! response:	Sparkle to Infinity!
context: Do not forget the pride that comes with that title!\I, Igneel, am with you!\Yeah, right!\But, I don't get it at all...\Ice Cannon!\Go!\Rampage!\Sparkle to Infinity! response:	With this one blow, I use up the rest of my magic power!
context: I, Igneel, am with you!\Yeah, right!\But, I don't get it at all...\Ice Cannon!\Go!\Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power! response:	Roar of the Sky Dragon!
context: Yeah, right!\But, I don't get it at all...\Ice Cannon!\Go!\Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon! response:	What the...
context: But, I don't get it at all...\Ice Cannon!\Go!\Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the... response:	The golden flames...
context: Ice Cannon!\Go!\Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the...\The golden flames... response:	They're burning off my magic?!
context: Go!\Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the...\The golden flames...\They're burning off my magic?! response:	The wizards who mastered the same powers as dragons, in order to defeat them...
context: Rampage!\Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the...\The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them... response:	That is a true Dragon Slayer!
context: Sparkle to Infinity!\With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the...\The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer! response:	Magic power, fully unleashed.
context: With this one blow, I use up the rest of my magic power!\Roar of the Sky Dragon!\What the...\The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed. response:	Hidden Fire Form!
context: Roar of the Sky Dragon!\What the...\The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form! response:	Blazing Phoenix Blade!
context: What the...\The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade! response:	Did we do it? Everyone, at the same time?
context: The golden flames...\They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time? response:	All right!
context: They're burning off my magic?!\The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right! response:	Rampage!
context: The wizards who mastered the same powers as dragons, in order to defeat them...\That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right!\Rampage! response:	Erza-san, everyone... Good job!
context: That is a true Dragon Slayer!\Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right!\Rampage!\Erza-san, everyone... Good job! response:	Natsu... You did it?
context: Magic power, fully unleashed.\Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right!\Rampage!\Erza-san, everyone... Good job!\Natsu... You did it? response:	Damn... That was one hard lacrima...
context: Hidden Fire Form!\Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right!\Rampage!\Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima... response:	That good enough for ya, Igneel?
context: Blazing Phoenix Blade!\Did we do it? Everyone, at the same time?\All right!\Rampage!\Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel? response:	It's stopped! Wendy, it actually stopped!
context: Did we do it? Everyone, at the same time?\All right!\Rampage!\Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped! response:	Yup!
context: All right!\Rampage!\Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup! response:	Nirvana has been stopped!
context: Rampage!\Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped! response:	Natsu Dragneel...
context: Erza-san, everyone... Good job!\Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped!\Natsu Dragneel... response:	You are definitely a man that exceeds expectations...
context: Natsu... You did it?\Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations... response:	I can't get up the strength...
context: Damn... That was one hard lacrima...\That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength... response:	Jellal?!
context: That good enough for ya, Igneel?\It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?! response:	Don't let go!
context: It's stopped! Wendy, it actually stopped!\Yup!\Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?!\Don't let go! response:	Idiot! You're also in trouble, you know!
context: Yup!\Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?!\Don't let go!\Idiot! You're also in trouble, you know! response:	Isn't this kind of dangerous?
context: Nirvana has been stopped!\Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?!\Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous? response:	It's falling apart!
context: Natsu Dragneel...\You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?!\Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart! response:	Guess it'd be a good idea to escape.
context: You are definitely a man that exceeds expectations...\I can't get up the strength...\Jellal?!\Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape. response:	If you don't, you'll be crushed flat.
context: I can't get up the strength...\Jellal?!\Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat. response:	Isn't there some escape route?
context: Jellal?!\Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route? response:	We can know what the people we've copied know...
context: Don't let go!\Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know... response:	But we don't have an escape route from here in our memory.
context: Idiot! You're also in trouble, you know!\Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory. response:	I'm sure you'll be fine, though.
context: Isn't this kind of dangerous?\It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though. response:	Good luck!
context: It's falling apart!\Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck! response:	Wait!
context: Guess it'd be a good idea to escape.\If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck!\Wait! response:	Whoa, whoa, whoa! This ain't good at all!
context: If you don't, you'll be crushed flat.\Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all! response:	Is everyone okay?
context: Isn't there some escape route?\We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay? response:	My honey! Wait for me!
context: We can know what the people we've copied know...\But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me! response:	Men!
context: But we don't have an escape route from here in our memory.\I'm sure you'll be fine, though.\Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me!\Men! response:	Wendy, this way!
context: I'm sure you'll be fine, though.\Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me!\Men!\Wendy, this way! response:	Wendy, watch out!
context: Good luck!\Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me!\Men!\Wendy, this way!\Wendy, watch out! response:	Rockiron Wall!
context: Wait!\Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me!\Men!\Wendy, this way!\Wendy, watch out!\Rockiron Wall! response:	Jura-san!
context: Whoa, whoa, whoa! This ain't good at all!\Is everyone okay?\My honey! Wait for me!\Men!\Wendy, this way!\Wendy, watch out!\Rockiron Wall!\Jura-san! response:	You're safe?
context: Is everyone okay?\My honey! Wait for me!\Men!\Wendy, this way!\Wendy, watch out!\Rockiron Wall!\Jura-san!\You're safe? response:	Unfortunately, it took time for me to recover my magic power.
context: My honey! Wait for me!\Men!\Wendy, this way!\Wendy, watch out!\Rockiron Wall!\Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power. response:	But now, we must evacuate with all haste!
context: Men!\Wendy, this way!\Wendy, watch out!\Rockiron Wall!\Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste! response:	That was close...
context: Wendy, this way!\Wendy, watch out!\Rockiron Wall!\Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close... response:	Whoa, man... Is everyone safe?
context: Wendy, watch out!\Rockiron Wall!\Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe? response:	Gray!
context: Rockiron Wall!\Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe?\Gray! response:	Erza!
context: Jura-san!\You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe?\Gray!\Erza! response:	And...
context: You're safe?\Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe?\Gray!\Erza!\And... response:	Erza-san! Thank goodness you are safe!
context: Unfortunately, it took time for me to recover my magic power.\But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe?\Gray!\Erza!\And...\Erza-san! Thank goodness you are safe! response:	What goes there?!
context: But now, we must evacuate with all haste!\That was close...\Whoa, man... Is everyone safe?\Gray!\Erza!\And...\Erza-san! Thank goodness you are safe!\What goes there?! response:	An enemy? And... Ew...
context: That was close...\Whoa, man... Is everyone safe?\Gray!\Erza!\And...\Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew... response:	Please calm down, you two.
context: Whoa, man... Is everyone safe?\Gray!\Erza!\And...\Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew...\Please calm down, you two. response:	Thanks to the power of my parfum, my body has changed.
context: Gray!\Erza!\And...\Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed. response:	But inside is the same me, unchanged even a bit!
context: Erza!\And...\Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit! response:	*spinspinspin*
context: And...\Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit!\*spinspinspin* response:	Ichiya, at your service!
context: Erza-san! Thank goodness you are safe!\What goes there?!\An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit!\*spinspinspin*\Ichiya, at your service! response:	*sparkle*
context: What goes there?!\An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit!\*spinspinspin*\Ichiya, at your service!\*sparkle* response:	You sure attract the weirdos.
context: An enemy? And... Ew...\Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit!\*spinspinspin*\Ichiya, at your service!\*sparkle*\You sure attract the weirdos. response:	Yes...
context: Please calm down, you two.\Thanks to the power of my parfum, my body has changed.\But inside is the same me, unchanged even a bit!\*spinspinspin*\Ichiya, at your service!\*sparkle*\You sure attract the weirdos.\Yes... response:	Well, he's dependable, at least.
