context: Hajime-chan, you were already my favorite the moment I met you. response:	I felt you accepted me for who I was right away,
context: it's like, I haven't really met them!\Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds response:	like you fold origami shapes.
context: Yeah, that's it!\That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes. response:	I've never felt this way in the G-team before!
context: That's why even Utsutsu, who never opened up to anyone before...\Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before! response:	Senpai!
context: Whoa!\Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai! response:	Huh?
context: Are you trying to reject the basic premise of Gatchaman?\I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai!\Huh? response:	What would you think if I died?
context: I've been alive for three centuries,\but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai!\Huh?\What would you think if I died? response:	What?
context: but I've never met anyone like you.\I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai!\Huh?\What would you think if I died?\What? response:	O-Of course I'd be sad.
context: I have a feeling that you'll change us lonely caged birds\like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad. response:	That's right, girl.
context: like you fold origami shapes.\I've never felt this way in the G-team before!\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\That's right, girl. response:	You're like the sun that shines brightly on us,
context: I've never felt this way in the G-team before!\Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us, response:	no, everyone on this planet.
context: Senpai!\Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet. response:	You're way too bright!
context: Huh?\What would you think if I died?\What?\O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright! response:	You're the G-team's shining sun!
context: What would you think if I died?\What?\O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun! response:	Hajime, you know... back then...
context: What?\O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then... response:	Every single day, I wanted to vanish and disappear.
context: O-Of course I'd be sad.\That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear. response:	I'm gloomy...
context: That's right, girl.\You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy... response:	You can't.
context: You're like the sun that shines brightly on us,\no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't. response:	I can because my body is weird.
context: no, everyone on this planet.\You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't.\I can because my body is weird. response:	Wow. That's great.
context: You're way too bright!\You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't.\I can because my body is weird.\Wow. That's great. response:	It's not great.
context: You're the G-team's shining sun!\Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't.\I can because my body is weird.\Wow. That's great.\It's not great. response:	I felt that way because I didn't know why I had been born.
context: Hajime, you know... back then...\Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't.\I can because my body is weird.\Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born. response:	That's why I used to hate you because you
context: Every single day, I wanted to vanish and disappear.\I'm gloomy...\You can't.\I can because my body is weird.\Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you response:	were always so full of energy.
context: I'm gloomy...\You can't.\I can because my body is weird.\Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy. response:	I thought you'd take OD away from me.
context: You can't.\I can because my body is weird.\Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me. response:	But I began to notice who you were as a person.
context: I can because my body is weird.\Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person. response:	I'm gloomy...
context: Wow. That's great.\It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy... response:	Utsutsu-chan, you're fine just the way you are.
context: It's not great.\I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are. response:	I wondered why you would care
context: I felt that way because I didn't know why I had been born.\That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care response:	to look at me when I was such a failure.
context: That's why I used to hate you because you\were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure. response:	And I used to hate you so much.
context: were always so full of energy.\I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much. response:	I guess things like this really happen.
context: I thought you'd take OD away from me.\But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen. response:	I found myself starting to want to be noticed by you,
context: But I began to notice who you were as a person.\I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you, response:	Okay, go!
context: I'm gloomy...\Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go! response:	A present to Utsutsu-chan for a good deed!
context: Utsutsu-chan, you're fine just the way you are.\I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed! response:	What?
context: I wondered why you would care\to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed!\What? response:	and be with you.
context: to look at me when I was such a failure.\And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed!\What?\and be with you. response:	We had a lot of fun today, Utsutsu-chan!
context: And I used to hate you so much.\I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed!\What?\and be with you.\We had a lot of fun today, Utsutsu-chan! response:	What?
context: I guess things like this really happen.\I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed!\What?\and be with you.\We had a lot of fun today, Utsutsu-chan!\What? response:	Let's play hide-and-seek together again!
context: I found myself starting to want to be noticed by you,\Okay, go!\A present to Utsutsu-chan for a good deed!\What?\and be with you.\We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again! response:	I was so happy...
context: Okay, go!\A present to Utsutsu-chan for a good deed!\What?\and be with you.\We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again!\I was so happy... response:	What's the matter?
context: A present to Utsutsu-chan for a good deed!\What?\and be with you.\We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again!\I was so happy...\What's the matter? response:	O-Origami.
context: What?\and be with you.\We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again!\I was so happy...\What's the matter?\O-Origami. response:	I'm happy now that I was born,
context: and be with you.\We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again!\I was so happy...\What's the matter?\O-Origami.\I'm happy now that I was born, response:	because I was able to meet you.
context: We had a lot of fun today, Utsutsu-chan!\What?\Let's play hide-and-seek together again!\I was so happy...\What's the matter?\O-Origami.\I'm happy now that I was born,\because I was able to meet you. response:	But I'm still just me.
context: What?\Let's play hide-and-seek together again!\I was so happy...\What's the matter?\O-Origami.\I'm happy now that I was born,\because I was able to meet you.\But I'm still just me. response:	Go, Bird!
context: Let's play hide-and-seek together again!\I was so happy...\What's the matter?\O-Origami.\I'm happy now that I was born,\because I was able to meet you.\But I'm still just me.\Go, Bird! response:	That's okay, right?
context: I was so happy...\What's the matter?\O-Origami.\I'm happy now that I was born,\because I was able to meet you.\But I'm still just me.\Go, Bird!\That's okay, right? response:	You told me it was...
context: What's the matter?\O-Origami.\I'm happy now that I was born,\because I was able to meet you.\But I'm still just me.\Go, Bird!\That's okay, right?\You told me it was... response:	I'm the leader, Paiman.
context: O-Origami.\I'm happy now that I was born,\because I was able to meet you.\But I'm still just me.\Go, Bird!\That's okay, right?\You told me it was...\I'm the leader, Paiman. response:	Hey, Newbie.
context: I'm happy now that I was born,\because I was able to meet you.\But I'm still just me.\Go, Bird!\That's okay, right?\You told me it was...\I'm the leader, Paiman.\Hey, Newbie. response:	You were trouble from the very beginning.
context: because I was able to meet you.\But I'm still just me.\Go, Bird!\That's okay, right?\You told me it was...\I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning. response:	I was always scolding you.
context: But I'm still just me.\Go, Bird!\That's okay, right?\You told me it was...\I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you. response:	I thought that you didn't take Gatchaman duties seriously enough.
context: Go, Bird!\That's okay, right?\You told me it was...\I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough. response:	I thought you were a disappointment.
context: That's okay, right?\You told me it was...\I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment. response:	But...
context: You told me it was...\I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But... response:	you had already noticed from early on
context: I'm the leader, Paiman.\Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But...\you had already noticed from early on response:	that I was always running.
context: Hey, Newbie.\You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But...\you had already noticed from early on\that I was always running. response:	You knew that I was clinging
context: You were trouble from the very beginning.\I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But...\you had already noticed from early on\that I was always running.\You knew that I was clinging response:	to the god-like JJ-sama, because he was insurance
context: I was always scolding you.\I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But...\you had already noticed from early on\that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance response:	against my own fear and pathetic indecisiveness.
context: I thought that you didn't take Gatchaman duties seriously enough.\I thought you were a disappointment.\But...\you had already noticed from early on\that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness. response:	I was caving in under the pressure of being the leader.
context: I thought you were a disappointment.\But...\you had already noticed from early on\that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader. response:	I knew I must not run.
context: But...\you had already noticed from early on\that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run. response:	I knew I must make a decision.
context: you had already noticed from early on\that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision. response:	But, I just couldn't muster the confidence...
context: that I was always running.\You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence... response:	I was a failure as the leader.
context: You knew that I was clinging\to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader. response:	But you said...
context: to the god-like JJ-sama, because he was insurance\against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said... response:	That's not true!
context: against my own fear and pathetic indecisiveness.\I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said...\That's not true! response:	If you need to run,
context: I was caving in under the pressure of being the leader.\I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said...\That's not true!\If you need to run, response:	you should run the best you can!
context: I knew I must not run.\I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said...\That's not true!\If you need to run,\you should run the best you can! response:	Then you can just take your time to think.
context: I knew I must make a decision.\But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said...\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think. response:	I was shocked.
context: But, I just couldn't muster the confidence...\I was a failure as the leader.\But you said...\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\I was shocked. response:	Pai-Pai.
context: I was a failure as the leader.\But you said...\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\I was shocked.\Pai-Pai. response:	Most things in life are unexpected.
context: But you said...\That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\I was shocked.\Pai-Pai.\Most things in life are unexpected. response:	You were totally right.
context: That's not true!\If you need to run,\you should run the best you can!\Then you can just take your time to think.\I was shocked.\Pai-Pai.\Most things in life are unexpected.\You were totally right. response:	I began to think for myself.
context: If you need to run,\you should run the best you can!\Then you can just take your time to think.\I was shocked.\Pai-Pai.\Most things in life are unexpected.\You were totally right.\I began to think for myself. response:	I began to face who I was: a pathetic loser.
context: you should run the best you can!\Then you can just take your time to think.\I was shocked.\Pai-Pai.\Most things in life are unexpected.\You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser. response:	That was when I finally realized
context: Then you can just take your time to think.\I was shocked.\Pai-Pai.\Most things in life are unexpected.\You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized response:	what you had been asking of me...
context: I was shocked.\Pai-Pai.\Most things in life are unexpected.\You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me... response:	what I really wanted to do.
context: Pai-Pai.\Most things in life are unexpected.\You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me...\what I really wanted to do. response:	I found myself repeating the words you'd said to me.
context: Most things in life are unexpected.\You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me. response:	Do you love this country?
context: You were totally right.\I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country? response:	Hey, Newbie.
context: I began to think for myself.\I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie. response:	Listen up.
context: I began to face who I was: a pathetic loser.\That was when I finally realized\what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie.\Listen up. response:	I'll only say it once.
context: That was when I finally realized\what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie.\Listen up.\I'll only say it once. response:	You're the first human to understand how I felt.
context: what you had been asking of me...\what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie.\Listen up.\I'll only say it once.\You're the first human to understand how I felt. response:	I...
context: what I really wanted to do.\I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie.\Listen up.\I'll only say it once.\You're the first human to understand how I felt.\I... response:	I am the leader...
context: I found myself repeating the words you'd said to me.\Do you love this country?\Hey, Newbie.\Listen up.\I'll only say it once.\You're the first human to understand how I felt.\I...\I am the leader... response:	of the Gatchaman, protectors of this planet!
context: Do you love this country?\Hey, Newbie.\Listen up.\I'll only say it once.\You're the first human to understand how I felt.\I...\I am the leader...\of the Gatchaman, protectors of this planet! response:	Berg-Katze is nothing to fear!
context: Hey, Newbie.\Listen up.\I'll only say it once.\You're the first human to understand how I felt.\I...\I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear! response:	Bow down before my courageous wings!
context: Listen up.\I'll only say it once.\You're the first human to understand how I felt.\I...\I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings! response:	Go, Bird!
context: I'll only say it once.\You're the first human to understand how I felt.\I...\I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird! response:	Bite and Build!
context: You're the first human to understand how I felt.\I...\I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird!\Bite and Build! response:	Transform!
context: I...\I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird!\Bite and Build!\Transform! response:	You're so cool, Panda Man!
context: I am the leader...\of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird!\Bite and Build!\Transform!\You're so cool, Panda Man! response:	Run, kids!
context: of the Gatchaman, protectors of this planet!\Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird!\Bite and Build!\Transform!\You're so cool, Panda Man!\Run, kids! response:	Okay!
context: Berg-Katze is nothing to fear!\Bow down before my courageous wings!\Go, Bird!\Bite and Build!\Transform!\You're so cool, Panda Man!\Run, kids!\Okay! response:	All right, I'm heading out.
context: Bow down before my courageous wings!\Go, Bird!\Bite and Build!\Transform!\You're so cool, Panda Man!\Run, kids!\Okay!\All right, I'm heading out. response:	Miss, when I met you,
context: Go, Bird!\Bite and Build!\Transform!\You're so cool, Panda Man!\Run, kids!\Okay!\All right, I'm heading out.\Miss, when I met you, response:	I thought of myself as a little shit.
context: Bite and Build!\Transform!\You're so cool, Panda Man!\Run, kids!\Okay!\All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit. response:	After meeting JJ and many other aliens,
context: Transform!\You're so cool, Panda Man!\Run, kids!\Okay!\All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens, response:	I felt we had such a small existence.
context: You're so cool, Panda Man!\Run, kids!\Okay!\All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence. response:	I thought of you as a useless newbie, too.
context: Run, kids!\Okay!\All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too. response:	I thought there was nothing for us to reach an understanding on.
context: Okay!\All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on. response:	But...
context: All right, I'm heading out.\Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But... response:	you weren't an average Jane.
context: Miss, when I met you,\I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane. response:	I wondered if you might be someone extraordinary.
context: I thought of myself as a little shit.\After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane.\I wondered if you might be someone extraordinary. response:	But I didn't want to accept that.
context: After meeting JJ and many other aliens,\I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that. response:	Achieving world peace?
context: I felt we had such a small existence.\I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace? response:	I had started to give up on my goal as being too naive.
context: I thought of you as a useless newbie, too.\I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive. response:	Oh, it's MESSY-chan!
context: I thought there was nothing for us to reach an understanding on.\But...\you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan! response:	All right!
context: But...\you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right! response:	Okay!
context: you weren't an average Jane.\I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right!\Okay! response:	But you continued to believe and pressed on.
context: I wondered if you might be someone extraordinary.\But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right!\Okay!\But you continued to believe and pressed on. response:	Utsutsu?
context: But I didn't want to accept that.\Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right!\Okay!\But you continued to believe and pressed on.\Utsutsu? response:	Doing that will kill you!
context: Achieving world peace?\I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right!\Okay!\But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you! response:	I want to save them!
context: I had started to give up on my goal as being too naive.\Oh, it's MESSY-chan!\All right!\Okay!\But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you!\I want to save them! response:	You know that, right?
context: Oh, it's MESSY-chan!\All right!\Okay!\But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you!\I want to save them!\You know that, right? response:	But I want to save them!
context: All right!\Okay!\But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you!\I want to save them!\You know that, right?\But I want to save them! response:	You set all of our hearts on fire,
context: Okay!\But you continued to believe and pressed on.\Utsutsu?\Doing that will kill you!\I want to save them!\You know that, right?\But I want to save them!\You set all of our hearts on fire, response:	in a big red blaze.
