context: Natsu, why are you here? response:	Don't go scarin' me like that.
context: They're dieing!\Black Wizard.\Is that his magic?\You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong. response:	Yeah...
context: Black Wizard.\Is that his magic?\You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah... response:	I wanted to meet you, Natsu...
context: Is that his magic?\You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu... response:	Who are you?!
context: You don't see that every day.\What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu...\Who are you?! response:	He punched him!
context: What the hell is he?\I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu...\Who are you?!\He punched him! response:	Right off the bat!
context: I don't know who you are, but this island belongs to our guild!\Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu...\Who are you?!\He punched him!\Right off the bat! response:	Figured that's what he'd do.
context: Don't go bustin' in on our exam!\You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu...\Who are you?!\He punched him!\Right off the bat!\Figured that's what he'd do. response:	I see...
context: You've... grown up nice and strong.\Yeah...\I wanted to meet you, Natsu...\Who are you?!\He punched him!\Right off the bat!\Figured that's what he'd do.\I see... response:	You're not ready yet...
context: Yeah...\I wanted to meet you, Natsu...\Who are you?!\He punched him!\Right off the bat!\Figured that's what he'd do.\I see...\You're not ready yet... response:	Natsu, you can't yet...
context: I wanted to meet you, Natsu...\Who are you?!\He punched him!\Right off the bat!\Figured that's what he'd do.\I see...\You're not ready yet...\Natsu, you can't yet... response:	I don't know you.
context: Who are you?!\He punched him!\Right off the bat!\Figured that's what he'd do.\I see...\You're not ready yet...\Natsu, you can't yet...\I don't know you. response:	State your name!
context: He punched him!\Right off the bat!\Figured that's what he'd do.\I see...\You're not ready yet...\Natsu, you can't yet...\I don't know you.\State your name! response:	Even though I don't want to kill anyone anymore...
context: Right off the bat!\Figured that's what he'd do.\I see...\You're not ready yet...\Natsu, you can't yet...\I don't know you.\State your name!\Even though I don't want to kill anyone anymore... response:	But your were the only one who could have stopped me, Natsu...
context: Figured that's what he'd do.\I see...\You're not ready yet...\Natsu, you can't yet...\I don't know you.\State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu... response:	It's too soon?
context: I see...\You're not ready yet...\Natsu, you can't yet...\I don't know you.\State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon? response:	H-He's crying...
context: You're not ready yet...\Natsu, you can't yet...\I don't know you.\State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying... response:	This guy takes creepy to a whole new level.
context: Natsu, you can't yet...\I don't know you.\State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying...\This guy takes creepy to a whole new level. response:	R-Run!
context: I don't know you.\State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying...\This guy takes creepy to a whole new level.\R-Run! response:	Again!
context: State your name!\Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying...\This guy takes creepy to a whole new level.\R-Run!\Again! response:	It's that black wave from before!
context: Even though I don't want to kill anyone anymore...\But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying...\This guy takes creepy to a whole new level.\R-Run!\Again!\It's that black wave from before! response:	That's magic that steals away life!
context: But your were the only one who could have stopped me, Natsu...\It's too soon?\H-He's crying...\This guy takes creepy to a whole new level.\R-Run!\Again!\It's that black wave from before!\That's magic that steals away life! response:	Natsu!
context: It's too soon?\H-He's crying...\This guy takes creepy to a whole new level.\R-Run!\Again!\It's that black wave from before!\That's magic that steals away life!\Natsu! response:	All of you get away from here!
context: H-He's crying...\This guy takes creepy to a whole new level.\R-Run!\Again!\It's that black wave from before!\That's magic that steals away life!\Natsu!\All of you get away from here! response:	Natsu!
context: This guy takes creepy to a whole new level.\R-Run!\Again!\It's that black wave from before!\That's magic that steals away life!\Natsu!\All of you get away from here!\Natsu! response:	Fool, don't go there!
context: R-Run!\Again!\It's that black wave from before!\That's magic that steals away life!\Natsu!\All of you get away from here!\Natsu!\Fool, don't go there! response:	What the hell... Damn it.
context: Again!\It's that black wave from before!\That's magic that steals away life!\Natsu!\All of you get away from here!\Natsu!\Fool, don't go there!\What the hell... Damn it. response:	Natsu!
context: It's that black wave from before!\That's magic that steals away life!\Natsu!\All of you get away from here!\Natsu!\Fool, don't go there!\What the hell... Damn it.\Natsu! response:	I'm fine... But he...
context: That's magic that steals away life!\Natsu!\All of you get away from here!\Natsu!\Fool, don't go there!\What the hell... Damn it.\Natsu!\I'm fine... But he... response:	Disappeared?
context: Natsu!\All of you get away from here!\Natsu!\Fool, don't go there!\What the hell... Damn it.\Natsu!\I'm fine... But he...\Disappeared? response:	What just happened?
context: All of you get away from here!\Natsu!\Fool, don't go there!\What the hell... Damn it.\Natsu!\I'm fine... But he...\Disappeared?\What just happened? response:	Natsu, what's wrong?
context: Natsu!\Fool, don't go there!\What the hell... Damn it.\Natsu!\I'm fine... But he...\Disappeared?\What just happened?\Natsu, what's wrong? response:	Your scarf!
context: Fool, don't go there!\What the hell... Damn it.\Natsu!\I'm fine... But he...\Disappeared?\What just happened?\Natsu, what's wrong?\Your scarf! response:	It's turned black.
context: What the hell... Damn it.\Natsu!\I'm fine... But he...\Disappeared?\What just happened?\Natsu, what's wrong?\Your scarf!\It's turned black. response:	How dare you do that to this scarf I got from Igneel!
context: Natsu!\I'm fine... But he...\Disappeared?\What just happened?\Natsu, what's wrong?\Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel! response:	Maybe Igneel's scarf took the brunt of it to protect Natsu...
context: I'm fine... But he...\Disappeared?\What just happened?\Natsu, what's wrong?\Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu... response:	I'm going to continue being rejected by the world again...
context: Disappeared?\What just happened?\Natsu, what's wrong?\Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again... response:	This magical power... This pressure...
context: What just happened?\Natsu, what's wrong?\Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure... response:	Is it him? Is he here on this island?
context: Natsu, what's wrong?\Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island? response:	At the same time, a new danger is fast approaching Tenroujima.
context: Your scarf!\It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima. response:	Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...
context: It's turned black.\How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds... response:	Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.
context: How dare you do that to this scarf I got from Igneel!\Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously. response:	We've finally found you... Seems like you're still asleep, though.
context: Maybe Igneel's scarf took the brunt of it to protect Natsu...\I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though. response:	I believe the time has come, Master Hades.
context: I'm going to continue being rejected by the world again...\This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades. response:	That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,
context: This magical power... This pressure...\Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons, response:	and plunged the world into chaos.
context: Is it him? Is he here on this island?\At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos. response:	The most powerful, and most evil man in the history of the Magic World...
context: At the same time, a new danger is fast approaching Tenroujima.\Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World... response:	The Black Wizard Zeref!
context: Grimoire Heart, one corner of the Baram Alliance, the strongest power among the Dark Guilds...\Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref! response:	Has the day finally come when I can reach out and touch the deepest depths of magic?
context: Among them can be seen the figure of Ultear, once an aide to Jellal who has fought Natsu and the others previously.\We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic? response:	Begin!
context: We've finally found you... Seems like you're still asleep, though.\I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin! response:	Change course to head to the fairy's island.
context: I believe the time has come, Master Hades.\That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island. response:	Black...
context: That man stepped forth on this land long ago, perfected Black Magic, gave birth to countless demons,\and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island.\Black... response:	How dare that bastard do this to Igneel's scarf!
context: and plunged the world into chaos.\The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf! response:	Natsu...
context: The most powerful, and most evil man in the history of the Magic World...\The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf!\Natsu... response:	How can I wear a black scarf with dark clothes?!
context: The Black Wizard Zeref!\Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?! response:	That's a fashion faux pas!
context: Has the day finally come when I can reach out and touch the deepest depths of magic?\Begin!\Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas! response:	He's picky about his coordination?
context: Begin!\Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination? response:	Who'd a thunk it.
context: Change course to head to the fairy's island.\Black...\How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it. response:	So then, what about the exam?
context: Black...\How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam? response:	With that freaky guy wandering around, it's no time for tests, yeah.
context: How dare that bastard do this to Igneel's scarf!\Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah. response:	Yeah...
context: Natsu...\How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah... response:	It's most definitely the time for that!
context: How can I wear a black scarf with dark clothes?!\That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that! response:	As a Man, I will not back away from this exam!
context: That's a fashion faux pas!\He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam! response:	I promised Gildarts!
context: He's picky about his coordination?\Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts! response:	And I am my big sister's little brother!
context: Who'd a thunk it.\So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother! response:	I've got a duty to become S class!
context: So then, what about the exam?\With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class! response:	He really was freaky...
context: With that freaky guy wandering around, it's no time for tests, yeah.\Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky... response:	He cried all of a sudden, and killed those trees...
context: Yeah...\It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees... response:	Natsu, you sure have a lot of weird friends!
context: It's most definitely the time for that!\As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends! response:	He ain't my friend!
context: As a Man, I will not back away from this exam!\I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend! response:	But he didn't seem like he wanted to be your enemy.
context: I promised Gildarts!\And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy. response:	I give up.
context: And I am my big sister's little brother!\I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up. response:	Continue on with the exam!
context: I've got a duty to become S class!\He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam! response:	Aye, sir!
context: He really was freaky...\He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam!\Aye, sir! response:	Okay! Let's go, Evergreen!
context: He cried all of a sudden, and killed those trees...\Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen! response:	I thought I told you not to order me around!
context: Natsu, you sure have a lot of weird friends!\He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around! response:	He's here on this island.
context: He ain't my friend!\But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island. response:	Should I return and report this at once? No...
context: But he didn't seem like he wanted to be your enemy.\I give up.\Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No... response:	First I've got to make sure of the situation.
context: I give up.\Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation. response:	Has the time finally come?
context: Continue on with the exam!\Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come? response:	The day the legendary Black Wizard Zeref is resurrected...
context: Aye, sir!\Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected... response:	All the necessary keys already lie in our hands.
context: Okay! Let's go, Evergreen!\I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands. response:	We will awake something from within Zeref.
context: I thought I told you not to order me around!\He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref. response:	But there is one problem.
context: He's here on this island.\Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem. response:	The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...
context: Should I return and report this at once? No...\First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail... response:	One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.
context: First I've got to make sure of the situation.\Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance. response:	Some of the most powerful members of that guild are currently gathered on that island.
context: Has the time finally come?\The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island. response:	What?! What?! They ain't nothing!
context: The day the legendary Black Wizard Zeref is resurrected...\All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing! response:	Guys like those...
context: All the necessary keys already lie in our hands.\We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those... response:	Suffocatingly hot as usual, Zancrow.
context: We will awake something from within Zeref.\But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow. response:	One should not underestimate the enemy.
context: But there is one problem.\The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy. response:	It was for this day that I was bahrn.
context: The Wizards' Guild in Fiore Kingdom that currently holds the strongest position, Fairy Tail...\One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn. response:	I concur, Capricorn.
context: One of the guilds that did in Oracion Seis, one of the members of the Baram Alliance.\Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn. response:	Let loose our desire.
context: Some of the most powerful members of that guild are currently gathered on that island.\What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire. response:	This will be an all-out war for our guild.
context: What?! What?! They ain't nothing!\Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild. response:	Shudder, shards of ourselves...
context: Guys like those...\Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves... response:	You're speaking too fast!
context: Suffocatingly hot as usual, Zancrow.\One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast! response:	I will now explain what Hikaru just said.
context: One should not underestimate the enemy.\It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said. response:	I feel that way myself.
context: It was for this day that I was bahrn.\I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself. response:	And now I will decipher what Rustyrose said.
context: I concur, Capricorn.\Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said. response:	Desire is to want, and shard means heart.
context: Let loose our desire.\This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart. response:	Meldy, can you fight?
context: This will be an all-out war for our guild.\Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight? response:	I will fight.
context: Shudder, shards of ourselves...\You're speaking too fast!\I will now explain what Hikaru just said.\I feel that way myself.\And now I will decipher what Rustyrose said.\Desire is to want, and shard means heart.\Meldy, can you fight?\I will fight. response:	Interesting... This is quite interesting!
