context: Where is this? response:	The spot where a giant demon known as Ryukotsusei was sealed.
context: But I don't know just how he did it.\Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga? response:	Don't you smell it, guys?
context: Hmm...\Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga?\Don't you smell it, guys? response:	Smell?
context: Imagine that Inuyasha defeating Ryukotsusei.\It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga?\Don't you smell it, guys?\Smell? response:	Do I smell cats?
context: It took everything in your father's power to put Ryukotsusei under seal.\And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga?\Don't you smell it, guys?\Smell?\Do I smell cats? response:	They don't come from around here.
context: And that Inuyasha...\Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga?\Don't you smell it, guys?\Smell?\Do I smell cats?\They don't come from around here. response:	Why've they come?
context: Oh, don't leave me, Lord Sesshomaru!\Huh?\What's the matter, Koga?\Don't you smell it, guys?\Smell?\Do I smell cats?\They don't come from around here.\Why've they come? response:	Who cares?
context: Huh?\What's the matter, Koga?\Don't you smell it, guys?\Smell?\Do I smell cats?\They don't come from around here.\Why've they come?\Who cares? response:	- Hey... Koga! - You gonna just let'em go?
context: What's the matter, Koga?\Don't you smell it, guys?\Smell?\Do I smell cats?\They don't come from around here.\Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go? response:	Got that right. It'll be more trouble if we get involved.
context: Don't you smell it, guys?\Smell?\Do I smell cats?\They don't come from around here.\Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved. response:	Well, yeah...
context: Smell?\Do I smell cats?\They don't come from around here.\Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah... response:	I guess it's none of our business.
context: Do I smell cats?\They don't come from around here.\Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business. response:	W-Wha...!
context: They don't come from around here.\Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business.\W-Wha...! response:	Huh?!
context: Why've they come?\Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business.\W-Wha...!\Huh?! response:	It couldn't be them!
context: Who cares?\- Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business.\W-Wha...!\Huh?!\It couldn't be them! response:	She's late!
context: - Hey... Koga! - You gonna just let'em go?\Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business.\W-Wha...!\Huh?!\It couldn't be them!\She's late! response:	She really is late.
context: Got that right. It'll be more trouble if we get involved.\Well, yeah...\I guess it's none of our business.\W-Wha...!\Huh?!\It couldn't be them!\She's late!\She really is late. response:	It's been three days already!
context: Well, yeah...\I guess it's none of our business.\W-Wha...!\Huh?!\It couldn't be them!\She's late!\She really is late.\It's been three days already! response:	Where are you going, Inuyasha?!
context: I guess it's none of our business.\W-Wha...!\Huh?!\It couldn't be them!\She's late!\She really is late.\It's been three days already!\Where are you going, Inuyasha?! response:	Isn't it obvious? I'm gonna go get Kagome!
context: W-Wha...!\Huh?!\It couldn't be them!\She's late!\She really is late.\It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome! response:	There!
context: Huh?!\It couldn't be them!\She's late!\She really is late.\It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There! response:	I'm home, Gramps!
context: It couldn't be them!\She's late!\She really is late.\It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps! response:	Oh, it's you, Inuyasha!
context: She's late!\She really is late.\It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps!\Oh, it's you, Inuyasha! response:	Where's Kagome?
context: She really is late.\It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome? response:	Still at school, I think.
context: It's been three days already!\Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think. response:	She should be home soon.
context: Where are you going, Inuyasha?!\Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think.\She should be home soon. response:	See you!
context: Isn't it obvious? I'm gonna go get Kagome!\There!\I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think.\She should be home soon.\See you! response:	Bye-bye!
context: There!\I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think.\She should be home soon.\See you!\Bye-bye! response:	Take that! And that!
context: I'm home, Gramps!\Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think.\She should be home soon.\See you!\Bye-bye!\Take that! And that! response:	I'm home!
context: Oh, it's you, Inuyasha!\Where's Kagome?\Still at school, I think.\She should be home soon.\See you!\Bye-bye!\Take that! And that!\I'm home! response:	She's home!
context: Where's Kagome?\Still at school, I think.\She should be home soon.\See you!\Bye-bye!\Take that! And that!\I'm home!\She's home! response:	Yo!
context: Still at school, I think.\She should be home soon.\See you!\Bye-bye!\Take that! And that!\I'm home!\She's home!\Yo! response:	Hey! What're you doing here?
context: She should be home soon.\See you!\Bye-bye!\Take that! And that!\I'm home!\She's home!\Yo!\Hey! What're you doing here? response:	What's wrong? I just came for you.
context: See you!\Bye-bye!\Take that! And that!\I'm home!\She's home!\Yo!\Hey! What're you doing here?\What's wrong? I just came for you. response:	You didn't have to.
context: Bye-bye!\Take that! And that!\I'm home!\She's home!\Yo!\Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to. response:	I had ta!
context: Take that! And that!\I'm home!\She's home!\Yo!\Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to.\I had ta! response:	How long're you planning to stay here?!
context: I'm home!\She's home!\Yo!\Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to.\I had ta!\How long're you planning to stay here?! response:	I was back there for so long! Give me a break!
context: She's home!\Yo!\Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to.\I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break! response:	Get ready and let's go!
context: Yo!\Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to.\I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go! response:	Huh?! Right now?
context: Hey! What're you doing here?\What's wrong? I just came for you.\You didn't have to.\I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now? response:	Why don't you eat dinner first?
context: What's wrong? I just came for you.\You didn't have to.\I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first? response:	We can eat when we get back.
context: You didn't have to.\I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back. response:	We're having steak tonight.
context: I had ta!\How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight. response:	S-Steak?
context: How long're you planning to stay here?!\I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight.\S-Steak? response:	I see... Inuyasha went for her?
context: I was back there for so long! Give me a break!\Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight.\S-Steak?\I see... Inuyasha went for her? response:	That's a good thing. We need Kagome back.
context: Get ready and let's go!\Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight.\S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back. response:	I wish I could visit Kagome's home once.
context: Huh?! Right now?\Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight.\S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once. response:	Mister!
context: Why don't you eat dinner first?\We can eat when we get back.\We're having steak tonight.\S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister! response:	Huh?
context: We can eat when we get back.\We're having steak tonight.\S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister!\Huh? response:	Please help me, Mister!
context: We're having steak tonight.\S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister!\Huh?\Please help me, Mister! response:	It's old Raccoon Dog!
context: S-Steak?\I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister!\Huh?\Please help me, Mister!\It's old Raccoon Dog! response:	Oh, Hachi!
context: I see... Inuyasha went for her?\That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister!\Huh?\Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi! response:	What're you doing in these parts?
context: That's a good thing. We need Kagome back.\I wish I could visit Kagome's home once.\Mister!\Huh?\Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts? response:	Well... I had no choice, but to hide in human territory.
context: I wish I could visit Kagome's home once.\Mister!\Huh?\Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory. response:	It's them, from the west.
context: Mister!\Huh?\Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west. response:	Can you talk sense?
context: Huh?\Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense? response:	Cats!
context: Please help me, Mister!\It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense?\Cats! response:	Cats?
context: It's old Raccoon Dog!\Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense?\Cats!\Cats? response:	The cat goblins are killing every demon in sight
context: Oh, Hachi!\What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense?\Cats!\Cats?\The cat goblins are killing every demon in sight response:	and searching for Sacred Jewel shards.
context: What're you doing in these parts?\Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense?\Cats!\Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards. response:	What?!
context: Well... I had no choice, but to hide in human territory.\It's them, from the west.\Can you talk sense?\Cats!\Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?! response:	I didn't want to get caught, so I escaped all the way here.
context: It's them, from the west.\Can you talk sense?\Cats!\Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here. response:	Just who are these goblins?
context: Can you talk sense?\Cats!\Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins? response:	I told you! Cats!
context: Cats!\Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats! response:	Not just any cat or cat goblin!
context: Cats?\The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin! response:	It's not getting any clearer.
context: The cat goblins are killing every demon in sight\and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer. response:	We just better get away first!
context: and searching for Sacred Jewel shards.\What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first! response:	Miroku?
context: What?!\I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first!\Miroku? response:	Huh?
context: I didn't want to get caught, so I escaped all the way here.\Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first!\Miroku?\Huh? response:	I understand there's a priestess in this village.
context: Just who are these goblins?\I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first!\Miroku?\Huh?\I understand there's a priestess in this village. response:	Heee...!
context: I told you! Cats!\Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first!\Miroku?\Huh?\I understand there's a priestess in this village.\Heee...! response:	Isn't this where the priestess lives?
context: Not just any cat or cat goblin!\It's not getting any clearer.\We just better get away first!\Miroku?\Huh?\I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives? response:	You have business with me?
context: It's not getting any clearer.\We just better get away first!\Miroku?\Huh?\I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives?\You have business with me? response:	Huh?
context: We just better get away first!\Miroku?\Huh?\I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives?\You have business with me?\Huh? response:	Aghh?!
context: Miroku?\Huh?\I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives?\You have business with me?\Huh?\Aghh?! response:	No, you're not her!
context: Huh?\I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives?\You have business with me?\Huh?\Aghh?!\No, you're not her! response:	Someone much younger, wearing something skimpier.
context: I understand there's a priestess in this village.\Heee...!\Isn't this where the priestess lives?\You have business with me?\Huh?\Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier. response:	Could she mean Kagome?
context: Heee...!\Isn't this where the priestess lives?\You have business with me?\Huh?\Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome? response:	Mister! Mister!
context: Isn't this where the priestess lives?\You have business with me?\Huh?\Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister! response:	Miroku! Miroku!
context: You have business with me?\Huh?\Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister!\Miroku! Miroku! response:	What's the matter?
context: Huh?\Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister!\Miroku! Miroku!\What's the matter? response:	Cats! The smell of cats!
context: Aghh?!\No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister!\Miroku! Miroku!\What's the matter?\Cats! The smell of cats! response:	Huh?
context: No, you're not her!\Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister!\Miroku! Miroku!\What's the matter?\Cats! The smell of cats!\Huh? response:	It's them!
context: Someone much younger, wearing something skimpier.\Could she mean Kagome?\Mister! Mister!\Miroku! Miroku!\What's the matter?\Cats! The smell of cats!\Huh?\It's them! response:	The cat goblins from the West!
context: Could she mean Kagome?\Mister! Mister!\Miroku! Miroku!\What's the matter?\Cats! The smell of cats!\Huh?\It's them!\The cat goblins from the West! response:	Cat goblins?
context: Mister! Mister!\Miroku! Miroku!\What's the matter?\Cats! The smell of cats!\Huh?\It's them!\The cat goblins from the West!\Cat goblins? response:	Don't just lump us with common cats!
context: Miroku! Miroku!\What's the matter?\Cats! The smell of cats!\Huh?\It's them!\The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats! response:	What do demons want here?
context: What's the matter?\Cats! The smell of cats!\Huh?\It's them!\The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats!\What do demons want here? response:	We want the Sacred Jewel shards.
context: Cats! The smell of cats!\Huh?\It's them!\The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards. response:	Hand them over!
context: Huh?\It's them!\The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards.\Hand them over! response:	That we cannot do!
context: It's them!\The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards.\Hand them over!\That we cannot do! response:	Besides, we don't have any shards here!
context: The cat goblins from the West!\Cat goblins?\Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards.\Hand them over!\That we cannot do!\Besides, we don't have any shards here! response:	Hmm... So where is this priestess?
context: Cat goblins?\Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards.\Hand them over!\That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess? response:	We don't have to answer that.
context: Don't just lump us with common cats!\What do demons want here?\We want the Sacred Jewel shards.\Hand them over!\That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that. response:	Go!
context: What do demons want here?\We want the Sacred Jewel shards.\Hand them over!\That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that.\Go! response:	Retreat!
context: We want the Sacred Jewel shards.\Hand them over!\That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that.\Go!\Retreat! response:	I guess the priestess isn't here right now.
context: Hand them over!\That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that.\Go!\Retreat!\I guess the priestess isn't here right now. response:	We'll be back.
context: That we cannot do!\Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that.\Go!\Retreat!\I guess the priestess isn't here right now.\We'll be back. response:	Huh? Did they run away?
context: Besides, we don't have any shards here!\Hmm... So where is this priestess?\We don't have to answer that.\Go!\Retreat!\I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away? response:	They'll be back.
context: Hmm... So where is this priestess?\We don't have to answer that.\Go!\Retreat!\I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away?\They'll be back. response:	Good thing Kagome had gone back home.
context: We don't have to answer that.\Go!\Retreat!\I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home. response:	It may be better if she stays away a bit longer.
context: Go!\Retreat!\I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer. response:	But Inuyasha went to get her.
context: Retreat!\I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her. response:	Take this and... take that!
context: I guess the priestess isn't here right now.\We'll be back.\Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that! response:	That's enough teasing of the cat.
context: We'll be back.\Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat. response:	I'm just playing with it.
context: Huh? Did they run away?\They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it. response:	Buyo doesn't think so. That's why she scratched you.
context: They'll be back.\Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you. response:	A cat's wrath is frightening.
context: Good thing Kagome had gone back home.\It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening. response:	Whaddya mean?
context: It may be better if she stays away a bit longer.\But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean? response:	They say a cat's curse lasts seven generations.
context: But Inuyasha went to get her.\Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations. response:	A cat's vengeance runs deep.
context: Take this and... take that!\That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep. response:	Take this! And that!
context: That's enough teasing of the cat.\I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that! response:	Hey! What are you doing, Inuyasha?!
context: I'm just playing with it.\Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?! response:	Sit!
context: Buyo doesn't think so. That's why she scratched you.\A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit! response:	Dinnertime!
context: A cat's wrath is frightening.\Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime! response:	Why not spend the night?
context: Whaddya mean?\They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime!\Why not spend the night? response:	Inuyasha, you can sleep with me!
context: They say a cat's curse lasts seven generations.\A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me! response:	And?
context: A cat's vengeance runs deep.\Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me!\And? response:	The Sacred Jewel shards are kept by some strange priestess.
context: Take this! And that!\Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess. response:	But she wasn't there.
context: Hey! What are you doing, Inuyasha?!\Sit!\Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there. response:	And some fellas interfered.
context: Sit!\Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered. response:	Can you come with me?
context: Dinnertime!\Why not spend the night?\Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered.\Can you come with me? response:	Go with her, Shunran.
context: Why not spend the night?\Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered.\Can you come with me?\Go with her, Shunran. response:	Sure.
context: Inuyasha, you can sleep with me!\And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered.\Can you come with me?\Go with her, Shunran.\Sure. response:	But what about you, Sis?
context: And?\The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered.\Can you come with me?\Go with her, Shunran.\Sure.\But what about you, Sis? response:	I know where he is, so I'll go see him.
context: The Sacred Jewel shards are kept by some strange priestess.\But she wasn't there.\And some fellas interfered.\Can you come with me?\Go with her, Shunran.\Sure.\But what about you, Sis?\I know where he is, so I'll go see him. response:	You sure about going alone?
context: But she wasn't there.\And some fellas interfered.\Can you come with me?\Go with her, Shunran.\Sure.\But what about you, Sis?\I know where he is, so I'll go see him.\You sure about going alone? response:	Leave it to me.
context: And some fellas interfered.\Can you come with me?\Go with her, Shunran.\Sure.\But what about you, Sis?\I know where he is, so I'll go see him.\You sure about going alone?\Leave it to me. response:	You give Karan a hand.
context: Can you come with me?\Go with her, Shunran.\Sure.\But what about you, Sis?\I know where he is, so I'll go see him.\You sure about going alone?\Leave it to me.\You give Karan a hand. response:	All right.
context: Go with her, Shunran.\Sure.\But what about you, Sis?\I know where he is, so I'll go see him.\You sure about going alone?\Leave it to me.\You give Karan a hand.\All right. response:	We'll meet next at the entrance to the valley.
context: Sure.\But what about you, Sis?\I know where he is, so I'll go see him.\You sure about going alone?\Leave it to me.\You give Karan a hand.\All right.\We'll meet next at the entrance to the valley. response:	Kagome, here. You okay?
