context: Your Holiness! response:	I-I can't believe it...
context: That huge thing curled up and solidified like a rock!\Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again.\Indeed. response:	But that's not all.
context: Could it be that the power\of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again.\Indeed.\But that's not all. response:	You answered my call, Old Osmond.
context: of His Holiness defeated the dragon?\I'm afraid not.\Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again.\Indeed.\But that's not all.\You answered my call, Old Osmond. response:	Yes. I'm sorry to have kept you waiting.
context: I'm afraid not.\Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again.\Indeed.\But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting. response:	What happened to His Holiness is a tragedy.
context: Its heart continues to beat.\I do not believe it is dead.\Which means it will soon rise again.\Indeed.\But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy. response:	Are you all right?
context: I do not believe it is dead.\Which means it will soon rise again.\Indeed.\But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right? response:	Yes.
context: Which means it will soon rise again.\Indeed.\But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right?\Yes. response:	Right now though, I'm focused on the Ancient Dragon.
context: Indeed.\But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon. response:	I believe that's what His Holiness would wish for as well.
context: But that's not all.\You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well. response:	I'm sure you're right.
context: You answered my call, Old Osmond.\Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right. response:	I suppose you summoned me because of this Ancient Dragon.
context: Yes. I'm sorry to have kept you waiting.\What happened to His Holiness is a tragedy.\Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon. response:	That's right, Old Osmond.
context: What happened to His Holiness is a tragedy.\Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond. response:	Will you tell us about the research you did along with your work at
context: Are you all right?\Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at response:	the Academy of Magic?
context: Yes.\Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic? response:	I see.
context: Right now though, I'm focused on the Ancient Dragon.\I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic?\I see. response:	It's still alive...
context: I believe that's what His Holiness would wish for as well.\I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic?\I see.\It's still alive... response:	Then I guess we'll just have to get him good next time!
context: I'm sure you're right.\I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic?\I see.\It's still alive...\Then I guess we'll just have to get him good next time! response:	We've got to avenge the Pope!
context: I suppose you summoned me because of this Ancient Dragon.\That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic?\I see.\It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope! response:	Right? Louise? Tiffa?
context: That's right, Old Osmond.\Will you tell us about the research you did along with your work at\the Academy of Magic?\I see.\It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa? response:	Y-Yes.
context: Will you tell us about the research you did along with your work at\the Academy of Magic?\I see.\It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes. response:	I'm really hungry!
context: the Academy of Magic?\I see.\It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes.\I'm really hungry! response:	Siesta, do we have anything to eat?
context: I see.\It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat? response:	Yes! I'll go heat up some soup right now.
context: It's still alive...\Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now. response:	Where are all the people from the academy?
context: Then I guess we'll just have to get him good next time!\We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy? response:	I heard they went back to Tristain.
context: We've got to avenge the Pope!\Right? Louise? Tiffa?\Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain. response:	Lukshana and her friend said
context: Right? Louise? Tiffa?\Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said response:	that they're returning to your mansion,
context: Y-Yes.\I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion, response:	so they're still here.
context: I'm really hungry!\Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion,\so they're still here. response:	I see.
context: Siesta, do we have anything to eat?\Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion,\so they're still here.\I see. response:	It will be a while before
context: Yes! I'll go heat up some soup right now.\Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion,\so they're still here.\I see.\It will be a while before response:	we can go back there, though.
context: Where are all the people from the academy?\I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion,\so they're still here.\I see.\It will be a while before\we can go back there, though. response:	Right, Louise?
context: I heard they went back to Tristain.\Lukshana and her friend said\that they're returning to your mansion,\so they're still here.\I see.\It will be a while before\we can go back there, though.\Right, Louise? response:	I-I'm going to go help Siesta.
context: Lukshana and her friend said\that they're returning to your mansion,\so they're still here.\I see.\It will be a while before\we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta. response:	O-Okay...
context: that they're returning to your mansion,\so they're still here.\I see.\It will be a while before\we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta.\O-Okay... response:	Louise?
context: so they're still here.\I see.\It will be a while before\we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta.\O-Okay...\Louise? response:	I couldn't watch anymore.
context: I see.\It will be a while before\we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta.\O-Okay...\Louise?\I couldn't watch anymore. response:	Saito didn't say a single thing about Derf.
context: It will be a while before\we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta.\O-Okay...\Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf. response:	But I know he's really sad.
context: we can go back there, though.\Right, Louise?\I-I'm going to go help Siesta.\O-Okay...\Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad. response:	That's probably because Saito's so strong
context: Right, Louise?\I-I'm going to go help Siesta.\O-Okay...\Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong response:	and trying his best to
context: I-I'm going to go help Siesta.\O-Okay...\Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong\and trying his best to response:	He doesn't have to be strong!
context: O-Okay...\Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong! response:	To be honest,
context: Louise?\I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong!\To be honest, response:	I wanted him to say that he could no longer fight without Derf.
context: I couldn't watch anymore.\Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf. response:	I wanted him to say he wouldn't use the power of LIfPrasir anymore.
context: Saito didn't say a single thing about Derf.\But I know he's really sad.\That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore. response:	I'm not blaming you, Tiffa!
context: But I know he's really sad.\That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa! response:	But I don't want to watch Saito whittle away his life any further...
context: That's probably because Saito's so strong\and trying his best to\He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further... response:	I don't want to lose him.
context: and trying his best to\He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him. response:	And that is all I have learned
context: He doesn't have to be strong!\To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned response:	about the Ancient Dragon through my studies.
context: To be honest,\I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies. response:	Which means Louise and Tiffania
context: I wanted him to say that he could no longer fight without Derf.\I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania response:	have even harder trials to get through.
context: I wanted him to say he wouldn't use the power of LIfPrasir anymore.\I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through. response:	I will speak more to those two about that later.
context: I'm not blaming you, Tiffa!\But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later. response:	Maybe the mistake was to face
context: But I don't want to watch Saito whittle away his life any further...\I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face response:	the dragon without the Four and Four being reunited.
context: I don't want to lose him.\And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited. response:	It is true that in the legend,
context: And that is all I have learned\about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend, response:	the dragon in the past was defeated by
context: about the Ancient Dragon through my studies.\Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by response:	the Four and Four.
context: Which means Louise and Tiffania\have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by\the Four and Four. response:	However, it does not say that nobody else can do anything.
context: have even harder trials to get through.\I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything. response:	Our culture has advanced much in the last 6,000 years.
context: I will speak more to those two about that later.\Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years. response:	Today, there are bonds in Halkeginia that transcend borders.
context: Maybe the mistake was to face\the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders. response:	It is perhaps possible that that's enough to cover
context: the dragon without the Four and Four being reunited.\It is true that in the legend,\the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover response:	for the incomplete Four and Four.
context: It is true that in the legend,\the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four. response:	Queen Charlotte, Tristain will raise all of her military resources
context: the dragon in the past was defeated by\the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources response:	to beat back this crisis.
context: the Four and Four.\However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis. response:	Will Gallia join us in this fight?
context: However, it does not say that nobody else can do anything.\Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight? response:	Of course.
context: Our culture has advanced much in the last 6,000 years.\Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight?\Of course. response:	Let us ask for the cooperation of Romalia
context: Today, there are bonds in Halkeginia that transcend borders.\It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia response:	and the other countries as well.
context: It is perhaps possible that that's enough to cover\for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia\and the other countries as well. response:	We will protect the future of Halkeginia
context: for the incomplete Four and Four.\Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia response:	with our own hands!
context: Queen Charlotte, Tristain will raise all of her military resources\to beat back this crisis.\Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia\with our own hands! response:	All the countries of Halkeginia have formed
context: to beat back this crisis.\Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed response:	an alliance to fight the Dragon?
context: Will Gallia join us in this fight?\Of course.\Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon? response:	Yes. I was chosen to lead the alliance.
context: Of course.\Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance. response:	But in order to fight the Ancient Dragon,
context: Let us ask for the cooperation of Romalia\and the other countries as well.\We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon, response:	the Void Mages are needed...
context: and the other countries as well.\We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed... response:	Louise, we were all born in Halkeginia.
context: We will protect the future of Halkeginia\with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia. response:	We were all nurtured by her.
context: with our own hands!\All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her. response:	We can't just stand by
context: All the countries of Halkeginia have formed\an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by response:	and do nothing when our world is in danger.
context: an alliance to fight the Dragon?\Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger. response:	If it raises the chances of defeating the dragon even a tiny bit,
context: Yes. I was chosen to lead the alliance.\But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit, response:	we will join the fight!
context: But in order to fight the Ancient Dragon,\the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight! response:	Your Majesty...
context: the Void Mages are needed...\Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty... response:	I will also fight with my life.
context: Louise, we were all born in Halkeginia.\We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty...\I will also fight with my life. response:	As someone who was born in Halkeginia,
context: We were all nurtured by her.\We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia, response:	I will offer myself completely to her.
context: We can't just stand by\and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her. response:	Thank you, Louise.
context: and do nothing when our world is in danger.\If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise. response:	Let's overcome this crisis.
context: If it raises the chances of defeating the dragon even a tiny bit,\we will join the fight!\Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis. response:	Come what may!
context: we will join the fight!\Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis.\Come what may! response:	Yes!
context: Your Majesty...\I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis.\Come what may!\Yes! response:	As someone who was born in Halkeginia,
context: I will also fight with my life.\As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis.\Come what may!\Yes!\As someone who was born in Halkeginia, response:	I will offer myself completely to her.
context: As someone who was born in Halkeginia,\I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis.\Come what may!\Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her. response:	I was born here, so that makes sense.
context: I will offer myself completely to her.\Thank you, Louise.\Let's overcome this crisis.\Come what may!\Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense. response:	But Saito...
context: Thank you, Louise.\Let's overcome this crisis.\Come what may!\Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense.\But Saito... response:	Saito wasn't born in this world.
context: Let's overcome this crisis.\Come what may!\Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world. response:	Can we actually involve him?
context: Come what may!\Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world.\Can we actually involve him? response:	Get ready to sortie!
context: Yes!\As someone who was born in Halkeginia,\I will offer myself completely to her.\I was born here, so that makes sense.\But Saito...\Saito wasn't born in this world.\Can we actually involve him?\Get ready to sortie! response:	We'll defeat the dragon!
