context: Sorry. response:	So? How much did you see?
context: Why is my heart beating so fast?\By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time! response:	What a magnificent tradition! Objections are not allowed!
context: By the way, Raku, have you heard about tonight's big event?\After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed! response:	Whaddya say? Doesn't that get you excited for tonight?
context: After we get back from the mountain, see, we'll be holding our usual test of courage.\Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight? response:	Wouldn't it be great if you could pair up with Onodera?
context: Test of courage? We're in high school now!\However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera? response:	Yeah, right! I'd never get that lucky!
context: However, this isn't an ordinary test of courage!\We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky! response:	If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?
context: We're pairing up boys and girls with a drawing.\But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it? response:	Who said I'd buy it?
context: But wait, there's more! One rule above all!\Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it? response:	How about 2,000 yen?
context: Each pair has to hold hands the whole time!\What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen? response:	Deal.
context: What a magnificent tradition! Objections are not allowed!\Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen?\Deal. response:	Episode 10: Lottery
context: Whaddya say? Doesn't that get you excited for tonight?\Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen?\Deal.\Episode 10: Lottery response:	Episode 10: Lottery
context: Wouldn't it be great if you could pair up with Onodera?\Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen?\Deal.\Episode 10: Lottery\Episode 10: Lottery response:	Episode 10: Lottery
context: Yeah, right! I'd never get that lucky!\If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen?\Deal.\Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery response:	So anyway,
context: If I happen to draw the ticket pairing me with Onodera, how much would you pay for it?\Who said I'd buy it?\How about 2,000 yen?\Deal.\Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery\So anyway, response:	whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?
context: Who said I'd buy it?\How about 2,000 yen?\Deal.\Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that? response:	Make sure? But I thought it was through a drawing...
context: How about 2,000 yen?\Deal.\Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing... response:	Use your willpower or something to make it happen!
context: Deal.\Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen! response:	That's outrageous.
context: Episode 10: Lottery\Episode 10: Lottery\Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous. response:	Look, Kosaki, are you going to let this field trip pass without making any progress?
context: Episode 10: Lottery\Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress? response:	It doesn't matter what you do, but unless you take the initiative,
context: Episode 10: Lottery\So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative, response:	nothing will change!
context: So anyway,\whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change! response:	Didn't you say that you were going to show more courage?
context: whatever you have to do, you'd better make sure you pair up with Ichijou-kun! Got that?\Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage? response:	But if I happen to draw his ticket,
context: Make sure? But I thought it was through a drawing...\Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket, response:	I'm giving it to you, so your odds just doubled.
context: Use your willpower or something to make it happen!\That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled. response:	You'd better pray that this works.
context: That's outrageous.\Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works. response:	Ruri-chan...
context: Look, Kosaki, are you going to let this field trip pass without making any progress?\It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan... response:	If you do pair up with him, all that's left is to overpower him in the dark!
context: It doesn't matter what you do, but unless you take the initiative,\nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark! response:	Ruri-chan!
context: nothing will change!\Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan! response:	Come on...
context: Didn't you say that you were going to show more courage?\But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on... response:	But if I...
context: But if I happen to draw his ticket,\I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on...\But if I... response:	If I really do get to pair up with him...
context: I'm giving it to you, so your odds just doubled.\You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on...\But if I...\If I really do get to pair up with him... response:	What will I do, I wonder?
context: You'd better pray that this works.\Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on...\But if I...\If I really do get to pair up with him...\What will I do, I wonder? response:	Oh, Ichijou-kun!
context: Ruri-chan...\If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on...\But if I...\If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun! response:	Right. Courage!
context: If you do pair up with him, all that's left is to overpower him in the dark!\Ruri-chan!\Come on...\But if I...\If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage! response:	G-Good morning, Ichijou-kun!
context: Ruri-chan!\Come on...\But if I...\If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun! response:	Did you sleep well last night?
context: Come on...\But if I...\If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night? response:	Hey, Onodera! Morning!
context: But if I...\If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning! response:	What's wrong?
context: If I really do get to pair up with him...\What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong? response:	What's wrong?
context: What will I do, I wonder?\Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong?\What's wrong? response:	What's wrong?
context: Oh, Ichijou-kun!\Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong?\What's wrong?\What's wrong? response:	U-Uh, nothing!
context: Right. Courage!\G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong?\What's wrong?\What's wrong?\U-Uh, nothing! response:	Hey, don't be late for assembly, Onodera!
context: G-Good morning, Ichijou-kun!\Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong?\What's wrong?\What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera! response:	Oh... right.
context: Did you sleep well last night?\Hey, Onodera! Morning!\What's wrong?\What's wrong?\What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right. response:	Oh, crap, this is bad!
context: Hey, Onodera! Morning!\What's wrong?\What's wrong?\What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad! response:	I keep flashing back to those scenes from last night, and I can't look her in the eye now!
context: What's wrong?\What's wrong?\What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now! response:	Huh? Is he avoiding me?
context: What's wrong?\What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me? response:	All right! Everybody, listen up!
context: What's wrong?\U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up! response:	We're beginning our annual test of courage!
context: U-Uh, nothing!\Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage! response:	You ready for this, punks?
context: Hey, don't be late for assembly, Onodera!\Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks? response:	Okay, we'll be here having a drink,
context: Oh... right.\Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink, response:	so out of respect for our students' autonomy...
context: Oh, crap, this is bad!\I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy... response:	Well, just do whatever and have a good time, okay?
context: I keep flashing back to those scenes from last night, and I can't look her in the eye now!\Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay? response:	Sensei, did you just...
context: Huh? Is he avoiding me?\All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just... response:	Test of courage, huh?
context: All right! Everybody, listen up!\We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh? response:	Oh, right, you're afraid of the dark.
context: We're beginning our annual test of courage!\You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark. response:	Hey, will you be all right? Don't cling to me the whole time, okay?
context: You ready for this, punks?\Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay? response:	I-I'll be fine, thank you! It's not like I'm going to be alone or anything.
context: Okay, we'll be here having a drink,\so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything. response:	I feel sorry for whoever gets stuck with you.
context: so out of respect for our students' autonomy...\Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you. response:	How strong's a gorilla's grip again?
context: Well, just do whatever and have a good time, okay?\Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again? response:	Want me to test it out on your noggin?
context: Sensei, did you just...\Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin? response:	Please don't. You'll break it.
context: Test of courage, huh?\Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it. response:	All right, ladies first! Please draw your tickets!
context: Oh, right, you're afraid of the dark.\Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets! response:	Well, here I go.
context: Hey, will you be all right? Don't cling to me the whole time, okay?\I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go. response:	All right, you're up next, boys!
context: I-I'll be fine, thank you! It's not like I'm going to be alone or anything.\I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys! response:	At last, the moment where my life meets fate!
context: I feel sorry for whoever gets stuck with you.\How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate! response:	Do I get to pair up with Onodera, or not?
context: How strong's a gorilla's grip again?\Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not? response:	Come to think of it, what number did she draw?
context: Want me to test it out on your noggin?\Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw? response:	Not that it'll do me any good, but it'd be nice to know.
context: Please don't. You'll break it.\All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know. response:	Ahem. Ahem. A-hem!
context: All right, ladies first! Please draw your tickets!\Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem! response:	Hey, so you drew a 12, huh, Kosaki?
context: Well, here I go.\All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki? response:	Kosaki drew a 12! Kosaki drew a 12!
context: All right, you're up next, boys!\At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki?\Kosaki drew a 12! Kosaki drew a 12! response:	Onodera drew a 12!
context: At last, the moment where my life meets fate!\Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki?\Kosaki drew a 12! Kosaki drew a 12!\Onodera drew a 12! response:	Okay, come on, 12!
context: Do I get to pair up with Onodera, or not?\Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki?\Kosaki drew a 12! Kosaki drew a 12!\Onodera drew a 12!\Okay, come on, 12! response:	Miyamoto? I don't know what's going on, but now I know the number!
context: Come to think of it, what number did she draw?\Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki?\Kosaki drew a 12! Kosaki drew a 12!\Onodera drew a 12!\Okay, come on, 12!\Miyamoto? I don't know what's going on, but now I know the number! response:	I see. Number 12! If I can just draw a 12...
context: Not that it'll do me any good, but it'd be nice to know.\Ahem. Ahem. A-hem!\Hey, so you drew a 12, huh, Kosaki?\Kosaki drew a 12! Kosaki drew a 12!\Onodera drew a 12!\Okay, come on, 12!\Miyamoto? I don't know what's going on, but now I know the number!\I see. Number 12! If I can just draw a 12... response:	Okay, who's next?
