context: placeholder for: Erm... response:	Kokoro
context: To You\Kuronuma!\How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups. response:	The mural and parade float groups are a little bit behind right now.
context: Kuronuma!\How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now. response:	I see.
context: How's the school festival prep coming along?\Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see. response:	Tell those slowpokes to get a move on! Overworking is required in youth!
context: Making progress?\The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth! response:	The circumstances have changed.
context: The costume and accessories groups are both doing really well.\I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed. response:	Beat the seniors.
context: I think they'll be able to finish on time.\The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors. response:	Be the overall champs!
context: The news poster group is moving along well too.\When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors.\Be the overall champs! response:	Oh high class sushi
context: When they're finished, they'll be able to help out the other groups.\The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors.\Be the overall champs!\Oh high class sushi response:	You're betting on us, aren't you?
context: The mural and parade float groups are a little bit behind right now.\I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors.\Be the overall champs!\Oh high class sushi\You're betting on us, aren't you? response:	Oh right, also!
context: I see.\Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors.\Be the overall champs!\Oh high class sushi\You're betting on us, aren't you?\Oh right, also! response:	I think you're misunderstanding something.
context: Tell those slowpokes to get a move on! Overworking is required in youth!\The circumstances have changed.\Beat the seniors.\Be the overall champs!\Oh high class sushi\You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something. response:	More misunderstandings?!
context: The circumstances have changed.\Beat the seniors.\Be the overall champs!\Oh high class sushi\You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something.\More misunderstandings?! response:	Shota's really not as great as you think he is.
context: Beat the seniors.\Be the overall champs!\Oh high class sushi\You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is. response:	Just give up on him!
context: Be the overall champs!\Oh high class sushi\You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him! response:	As great as I?
context: Oh high class sushi\You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him!\As great as I? response:	Hello lowly workers! Working hard?
context: You're betting on us, aren't you?\Oh right, also!\I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him!\As great as I?\Hello lowly workers! Working hard? response:	What a terrible teacher.
context: Oh right, also!\I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him!\As great as I?\Hello lowly workers! Working hard?\What a terrible teacher. response:	Seriously, the worst.
context: I think you're misunderstanding something.\More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him!\As great as I?\Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst. response:	Let's see, all of the varieties of herbal tea are ready to go.
context: More misunderstandings?!\Shota's really not as great as you think he is.\Just give up on him!\As great as I?\Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go. response:	The shift schedule for the cafe is just about done too.
context: Shota's really not as great as you think he is.\Just give up on him!\As great as I?\Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too. response:	Yano-chin!
context: Just give up on him!\As great as I?\Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin! response:	What do you think of having herbal ramen?
context: As great as I?\Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen? response:	No.
context: Hello lowly workers! Working hard?\What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen?\No. response:	But why?
context: What a terrible teacher.\Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen?\No.\But why? response:	Where am I attaching this again?
context: Seriously, the worst.\Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen?\No.\But why?\Where am I attaching this again? response:	Here.
context: Let's see, all of the varieties of herbal tea are ready to go.\The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen?\No.\But why?\Where am I attaching this again?\Here. response:	Oh right! Hold down that end!
context: The shift schedule for the cafe is just about done too.\Yano-chin!\What do you think of having herbal ramen?\No.\But why?\Where am I attaching this again?\Here.\Oh right! Hold down that end! response:	Got it.
context: Yano-chin!\What do you think of having herbal ramen?\No.\But why?\Where am I attaching this again?\Here.\Oh right! Hold down that end!\Got it. response:	But I do think he's great.
context: What do you think of having herbal ramen?\No.\But why?\Where am I attaching this again?\Here.\Oh right! Hold down that end!\Got it.\But I do think he's great. response:	What have you been holding all this time?
context: No.\But why?\Where am I attaching this again?\Here.\Oh right! Hold down that end!\Got it.\But I do think he's great.\What have you been holding all this time? response:	Information for the Black Magic Cafe.
context: But why?\Where am I attaching this again?\Here.\Oh right! Hold down that end!\Got it.\But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe. response:	Books on black magic, huh?
context: Where am I attaching this again?\Here.\Oh right! Hold down that end!\Got it.\But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh? response:	Try to contain yourself.
context: Here.\Oh right! Hold down that end!\Got it.\But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself. response:	What did he mean by give up?
context: Oh right! Hold down that end!\Got it.\But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself.\What did he mean by give up? response:	Give up on trying to go out with Kuronuma?
context: Got it.\But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma? response:	On liking her?
context: But I do think he's great.\What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her? response:	Wow, that's a lot of books!
context: What have you been holding all this time?\Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books! response:	They look heavy! What did you get so many books about?
context: Information for the Black Magic Cafe.\Books on black magic, huh?\Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about? response:	On herbal teas and snacks and such.
context: Books on black magic, huh?\Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such. response:	Oh, for the Black Magic Cafe!
context: Try to contain yourself.\What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe! response:	Let me see!
context: What did he mean by give up?\Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see! response:	Introduction to Herbal Teas
context: Give up on trying to go out with Kuronuma?\On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas response:	But why do you have so many?
context: On liking her?\Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas\But why do you have so many? response:	Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.
context: Wow, that's a lot of books!\They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves. response:	You're so into this!
context: They look heavy! What did you get so many books about?\On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this! response:	Look, this one's cute!
context: On herbal teas and snacks and such.\Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute! response:	It looks so yummy!
context: Oh, for the Black Magic Cafe!\Let me see!\Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute!\It looks so yummy! response:	Which one?
context: Let me see!\Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute!\It looks so yummy!\Which one? response:	Wow, it really is!
context: Introduction to Herbal Teas\But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute!\It looks so yummy!\Which one?\Wow, it really is! response:	Really?
context: But why do you have so many?\Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute!\It looks so yummy!\Which one?\Wow, it really is!\Really? response:	I'm so glad!
context: Well, because... Since it's a cafe, I want people to be able to relax and enjoy themselves.\You're so into this!\Look, this one's cute!\It looks so yummy!\Which one?\Wow, it really is!\Really?\I'm so glad! response:	You already have trouble with yourself.
context: You're so into this!\Look, this one's cute!\It looks so yummy!\Which one?\Wow, it really is!\Really?\I'm so glad!\You already have trouble with yourself. response:	He's right.
context: Look, this one's cute!\It looks so yummy!\Which one?\Wow, it really is!\Really?\I'm so glad!\You already have trouble with yourself.\He's right. response:	I always just think of myself
context: It looks so yummy!\Which one?\Wow, it really is!\Really?\I'm so glad!\You already have trouble with yourself.\He's right.\I always just think of myself response:	Open your eyes!
context: Which one?\Wow, it really is!\Really?\I'm so glad!\You already have trouble with yourself.\He's right.\I always just think of myself\Open your eyes! response:	Did I fall in love with him because I think he's great?
context: Wow, it really is!\Really?\I'm so glad!\You already have trouble with yourself.\He's right.\I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great? response:	I don't want you to think I'm lively, or fair, or whatever.
context: Really?\I'm so glad!\You already have trouble with yourself.\He's right.\I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever. response:	10 days until the School Festival
context: I'm so glad!\You already have trouble with yourself.\He's right.\I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival response:	I walk through the white pages of my storybook
context: You already have trouble with yourself.\He's right.\I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook response:	just waiting to be painted
context: He's right.\I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted response:	with a kaleidoscope of my experiences.
context: I always just think of myself\Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences. response:	This story has only
context: Open your eyes!\Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences.\This story has only response:	just barely begun.
context: Did I fall in love with him because I think he's great?\I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences.\This story has only\just barely begun. response:	I take a deep breath.
context: I don't want you to think I'm lively, or fair, or whatever.\10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences.\This story has only\just barely begun.\I take a deep breath. response:	And the wind wraps around me and urges me forward.
context: 10 days until the School Festival\I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences.\This story has only\just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward. response:	Your hand is so warm held within mine;
context: I walk through the white pages of my storybook\just waiting to be painted\with a kaleidoscope of my experiences.\This story has only\just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine; response:	it reaches all the way to my heart.
context: just waiting to be painted\with a kaleidoscope of my experiences.\This story has only\just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart. response:	I can't see a brighter future
context: with a kaleidoscope of my experiences.\This story has only\just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future response:	than you smiling and taking my hand as well.
context: This story has only\just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well. response:	5 days until the School Festival
context: just barely begun.\I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival response:	Happy Birthday Chizu!
context: I take a deep breath.\And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu! response:	I suddenly realize
context: And the wind wraps around me and urges me forward.\Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize response:	School Festival in 3 days!! Last push!!
context: Your hand is so warm held within mine;\it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!! response:	how deep my whirlpool of hidden emotions is.
context: it reaches all the way to my heart.\I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!!\how deep my whirlpool of hidden emotions is. response:	I'm so embarrassed.
context: I can't see a brighter future\than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!!\how deep my whirlpool of hidden emotions is.\I'm so embarrassed. response:	And the wind now says it can't wait any longer and runs ahead.
context: than you smiling and taking my hand as well.\5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!!\how deep my whirlpool of hidden emotions is.\I'm so embarrassed.\And the wind now says it can't wait any longer and runs ahead. response:	My memories play before my eyes like a revolving lantern,
context: 5 days until the School Festival\Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!!\how deep my whirlpool of hidden emotions is.\I'm so embarrassed.\And the wind now says it can't wait any longer and runs ahead.\My memories play before my eyes like a revolving lantern, response:	endlessly, innocently, and oh so brightly.
context: Happy Birthday Chizu!\I suddenly realize\School Festival in 3 days!! Last push!!\how deep my whirlpool of hidden emotions is.\I'm so embarrassed.\And the wind now says it can't wait any longer and runs ahead.\My memories play before my eyes like a revolving lantern,\endlessly, innocently, and oh so brightly. response:	My fear, my weaknesses, all transform into the high-flying wind.
