context: I heard you call for help, Suiryu. response:	You did well on your own.
context: You're...\Huh?!\Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick! response:	You guys, too?
context: Huh?!\Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too? response:	It's impressive that you didn't get knocked over by that blow,
context: Who are you? Have we met before?\Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow, response:	but I know you're regretting your actions, now that you see how powerful I am!
context: Shut up!\Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am! response:	Bear-Killer Mid Kick!
context: Now that I'm a monster, you can take\the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick! response:	He's protecting those guys who are passed out?
context: the full course of pain dealt by the great Bakuzan!\Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out? response:	Wait... You need to protect yourself!
context: Art of Darkness Hell-Killer!\Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself! response:	Carnage Punch!
context: Demon-Weeper Low Kick!\You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch! response:	If you want to apologize for what you did to me during our match, now's the time!
context: You guys, too?\It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time! response:	How boring. Looks like you've lost your mind.
context: It's impressive that you didn't get knocked over by that blow,\but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind. response:	I'll just finish you now!
context: but I know you're regretting your actions, now that you see how powerful I am!\Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now! response:	You and those insects next to you can all be crushed in bits!
context: Bear-Killer Mid Kick!\He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits! response:	Hell-Bringin' Hand Chop!
context: He's protecting those guys who are passed out?\Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop! response:	Nope. Can't remember who you are.
context: Wait... You need to protect yourself!\Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are. response:	What the hell was this guy's problem?
context: Carnage Punch!\If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem? response:	Oh, well.
context: If you want to apologize for what you did to me during our match, now's the time!\How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well. response:	Man, you must've been through hell.
context: How boring. Looks like you've lost your mind.\I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell. response:	After you won the tournament, too.
context: I'll just finish you now!\You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell.\After you won the tournament, too. response:	Anyway, I defeated the monster, so keep up the good work.
context: You and those insects next to you can all be crushed in bits!\Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work. response:	R-Right...
context: Hell-Bringin' Hand Chop!\Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right... response:	Thanks for saving me.
context: Nope. Can't remember who you are.\What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me. response:	H-Hey, who are you really?
context: What the hell was this guy's problem?\Oh, well.\Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me.\H-Hey, who are you really? response:	I'm Saitama. A hero.
context: Oh, well.\Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero. response:	Saitama? So you entered the tournament under a false name?
context: Man, you must've been through hell.\After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name? response:	Oh, shit.
context: After you won the tournament, too.\Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit. response:	Why did you enter?
context: Anyway, I defeated the monster, so keep up the good work.\R-Right...\Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter? response:	Is this some plan that the Hero Association came up with?
context: R-Right...\Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with? response:	No... I just wanted to experience martial arts.
context: Thanks for saving me.\H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts. response:	There's the prize money, too.
context: H-Hey, who are you really?\I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too. response:	There's this hero hunter going around lately,
context: I'm Saitama. A hero.\Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately, response:	and I heard he was a martial arts expert, so I got curious.
context: Saitama? So you entered the tournament under a false name?\Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious. response:	I see... So it was a strategy to deal with him.
context: Oh, shit.\Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him. response:	I wouldn't go so far as to call it a strategy...
context: Why did you enter?\Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy... response:	I just happened to get my hands on an entry ticket.
context: Is this some plan that the Hero Association came up with?\No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket. response:	To be more specific...
context: No... I just wanted to experience martial arts.\There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific... response:	I was bored.
context: There's the prize money, too.\There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific...\I was bored. response:	You were bored?
context: There's this hero hunter going around lately,\and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific...\I was bored.\You were bored? response:	But I'm alive, thanks to you.
context: and I heard he was a martial arts expert, so I got curious.\I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific...\I was bored.\You were bored?\But I'm alive, thanks to you. response:	I should've shown up sooner.
context: I see... So it was a strategy to deal with him.\I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific...\I was bored.\You were bored?\But I'm alive, thanks to you.\I should've shown up sooner. response:	Hey, Saitama.
context: I wouldn't go so far as to call it a strategy...\I just happened to get my hands on an entry ticket.\To be more specific...\I was bored.\You were bored?\But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama. response:	You shouldn't go outside.
context: I just happened to get my hands on an entry ticket.\To be more specific...\I was bored.\You were bored?\But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside. response:	Members of some organization
context: To be more specific...\I was bored.\You were bored?\But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside.\Members of some organization response:	called the Monster Association are wreaking havoc.
context: I was bored.\You were bored?\But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc. response:	For real?
context: You were bored?\But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc.\For real? response:	Yeah. Apparently, they have the ability to turn humans into monsters.
context: But I'm alive, thanks to you.\I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters. response:	That's what happened to the guy you just defeated.
context: I should've shown up sooner.\Hey, Saitama.\You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated. response:	Remember Bakuzan, from the second round?
context: Hey, Saitama.\You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round? response:	That was him?
context: You shouldn't go outside.\Members of some organization\called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him? response:	I don't really remember every single guy I punch.
context: Members of some organization\called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch. response:	Anyway, it's really dangerous right now, so you should just stay put.
context: called the Monster Association are wreaking havoc.\For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put. response:	I'm sure Goketsu is nearby, too.
context: For real?\Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too. response:	Goketsu?
context: Yeah. Apparently, they have the ability to turn humans into monsters.\That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu? response:	Yeah, there was another really dangerous monster.
context: That's what happened to the guy you just defeated.\Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster. response:	He basically handled me like I was a baby.
context: Remember Bakuzan, from the second round?\That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby. response:	There's no way that strength was fair.
context: That was him?\I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair. response:	I need to go back as soon as my repairs are finished.
context: I don't really remember every single guy I punch.\Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished. response:	I know it was a surprise attack, but that monster defeated me in a single blow.
context: Anyway, it's really dangerous right now, so you should just stay put.\I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow. response:	I can't let that thing run free.
context: I'm sure Goketsu is nearby, too.\Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free. response:	I need to get the Class S heroes together
context: Goketsu?\Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together response:	and get Master Saitama to help, as well.
context: Yeah, there was another really dangerous monster.\He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well. response:	We'll take him down together!
context: He basically handled me like I was a baby.\There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together! response:	He's that strong?
context: There's no way that strength was fair.\I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together!\He's that strong? response:	Even if we meticulously plan and prepare, I'm not sure we can defeat him.
context: I need to go back as soon as my repairs are finished.\I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him. response:	I see.
context: I know it was a surprise attack, but that monster defeated me in a single blow.\I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see. response:	So, where'd this monster go?
context: I can't let that thing run free.\I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go? response:	Huh? Well, he's over there...
context: I need to get the Class S heroes together\and get Master Saitama to help, as well.\We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go?\Huh? Well, he's over there... response:	Oh, so that's what that loud noise was.
context: and get Master Saitama to help, as well.\We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was. response:	I'll be right back.
context: We'll take him down together!\He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back. response:	H-Hey! Wait a second!
context: He's that strong?\Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second! response:	You heard what I just told you, right? I just warned you!
context: Even if we meticulously plan and prepare, I'm not sure we can defeat him.\I see.\So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you! response:	Yeah, I heard you. So what?
context: I see.\So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what? response:	You still don't get it?
context: So, where'd this monster go?\Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it? response:	He's also a former top-class martial artist!
context: Huh? Well, he's over there...\Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist! response:	He's not some normal guy! He's going to kill you!
context: Oh, so that's what that loud noise was.\I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you! response:	Ah, so he's a martial arts expert.
context: I'll be right back.\H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert. response:	That works out great. I wasn't actually satisfied yet.
context: H-Hey! Wait a second!\You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet. response:	H-Hey. You're hurt, aren't you?
context: You heard what I just told you, right? I just warned you!\Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you? response:	Don't push yourself.
context: Yeah, I heard you. So what?\You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself. response:	I'm not letting go! I can't let the person who saved my life just die!
context: You still don't get it?\He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die! response:	I couldn't stop him!
context: He's also a former top-class martial artist!\He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him! response:	After I just... After I finally met a true hero!
context: He's not some normal guy! He's going to kill you!\Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero! response:	He's not supposed to die here!
context: Ah, so he's a martial arts expert.\That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here! response:	He was supposed to save many, many more lives!
context: That works out great. I wasn't actually satisfied yet.\H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives! response:	Huh?
context: H-Hey. You're hurt, aren't you?\Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives!\Huh? response:	Oh, yeah. I forgot one thing.
context: Don't push yourself.\I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing. response:	Could you keep the fact that I lied to enter this competition a secret?
context: I'm not letting go! I can't let the person who saved my life just die!\I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret? response:	Was Goketsu tough, at least?
context: I couldn't stop him!\After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least? response:	I mean, he still only took one punch, so I couldn't tell the difference.
context: After I just... After I finally met a true hero!\He's not supposed to die here!\He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference. response:	There's something that I forgot to ask you.
context: He's not supposed to die here!\He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you. response:	What?
context: He was supposed to save many, many more lives!\Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What? response:	I don't know if it'll help me get over my fear, but I have a goal now.
context: Huh?\Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now. response:	Do you think I can become a hero, too?
context: Oh, yeah. I forgot one thing.\Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now.\Do you think I can become a hero, too? response:	No idea.
context: Could you keep the fact that I lied to enter this competition a secret?\Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now.\Do you think I can become a hero, too?\No idea. response:	Huh?
context: Was Goketsu tough, at least?\I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now.\Do you think I can become a hero, too?\No idea.\Huh? response:	But, I mean...
context: I mean, he still only took one punch, so I couldn't tell the difference.\There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now.\Do you think I can become a hero, too?\No idea.\Huh?\But, I mean... response:	I was able to become one, so I think anyone probably can.
context: There's something that I forgot to ask you.\What?\I don't know if it'll help me get over my fear, but I have a goal now.\Do you think I can become a hero, too?\No idea.\Huh?\But, I mean...\I was able to become one, so I think anyone probably can. response:	You're supposed to be scared at first.
