context: ReLIFE Experiment Contract response:	ReLIFE Laboratory is an organization that is developing a program
context: By talking down to me? Ugh.\Oh? Could it be?\Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time. response:	F-Fifty or more on all of them?!
context: Oh? Could it be?\Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?! response:	Endless make-ups!
context: Why are you so pissed?\Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups! response:	What? You failed one, Kaizaki?
context: Shut up!\Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki? response:	Not one. All of them.
context: Oh, I almost forgot. About the tests...\As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them. response:	Wow, people like that actually exist?
context: As always, if you failed even one, you're going to take make-ups.\And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist? response:	By the way, which was the worst?
context: And you'll keep taking them until you score higher than 50.\Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst? response:	Math. I got a four.
context: Study hard so you pass the first time.\F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four. response:	Well, excuse me for getting a four!
context: F-Fifty or more on all of them?!\Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four! response:	Not everyone's as smart as you!
context: Endless make-ups!\What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you! response:	Yep, that's right.
context: What? You failed one, Kaizaki?\Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right. response:	It's the effort that counts.
context: Not one. All of them.\Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts. response:	Work hard, Kaizaki-kun.
context: Wow, people like that actually exist?\By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun. response:	O-Okay.
context: By the way, which was the worst?\Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay. response:	Same to the rest of you.
context: Math. I got a four.\Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you. response:	Right.
context: Well, excuse me for getting a four!\Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you.\Right. response:	I could tutor you, if you like.
context: Not everyone's as smart as you!\Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you.\Right.\I could tutor you, if you like. response:	Sorry if I'm being too nosy,
context: Yep, that's right.\It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you.\Right.\I could tutor you, if you like.\Sorry if I'm being too nosy, response:	but with those scores, who knows when you'll escape the make-up loop?
context: It's the effort that counts.\Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you.\Right.\I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop? response:	I-I'm not sure if I should feel insulted or not!
context: Work hard, Kaizaki-kun.\O-Okay.\Same to the rest of you.\Right.\I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not! response:	Um!
context: O-Okay.\Same to the rest of you.\Right.\I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um! response:	Could I get in on that?
context: Same to the rest of you.\Right.\I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that? response:	Uh, Onoya-san?
context: Right.\I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that?\Uh, Onoya-san? response:	You failed?
context: I could tutor you, if you like.\Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that?\Uh, Onoya-san?\You failed? response:	Yeah.
context: Sorry if I'm being too nosy,\but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that?\Uh, Onoya-san?\You failed?\Yeah. response:	All of them.
context: but with those scores, who knows when you'll escape the make-up loop?\I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that?\Uh, Onoya-san?\You failed?\Yeah.\All of them. response:	Another complete failure!
context: I-I'm not sure if I should feel insulted or not!\Um!\Could I get in on that?\Uh, Onoya-san?\You failed?\Yeah.\All of them.\Another complete failure! response:	Oh, and...
context: Um!\Could I get in on that?\Uh, Onoya-san?\You failed?\Yeah.\All of them.\Another complete failure!\Oh, and... response:	Kaizaki-kun.
context: Could I get in on that?\Uh, Onoya-san?\You failed?\Yeah.\All of them.\Another complete failure!\Oh, and...\Kaizaki-kun. response:	Headed for the cafeteria?
context: Uh, Onoya-san?\You failed?\Yeah.\All of them.\Another complete failure!\Oh, and...\Kaizaki-kun.\Headed for the cafeteria? response:	Wanna eat lunch together?
context: You failed?\Yeah.\All of them.\Another complete failure!\Oh, and...\Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together? response:	Uh...
context: Yeah.\All of them.\Another complete failure!\Oh, and...\Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together?\Uh... response:	What should I do at times like these?
context: All of them.\Another complete failure!\Oh, and...\Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together?\Uh...\What should I do at times like these? response:	I'd be glad not to eat alone, but...
context: Another complete failure!\Oh, and...\Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together?\Uh...\What should I do at times like these?\I'd be glad not to eat alone, but... response:	At this age, a boy and a girl eating together...
context: Oh, and...\Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together?\Uh...\What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together... response:	Won't people make fun of her?
context: Kaizaki-kun.\Headed for the cafeteria?\Wanna eat lunch together?\Uh...\What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her? response:	Can I join you?
context: Headed for the cafeteria?\Wanna eat lunch together?\Uh...\What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you? response:	We can get started on our test prep planning!
context: Wanna eat lunch together?\Uh...\What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you?\We can get started on our test prep planning! response:	Oh, good idea! Thanks!
context: Uh...\What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks! response:	Nice, Showga!
context: What should I do at times like these?\I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga! response:	You coming, Kariu?
context: I'd be glad not to eat alone, but...\At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu? response:	I'm eating with Honoka...
context: At this age, a boy and a girl eating together...\Won't people make fun of her?\Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu?\I'm eating with Honoka... response:	With Tamarai-san.
context: Won't people make fun of her?\Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san. response:	Oh, from the volleyball team?
context: Can I join you?\We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team? response:	Shame.
context: We can get started on our test prep planning!\Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team?\Shame. response:	I'm gonna swing by the staff room for the silver pin.
context: Oh, good idea! Thanks!\Nice, Showga!\You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin. response:	You know where the cafeteria is?
context: Nice, Showga!\You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is? response:	Yep. We'll grab seats.
context: You coming, Kariu?\I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats. response:	What the heck is a silver pin?
context: I'm eating with Honoka...\With Tamarai-san.\Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin? response:	Uh, I think it's... the symbol of the class rep.
context: With Tamarai-san.\Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep. response:	Bread
context: Oh, from the volleyball team?\Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread response:	Noodles
context: Shame.\I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread\Noodles response:	Sets/Bowls
context: I'm gonna swing by the staff room for the silver pin.\You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread\Noodles\Sets/Bowls response:	Register
context: You know where the cafeteria is?\Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread\Noodles\Sets/Bowls\Register response:	Thanks for waiting!
context: Yep. We'll grab seats.\What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread\Noodles\Sets/Bowls\Register\Thanks for waiting! response:	Say, you and Kariu-san seem awfully close.
context: What the heck is a silver pin?\Uh, I think it's... the symbol of the class rep.\Bread\Noodles\Sets/Bowls\Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close. response:	Is she, like, your girlfriend?
context: Uh, I think it's... the symbol of the class rep.\Bread\Noodles\Sets/Bowls\Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend? response:	She came right out and asked him.
context: Bread\Noodles\Sets/Bowls\Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him. response:	But...
context: Noodles\Sets/Bowls\Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him.\But... response:	I was actually wondering the same thing.
context: Sets/Bowls\Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him.\But...\I was actually wondering the same thing. response:	Come on. Fess up.
context: Register\Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him.\But...\I was actually wondering the same thing.\Come on. Fess up. response:	N-No.
context: Thanks for waiting!\Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him.\But...\I was actually wondering the same thing.\Come on. Fess up.\N-No. response:	What gave you that idea?
context: Say, you and Kariu-san seem awfully close.\Is she, like, your girlfriend?\She came right out and asked him.\But...\I was actually wondering the same thing.\Come on. Fess up.\N-No.\What gave you that idea? response:	You're not dating?
context: Is she, like, your girlfriend?\She came right out and asked him.\But...\I was actually wondering the same thing.\Come on. Fess up.\N-No.\What gave you that idea?\You're not dating? response:	And here I thought I read people better.
context: She came right out and asked him.\But...\I was actually wondering the same thing.\Come on. Fess up.\N-No.\What gave you that idea?\You're not dating?\And here I thought I read people better. response:	One other question, then.
context: But...\I was actually wondering the same thing.\Come on. Fess up.\N-No.\What gave you that idea?\You're not dating?\And here I thought I read people better.\One other question, then. response:	If she's not your girlfriend, what's with the matching earrings?
context: I was actually wondering the same thing.\Come on. Fess up.\N-No.\What gave you that idea?\You're not dating?\And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings? response:	Earrings?
context: Come on. Fess up.\N-No.\What gave you that idea?\You're not dating?\And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings? response:	Wow, you actually noticed that?
context: N-No.\What gave you that idea?\You're not dating?\And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that? response:	Well, in first year...
context: What gave you that idea?\You're not dating?\And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that?\Well, in first year... response:	My brother insisted on piercing my ear.
context: You're not dating?\And here I thought I read people better.\One other question, then.\If she's not your girlfriend, what's with the matching earrings?\Earrings?\Wow, you actually noticed that?\Well, in first year...\My brother insisted on piercing my ear. response:	It hurt so much, I didn't let him do the other ear.
