context: Woods... squirrel... lily... yellow... response:	Your late father's friend lives so deep in the forest.
context: There are poison insects!\Wind Tunnel!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself. response:	This is the only way to get you back from Naraku!
context: Wind Tunnel!\Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku! response:	Forgive me, Kohaku!
context: Miroku!\You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku! response:	Stop, Sango!
context: You're sucking in the poison insects, too!\Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango! response:	I'm sorry, Miroku.
context: Inuyasha, go after Sango and Kagome.\You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku. response:	It was my fault you ended up sucking in poison insects.
context: You sacrificed yourself and fought... Yet I went after Kohaku...\Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects. response:	Sango...
context: Kohaku!\I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango... response:	Yes?
context: I'll kill you, then kill myself.\This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango...\Yes? response:	Don't look so sad.
context: This is the only way to get you back from Naraku!\Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango...\Yes?\Don't look so sad. response:	There's still hope for Kohaku.
context: Forgive me, Kohaku!\Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango...\Yes?\Don't look so sad.\There's still hope for Kohaku. response:	Miroku...
context: Stop, Sango!\I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango...\Yes?\Don't look so sad.\There's still hope for Kohaku.\Miroku... response:	So keep smiling.
context: I'm sorry, Miroku.\It was my fault you ended up sucking in poison insects.\Sango...\Yes?\Don't look so sad.\There's still hope for Kohaku.\Miroku...\So keep smiling. response:	Thank you.
context: It was my fault you ended up sucking in poison insects.\Sango...\Yes?\Don't look so sad.\There's still hope for Kohaku.\Miroku...\So keep smiling.\Thank you. response:	Miroku...
context: Sango...\Yes?\Don't look so sad.\There's still hope for Kohaku.\Miroku...\So keep smiling.\Thank you.\Miroku... response:	No! Hang on! Miroku!
context: Yes?\Don't look so sad.\There's still hope for Kohaku.\Miroku...\So keep smiling.\Thank you.\Miroku...\No! Hang on! Miroku! response:	Oops!
context: Don't look so sad.\There's still hope for Kohaku.\Miroku...\So keep smiling.\Thank you.\Miroku...\No! Hang on! Miroku!\Oops! response:	Sango, we brought water.
context: There's still hope for Kohaku.\Miroku...\So keep smiling.\Thank you.\Miroku...\No! Hang on! Miroku!\Oops!\Sango, we brought water. response:	How is Miroku?
context: Miroku...\So keep smiling.\Thank you.\Miroku...\No! Hang on! Miroku!\Oops!\Sango, we brought water.\How is Miroku? response:	I think he's much better.
context: So keep smiling.\Thank you.\Miroku...\No! Hang on! Miroku!\Oops!\Sango, we brought water.\How is Miroku?\I think he's much better. response:	Is the information you seek...
context: Thank you.\Miroku...\No! Hang on! Miroku!\Oops!\Sango, we brought water.\How is Miroku?\I think he's much better.\Is the information you seek... response:	about the Tetsusaiga, your father's heirloom sword?
context: Miroku...\No! Hang on! Miroku!\Oops!\Sango, we brought water.\How is Miroku?\I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword? response:	Or...
context: No! Hang on! Miroku!\Oops!\Sango, we brought water.\How is Miroku?\I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or... response:	A tree demon!
context: Oops!\Sango, we brought water.\How is Miroku?\I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon! response:	Lord Sesshomaru, just what is that?
context: Sango, we brought water.\How is Miroku?\I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon!\Lord Sesshomaru, just what is that? response:	A 2,000-year-old magnolia tree.
context: How is Miroku?\I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree. response:	Oh...
context: I think he's much better.\Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh... response:	The sheaths of the swords, the Tetsusaiga and the Tenseiga...
context: Is the information you seek...\about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga... response:	that belonged to Sesshomaru's father were carved from my boughs.
context: about the Tetsusaiga, your father's heirloom sword?\Or...\A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs. response:	The sheaths?
context: Or...\A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths? response:	So the sheaths for those swords came from this tree!
context: A tree demon!\Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree! response:	The strange power of the sheaths...
context: Lord Sesshomaru, just what is that?\A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths... response:	I can see why after seeing him.
context: A 2,000-year-old magnolia tree.\Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him. response:	Bokusen-Oh...
context: Oh...\The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh... response:	You would know... the link between Inuyasha and the Tetsusaiga.
context: The sheaths of the swords, the Tetsusaiga and the Tenseiga...\that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga. response:	Inuyasha?
context: that belonged to Sesshomaru's father were carved from my boughs.\The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha? response:	You mean your younger brother?
context: The sheaths?\So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother? response:	Inuyasha's blood changed.
context: So the sheaths for those swords came from this tree!\The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother?\Inuyasha's blood changed. response:	The first time was when a demon bit into the Tetsusaiga.
context: The strange power of the sheaths...\I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga. response:	The second time, he had let go of the Tetsusaiga while fighting me.
context: I can see why after seeing him.\Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me. response:	Die!
context: Bokusen-Oh...\You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die! response:	This scent!
context: You would know... the link between Inuyasha and the Tetsusaiga.\Inuyasha?\You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent! response:	It changed from a half-demon's blood scent...
context: Inuyasha?\You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent!\It changed from a half-demon's blood scent... response:	to the smell of a demon's blood... like mine and my father's.
context: You mean your younger brother?\Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's. response:	The same smell of blood?
context: Inuyasha's blood changed.\The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood? response:	I wonder about that.
context: The first time was when a demon bit into the Tetsusaiga.\The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that. response:	What do you mean?
context: The second time, he had let go of the Tetsusaiga while fighting me.\Die!\This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that.\What do you mean? response:	Inuyasha is a half-demon, born between a demon and a human.
context: Die!\This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human. response:	He could never become a full-fledged demon.
context: This scent!\It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon. response:	Sesshomaru... there is something...
context: It changed from a half-demon's blood scent...\to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something... response:	that you, a full-fledged demon, can do...
context: to the smell of a demon's blood... like mine and my father's.\The same smell of blood?\I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do... response:	but which Inuyasha could never do.
context: The same smell of blood?\I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do. response:	Inuyasha could never do?
context: I wonder about that.\What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do? response:	It is to maintain oneself.
context: What do you mean?\Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself. response:	Maintain oneself?
context: Inuyasha is a half-demon, born between a demon and a human.\He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself.\Maintain oneself? response:	Yes.
context: He could never become a full-fledged demon.\Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself.\Maintain oneself?\Yes. response:	For example, Sesshomaru...
context: Sesshomaru... there is something...\that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself.\Maintain oneself?\Yes.\For example, Sesshomaru... response:	during a battle, if you are cornered, you are able to remain calm.
context: that you, a full-fledged demon, can do...\but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself.\Maintain oneself?\Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm. response:	You never lose control of yourself.
context: but which Inuyasha could never do.\Inuyasha could never do?\It is to maintain oneself.\Maintain oneself?\Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself. response:	I would never get into such a desperate situation.
context: Inuyasha could never do?\It is to maintain oneself.\Maintain oneself?\Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation. response:	Perhaps.
context: It is to maintain oneself.\Maintain oneself?\Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps. response:	However, Inuyasha is different.
context: Maintain oneself?\Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different. response:	If backed into a corner and his life is in danger...
context: Yes.\For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger... response:	in order to protect his life...
context: For example, Sesshomaru...\during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life... response:	his demon blood takes control of the body and transforms.
context: during a battle, if you are cornered, you are able to remain calm.\You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms. response:	So that's what happened that time...
context: You never lose control of yourself.\I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time... response:	But...
context: I would never get into such a desperate situation.\Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time...\But... response:	the pure demon blood of his father is too strong for a half-demon.
context: Perhaps.\However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon. response:	So what happens?
context: However, Inuyasha is different.\If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon.\So what happens? response:	Let me see...
context: If backed into a corner and his life is in danger...\in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see... response:	It could be said that the demon blood devours the soul.
context: in order to protect his life...\his demon blood takes control of the body and transforms.\So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see...\It could be said that the demon blood devours the soul. response:	He cannot recognize himself.
context: his demon blood takes control of the body and transforms.\So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself. response:	He cannot differentiate between friend or foe... He just kills.
context: So that's what happened that time...\But...\the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills. response:	And in that transformation Inuyasha will eventually lose his soul.
context: But...\the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul. response:	He will become a demon who only knows how to fight and kill.
context: the pure demon blood of his father is too strong for a half-demon.\So what happens?\Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill. response:	He will continue to fight until he is destroyed.
context: So what happens?\Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed. response:	Your father probably did not want such a fate for Inuyasha.
context: Let me see...\It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha. response:	That is why he bequeathed Inuyasha the Tetsusaiga to protect him.
context: It could be said that the demon blood devours the soul.\He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him. response:	The Tetsusaiga protects him?
context: He cannot recognize himself.\He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him? response:	If he lets go of that sword, Inuyasha becomes...
context: He cannot differentiate between friend or foe... He just kills.\And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes... response:	Inuyasha, you've really matured.
context: And in that transformation Inuyasha will eventually lose his soul.\He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured. response:	Whaddya mean?
context: He will become a demon who only knows how to fight and kill.\He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean? response:	I'm complimenting you!
context: He will continue to fight until he is destroyed.\Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you! response:	You saved Kohaku's life.
context: Your father probably did not want such a fate for Inuyasha.\That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you!\You saved Kohaku's life. response:	I just wanted to irritate Naraku.
context: That is why he bequeathed Inuyasha the Tetsusaiga to protect him.\The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku. response:	If we get Kohaku back alive that would make Naraku mad as hell.
context: The Tetsusaiga protects him?\If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell. response:	Putting on an act again.
context: If he lets go of that sword, Inuyasha becomes...\Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again. response:	And besides, you were alive.
context: Inuyasha, you've really matured.\Whaddya mean?\I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive. response:	Huh?
context: Whaddya mean?\I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive.\Huh? response:	- Did you worry? - Of course!
context: I'm complimenting you!\You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive.\Huh?\- Did you worry? - Of course! response:	I was a bit concerned, too...
context: You saved Kohaku's life.\I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive.\Huh?\- Did you worry? - Of course!\I was a bit concerned, too... response:	since you didn't come for a long time.
context: I just wanted to irritate Naraku.\If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive.\Huh?\- Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time. response:	Doesn't your wound hurt? Lemme see.
context: If we get Kohaku back alive that would make Naraku mad as hell.\Putting on an act again.\And besides, you were alive.\Huh?\- Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see. response:	Never mind. I can take care of it myself.
context: Putting on an act again.\And besides, you were alive.\Huh?\- Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself. response:	Don't you know you can make it worse with lack of care?!
context: And besides, you were alive.\Huh?\- Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?! response:	- It's okay! - It's not okay!
context: Huh?\- Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay! response:	- I said I'm all right! - You're not!
context: - Did you worry? - Of course!\I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not! response:	Am, too!
context: I was a bit concerned, too...\since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too! response:	Sorry! I wanted to thank you.
context: since you didn't come for a long time.\Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you. response:	- Huh? - Thank us for what?
context: Doesn't your wound hurt? Lemme see.\Never mind. I can take care of it myself.\Don't you know you can make it worse with lack of care?!\- It's okay! - It's not okay!\- I said I'm all right! - You're not!\Am, too!\Sorry! I wanted to thank you.\- Huh? - Thank us for what? response:	Thank you, Kagome and Inuyasha...
