context: Humans and monsters share the same world response:	They exist on opposite side of the Ying Yang
context: How many times to I have to say it!\AHH!!!\You,\Who are you?\What's your business here?\Huh?\That should be my question\Alone by yourself on the 20th floor response:	And also wearing such strange clothes
context: AHH!!!\You,\Who are you?\What's your business here?\Huh?\That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes response:	Take a look at yourself!
context: You,\Who are you?\What's your business here?\Huh?\That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself! response:	I'm just expressing myself
context: Who are you?\What's your business here?\Huh?\That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself response:	It's called the lonely mushroom
context: What's your business here?\Huh?\That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom response:	If it wasn't for your humanity
context: Huh?\That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity response:	Then I would've cut you down already!
context: That should be my question\Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already! response:	Stop it! You guys!
context: Alone by yourself on the 20th floor\And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys! response:	Stop repeating!
context: And also wearing such strange clothes\Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys!\Stop repeating! response:	So many police have been dispatched
context: Take a look at yourself!\I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys!\Stop repeating!\So many police have been dispatched response:	Is it really necessary?
context: I'm just expressing myself\It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys!\Stop repeating!\So many police have been dispatched\Is it really necessary? response:	I'm not going to jump!
context: It's called the lonely mushroom\If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys!\Stop repeating!\So many police have been dispatched\Is it really necessary?\I'm not going to jump! response:	Do what your supposed to do!
context: If it wasn't for your humanity\Then I would've cut you down already!\Stop it! You guys!\Stop repeating!\So many police have been dispatched\Is it really necessary?\I'm not going to jump!\Do what your supposed to do! response:	Can you not hear me?
context: Then I would've cut you down already!\Stop it! You guys!\Stop repeating!\So many police have been dispatched\Is it really necessary?\I'm not going to jump!\Do what your supposed to do!\Can you not hear me? response:	I'm seriously not going to jump!
context: Stop it! You guys!\Stop repeating!\So many police have been dispatched\Is it really necessary?\I'm not going to jump!\Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump! response:	Please believe in me!
context: Stop repeating!\So many police have been dispatched\Is it really necessary?\I'm not going to jump!\Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump!\Please believe in me! response:	You can leave now
context: So many police have been dispatched\Is it really necessary?\I'm not going to jump!\Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump!\Please believe in me!\You can leave now response:	Hurry up and leave!
context: Is it really necessary?\I'm not going to jump!\Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump!\Please believe in me!\You can leave now\Hurry up and leave! response:	Please, please, please
context: I'm not going to jump!\Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump!\Please believe in me!\You can leave now\Hurry up and leave!\Please, please, please response:	Angle is OK
context: Do what your supposed to do!\Can you not hear me?\I'm seriously not going to jump!\Please believe in me!\You can leave now\Hurry up and leave!\Please, please, please\Angle is OK response:	Direction is OK
context: Can you not hear me?\I'm seriously not going to jump!\Please believe in me!\You can leave now\Hurry up and leave!\Please, please, please\Angle is OK\Direction is OK response:	Gravity is OK
context: I'm seriously not going to jump!\Please believe in me!\You can leave now\Hurry up and leave!\Please, please, please\Angle is OK\Direction is OK\Gravity is OK response:	Young girl,
context: Please believe in me!\You can leave now\Hurry up and leave!\Please, please, please\Angle is OK\Direction is OK\Gravity is OK\Young girl, response:	I'm here to save you
context: You can leave now\Hurry up and leave!\Please, please, please\Angle is OK\Direction is OK\Gravity is OK\Young girl,\I'm here to save you response:	Here I come!
context: Hurry up and leave!\Please, please, please\Angle is OK\Direction is OK\Gravity is OK\Young girl,\I'm here to save you\Here I come! response:	How did it really turn into a suicide?
context: Please, please, please\Angle is OK\Direction is OK\Gravity is OK\Young girl,\I'm here to save you\Here I come!\How did it really turn into a suicide? response:	I didn't do it on purpose!
context: Angle is OK\Direction is OK\Gravity is OK\Young girl,\I'm here to save you\Here I come!\How did it really turn into a suicide?\I didn't do it on purpose! response:	Phew,
context: Direction is OK\Gravity is OK\Young girl,\I'm here to save you\Here I come!\How did it really turn into a suicide?\I didn't do it on purpose!\Phew, response:	At least she didn't die
context: Gravity is OK\Young girl,\I'm here to save you\Here I come!\How did it really turn into a suicide?\I didn't do it on purpose!\Phew,\At least she didn't die response:	Class is finally over
context: Young girl,\I'm here to save you\Here I come!\How did it really turn into a suicide?\I didn't do it on purpose!\Phew,\At least she didn't die\Class is finally over response:	If it doesn't end, then I'll just leave
context: I'm here to save you\Here I come!\How did it really turn into a suicide?\I didn't do it on purpose!\Phew,\At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave response:	My cravings have already kicked in
context: Here I come!\How did it really turn into a suicide?\I didn't do it on purpose!\Phew,\At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in response:	Big bro, take it easy
context: How did it really turn into a suicide?\I didn't do it on purpose!\Phew,\At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy response:	If our teacher saw you smoking in class he'll probably have a heart attack
context: I didn't do it on purpose!\Phew,\At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack response:	That old man really is older than dirt
context: Phew,\At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt response:	Hey, give me a smoke
context: At least she didn't die\Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke response:	Oh, so relaxing
context: Class is finally over\If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing response:	AHH!!!
context: If it doesn't end, then I'll just leave\My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing\AHH!!! response:	Big, bro,
context: My cravings have already kicked in\Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing\AHH!!!\Big, bro, response:	I'm really really sorry
context: Big bro, take it easy\If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing\AHH!!!\Big, bro,\I'm really really sorry response:	Sorry, it's my fault
context: If our teacher saw you smoking in class he'll probably have a heart attack\That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing\AHH!!!\Big, bro,\I'm really really sorry\Sorry, it's my fault response:	I didn't do it on purpose, please spare me!
context: That old man really is older than dirt\Hey, give me a smoke\Oh, so relaxing\AHH!!!\Big, bro,\I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me! response:	You know,
context: Hey, give me a smoke\Oh, so relaxing\AHH!!!\Big, bro,\I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know, response:	I value cleanliness over everything!
context: Oh, so relaxing\AHH!!!\Big, bro,\I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything! response:	Hmph,
context: AHH!!!\Big, bro,\I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything!\Hmph, response:	Lets go!
context: Big, bro,\I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything!\Hmph,\Lets go! response:	I need to pee
context: I'm really really sorry\Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything!\Hmph,\Lets go!\I need to pee response:	Huh?
context: Sorry, it's my fault\I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything!\Hmph,\Lets go!\I need to pee\Huh? response:	Is he alright?
context: I didn't do it on purpose, please spare me!\You know,\I value cleanliness over everything!\Hmph,\Lets go!\I need to pee\Huh?\Is he alright? response:	Relax,
context: You know,\I value cleanliness over everything!\Hmph,\Lets go!\I need to pee\Huh?\Is he alright?\Relax, response:	His ability is to take beatings
context: I value cleanliness over everything!\Hmph,\Lets go!\I need to pee\Huh?\Is he alright?\Relax,\His ability is to take beatings response:	Big bro,
context: Hmph,\Lets go!\I need to pee\Huh?\Is he alright?\Relax,\His ability is to take beatings\Big bro, response:	Big bro!
context: Lets go!\I need to pee\Huh?\Is he alright?\Relax,\His ability is to take beatings\Big bro,\Big bro! response:	Let me pee with you!
context: I need to pee\Huh?\Is he alright?\Relax,\His ability is to take beatings\Big bro,\Big bro!\Let me pee with you! response:	Wow!
context: Huh?\Is he alright?\Relax,\His ability is to take beatings\Big bro,\Big bro!\Let me pee with you!\Wow! response:	As expected from big bro
context: Is he alright?\Relax,\His ability is to take beatings\Big bro,\Big bro!\Let me pee with you!\Wow!\As expected from big bro response:	He even excels in peeing!
context: Relax,\His ability is to take beatings\Big bro,\Big bro!\Let me pee with you!\Wow!\As expected from big bro\He even excels in peeing! response:	Of course, of course, hehehe
context: His ability is to take beatings\Big bro,\Big bro!\Let me pee with you!\Wow!\As expected from big bro\He even excels in peeing!\Of course, of course, hehehe response:	That's why I'm big bro
context: Big bro,\Big bro!\Let me pee with you!\Wow!\As expected from big bro\He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro response:	Of course, of course, hehehe
context: Big bro!\Let me pee with you!\Wow!\As expected from big bro\He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe response:	Not anyone can become big bro
context: Let me pee with you!\Wow!\As expected from big bro\He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro response:	Got a lighter?
context: Wow!\As expected from big bro\He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro\Got a lighter? response:	AHH!!!
context: As expected from big bro\He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro\Got a lighter?\AHH!!! response:	It's a monster!
context: He even excels in peeing!\Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro\Got a lighter?\AHH!!!\It's a monster! response:	Save me!
context: Of course, of course, hehehe\That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro\Got a lighter?\AHH!!!\It's a monster!\Save me! response:	Do you have a lighter or not?
context: That's why I'm big bro\Of course, of course, hehehe\Not anyone can become big bro\Got a lighter?\AHH!!!\It's a monster!\Save me!\Do you have a lighter or not? response:	Are you human or mushroom?
context: Of course, of course, hehehe\Not anyone can become big bro\Got a lighter?\AHH!!!\It's a monster!\Save me!\Do you have a lighter or not?\Are you human or mushroom? response:	Of course I'm human
context: Not anyone can become big bro\Got a lighter?\AHH!!!\It's a monster!\Save me!\Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human response:	Do humans dress like that?
context: Got a lighter?\AHH!!!\It's a monster!\Save me!\Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human\Do humans dress like that? response:	Oh,
context: AHH!!!\It's a monster!\Save me!\Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human\Do humans dress like that?\Oh, response:	This is how I express myself
context: It's a monster!\Save me!\Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human\Do humans dress like that?\Oh,\This is how I express myself response:	Last night I had this feeling
context: Save me!\Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human\Do humans dress like that?\Oh,\This is how I express myself\Last night I had this feeling response:	A mushroom that was reborn
context: Do you have a lighter or not?\Are you human or mushroom?\Of course I'm human\Do humans dress like that?\Oh,\This is how I express myself\Last night I had this feeling\A mushroom that was reborn response:	Larger than before
context: Are you human or mushroom?\Of course I'm human\Do humans dress like that?\Oh,\This is how I express myself\Last night I had this feeling\A mushroom that was reborn\Larger than before response:	More yellow
context: Of course I'm human\Do humans dress like that?\Oh,\This is how I express myself\Last night I had this feeling\A mushroom that was reborn\Larger than before\More yellow response:	More beautiful
context: Do humans dress like that?\Oh,\This is how I express myself\Last night I had this feeling\A mushroom that was reborn\Larger than before\More yellow\More beautiful response:	And living once again!
context: Oh,\This is how I express myself\Last night I had this feeling\A mushroom that was reborn\Larger than before\More yellow\More beautiful\And living once again! response:	Fuck me,
context: This is how I express myself\Last night I had this feeling\A mushroom that was reborn\Larger than before\More yellow\More beautiful\And living once again!\Fuck me, response:	So it was a cosplay
context: Last night I had this feeling\A mushroom that was reborn\Larger than before\More yellow\More beautiful\And living once again!\Fuck me,\So it was a cosplay response:	That scared the shit out of big bro
context: A mushroom that was reborn\Larger than before\More yellow\More beautiful\And living once again!\Fuck me,\So it was a cosplay\That scared the shit out of big bro response:	Huh?
context: Larger than before\More yellow\More beautiful\And living once again!\Fuck me,\So it was a cosplay\That scared the shit out of big bro\Huh? response:	Fuck me!
context: More yellow\More beautiful\And living once again!\Fuck me,\So it was a cosplay\That scared the shit out of big bro\Huh?\Fuck me! response:	I peed all over my pants!
context: More beautiful\And living once again!\Fuck me,\So it was a cosplay\That scared the shit out of big bro\Huh?\Fuck me!\I peed all over my pants! response:	Woah!
context: And living once again!\Fuck me,\So it was a cosplay\That scared the shit out of big bro\Huh?\Fuck me!\I peed all over my pants!\Woah! response:	So much pee!
context: Fuck me,\So it was a cosplay\That scared the shit out of big bro\Huh?\Fuck me!\I peed all over my pants!\Woah!\So much pee! response:	Someone's going to die!
context: So it was a cosplay\That scared the shit out of big bro\Huh?\Fuck me!\I peed all over my pants!\Woah!\So much pee!\Someone's going to die! response:	Run for your lives!
context: That scared the shit out of big bro\Huh?\Fuck me!\I peed all over my pants!\Woah!\So much pee!\Someone's going to die!\Run for your lives! response:	There's trouble, big bro wet himself!
context: Huh?\Fuck me!\I peed all over my pants!\Woah!\So much pee!\Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself! response:	Big bro has OCD, he really values cleanliness
context: Fuck me!\I peed all over my pants!\Woah!\So much pee!\Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness response:	How do you want to die?
context: I peed all over my pants!\Woah!\So much pee!\Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die? response:	So do you have a lighter or not?
context: Woah!\So much pee!\Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not? response:	AHH!!!
context: So much pee!\Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not?\AHH!!! response:	(What's happening?)
context: Someone's going to die!\Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not?\AHH!!!\(What's happening?) response:	Huh?
context: Run for your lives!\There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not?\AHH!!!\(What's happening?)\Huh? response:	Way too brutal!
context: There's trouble, big bro wet himself!\Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not?\AHH!!!\(What's happening?)\Huh?\Way too brutal! response:	Hey bro
context: Big bro has OCD, he really values cleanliness\How do you want to die?\So do you have a lighter or not?\AHH!!!\(What's happening?)\Huh?\Way too brutal!\Hey bro response:	Don't just resort to violence
context: How do you want to die?\So do you have a lighter or not?\AHH!!!\(What's happening?)\Huh?\Way too brutal!\Hey bro\Don't just resort to violence response:	I'm well trained
context: So do you have a lighter or not?\AHH!!!\(What's happening?)\Huh?\Way too brutal!\Hey bro\Don't just resort to violence\I'm well trained response:	Dealing with you ordinary people
context: AHH!!!\(What's happening?)\Huh?\Way too brutal!\Hey bro\Don't just resort to violence\I'm well trained\Dealing with you ordinary people response:	It feels like I'm bullying you
context: (What's happening?)\Huh?\Way too brutal!\Hey bro\Don't just resort to violence\I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you response:	I'll have to show them
context: Huh?\Way too brutal!\Hey bro\Don't just resort to violence\I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them response:	That I'm not worth picking on
context: Way too brutal!\Hey bro\Don't just resort to violence\I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on response:	Don, don, don, don't kill me!
context: Hey bro\Don't just resort to violence\I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me! response:	It's just a lighter
context: Don't just resort to violence\I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter response:	You, you
context: I'm well trained\Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter\You, you response:	Just what type of person are you?
context: Dealing with you ordinary people\It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter\You, you\Just what type of person are you? response:	Me?
context: It feels like I'm bullying you\I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter\You, you\Just what type of person are you?\Me? response:	I'm a new transfer student
context: I'll have to show them\That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter\You, you\Just what type of person are you?\Me?\I'm a new transfer student response:	Yeyan is my name
context: That I'm not worth picking on\Don, don, don, don't kill me!\It's just a lighter\You, you\Just what type of person are you?\Me?\I'm a new transfer student\Yeyan is my name response:	We'll be going to the same school together
context: Don, don, don, don't kill me!\It's just a lighter\You, you\Just what type of person are you?\Me?\I'm a new transfer student\Yeyan is my name\We'll be going to the same school together response:	Please look after me
context: It's just a lighter\You, you\Just what type of person are you?\Me?\I'm a new transfer student\Yeyan is my name\We'll be going to the same school together\Please look after me response:	90 of people are troubled in some way
context: You, you\Just what type of person are you?\Me?\I'm a new transfer student\Yeyan is my name\We'll be going to the same school together\Please look after me\90 of people are troubled in some way response:	Living will result in facing these problems
context: Just what type of person are you?\Me?\I'm a new transfer student\Yeyan is my name\We'll be going to the same school together\Please look after me\90 of people are troubled in some way\Living will result in facing these problems response:	Sports betting is harmful
context: Me?\I'm a new transfer student\Yeyan is my name\We'll be going to the same school together\Please look after me\90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful response:	Avoid the World Cup
context: I'm a new transfer student\Yeyan is my name\We'll be going to the same school together\Please look after me\90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup response:	Any problem can be overcome
context: Yeyan is my name\We'll be going to the same school together\Please look after me\90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup\Any problem can be overcome response:	The struggles in life will only improve your brilliance
context: We'll be going to the same school together\Please look after me\90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance response:	90 of people are troubled in some way
context: Please look after me\90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way response:	That freaking mushroom
context: 90 of people are troubled in some way\Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom response:	I,
context: Living will result in facing these problems\Sports betting is harmful\Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom\I, response:	I'll never let you get away with this!
context: Sports betting is harmful\Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom\I,\I'll never let you get away with this! response:	Acho!
context: Avoid the World Cup\Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom\I,\I'll never let you get away with this!\Acho! response:	This is also the feeling I had yesterday
context: Any problem can be overcome\The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom\I,\I'll never let you get away with this!\Acho!\This is also the feeling I had yesterday response:	A suicidal young girl
context: The struggles in life will only improve your brilliance\90 of people are troubled in some way\That freaking mushroom\I,\I'll never let you get away with this!\Acho!\This is also the feeling I had yesterday\A suicidal young girl response:	It's artistic isn't it?
