context: Lord Villar... response:	I'd like you to assist Starck in our battle against Waldlind.
context: Let's do this.\You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo. response:	This isn't the outcome I had in mind,
context: You're not cold now, are you?\N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind, response:	but you've been so swamped lately, I wanted to give you a break.
context: N-No...\Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break. response:	After the Lords' Congress and that thing with Lord Villar,
context: Sitting here like this reminds me of how I used to camp out in the rain.\That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar, response:	I thought it'd be a nice change of scenery.
context: That's right, you used to wander all over the place.\Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery. response:	Is that why you brought me?
context: Yeah.\Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me? response:	Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.
context: Traveling alone really made me feel lonely.\I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried. response:	That you'd end up becoming Villar's vassal...
context: I'm glad to have you by my side, Sir Theo.\This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal... response:	That'd never happen.
context: This isn't the outcome I had in mind,\but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen. response:	You went so far as to give up your court rank to preserve our contract.
context: but you've been so swamped lately, I wanted to give you a break.\After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract. response:	As long as you need me, I intend to serve you forever!
context: After the Lords' Congress and that thing with Lord Villar,\I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever! response:	Looks like I haven't gotten through to you.
context: I thought it'd be a nice change of scenery.\Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you. response:	What do you mean?
context: Is that why you brought me?\Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean? response:	You've always been thoughtful, and risked your life for me.
context: Also, since you've been going to Castle Unicorn so much, I guess I was kind of worried.\That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me. response:	So I've always wanted to live up to that, and tried to protect you.
context: That you'd end up becoming Villar's vassal...\That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you. response:	When Lord Villar tried to take you away from me,
context: That'd never happen.\You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me, response:	I didn't think twice about giving up my court rank.
context: You went so far as to give up your court rank to preserve our contract.\As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank. response:	You also rescued me from the Black Witch's spell.
context: As long as you need me, I intend to serve you forever!\Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell. response:	Of course I'd rescue you!
context: Looks like I haven't gotten through to you.\What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you! response:	Because you're someone important to me.
context: What do you mean?\You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me. response:	That's what I wanted you to know.
context: You've always been thoughtful, and risked your life for me.\So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know. response:	R-Right.
context: So I've always wanted to live up to that, and tried to protect you.\When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know.\R-Right. response:	U-Um...
context: When Lord Villar tried to take you away from me,\I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know.\R-Right.\U-Um... response:	Are you aware of my feelings for you?
context: I didn't think twice about giving up my court rank.\You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know.\R-Right.\U-Um...\Are you aware of my feelings for you? response:	Well, I did have a feeling...
context: You also rescued me from the Black Witch's spell.\Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know.\R-Right.\U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling... response:	But I thought it might just be me imagining things.
context: Of course I'd rescue you!\Because you're someone important to me.\That's what I wanted you to know.\R-Right.\U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things. response:	Um!
context: Because you're someone important to me.\That's what I wanted you to know.\R-Right.\U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things.\Um! response:	This is an extremely important issue, so I want to make it clear.
context: That's what I wanted you to know.\R-Right.\U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear. response:	Sir Theo, can I take it that you're in love with me?
context: R-Right.\U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me? response:	You're really gonna make me go there?
context: U-Um...\Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there? response:	You really are a mage, aren't you?
context: Are you aware of my feelings for you?\Well, I did have a feeling...\But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you? response:	Of course... I'm in love with you.
context: Well, I did have a feeling...\But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you. response:	Fire!
context: But I thought it might just be me imagining things.\Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you.\Fire! response:	N-No way!
context: Um!\This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you.\Fire!\N-No way! response:	Who is that Shadow-like knight?
context: This is an extremely important issue, so I want to make it clear.\Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you.\Fire!\N-No way!\Who is that Shadow-like knight? response:	Most likely, that's Milza Kuches.
context: Sir Theo, can I take it that you're in love with me?\You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you.\Fire!\N-No way!\Who is that Shadow-like knight?\Most likely, that's Milza Kuches. response:	So that's the Black Prince of Dartania.
context: You're really gonna make me go there?\You really are a mage, aren't you?\Of course... I'm in love with you.\Fire!\N-No way!\Who is that Shadow-like knight?\Most likely, that's Milza Kuches.\So that's the Black Prince of Dartania. response:	If we're going to attack the Starck fortress,
context: You really are a mage, aren't you?\Of course... I'm in love with you.\Fire!\N-No way!\Who is that Shadow-like knight?\Most likely, that's Milza Kuches.\So that's the Black Prince of Dartania.\If we're going to attack the Starck fortress, response:	our only option is to advance along a narrow one-way path along the shore.
context: Of course... I'm in love with you.\Fire!\N-No way!\Who is that Shadow-like knight?\Most likely, that's Milza Kuches.\So that's the Black Prince of Dartania.\If we're going to attack the Starck fortress,\our only option is to advance along a narrow one-way path along the shore. response:	However, these rocky hills tower over the path on its eastern side,
context: Fire!\N-No way!\Who is that Shadow-like knight?\Most likely, that's Milza Kuches.\So that's the Black Prince of Dartania.\If we're going to attack the Starck fortress,\our only option is to advance along a narrow one-way path along the shore.\However, these rocky hills tower over the path on its eastern side, response:	while there are ten ships with catapults moored in the sea to the west.
