context: She should be at the temple at this hour. response:	The line to see the Lady Cleric is here.
context: Oh, whoops...\I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired, response:	but I needed to discuss something important with you.
context: I seem to be out of energy.\It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you. response:	Today's the day that Lola is going to introduce us to this cleric.
context: It appears as though you're working too hard, Lady Cleric.\Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric. response:	I had some time before we were supposed to meet up,
context: Oh, it's you, Lola.\That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up, response:	so I decided to get some advice from my master.
context: That's quite the greeting for someone who's worried about you.\I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master. response:	Hidden dungeon only I can enter!
context: I apologize.\So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter! response:	Let me train in secret to become the strongest in the world!
context: So what's the very capable receptionist from the guild doing here today?\I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world! response:	Hmph.
context: I hate to ask this when I know you're tired,\but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph. response:	Hmphity hmph.
context: but I needed to discuss something important with you.\Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph. response:	M-Master?
context: Today's the day that Lola is going to introduce us to this cleric.\I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph.\M-Master? response:	Are you mad about something?
context: I had some time before we were supposed to meet up,\so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph.\M-Master?\Are you mad about something? response:	Well, you haven't come see me at all!
context: so I decided to get some advice from my master.\Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph.\M-Master?\Are you mad about something?\Well, you haven't come see me at all! response:	I feel like it's been about two weeks.
context: Hidden dungeon only I can enter!\Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph.\M-Master?\Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks. response:	S-Sorry about that!
context: Let me train in secret to become the strongest in the world!\Hmph.\Hmphity hmph.\M-Master?\Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that! response:	I meant to come sooner,
context: Hmph.\Hmphity hmph.\M-Master?\Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner, response:	but I ran into a little problem.
context: Hmphity hmph.\M-Master?\Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner,\but I ran into a little problem. response:	I see. A duke's daughter with a curse.
context: M-Master?\Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse. response:	Yes.
context: Are you mad about something?\Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes. response:	If it's a curse-based skill, it might have to do with her family.
context: Well, you haven't come see me at all!\I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family. response:	Her family? You mean something to do with her ancestors?
context: I feel like it's been about two weeks.\S-Sorry about that!\I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors? response:	Yeah, it happens all the time!
context: S-Sorry about that!\I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time! response:	There's a skill to curse one's descendants.
context: I meant to come sooner,\but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants. response:	But that's...
context: but I ran into a little problem.\I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's... response:	You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.
context: I see. A duke's daughter with a curse.\Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it. response:	It's probably best if you let that cleric girl handle it.
context: Yes.\If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it. response:	Right. That's what I plan on doing, but...
context: If it's a curse-based skill, it might have to do with her family.\Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but... response:	I wonder what the Lady Cleric is like.
context: Her family? You mean something to do with her ancestors?\Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like. response:	If she has the skill to exorcise things, she's probably at least part elf.
context: Yeah, it happens all the time!\There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf. response:	An elf, huh?
context: There's a skill to curse one's descendants.\But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh? response:	You don't see them very often.
context: But that's...\You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often. response:	It's great to fulfill some of your desires with other species.
context: You'll need over 10,000 LP to Get Creative enough to create the skill to undo it.\It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species. response:	You'll get lots of extra LP with them!
context: It's probably best if you let that cleric girl handle it.\Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them! response:	What?!
context: Right. That's what I plan on doing, but...\I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?! response:	You gotta go for the glory!
context: I wonder what the Lady Cleric is like.\If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?!\You gotta go for the glory! response:	Wh-What are you
context: If she has the skill to exorcise things, she's probably at least part elf.\An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?!\You gotta go for the glory!\Wh-What are you response:	S-So, Master, what would you do to earn about 10,000 LP?
context: An elf, huh?\You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?!\You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP? response:	Oh, in my case... Here. I'll whisper it to you.
context: You don't see them very often.\It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?!\You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you. response:	First...
context: It's great to fulfill some of your desires with other species.\You'll get lots of extra LP with them!\What?!\You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First... response:	Then you'll have 10,000 LP in no time!
context: You'll get lots of extra LP with them!\What?!\You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time! response:	Jeez, I'm kidding. You're so cute, Noir.
context: What?!\You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir. response:	Sh-She's totally messing with me...
context: You gotta go for the glory!\Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me... response:	You probably won't be able to get 10,000 that quickly,
context: Wh-What are you\S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly, response:	but I can teach you a skill that'll be super useful in gaining LP.
context: S-So, Master, what would you do to earn about 10,000 LP?\Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP. response:	Really? That'll be great!
context: Oh, in my case... Here. I'll whisper it to you.\First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great! response:	Okay! Let your awesome master Olivia fill you in on the deets.
context: First...\Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets. response:	Thank you!
context: Then you'll have 10,000 LP in no time!\Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you! response:	And now, for those deets...
context: Jeez, I'm kidding. You're so cute, Noir.\Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets... response:	You'll get the best bang for your buck! This forbidden skill is...
context: Sh-She's totally messing with me...\You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is... response:	Lucky Lecher
context: You probably won't be able to get 10,000 that quickly,\but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher response:	Lucky Lecher
context: but I can teach you a skill that'll be super useful in gaining LP.\Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Really? That'll be great!\Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Okay! Let your awesome master Olivia fill you in on the deets.\Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Thank you!\And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: And now, for those deets...\You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: You'll get the best bang for your buck! This forbidden skill is...\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	Lucky Lecher
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher response:	It only takes a measly 300 LP to get, but it's effective as hell!
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell! response:	Only takes 300 LP to get!
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get! response:	You'll have some indescribable experiences!
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences! response:	Get Creative to make Lucky Lecher!
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher! response:	Noir Stardia Lv. 35 LP. 2270
context: Lucky Lecher\Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270 response:	Skills Skills Skills Skills Skills
context: Lucky Lecher\Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills response:	Noir Stardia Lv. 35 LP. 1970
context: Lucky Lecher\It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970 response:	Noir! Took you long enough!
context: It only takes a measly 300 LP to get, but it's effective as hell!\Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough! response:	The Lady Cleric and Lola are gonna show up soon!
context: Only takes 300 LP to get!\You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon! response:	Huh?
context: You'll have some indescribable experiences!\Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh? response:	Whoops, sorry!
context: Get Creative to make Lucky Lecher!\Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry! response:	Th-That Time I Faceplanted into Slime Boobs.
context: Noir Stardia Lv. 35 LP. 2270\Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs. response:	Eek!
context: Skills Skills Skills Skills Skills\Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek! response:	No!
context: Noir Stardia Lv. 35 LP. 1970\Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek!\No! response:	Damn, my luck just won't stop!
context: Noir! Took you long enough!\The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek!\No!\Damn, my luck just won't stop! response:	This is how effective Lucky Lecher is?
context: The Lady Cleric and Lola are gonna show up soon!\Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek!\No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is? response:	Buh-ling!
context: Huh?\Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek!\No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling! response:	Th-This skill's amazing!
context: Whoops, sorry!\Th-That Time I Faceplanted into Slime Boobs.\Eek!\No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing! response:	You're the best, Master.
context: Th-That Time I Faceplanted into Slime Boobs.\Eek!\No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing!\You're the best, Master. response:	Buh-ling!
context: Eek!\No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing!\You're the best, Master.\Buh-ling! response:	But this is going to affect my life.
context: No!\Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing!\You're the best, Master.\Buh-ling!\But this is going to affect my life. response:	I just need to use Editor to tinker with it a bit.
context: Damn, my luck just won't stop!\This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing!\You're the best, Master.\Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit. response:	Lucky Lecher.
context: This is how effective Lucky Lecher is?\Buh-ling!\Th-This skill's amazing!\You're the best, Master.\Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher. response:	Lucky Lecher
context: Buh-ling!\Th-This skill's amazing!\You're the best, Master.\Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher response:	Causes erotic situations to occur
context: Th-This skill's amazing!\You're the best, Master.\Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur response:	Causes erotic situations to occur with nearby members of the opposite sex.
context: You're the best, Master.\Buh-ling!\But this is going to affect my life.\I just need to use Editor to tinker with it a bit.\Lucky Lecher.\Lucky Lecher\Causes erotic situations to occur\Causes erotic situations to occur with nearby members of the opposite sex. response:	with nearby members of the opposite sex.
