context: From the Starting Sky response:	It wasn't a dream.
context: But it's...\I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more.\Okay.\Why you little... response:	Yuzuki.
context: I'm one of the people who was changed by Nonoka's willpower.\Have faith in me.\Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more.\Okay.\Why you little...\Yuzuki. response:	Nonoka.
context: Have faith in me.\Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more.\Okay.\Why you little...\Yuzuki.\Nonoka. response:	Excuse me.
context: Shione, can I ask you to do something?\Yes, of course.\I want to get together with our observatory friends once more.\Okay.\Why you little...\Yuzuki.\Nonoka.\Excuse me. response:	Sorry, I've been looking for you.
context: Yes, of course.\I want to get together with our observatory friends once more.\Okay.\Why you little...\Yuzuki.\Nonoka.\Excuse me.\Sorry, I've been looking for you. response:	Shione, is that you?
context: I want to get together with our observatory friends once more.\Okay.\Why you little...\Yuzuki.\Nonoka.\Excuse me.\Sorry, I've been looking for you.\Shione, is that you? response:	Koharu.
context: Okay.\Why you little...\Yuzuki.\Nonoka.\Excuse me.\Sorry, I've been looking for you.\Shione, is that you?\Koharu. response:	I want you to come with us.
context: Why you little...\Yuzuki.\Nonoka.\Excuse me.\Sorry, I've been looking for you.\Shione, is that you?\Koharu.\I want you to come with us. response:	Nonoka's back, and to think Shione's back, too!
context: Yuzuki.\Nonoka.\Excuse me.\Sorry, I've been looking for you.\Shione, is that you?\Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too! response:	That's not quite it.
context: Nonoka.\Excuse me.\Sorry, I've been looking for you.\Shione, is that you?\Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it. response:	My school's still on summer break.
context: Excuse me.\Sorry, I've been looking for you.\Shione, is that you?\Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break. response:	Vacation, huh?
context: Sorry, I've been looking for you.\Shione, is that you?\Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break.\Vacation, huh? response:	That's a bit disappointing.
context: Shione, is that you?\Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break.\Vacation, huh?\That's a bit disappointing. response:	I was hoping we could be together again.
context: Koharu.\I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break.\Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again. response:	Thanks.
context: I want you to come with us.\Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break.\Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again.\Thanks. response:	S-Sure.
context: Nonoka's back, and to think Shione's back, too!\That's not quite it.\My school's still on summer break.\Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again.\Thanks.\S-Sure. response:	What're you up to this time,
context: That's not quite it.\My school's still on summer break.\Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again.\Thanks.\S-Sure.\What're you up to this time, response:	getting Shione involved?
context: My school's still on summer break.\Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again.\Thanks.\S-Sure.\What're you up to this time,\getting Shione involved? response:	Let's all get together at the observatory one more time.
context: Vacation, huh?\That's a bit disappointing.\I was hoping we could be together again.\Thanks.\S-Sure.\What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time. response:	Like last time.
context: That's a bit disappointing.\I was hoping we could be together again.\Thanks.\S-Sure.\What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time.\Like last time. response:	This again?
context: I was hoping we could be together again.\Thanks.\S-Sure.\What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time.\Like last time.\This again? response:	We did try to call the saucer like you wanted us to,
context: Thanks.\S-Sure.\What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time.\Like last time.\This again?\We did try to call the saucer like you wanted us to, response:	but the saucer never came.
context: S-Sure.\What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time.\Like last time.\This again?\We did try to call the saucer like you wanted us to,\but the saucer never came. response:	How would I know anything about Noel?!
context: What're you up to this time,\getting Shione involved?\Let's all get together at the observatory one more time.\Like last time.\This again?\We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?! response:	Souta.
context: getting Shione involved?\Let's all get together at the observatory one more time.\Like last time.\This again?\We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?!\Souta. response:	Come on, let's let it go.
context: Let's all get together at the observatory one more time.\Like last time.\This again?\We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?!\Souta.\Come on, let's let it go. response:	I don't know anything about Noel.
context: Like last time.\This again?\We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?!\Souta.\Come on, let's let it go.\I don't know anything about Noel. response:	Yet...
context: This again?\We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?!\Souta.\Come on, let's let it go.\I don't know anything about Noel.\Yet... response:	I can't ignore it.
context: We did try to call the saucer like you wanted us to,\but the saucer never came.\How would I know anything about Noel?!\Souta.\Come on, let's let it go.\I don't know anything about Noel.\Yet...\I can't ignore it. response:	Me neither.
context: but the saucer never came.\How would I know anything about Noel?!\Souta.\Come on, let's let it go.\I don't know anything about Noel.\Yet...\I can't ignore it.\Me neither. response:	I can't get what Nonoka said out of my head.
context: How would I know anything about Noel?!\Souta.\Come on, let's let it go.\I don't know anything about Noel.\Yet...\I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head. response:	I'm always looking for memories of a girl I don't even know.
context: Souta.\Come on, let's let it go.\I don't know anything about Noel.\Yet...\I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know. response:	Even though there's no way I'd find her.
context: Come on, let's let it go.\I don't know anything about Noel.\Yet...\I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her. response:	Over and over.
context: I don't know anything about Noel.\Yet...\I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over. response:	Sorry, but
context: Yet...\I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over.\Sorry, but response:	I can't take it anymore!
context: I can't ignore it.\Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over.\Sorry, but\I can't take it anymore! response:	Yuzuki.
context: Me neither.\I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over.\Sorry, but\I can't take it anymore!\Yuzuki. response:	I know.
context: I can't get what Nonoka said out of my head.\I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over.\Sorry, but\I can't take it anymore!\Yuzuki.\I know. response:	Something's totally missing.
context: I'm always looking for memories of a girl I don't even know.\Even though there's no way I'd find her.\Over and over.\Sorry, but\I can't take it anymore!\Yuzuki.\I know.\Something's totally missing. response:	Right, Koharu, Souta?
context: Even though there's no way I'd find her.\Over and over.\Sorry, but\I can't take it anymore!\Yuzuki.\I know.\Something's totally missing.\Right, Koharu, Souta? response:	Yeah.
context: Over and over.\Sorry, but\I can't take it anymore!\Yuzuki.\I know.\Something's totally missing.\Right, Koharu, Souta?\Yeah. response:	I know we lost something important,
context: Sorry, but\I can't take it anymore!\Yuzuki.\I know.\Something's totally missing.\Right, Koharu, Souta?\Yeah.\I know we lost something important, response:	but I can't remember what it was.
context: I can't take it anymore!\Yuzuki.\I know.\Something's totally missing.\Right, Koharu, Souta?\Yeah.\I know we lost something important,\but I can't remember what it was. response:	I can't stand it.
context: Yuzuki.\I know.\Something's totally missing.\Right, Koharu, Souta?\Yeah.\I know we lost something important,\but I can't remember what it was.\I can't stand it. response:	I'm relieved.
context: I know.\Something's totally missing.\Right, Koharu, Souta?\Yeah.\I know we lost something important,\but I can't remember what it was.\I can't stand it.\I'm relieved. response:	That we're all the same.
context: Something's totally missing.\Right, Koharu, Souta?\Yeah.\I know we lost something important,\but I can't remember what it was.\I can't stand it.\I'm relieved.\That we're all the same. response:	Yuzuki, Koharu, Souta,
context: Right, Koharu, Souta?\Yeah.\I know we lost something important,\but I can't remember what it was.\I can't stand it.\I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta, response:	me, and Nonoka.
context: Yeah.\I know we lost something important,\but I can't remember what it was.\I can't stand it.\I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka. response:	We must all be connected by the same thoughts
context: I know we lost something important,\but I can't remember what it was.\I can't stand it.\I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts response:	since that time
context: but I can't remember what it was.\I can't stand it.\I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts\since that time response:	seven years ago.
context: I can't stand it.\I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts\since that time\seven years ago. response:	We have to find it again.
context: I'm relieved.\That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts\since that time\seven years ago.\We have to find it again. response:	Before we completely lose something important
context: That we're all the same.\Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts\since that time\seven years ago.\We have to find it again.\Before we completely lose something important response:	within us.
context: Yuzuki, Koharu, Souta,\me, and Nonoka.\We must all be connected by the same thoughts\since that time\seven years ago.\We have to find it again.\Before we completely lose something important\within us. response:	Nonoka.
context: me, and Nonoka.\We must all be connected by the same thoughts\since that time\seven years ago.\We have to find it again.\Before we completely lose something important\within us.\Nonoka. response:	Let's call the saucer.
context: We must all be connected by the same thoughts\since that time\seven years ago.\We have to find it again.\Before we completely lose something important\within us.\Nonoka.\Let's call the saucer. response:	What's this?
context: since that time\seven years ago.\We have to find it again.\Before we completely lose something important\within us.\Nonoka.\Let's call the saucer.\What's this? response:	I don't remember it being so wrecked.
context: seven years ago.\We have to find it again.\Before we completely lose something important\within us.\Nonoka.\Let's call the saucer.\What's this?\I don't remember it being so wrecked. response:	I know, right?
context: We have to find it again.\Before we completely lose something important\within us.\Nonoka.\Let's call the saucer.\What's this?\I don't remember it being so wrecked.\I know, right? response:	The time we spent here as kids
context: Before we completely lose something important\within us.\Nonoka.\Let's call the saucer.\What's this?\I don't remember it being so wrecked.\I know, right?\The time we spent here as kids response:	will never change.
context: within us.\Nonoka.\Let's call the saucer.\What's this?\I don't remember it being so wrecked.\I know, right?\The time we spent here as kids\will never change. response:	Noel loved seeing us smile.
context: Nonoka.\Let's call the saucer.\What's this?\I don't remember it being so wrecked.\I know, right?\The time we spent here as kids\will never change.\Noel loved seeing us smile. response:	So...
context: Let's call the saucer.\What's this?\I don't remember it being so wrecked.\I know, right?\The time we spent here as kids\will never change.\Noel loved seeing us smile.\So... response:	I'm a bit embarrassed, aren't you?
context: What's this?\I don't remember it being so wrecked.\I know, right?\The time we spent here as kids\will never change.\Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you? response:	Of course.
context: I don't remember it being so wrecked.\I know, right?\The time we spent here as kids\will never change.\Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you?\Of course. response:	I am, too.
context: I know, right?\The time we spent here as kids\will never change.\Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you?\Of course.\I am, too. response:	Really?
context: The time we spent here as kids\will never change.\Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you?\Of course.\I am, too.\Really? response:	You used to be pretty bold in public, Yuzuki.
context: will never change.\Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you?\Of course.\I am, too.\Really?\You used to be pretty bold in public, Yuzuki. response:	What?
context: Noel loved seeing us smile.\So...\I'm a bit embarrassed, aren't you?\Of course.\I am, too.\Really?\You used to be pretty bold in public, Yuzuki.\What? response:	I'm curious, too, about what the other Yuzuki did.
context: So...\I'm a bit embarrassed, aren't you?\Of course.\I am, too.\Really?\You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did. response:	I want to meet Noel.
context: I'm a bit embarrassed, aren't you?\Of course.\I am, too.\Really?\You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel. response:	Yeah.
context: Of course.\I am, too.\Really?\You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah. response:	I want to meet Noel-chan, too.
context: I am, too.\Really?\You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah.\I want to meet Noel-chan, too. response:	To be with Noel one more time...
context: Really?\You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time... response:	Noel, can you hear?
context: You used to be pretty bold in public, Yuzuki.\What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear? response:	We all want to see you.
context: What?\I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear?\We all want to see you. response:	That's what we're all wishing for.
context: I'm curious, too, about what the other Yuzuki did.\I want to meet Noel.\Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear?\We all want to see you.\That's what we're all wishing for. response:	Let's do it.
context: I want to meet Noel.\Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear?\We all want to see you.\That's what we're all wishing for.\Let's do it. response:	Shione's hat.
context: Yeah.\I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear?\We all want to see you.\That's what we're all wishing for.\Let's do it.\Shione's hat. response:	But we finally got to see you.
context: I want to meet Noel-chan, too.\To be with Noel one more time...\Noel, can you hear?\We all want to see you.\That's what we're all wishing for.\Let's do it.\Shione's hat.\But we finally got to see you. response:	I'll be here for a little longer.
context: To be with Noel one more time...\Noel, can you hear?\We all want to see you.\That's what we're all wishing for.\Let's do it.\Shione's hat.\But we finally got to see you.\I'll be here for a little longer. response:	Where are you staying?
context: Noel, can you hear?\We all want to see you.\That's what we're all wishing for.\Let's do it.\Shione's hat.\But we finally got to see you.\I'll be here for a little longer.\Where are you staying? response:	Well...
context: We all want to see you.\That's what we're all wishing for.\Let's do it.\Shione's hat.\But we finally got to see you.\I'll be here for a little longer.\Where are you staying?\Well... response:	I asked if she wanted to stay at my place.
context: That's what we're all wishing for.\Let's do it.\Shione's hat.\But we finally got to see you.\I'll be here for a little longer.\Where are you staying?\Well...\I asked if she wanted to stay at my place. response:	See you later.
context: Let's do it.\Shione's hat.\But we finally got to see you.\I'll be here for a little longer.\Where are you staying?\Well...\I asked if she wanted to stay at my place.\See you later. response:	Bye.
context: Shione's hat.\But we finally got to see you.\I'll be here for a little longer.\Where are you staying?\Well...\I asked if she wanted to stay at my place.\See you later.\Bye. response:	Bye.
context: But we finally got to see you.\I'll be here for a little longer.\Where are you staying?\Well...\I asked if she wanted to stay at my place.\See you later.\Bye.\Bye. response:	Come to the shop, too.
context: I'll be here for a little longer.\Where are you staying?\Well...\I asked if she wanted to stay at my place.\See you later.\Bye.\Bye.\Come to the shop, too. response:	I will. Bye.
context: Where are you staying?\Well...\I asked if she wanted to stay at my place.\See you later.\Bye.\Bye.\Come to the shop, too.\I will. Bye. response:	But are you sure?
context: Well...\I asked if she wanted to stay at my place.\See you later.\Bye.\Bye.\Come to the shop, too.\I will. Bye.\But are you sure? response:	Dad will be fine with it.
context: I asked if she wanted to stay at my place.\See you later.\Bye.\Bye.\Come to the shop, too.\I will. Bye.\But are you sure?\Dad will be fine with it. response:	He was totally fine with Noel, even.
context: See you later.\Bye.\Bye.\Come to the shop, too.\I will. Bye.\But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even. response:	Shione?
context: Bye.\Bye.\Come to the shop, too.\I will. Bye.\But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even.\Shione? response:	Nonoka,
context: Bye.\Come to the shop, too.\I will. Bye.\But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even.\Shione?\Nonoka, response:	make me a promise.
context: Come to the shop, too.\I will. Bye.\But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even.\Shione?\Nonoka,\make me a promise. response:	From now on, you're going to grow up experiencing many things.
context: I will. Bye.\But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even.\Shione?\Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things. response:	Of all those things, some of them are going to be sad or painful.
context: But are you sure?\Dad will be fine with it.\He was totally fine with Noel, even.\Shione?\Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful. response:	But at times like those, especially at times like those,
context: Dad will be fine with it.\He was totally fine with Noel, even.\Shione?\Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those, response:	you have to have the biggest smile you can.
context: He was totally fine with Noel, even.\Shione?\Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can. response:	That way, you can get over anything.
context: Shione?\Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything. response:	Anything?
context: Nonoka,\make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything.\Anything? response:	Yes, you're my Nonoka.
context: make me a promise.\From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything.\Anything?\Yes, you're my Nonoka. response:	I promise!
context: From now on, you're going to grow up experiencing many things.\Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything.\Anything?\Yes, you're my Nonoka.\I promise! response:	Shione.
context: Of all those things, some of them are going to be sad or painful.\But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything.\Anything?\Yes, you're my Nonoka.\I promise!\Shione. response:	What's up?
context: But at times like those, especially at times like those,\you have to have the biggest smile you can.\That way, you can get over anything.\Anything?\Yes, you're my Nonoka.\I promise!\Shione.\What's up? response:	When I was a kid, I saw a girl sitting here alone.
context: you have to have the biggest smile you can.\That way, you can get over anything.\Anything?\Yes, you're my Nonoka.\I promise!\Shione.\What's up?\When I was a kid, I saw a girl sitting here alone. response:	And I thought to myself,
context: That way, you can get over anything.\Anything?\Yes, you're my Nonoka.\I promise!\Shione.\What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself, response:	I'm going to be friends with her no matter what.
context: Anything?\Yes, you're my Nonoka.\I promise!\Shione.\What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what. response:	And that if I didn't become her friend, I'd regret it for the rest of my life.
context: Yes, you're my Nonoka.\I promise!\Shione.\What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life. response:	I'm glad it was you I met that day.
context: I promise!\Shione.\What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day. response:	Yes, me too.
context: Shione.\What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too. response:	Nozomitei
context: What's up?\When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too.\Nozomitei response:	Kirigon
context: When I was a kid, I saw a girl sitting here alone.\And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too.\Nozomitei\Kirigon response:	Shione?
context: And I thought to myself,\I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too.\Nozomitei\Kirigon\Shione? response:	Morning, Dad.
context: I'm going to be friends with her no matter what.\And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too.\Nozomitei\Kirigon\Shione?\Morning, Dad. response:	Morning.
context: And that if I didn't become her friend, I'd regret it for the rest of my life.\I'm glad it was you I met that day.\Yes, me too.\Nozomitei\Kirigon\Shione?\Morning, Dad.\Morning. response:	You're finally up.
context: I'm glad it was you I met that day.\Yes, me too.\Nozomitei\Kirigon\Shione?\Morning, Dad.\Morning.\You're finally up. response:	Where's Shione?
context: Yes, me too.\Nozomitei\Kirigon\Shione?\Morning, Dad.\Morning.\You're finally up.\Where's Shione? response:	She had business in Hokubi City.
context: Nozomitei\Kirigon\Shione?\Morning, Dad.\Morning.\You're finally up.\Where's Shione?\She had business in Hokubi City. response:	She left a while ago.
context: Kirigon\Shione?\Morning, Dad.\Morning.\You're finally up.\Where's Shione?\She had business in Hokubi City.\She left a while ago. response:	I see.
context: Shione?\Morning, Dad.\Morning.\You're finally up.\Where's Shione?\She had business in Hokubi City.\She left a while ago.\I see. response:	There, done.
context: Morning, Dad.\Morning.\You're finally up.\Where's Shione?\She had business in Hokubi City.\She left a while ago.\I see.\There, done. response:	Omelette rice?
context: Morning.\You're finally up.\Where's Shione?\She had business in Hokubi City.\She left a while ago.\I see.\There, done.\Omelette rice? response:	Yeah.
context: You're finally up.\Where's Shione?\She had business in Hokubi City.\She left a while ago.\I see.\There, done.\Omelette rice?\Yeah. response:	I had a request.
context: Where's Shione?\She had business in Hokubi City.\She left a while ago.\I see.\There, done.\Omelette rice?\Yeah.\I had a request. response:	From Shione?
context: She had business in Hokubi City.\She left a while ago.\I see.\There, done.\Omelette rice?\Yeah.\I had a request.\From Shione? response:	No, what was her name?
context: She left a while ago.\I see.\There, done.\Omelette rice?\Yeah.\I had a request.\From Shione?\No, what was her name? response:	Huh? She was here until just now.
