context: Good morning, Rizel... response:	Good morning, Princess.
context: That was close.\So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone. response:	By the way...
context: So, what do we do now?\We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone.\By the way... response:	You can put me down if you want.
context: We saw a place that looked like Biscotti as we fell, right?\Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want. response:	Where did it fall?
context: Yeah.\It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want.\Where did it fall? response:	Look!
context: It's pretty clear this is Flognarde,\so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want.\Where did it fall?\Look! response:	I saw them in a Galette encyclopedia. You can eat them.
context: so let's start by looking for our stuff.\You're right.\If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want.\Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them. response:	Those kind of look like dinosaurs.
context: You're right.\If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want.\Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs. response:	Yeah.
context: If we can find it, we can get a hold of everyone.\By the way...\You can put me down if you want.\Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah. response:	Where are we?
context: By the way...\You can put me down if you want.\Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah.\Where are we? response:	From the position of the stars,
context: You can put me down if you want.\Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah.\Where are we?\From the position of the stars, response:	I think Galette is that way.
context: Where did it fall?\Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah.\Where are we?\From the position of the stars,\I think Galette is that way. response:	In the worst case, we could walk there if we had to.
context: Look!\I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah.\Where are we?\From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to. response:	Isn't the wildlife around this place a little too crazy?
context: I saw them in a Galette encyclopedia. You can eat them.\Those kind of look like dinosaurs.\Yeah.\Where are we?\From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy? response:	Why don't we try dropping into that river?
context: Those kind of look like dinosaurs.\Yeah.\Where are we?\From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river? response:	It might be safer than this.
context: Yeah.\Where are we?\From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this. response:	I should've brought a swimsuit!
context: Where are we?\From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit! response:	We're safe.
context: From the position of the stars,\I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit!\We're safe. response:	This isn't really the season for diving.
context: I think Galette is that way.\In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit!\We're safe.\This isn't really the season for diving. response:	Agreed.
context: In the worst case, we could walk there if we had to.\Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit!\We're safe.\This isn't really the season for diving.\Agreed. response:	I'm worried about Tatsumaki and Cheney,
context: Isn't the wildlife around this place a little too crazy?\Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit!\We're safe.\This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney, response:	but I wonder if Becky made it to Pastillage.
context: Why don't we try dropping into that river?\It might be safer than this.\I should've brought a swimsuit!\We're safe.\This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage. response:	It feels like our problems were due to the thunderbolt,
context: It might be safer than this.\I should've brought a swimsuit!\We're safe.\This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt, response:	so I bet Becky's okay.
context: I should've brought a swimsuit!\We're safe.\This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay. response:	Yeah.
context: We're safe.\This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah. response:	We need to find our stuff
context: This isn't really the season for diving.\Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah.\We need to find our stuff response:	and get in contact with everybody.
context: Agreed.\I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah.\We need to find our stuff\and get in contact with everybody. response:	Now what?
context: I'm worried about Tatsumaki and Cheney,\but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah.\We need to find our stuff\and get in contact with everybody.\Now what? response:	Why is this happening?
context: but I wonder if Becky made it to Pastillage.\It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah.\We need to find our stuff\and get in contact with everybody.\Now what?\Why is this happening? response:	Um...
context: It feels like our problems were due to the thunderbolt,\so I bet Becky's okay.\Yeah.\We need to find our stuff\and get in contact with everybody.\Now what?\Why is this happening?\Um... response:	This happened, and then this, and then this...
context: so I bet Becky's okay.\Yeah.\We need to find our stuff\and get in contact with everybody.\Now what?\Why is this happening?\Um...\This happened, and then this, and then this... response:	And then this, probably...
context: Yeah.\We need to find our stuff\and get in contact with everybody.\Now what?\Why is this happening?\Um...\This happened, and then this, and then this...\And then this, probably... response:	Probably, yeah.
context: We need to find our stuff\and get in contact with everybody.\Now what?\Why is this happening?\Um...\This happened, and then this, and then this...\And then this, probably...\Probably, yeah. response:	This is too much hard mode for me!
context: and get in contact with everybody.\Now what?\Why is this happening?\Um...\This happened, and then this, and then this...\And then this, probably...\Probably, yeah.\This is too much hard mode for me! response:	Dodge, you guys!
context: Now what?\Why is this happening?\Um...\This happened, and then this, and then this...\And then this, probably...\Probably, yeah.\This is too much hard mode for me!\Dodge, you guys! response:	This is my forest.
context: Why is this happening?\Um...\This happened, and then this, and then this...\And then this, probably...\Probably, yeah.\This is too much hard mode for me!\Dodge, you guys!\This is my forest. response:	It's not good for humans to come here.
context: Um...\This happened, and then this, and then this...\And then this, probably...\Probably, yeah.\This is too much hard mode for me!\Dodge, you guys!\This is my forest.\It's not good for humans to come here. response:	Yukki-chan.
context: This happened, and then this, and then this...\And then this, probably...\Probably, yeah.\This is too much hard mode for me!\Dodge, you guys!\This is my forest.\It's not good for humans to come here.\Yukki-chan. response:	It seems like something happened.
context: And then this, probably...\Probably, yeah.\This is too much hard mode for me!\Dodge, you guys!\This is my forest.\It's not good for humans to come here.\Yukki-chan.\It seems like something happened. response:	Line up!
context: Probably, yeah.\This is too much hard mode for me!\Dodge, you guys!\This is my forest.\It's not good for humans to come here.\Yukki-chan.\It seems like something happened.\Line up! response:	Hurry! No wasting time!
context: This is too much hard mode for me!\Dodge, you guys!\This is my forest.\It's not good for humans to come here.\Yukki-chan.\It seems like something happened.\Line up!\Hurry! No wasting time! response:	Princess, the Advance Special Hero Search
context: Dodge, you guys!\This is my forest.\It's not good for humans to come here.\Yukki-chan.\It seems like something happened.\Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search response:	And Rescue Task Force is on their way.
context: This is my forest.\It's not good for humans to come here.\Yukki-chan.\It seems like something happened.\Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way. response:	Thanks!
context: It's not good for humans to come here.\Yukki-chan.\It seems like something happened.\Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks! response:	We, in the main force, will follow you.
context: Yukki-chan.\It seems like something happened.\Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you. response:	Company, march!
context: It seems like something happened.\Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you.\Company, march! response:	Rico...
context: Line up!\Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you.\Company, march!\Rico... response:	Yukki will be
context: Hurry! No wasting time!\Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you.\Company, march!\Rico...\Yukki will be response:	coming here from Fuugetsuan shortly!
context: Princess, the Advance Special Hero Search\And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you.\Company, march!\Rico...\Yukki will be\coming here from Fuugetsuan shortly! response:	I'm sure they're
context: And Rescue Task Force is on their way.\Thanks!\We, in the main force, will follow you.\Company, march!\Rico...\Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're response:	just a little lost.
context: Thanks!\We, in the main force, will follow you.\Company, march!\Rico...\Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost. response:	So...
context: We, in the main force, will follow you.\Company, march!\Rico...\Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost.\So... response:	Yes.
context: Company, march!\Rico...\Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost.\So...\Yes. response:	So let's hurry and find them!
context: Rico...\Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost.\So...\Yes.\So let's hurry and find them! response:	Hey! Sister!
context: Yukki will be\coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost.\So...\Yes.\So let's hurry and find them!\Hey! Sister! response:	Prince Gaul.
context: coming here from Fuugetsuan shortly!\I'm sure they're\just a little lost.\So...\Yes.\So let's hurry and find them!\Hey! Sister!\Prince Gaul. response:	What are you doing?
context: I'm sure they're\just a little lost.\So...\Yes.\So let's hurry and find them!\Hey! Sister!\Prince Gaul.\What are you doing? response:	You're still not leaving?
context: just a little lost.\So...\Yes.\So let's hurry and find them!\Hey! Sister!\Prince Gaul.\What are you doing?\You're still not leaving? response:	Gaul, don't be in such a panic.
context: So...\Yes.\So let's hurry and find them!\Hey! Sister!\Prince Gaul.\What are you doing?\You're still not leaving?\Gaul, don't be in such a panic. response:	We won't find find them if we go looking
context: Yes.\So let's hurry and find them!\Hey! Sister!\Prince Gaul.\What are you doing?\You're still not leaving?\Gaul, don't be in such a panic.\We won't find find them if we go looking response:	without any information.
context: So let's hurry and find them!\Hey! Sister!\Prince Gaul.\What are you doing?\You're still not leaving?\Gaul, don't be in such a panic.\We won't find find them if we go looking\without any information. response:	Prince, we're in touch with Biscotti
context: Hey! Sister!\Prince Gaul.\What are you doing?\You're still not leaving?\Gaul, don't be in such a panic.\We won't find find them if we go looking\without any information.\Prince, we're in touch with Biscotti response:	and Pastillage and gathering information.
context: Prince Gaul.\What are you doing?\You're still not leaving?\Gaul, don't be in such a panic.\We won't find find them if we go looking\without any information.\Prince, we're in touch with Biscotti\and Pastillage and gathering information. response:	Gaul-sama!
context: What are you doing?\You're still not leaving?\Gaul, don't be in such a panic.\We won't find find them if we go looking\without any information.\Prince, we're in touch with Biscotti\and Pastillage and gathering information.\Gaul-sama! response:	The search team is all ready in the courtyard!
