context: Looks like the village where I lived with Pa. response:	C'mon, Shippo!
context: That'll show'em!\It's safe now.\T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all. response:	You're strong, aren't you?
context: It's safe now.\T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you? response:	I'm Satsuki. What's your name?
context: T-Thank you, raccoon-dog.\I'm a fox.\For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name? response:	l-I'm Shippo.
context: I'm a fox.\For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo. response:	Shippo?
context: For saving me... want half?\Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo? response:	Hmm... cool name.
context: Huh?\The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo?\Hmm... cool name. response:	My pa named me.
context: The dried persimmon I stole. It's yummy.\S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo?\Hmm... cool name.\My pa named me. response:	Yeah? So your pa is a raccoon-dog demon?
context: S- She was the culprit, after all.\You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo?\Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon? response:	No, a fox.
context: You're strong, aren't you?\I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo?\Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox. response:	Just teasing.
context: I'm Satsuki. What's your name?\l-I'm Shippo.\Shippo?\Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing. response:	Satsuki, don't you have parents?
context: l-I'm Shippo.\Shippo?\Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing.\Satsuki, don't you have parents? response:	They died right after I was born.
context: Shippo?\Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing.\Satsuki, don't you have parents?\They died right after I was born. response:	I see...
context: Hmm... cool name.\My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing.\Satsuki, don't you have parents?\They died right after I was born.\I see... response:	But I have a big brother.
context: My pa named me.\Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing.\Satsuki, don't you have parents?\They died right after I was born.\I see...\But I have a big brother. response:	He's gonna prove himself in battle and become a samurai...
context: Yeah? So your pa is a raccoon-dog demon?\No, a fox.\Just teasing.\Satsuki, don't you have parents?\They died right after I was born.\I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai... response:	then he's coming for me.
context: No, a fox.\Just teasing.\Satsuki, don't you have parents?\They died right after I was born.\I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me. response:	Huh? Were those kids lying then? Didn't your brother...
context: Just teasing.\Satsuki, don't you have parents?\They died right after I was born.\I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother... response:	He'll come home.
context: Satsuki, don't you have parents?\They died right after I was born.\I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home. response:	Even if he dies, he'll come back alive.
context: They died right after I was born.\I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive. response:	Huh?
context: I see...\But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive.\Huh? response:	I'll show only you. It's my treasure.
context: But I have a big brother.\He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure. response:	Anything I wish on it will come true.
context: He's gonna prove himself in battle and become a samurai...\then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true. response:	Isn't it pretty? It's a piece of something called...
context: then he's coming for me.\Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called... response:	the Jewel of Four Souls.
context: Huh? Were those kids lying then? Didn't your brother...\He'll come home.\Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls. response:	T- The Jewel of Four Souls?
context: He'll come home.\Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls? response:	Brother, what is it?
context: Even if he dies, he'll come back alive.\Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it? response:	It's a shard from the Jewel of Four Souls which grants any wish.
context: Huh?\I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish. response:	I'll become a samurai without fail.
context: I'll show only you. It's my treasure.\Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail. response:	Uh-huh!
context: Anything I wish on it will come true.\Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh! response:	Brother wouldn't lie to me.
context: Isn't it pretty? It's a piece of something called...\the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me. response:	Are you really sure?
context: the Jewel of Four Souls.\T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me.\Are you really sure? response:	Is my home possessed by some demon?
context: T- The Jewel of Four Souls?\Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon? response:	Yes, we must exorcise it immediately.
context: Brother, what is it?\It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately. response:	This is my duty as a monk. I expect no payment, Headman.
context: It's a shard from the Jewel of Four Souls which grants any wish.\I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman. response:	Oh no...
context: I'll become a samurai without fail.\Uh-huh!\Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no... response:	I shall provide meals and a place to sleep for you all this night.
context: Uh-huh!\Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night. response:	That Miroku... lying through his teeth again!
context: Brother wouldn't lie to me.\Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again! response:	Sh...!
context: Are you really sure?\Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...! response:	Huh?!
context: Is my home possessed by some demon?\Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...!\Huh?! response:	What's up?
context: Yes, we must exorcise it immediately.\This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...!\Huh?!\What's up? response:	Sh...!
context: This is my duty as a monk. I expect no payment, Headman.\Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...!\Huh?!\What's up?\Sh...! response:	E-Earthquake!
context: Oh no...\I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...!\Huh?!\What's up?\Sh...!\E-Earthquake! response:	So... there was a demon.
context: I shall provide meals and a place to sleep for you all this night.\That Miroku... lying through his teeth again!\Sh...!\Huh?!\What's up?\Sh...!\E-Earthquake!\So... there was a demon. response:	It was true.
context: That Miroku... lying through his teeth again!\Sh...!\Huh?!\What's up?\Sh...!\E-Earthquake!\So... there was a demon.\It was true. response:	So you weren't lying?
context: Sh...!\Huh?!\What's up?\Sh...!\E-Earthquake!\So... there was a demon.\It was true.\So you weren't lying? response:	Excuse me!
context: Huh?!\What's up?\Sh...!\E-Earthquake!\So... there was a demon.\It was true.\So you weren't lying?\Excuse me! response:	Big news!
context: What's up?\Sh...!\E-Earthquake!\So... there was a demon.\It was true.\So you weren't lying?\Excuse me!\Big news! response:	Huh?
context: Sh...!\E-Earthquake!\So... there was a demon.\It was true.\So you weren't lying?\Excuse me!\Big news!\Huh? response:	Kagome!
context: E-Earthquake!\So... there was a demon.\It was true.\So you weren't lying?\Excuse me!\Big news!\Huh?\Kagome! response:	Shippo, how did you find us?
context: So... there was a demon.\It was true.\So you weren't lying?\Excuse me!\Big news!\Huh?\Kagome!\Shippo, how did you find us? response:	I figured Miroku would be performing an exorcism at
context: It was true.\So you weren't lying?\Excuse me!\Big news!\Huh?\Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at response:	the finest-looking house in the village.
context: So you weren't lying?\Excuse me!\Big news!\Huh?\Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village. response:	l-I found it... the Sacred Jewel Shard!
context: Excuse me!\Big news!\Huh?\Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard! response:	What?
context: Big news!\Huh?\Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What? response:	That girl?
context: Huh?\Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What?\That girl? response:	Oh, it's Satsuki.
context: Kagome!\Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What?\That girl?\Oh, it's Satsuki. response:	Listen, will you show me your shard?
context: Shippo, how did you find us?\I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What?\That girl?\Oh, it's Satsuki.\Listen, will you show me your shard? response:	You won't take it, will you?
context: I figured Miroku would be performing an exorcism at\the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What?\That girl?\Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you? response:	We will! If it's real.
context: the finest-looking house in the village.\l-I found it... the Sacred Jewel Shard!\What?\That girl?\Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real. response:	Inuyasha, sit!
context: l-I found it... the Sacred Jewel Shard!\What?\That girl?\Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real.\Inuyasha, sit! response:	Don't worry. ljust want to see.
context: What?\That girl?\Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see. response:	Oh no! If it's real, we'll have to take it from her!
context: That girl?\Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her! response:	Then Satsuki's wish won't...
context: Oh, it's Satsuki.\Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't... response:	Oh, stupid me! What have I done?!
context: Listen, will you show me your shard?\You won't take it, will you?\We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?! response:	Stupid! Stupid me!
context: You won't take it, will you?\We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me! response:	Kagome...
context: We will! If it's real.\Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome... response:	That's enough. I'm goin' home.
context: Inuyasha, sit!\Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home. response:	Thank you. Be careful now.
context: Don't worry. ljust want to see.\Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now. response:	Is it okay to let her go?
context: Oh no! If it's real, we'll have to take it from her!\Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go? response:	Satsuki! Have you changed your mind about living here?
context: Then Satsuki's wish won't...\Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here? response:	No! Brother will come home some day.
context: Oh, stupid me! What have I done?!\Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day. response:	Kagome... that shard...
context: Stupid! Stupid me!\Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard... response:	Hmm...
context: Kagome...\That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard...\Hmm... response:	Shippo, that was a stone flower.
context: That's enough. I'm goin' home.\Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard...\Hmm...\Shippo, that was a stone flower. response:	Stone flower?
context: Thank you. Be careful now.\Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard...\Hmm...\Shippo, that was a stone flower.\Stone flower? response:	In other words, a quartz.
context: Is it okay to let her go?\Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard...\Hmm...\Shippo, that was a stone flower.\Stone flower?\In other words, a quartz. response:	You can dig it up in the mountains.
context: Satsuki! Have you changed your mind about living here?\No! Brother will come home some day.\Kagome... that shard...\Hmm...\Shippo, that was a stone flower.\Stone flower?\In other words, a quartz.\You can dig it up in the mountains. response:	It's not a Sacred Jewel Shard.
context: No! Brother will come home some day.\Kagome... that shard...\Hmm...\Shippo, that was a stone flower.\Stone flower?\In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard. response:	l-It's a fake?
context: Kagome... that shard...\Hmm...\Shippo, that was a stone flower.\Stone flower?\In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake? response:	Satsuki...
context: Hmm...\Shippo, that was a stone flower.\Stone flower?\In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki... response:	Satsuki is a pitiful child.
context: Shippo, that was a stone flower.\Stone flower?\In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki...\Satsuki is a pitiful child. response:	Her brother really is dead, but she won't believe it.
context: Stone flower?\In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it. response:	Oh...
context: In other words, a quartz.\You can dig it up in the mountains.\It's not a Sacred Jewel Shard.\l-It's a fake?\Satsuki...\Satsuki is a pitiful child.\Her brother really is dead, but she won't believe it.\Oh... response:	Please bring Brother back home soon.
