context: Dreadful... response:	What is that?
context: During the Boshin War, he boarded an ironclad ship and sank it unaided.\But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt. response:	We entrust ourselves to your care on our journey.
context: But you know, now that we have the Princess on our side,\I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey. response:	Er, yes...
context: I would hate for her to get caught up in an assassination plot.\That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes... response:	These Japanese people are peculiar.
context: That won't be a problem.\That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar. response:	I'm sure they'd love to hear that from a native of the Black Lizard Planet.
context: That is what our Principal is for.\I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet. response:	I understand you came here to revise the treaty, Lord Horikawa?
context: I've had the royal car prepared for you.\It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa? response:	The current terms are far too one-sided.
context: It will take us to London. This way, please.\All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided. response:	Of course, this is a result of our own ignorance.
context: All this, for us. We are deeply in your debt.\We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance. response:	However...
context: We entrust ourselves to your care on our journey.\Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However... response:	Horikawa-sama, this is not the place.
context: Er, yes...\These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place. response:	Uh, yes.
context: These Japanese people are peculiar.\I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place.\Uh, yes. response:	Of course.
context: I'm sure they'd love to hear that from a native of the Black Lizard Planet.\I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place.\Uh, yes.\Of course. response:	I see how important this is to you, Lord Horikawa.
context: I understand you came here to revise the treaty, Lord Horikawa?\The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place.\Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa. response:	I have no authority over it myself,
context: The current terms are far too one-sided.\Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place.\Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself, response:	but I can promise you a meeting with my Grandmother.
context: Of course, this is a result of our own ignorance.\However...\Horikawa-sama, this is not the place.\Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother. response:	Oh!
context: However...\Horikawa-sama, this is not the place.\Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh! response:	I am in your debt. Truly, truly in your debt.
context: Horikawa-sama, this is not the place.\Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt. response:	Please, you mustn't!
context: Uh, yes.\Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't! response:	It's nothing...
context: Of course.\I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing... response:	Someone's here.
context: I see how important this is to you, Lord Horikawa.\I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing...\Someone's here. response:	We're on a moving train. No one could...
context: I have no authority over it myself,\but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing...\Someone's here.\We're on a moving train. No one could... response:	Who are you?
context: but I can promise you a meeting with my Grandmother.\Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing...\Someone's here.\We're on a moving train. No one could...\Who are you? response:	You Western women have no manners.
context: Oh!\I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing...\Someone's here.\We're on a moving train. No one could...\Who are you?\You Western women have no manners. response:	When you ask someone's name, you first name yourself.
context: I am in your debt. Truly, truly in your debt.\Please, you mustn't!\It's nothing...\Someone's here.\We're on a moving train. No one could...\Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself. response:	Are you Todo Jubei?
context: Please, you mustn't!\It's nothing...\Someone's here.\We're on a moving train. No one could...\Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei? response:	I didn't expect you to be a woman.
context: It's nothing...\Someone's here.\We're on a moving train. No one could...\Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman. response:	Two handguns.
context: Someone's here.\We're on a moving train. No one could...\Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns. response:	At your bosom and behind your waist.
context: We're on a moving train. No one could...\Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist. response:	And your left shoe...
context: Who are you?\You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist.\And your left shoe... response:	You have something hidden there.
context: You Western women have no manners.\When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist.\And your left shoe...\You have something hidden there. response:	I hear the faint clinking of metal.
context: When you ask someone's name, you first name yourself.\Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist.\And your left shoe...\You have something hidden there.\I hear the faint clinking of metal. response:	Jumping onto a train with no backup.
context: Are you Todo Jubei?\I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist.\And your left shoe...\You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup. response:	That's a legendary killer for you.
context: I didn't expect you to be a woman.\Two handguns.\At your bosom and behind your waist.\And your left shoe...\You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you. response:	You little-!
context: Two handguns.\At your bosom and behind your waist.\And your left shoe...\You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you.\You little-! response:	Dorothy!
context: At your bosom and behind your waist.\And your left shoe...\You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you.\You little-!\Dorothy! response:	The world is truly vast.
context: And your left shoe...\You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you.\You little-!\Dorothy!\The world is truly vast. response:	To think I would find such martial skill in the West.
context: You have something hidden there.\I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you.\You little-!\Dorothy!\The world is truly vast.\To think I would find such martial skill in the West. response:	You impress me, too. So the story about you killing 100 men was hardly fake.
context: I hear the faint clinking of metal.\Jumping onto a train with no backup.\That's a legendary killer for you.\You little-!\Dorothy!\The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake. response:	Stop!
context: Jumping onto a train with no backup.\That's a legendary killer for you.\You little-!\Dorothy!\The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop! response:	She is not the assassin!
context: That's a legendary killer for you.\You little-!\Dorothy!\The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin! response:	Hold your fire!
context: You little-!\Dorothy!\The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin!\Hold your fire! response:	She's NOT our enemy?
context: Dorothy!\The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin!\Hold your fire!\She's NOT our enemy? response:	Chise-dono, what are you doing here?
context: The world is truly vast.\To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin!\Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here? response:	You know why I'm here!
context: To think I would find such martial skill in the West.\You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin!\Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here! response:	To slay Todo Jubei!
context: You impress me, too. So the story about you killing 100 men was hardly fake.\Stop!\She is not the assassin!\Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei! response:	That is why
context: Stop!\She is not the assassin!\Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei!\That is why response:	I have come to this distant foreign land.
context: She is not the assassin!\Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei!\That is why\I have come to this distant foreign land. response:	I couldn't send you back alone.
context: Hold your fire!\She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei!\That is why\I have come to this distant foreign land.\I couldn't send you back alone. response:	For the time being, I will allow you to accompany me as far as London.
context: She's NOT our enemy?\Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei!\That is why\I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London. response:	Thank you, My Lord.
context: Chise-dono, what are you doing here?\You know why I'm here!\To slay Todo Jubei!\That is why\I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord. response:	You have my word, I will protect you and put an end to those rebels.
context: You know why I'm here!\To slay Todo Jubei!\That is why\I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels. response:	We agreed to take you with us,
context: To slay Todo Jubei!\That is why\I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us, response:	but any fighting will...
context: That is why\I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will... response:	I know Todo Jubei better than any of your samurai.
context: I have come to this distant foreign land.\I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai. response:	Yes, but...
context: I couldn't send you back alone.\For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but... response:	I'm against it.
context: For the time being, I will allow you to accompany me as far as London.\Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it. response:	With Princess onboard,
context: Thank you, My Lord.\You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it.\With Princess onboard, response:	I cannot allow any dubious characters to ride this train.
context: You have my word, I will protect you and put an end to those rebels.\We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train. response:	You question my intent?
context: We agreed to take you with us,\but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent? response:	You ARE a stowaway.
context: but any fighting will...\I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway. response:	Then allow me to prove my trustworthiness.
context: I know Todo Jubei better than any of your samurai.\Yes, but...\I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness. response:	Stop it, both of you.
context: Yes, but...\I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you. response:	Chise-dono, put your sword away.
context: I'm against it.\With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away. response:	Ange.
context: With Princess onboard,\I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away.\Ange. response:	I want you to be Miss Chise's buddy.
context: I cannot allow any dubious characters to ride this train.\You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy. response:	What?
context: You question my intent?\You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy.\What? response:	Buddy, buddy...
context: You ARE a stowaway.\Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy.\What?\Buddy, buddy... response:	It means partner.
context: Then allow me to prove my trustworthiness.\Stop it, both of you.\Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy.\What?\Buddy, buddy...\It means partner. response:	Me? Partner to HER?
context: Stop it, both of you.\Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy.\What?\Buddy, buddy...\It means partner.\Me? Partner to HER? response:	Princess,
context: Chise-dono, put your sword away.\Ange.\I want you to be Miss Chise's buddy.\What?\Buddy, buddy...\It means partner.\Me? Partner to HER?\Princess, response:	this isn't funny.
context: Ange.\I want you to be Miss Chise's buddy.\What?\Buddy, buddy...\It means partner.\Me? Partner to HER?\Princess,\this isn't funny. response:	If this girl is dangerous,
context: I want you to be Miss Chise's buddy.\What?\Buddy, buddy...\It means partner.\Me? Partner to HER?\Princess,\this isn't funny.\If this girl is dangerous, response:	that's all the more reason to put her under the watchful eye of someone I can trust.
context: What?\Buddy, buddy...\It means partner.\Me? Partner to HER?\Princess,\this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust. response:	There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.
context: Buddy, buddy...\It means partner.\Me? Partner to HER?\Princess,\this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose. response:	It will take more than a flimsy attack to kill Lord Horikawa.
context: It means partner.\Me? Partner to HER?\Princess,\this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa. response:	Jubei's attacks are not flimsy.
context: Me? Partner to HER?\Princess,\this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy. response:	Have you fought him?
context: Princess,\this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him? response:	Many times.
context: this isn't funny.\If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him?\Many times. response:	Why did you fight him?
context: If this girl is dangerous,\that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him?\Many times.\Why did you fight him? response:	Was it a matter of principle?
context: that's all the more reason to put her under the watchful eye of someone I can trust.\There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him?\Many times.\Why did you fight him?\Was it a matter of principle? response:	Or was it some matter between the masters you serve?
context: There's a platoon of 50 railroad security guards riding in Car 5 and the caboose.\It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him?\Many times.\Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve? response:	Is this an interrogation?
context: It will take more than a flimsy attack to kill Lord Horikawa.\Jubei's attacks are not flimsy.\Have you fought him?\Many times.\Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation? response:	We're buddies. We need to get to know each other.
context: Jubei's attacks are not flimsy.\Have you fought him?\Many times.\Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other. response:	I hail from the Saga domain. A samurai clan. Age 16.
context: Have you fought him?\Many times.\Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16. response:	I like pickles.
context: Many times.\Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles. response:	And you?
context: Why did you fight him?\Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you? response:	Ange. Age 17.
context: Was it a matter of principle?\Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you?\Ange. Age 17. response:	I come from the Black Lizard Planet.
context: Or was it some matter between the masters you serve?\Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you?\Ange. Age 17.\I come from the Black Lizard Planet. response:	I see! That's how you learned those martial arts.
context: Is this an interrogation?\We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you?\Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts. response:	Princess Kaguya, too, came from the Moon.
context: We're buddies. We need to get to know each other.\I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you?\Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon. response:	It all makes sense.
context: I hail from the Saga domain. A samurai clan. Age 16.\I like pickles.\And you?\Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense. response:	You have Selenites in Japan?
context: I like pickles.\And you?\Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan? response:	Not only people from among the stars. We live close to the gods, as well.
context: And you?\Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well. response:	Close to the gods?
context: Ange. Age 17.\I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods? response:	They reside in the mountains, the rivers,
context: I come from the Black Lizard Planet.\I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers, response:	even in the latrine.
context: I see! That's how you learned those martial arts.\Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers,\even in the latrine. response:	What?
context: Princess Kaguya, too, came from the Moon.\It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers,\even in the latrine.\What? response:	This is the only stop before we get to London.
context: It all makes sense.\You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers,\even in the latrine.\What?\This is the only stop before we get to London. response:	Which is to say, if he were to attack, he would do it here.
context: You have Selenites in Japan?\Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers,\even in the latrine.\What?\This is the only stop before we get to London.\Which is to say, if he were to attack, he would do it here. response:	Don't cry.
context: Not only people from among the stars. We live close to the gods, as well.\Close to the gods?\They reside in the mountains, the rivers,\even in the latrine.\What?\This is the only stop before we get to London.\Which is to say, if he were to attack, he would do it here.\Don't cry. response:	I will take the pain away.
