context: Mother... response:	I can't do anythin' at all with Goku- sa!
context: they'd be unable to tell her!\Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work! response:	By the way, Kuririn, what about the Dragon Balls?
context: Oh? So you're saying that I'm no normal person!?\T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls? response:	There were two of them at Son- kun's house, right?
context: T- that's not what I meant...\Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right? response:	I forgot.
context: Well, I suppose it's no surprise.\But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot. response:	You're good for nothing!
context: But we can't just keep quiet like this.\If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing! response:	I wonder what happened to Kuririn.
context: If we wrote her a letter explaining what happened,\perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing!\I wonder what happened to Kuririn. response:	Chichi, don't get so worked-up, I tell ya. Kuririn was just-
context: perhaps she would understand.\R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just- response:	Pa, would you shut up!?
context: R- right! That will work!\By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!? response:	He told me he'd be sure to be back by nighttime!
context: By the way, Kuririn, what about the Dragon Balls?\There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime! response:	Goku ain't been to the Kame House in a long time.
context: There were two of them at Son- kun's house, right?\I forgot.\You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time. response:	He must've just accidentally lost track of time talkin' about the old days!
context: I forgot.\You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days! response:	That may be fine for Goku- sa, but Gohan has his cram school!
context: You're good for nothing!\I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school! response:	D- don't be silly! Gohan is four years old!
context: I wonder what happened to Kuririn.\Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old! response:	It won't hurt for him to skip just one day of cram school.
context: Chichi, don't get so worked-up, I tell ya. Kuririn was just-\Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school. response:	You're too soft, Pa!
context: Pa, would you shut up!?\He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa! response:	In these coming times, it's those who can study that will win out!
context: He told me he'd be sure to be back by nighttime!\Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out! response:	Chichi! Chichi! I ain't fastened in!
context: Goku ain't been to the Kame House in a long time.\He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in! response:	I wonder if this is it...
context: He must've just accidentally lost track of time talkin' about the old days!\That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it... response:	Hey there, it's finally finished!
context: That may be fine for Goku- sa, but Gohan has his cram school!\D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished! response:	How nice of you guys to be napping around at a time like this!
context: D- don't be silly! Gohan is four years old!\It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this! response:	Now then, you there, Grandpa Turtle, stand on up.
context: It won't hurt for him to skip just one day of cram school.\You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up. response:	G- Grandpa Turtle?
context: You're too soft, Pa!\In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle? response:	I changed the display numbers to make it easier to understand.
context: In these coming times, it's those who can study that will win out!\Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand. response:	Let's see, 139...
context: Chichi! Chichi! I ain't fastened in!\I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139... response:	139? I'm not as young as that!
context: I wonder if this is it...\Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that! response:	This is the number that represents your strength, Muten Roshi- sama.
context: Hey there, it's finally finished!\How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama. response:	The number that represents my strength? Whoa, that's an incredible device.
context: How nice of you guys to be napping around at a time like this!\Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device. response:	It can even tell that?
context: Now then, you there, Grandpa Turtle, stand on up.\G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that? response:	B- Bulma- san, what would my number be?
context: G- Grandpa Turtle?\I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be? response:	Amazing! It says 206!
context: I changed the display numbers to make it easier to understand.\Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206! response:	Muten Roshi- sama, I really have surpassed you, huh?
context: Let's see, 139...\139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh? response:	H- hey, are you sure it's not malfunctioning?
context: 139? I'm not as young as that!\This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning? response:	Malfunctioning?
context: This is the number that represents your strength, Muten Roshi- sama.\The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning? response:	That could not be.
context: The number that represents my strength? Whoa, that's an incredible device.\It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be. response:	Just 0.001!
context: It can even tell that?\B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be.\Just 0.001! response:	It's not malfunctioning, all right!
context: B- Bulma- san, what would my number be?\Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be.\Just 0.001!\It's not malfunctioning, all right! response:	Yahoo!
context: Amazing! It says 206!\Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be.\Just 0.001!\It's not malfunctioning, all right!\Yahoo! response:	Is that right?
context: Muten Roshi- sama, I really have surpassed you, huh?\H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be.\Just 0.001!\It's not malfunctioning, all right!\Yahoo!\Is that right? response:	I don't mean to brag, but when it comes to my skills-
context: H- hey, are you sure it's not malfunctioning?\Malfunctioning?\That could not be.\Just 0.001!\It's not malfunctioning, all right!\Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills- response:	Hey! Hey!
context: Malfunctioning?\That could not be.\Just 0.001!\It's not malfunctioning, all right!\Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey! response:	Who could it be, this early?
context: That could not be.\Just 0.001!\It's not malfunctioning, all right!\Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early? response:	Hey, I say, hey! Hey!
context: Just 0.001!\It's not malfunctioning, all right!\Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey! response:	Hey! Hey!
context: It's not malfunctioning, all right!\Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey! response:	Who's out here calling to us so unusually?
context: Yahoo!\Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually? response:	It's me!
context: Is that right?\I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually?\It's me! response:	Y- you're that guy who was at Karin- sama's place,
context: I don't mean to brag, but when it comes to my skills-\Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place, response:	as I recall- Armadillo!
context: Hey! Hey!\Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo! response:	That's Yajirobe, ya dumb bastard!
context: Who could it be, this early?\Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard! response:	I'll just betcha ya got my name wrong on purpose!
context: Hey, I say, hey! Hey!\Hey! Hey!\Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose! response:	What're ya doin' buildin' a house way out here?
context: Hey! Hey!\Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here? response:	Makes it a real hassle to find.
context: Who's out here calling to us so unusually?\It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find. response:	I came here at Karin's askin' to give ya a message.
context: It's me!\Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message. response:	A message from Karin- sama?
context: Y- you're that guy who was at Karin- sama's place,\as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama? response:	I know the whole situation, he says.
context: as I recall- Armadillo!\That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says. response:	So you, along with that Yamucha guy,
context: That's Yajirobe, ya dumb bastard!\I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy, response:	and that Ten-whatever-guy and Chaozu are to come immediately.
context: I'll just betcha ya got my name wrong on purpose!\What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately. response:	Everyone is to go to Karin-to Tower?
context: What're ya doin' buildin' a house way out here?\Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower? response:	What for?
context: Makes it a real hassle to find.\I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for? response:	Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.
context: I came here at Karin's askin' to give ya a message.\A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too. response:	R- really!?
context: A message from Karin- sama?\I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!? response:	Yeah. For my part,
context: I know the whole situation, he says.\So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part, response:	I told'em that I don't wanna fight no whatever-their-face-is aliens,
context: So you, along with that Yamucha guy,\and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens, response:	but they says I gotta do it no matter what. I've had it with'em.
context: and that Ten-whatever-guy and Chaozu are to come immediately.\Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em. response:	U- understood! I'll go find everyone and head there right away!
context: Everyone is to go to Karin-to Tower?\What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away! response:	Catch ya later. I told ya everythin', that's for sure.
context: What for?\Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure. response:	Oh yeah, right. I forgot.
context: Kami- sama, see, is gonna give us trainin', he says. I'm in there with ya too.\R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot. response:	Goku says not to bring him back to life'fore those enemies come.
context: R- really!?\Yeah. For my part,\I told'em that I don't wanna fight no whatever-their-face-is aliens,\but they says I gotta do it no matter what. I've had it with'em.\U- understood! I'll go find everyone and head there right away!\Catch ya later. I told ya everythin', that's for sure.\Oh yeah, right. I forgot.\Goku says not to bring him back to life'fore those enemies come. response:	W- why not?
