context: Akatsuki Race/ Human Assassin, Lv. 92 Log Horizon response:	An elemental blizzard attack...
context: Group D is to rendezvous immediately.\All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko? response:	I'm the athletic type, after all.
context: All other groups are to remain on standby.\Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all. response:	Let's go all-out!
context: Group C is Akatsuki, right?\Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out! response:	All-out!
context: Yeah.\So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out!\All-out! response:	Akihabara Raid
context: So far, it's gone according to plan.\Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out!\All-out!\Akihabara Raid response:	Akihabara Raid.
context: Her detection abilities are crazy.\It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out!\All-out!\Akihabara Raid\Akihabara Raid. response:	Know your enemy.
context: It's finally time!\Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out!\All-out!\Akihabara Raid\Akihabara Raid.\Know your enemy. response:	Know exactly what he can and cannot do.
context: Will you be okay, Kyouko?\I'm the athletic type, after all.\Let's go all-out!\All-out!\Akihabara Raid\Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do. response:	And face yourself.
context: I'm the athletic type, after all.\Let's go all-out!\All-out!\Akihabara Raid\Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do.\And face yourself. response:	Face your own weakness!
context: Let's go all-out!\All-out!\Akihabara Raid\Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do.\And face yourself.\Face your own weakness! response:	Death Stinger!
context: All-out!\Akihabara Raid\Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do.\And face yourself.\Face your own weakness!\Death Stinger! response:	She hit him! That's a poison DoT!
context: Akihabara Raid\Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do.\And face yourself.\Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT! response:	I've always been ashamed of my small size.
context: Akihabara Raid.\Know your enemy.\Know exactly what he can and cannot do.\And face yourself.\Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size. response:	But...
context: Know your enemy.\Know exactly what he can and cannot do.\And face yourself.\Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But... response:	Your blood will be as dew on my blade, adventurer!
context: Know exactly what he can and cannot do.\And face yourself.\Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer! response:	The gifts everyone gave me are supporting me.
context: And face yourself.\Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me. response:	Akatsuki!
context: Face your own weakness!\Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki! response:	I'm fine.
context: Death Stinger!\She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine. response:	I'll end you!
context: She hit him! That's a poison DoT!\I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine.\I'll end you! response:	Orion Delay Blow!
context: I've always been ashamed of my small size.\But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine.\I'll end you!\Orion Delay Blow! response:	Get to the next area now!
context: But...\Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine.\I'll end you!\Orion Delay Blow!\Get to the next area now! response:	Thanks!
context: Your blood will be as dew on my blade, adventurer!\The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine.\I'll end you!\Orion Delay Blow!\Get to the next area now!\Thanks! response:	Thank you!
context: The gifts everyone gave me are supporting me.\Akatsuki!\I'm fine.\I'll end you!\Orion Delay Blow!\Get to the next area now!\Thanks!\Thank you! response:	You're running away, girl?
context: Akatsuki!\I'm fine.\I'll end you!\Orion Delay Blow!\Get to the next area now!\Thanks!\Thank you!\You're running away, girl? response:	A raid in Akihabara?
context: I'm fine.\I'll end you!\Orion Delay Blow!\Get to the next area now!\Thanks!\Thank you!\You're running away, girl?\A raid in Akihabara? response:	When this was a game, I never could've imagined that.
context: I'll end you!\Orion Delay Blow!\Get to the next area now!\Thanks!\Thank you!\You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that. response:	Viper's Trash!
context: Orion Delay Blow!\Get to the next area now!\Thanks!\Thank you!\You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash! response:	Bloody Piercing!
context: Get to the next area now!\Thanks!\Thank you!\You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing! response:	Why aren't the other Royal Guards coming to arrest Nelreth?
context: Thanks!\Thank you!\You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth? response:	The system is set up so that only we can be arrested.
context: Thank you!\You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested. response:	Which is what makes it possible for us to fight him in town, but...
context: You're running away, girl?\A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but... response:	You're still running, girl?
context: A raid in Akihabara?\When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl? response:	We'll slow him down a little here.
context: When this was a game, I never could've imagined that.\Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here. response:	Get to the next area!
context: Viper's Trash!\Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here.\Get to the next area! response:	We're with you.
context: Bloody Piercing!\Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here.\Get to the next area!\We're with you. response:	So don't worry, and smack him hard.
context: Why aren't the other Royal Guards coming to arrest Nelreth?\The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here.\Get to the next area!\We're with you.\So don't worry, and smack him hard. response:	Got it!
context: The system is set up so that only we can be arrested.\Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here.\Get to the next area!\We're with you.\So don't worry, and smack him hard.\Got it! response:	Thanks!
context: Which is what makes it possible for us to fight him in town, but...\You're still running, girl?\We'll slow him down a little here.\Get to the next area!\We're with you.\So don't worry, and smack him hard.\Got it!\Thanks! response:	For every adventurer within fifty meters, Rugrius gets a boost to his stats.
context: You're still running, girl?\We'll slow him down a little here.\Get to the next area!\We're with you.\So don't worry, and smack him hard.\Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats. response:	That's why we've put a curfew in effect.
context: We'll slow him down a little here.\Get to the next area!\We're with you.\So don't worry, and smack him hard.\Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect. response:	The only people in town are the twenty-four members of the full raid.
context: Get to the next area!\We're with you.\So don't worry, and smack him hard.\Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid. response:	We've formed them into small groups,
context: We're with you.\So don't worry, and smack him hard.\Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups, response:	and put them as far apart as possible.
context: So don't worry, and smack him hard.\Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible. response:	And Akatsuki is leading the murderer through the city,
context: Got it!\Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city, response:	so that he passes through each area.
context: Thanks!\For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area. response:	Contact
context: For every adventurer within fifty meters, Rugrius gets a boost to his stats.\That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact response:	Kiting, in other words.
context: That's why we've put a curfew in effect.\The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact\Kiting, in other words. response:	Each group will simultaneously heal their allies and attack the enemy.
context: The only people in town are the twenty-four members of the full raid.\We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy. response:	I can see why you're the training squad head
context: We've formed them into small groups,\and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head response:	for the Yamato server's largest combat guild, D.D.D.!
context: and put them as far apart as possible.\And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.! response:	This plan is going to work!
context: And Akatsuki is leading the murderer through the city,\so that he passes through each area.\Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work! response:	Yes. Or it would, if this were a game.
context: so that he passes through each area.\Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game. response:	But this isn't a game anymore.
context: Contact\Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore. response:	Not every raid is designed so that it's possible to win.
context: Kiting, in other words.\Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win. response:	The enemy has that katana, as well as Royal Guard armor, and he can teleport.
context: Each group will simultaneously heal their allies and attack the enemy.\I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport. response:	He's entered the next area!
context: I can see why you're the training squad head\for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area! response:	I'll rip you apart, adventurers.
context: for the Yamato server's largest combat guild, D.D.D.!\This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers. response:	Wait, Nelreth...
context: This plan is going to work!\Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth... response:	First, that girl.
context: Yes. Or it would, if this were a game.\But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl. response:	And it gives him the knowledge and experience of a Royal Guard.
context: But this isn't a game anymore.\Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard. response:	There's no guarantee he will act the way we expect.
context: Not every raid is designed so that it's possible to win.\The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect. response:	Rieze-san...
context: The enemy has that katana, as well as Royal Guard armor, and he can teleport.\He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san... response:	I'm sorry.
context: He's entered the next area!\I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry. response:	Is it okay if I complain for a bit?
context: I'll rip you apart, adventurers.\Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry.\Is it okay if I complain for a bit? response:	I just realized
context: Wait, Nelreth...\First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry.\Is it okay if I complain for a bit?\I just realized response:	how terrifying it is
context: First, that girl.\And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry.\Is it okay if I complain for a bit?\I just realized\how terrifying it is response:	to involve someone else and not be able to take responsibility for them...
context: And it gives him the knowledge and experience of a Royal Guard.\There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry.\Is it okay if I complain for a bit?\I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them... response:	That princess has faced this terror since she was born, hasn't she?
context: There's no guarantee he will act the way we expect.\Rieze-san...\I'm sorry.\Is it okay if I complain for a bit?\I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she? response:	I respect that.
context: Rieze-san...\I'm sorry.\Is it okay if I complain for a bit?\I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that. response:	That's true for everyone at the Round Table.
context: I'm sorry.\Is it okay if I complain for a bit?\I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table. response:	And you, too, right?
context: Is it okay if I complain for a bit?\I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table.\And you, too, right? response:	For now, it is.
context: I just realized\how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table.\And you, too, right?\For now, it is. response:	For now, focus on your job.
context: how terrifying it is\to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table.\And you, too, right?\For now, it is.\For now, focus on your job. response:	Yeah.
context: to involve someone else and not be able to take responsibility for them...\That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table.\And you, too, right?\For now, it is.\For now, focus on your job.\Yeah. response:	Group D is to heal, and then meet up with Group C again.
context: That princess has faced this terror since she was born, hasn't she?\I respect that.\That's true for everyone at the Round Table.\And you, too, right?\For now, it is.\For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again. response:	Group F is to change course.
context: I respect that.\That's true for everyone at the Round Table.\And you, too, right?\For now, it is.\For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course. response:	Stand by at road D!
context: That's true for everyone at the Round Table.\And you, too, right?\For now, it is.\For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D! response:	You're sure about this?
context: And you, too, right?\For now, it is.\For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D!\You're sure about this? response:	Yes.
context: For now, it is.\For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D!\You're sure about this?\Yes. response:	This city will be defenseless against external attacks.
context: For now, focus on your job.\Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D!\You're sure about this?\Yes.\This city will be defenseless against external attacks. response:	It may not be able to stop internal fighting, and the zone will become lawless.
context: Yeah.\Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D!\You're sure about this?\Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless. response:	Yes.
context: Group D is to heal, and then meet up with Group C again.\Group F is to change course.\Stand by at road D!\You're sure about this?\Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes. response:	This failure is not only the Kunie Clan's responsibility,
context: Group F is to change course.\Stand by at road D!\You're sure about this?\Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility, response:	but that of all the People of the Land.
context: Stand by at road D!\You're sure about this?\Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land. response:	We need to do what we can
context: You're sure about this?\Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can response:	to apologize to the adventurers.
context: Yes.\This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers. response:	This time, that means shutting off the magic supply.
context: This city will be defenseless against external attacks.\It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply. response:	You may end up causing them greater trouble.
context: It may not be able to stop internal fighting, and the zone will become lawless.\Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble. response:	Don't worry.
context: Yes.\This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry. response:	As I've said before, the Round Table has agreed to this.
context: This failure is not only the Kunie Clan's responsibility,\but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this. response:	As fellow citizens of Akihabara,
context: but that of all the People of the Land.\We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara, response:	we'll do whatever it takes to help you put a stop to this.
context: We need to do what we can\to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this. response:	Very well.
context: to apologize to the adventurers.\This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well. response:	Regardless of the cause of this,
context: This time, that means shutting off the magic supply.\You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this, response:	it's true that the Kunie Clan has failed to keep the city safe.
context: You may end up causing them greater trouble.\Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe. response:	We've left a blotch on our several-century-long history
context: Don't worry.\As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history response:	of operating the magic circle and protecting the city.
context: As I've said before, the Round Table has agreed to this.\As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city. response:	Then...
context: As fellow citizens of Akihabara,\we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then... response:	As you say,
context: we'll do whatever it takes to help you put a stop to this.\Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then...\As you say, response:	we need to find something we can do and do it.
context: Very well.\Regardless of the cause of this,\it's true that the Kunie Clan has failed to keep the city safe.\We've left a blotch on our several-century-long history\of operating the magic circle and protecting the city.\Then...\As you say,\we need to find something we can do and do it. response:	We need to take a step forward, instead of rejecting you.
