context: Gold General response:	Knight
context: What the hell? People like that?\I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking. response:	I can not lose here.
context: I can't get irritated.\That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here. response:	No matter what.
context: That's where he'll eat me alive.\How can I be so arrogant?\I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what. response:	I couldn't even accurately gauge the strength of the player in front of me,
context: How can I be so arrogant?\I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me, response:	and I let my head get filled with a personal grudge.
context: I can't get irritated?\How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge. response:	He's a Rank A player and I treat him like a side character?
context: How can I misread his level so much?\I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character? response:	Am I an idiot?
context: I just wanted to win, so I drew the game out, waiting for him to make a mistake,\while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot? response:	I-I want to run away.
context: while I thought of him as a player for nothing more than his ranking.\I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away. response:	I want to disappear.
context: I can not lose here.\No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away.\I want to disappear. response:	From here...
context: No matter what.\I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away.\I want to disappear.\From here... response:	From here...
context: I couldn't even accurately gauge the strength of the player in front of me,\and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away.\I want to disappear.\From here...\From here... response:	From here...
context: and I let my head get filled with a personal grudge.\He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away.\I want to disappear.\From here...\From here...\From here... response:	Pitch black...
context: He's a Rank A player and I treat him like a side character?\Am I an idiot?\I-I want to run away.\I want to disappear.\From here...\From here...\From here...\Pitch black... response:	yet blinding...
context: Am I an idiot?\I-I want to run away.\I want to disappear.\From here...\From here...\From here...\Pitch black...\yet blinding... response:	I can't breathe...
context: I-I want to run away.\I want to disappear.\From here...\From here...\From here...\Pitch black...\yet blinding...\I can't breathe... response:	With that brief clearing of his throat,
context: I want to disappear.\From here...\From here...\From here...\Pitch black...\yet blinding...\I can't breathe...\With that brief clearing of his throat, response:	I understood he was telling me to calm down.
context: From here...\From here...\From here...\Pitch black...\yet blinding...\I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down. response:	At his prompting...
context: From here...\From here...\Pitch black...\yet blinding...\I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting... response:	I desperately searched for my next move.
context: From here...\Pitch black...\yet blinding...\I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move. response:	I searched...
context: Pitch black...\yet blinding...\I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move.\I searched... response:	And then I realized...
context: yet blinding...\I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move.\I searched...\And then I realized... response:	The fact that I'd been looking down my nose at him...
context: I can't breathe...\With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move.\I searched...\And then I realized...\The fact that I'd been looking down my nose at him... response:	The fact that I just figured out how wrong I was, and that I'm flustered...
context: With that brief clearing of his throat,\I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move.\I searched...\And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered... response:	He saw through it.
context: I understood he was telling me to calm down.\At his prompting...\I desperately searched for my next move.\I searched...\And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it. response:	He saw through all of it,
context: At his prompting...\I desperately searched for my next move.\I searched...\And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it, response:	and yet, he still sits there quietly.
context: I desperately searched for my next move.\I searched...\And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it,\and yet, he still sits there quietly. response:	If I run away in the middle of the game just because I'm mortified,
context: I searched...\And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified, response:	it would be truly selfish and he knows that, too.
context: And then I realized...\The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too. response:	Shogi Hall
context: The fact that I'd been looking down my nose at him...\The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall response:	And so I scraped up every last bit of desperation and continued playing.
context: The fact that I just figured out how wrong I was, and that I'm flustered...\He saw through it.\He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing. response:	But the match ended before I could recover at all.
context: He saw through it.\He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all. response:	And then...
context: He saw through all of it,\and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then... response:	F-From where?
context: and yet, he still sits there quietly.\If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then...\F-From where? response:	Well...
context: If I run away in the middle of the game just because I'm mortified,\it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then...\F-From where?\Well... response:	Why don't we replay a bit from here?
context: it would be truly selfish and he knows that, too.\Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then...\F-From where?\Well...\Why don't we replay a bit from here? response:	5-h-Rook! From there?
context: Shogi Hall\And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then...\F-From where?\Well...\Why don't we replay a bit from here?\5-h-Rook! From there? response:	He set it up right away, so that must have been the turning point.
context: And so I scraped up every last bit of desperation and continued playing.\But the match ended before I could recover at all.\And then...\F-From where?\Well...\Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point. response:	But...
context: But the match ended before I could recover at all.\And then...\F-From where?\Well...\Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But... response:	F-From here?
context: And then...\F-From where?\Well...\Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But...\F-From here? response:	From a position like this?
context: F-From where?\Well...\Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But...\F-From here?\From a position like this? response:	It was already going badly for me by then?
context: Well...\Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But...\F-From here?\From a position like this?\It was already going badly for me by then? response:	Okay, if I went to 5-d-Pawn?
context: Why don't we replay a bit from here?\5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But...\F-From here?\From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn? response:	Same, Gold.
context: 5-h-Rook! From there?\He set it up right away, so that must have been the turning point.\But...\F-From here?\From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold. response:	Same, Silver.
context: He set it up right away, so that must have been the turning point.\But...\F-From here?\From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver. response:	Same, Silver.
context: But...\F-From here?\From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver.\Same, Silver. response:	2-d-Bishop.
context: F-From here?\From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver.\Same, Silver.\2-d-Bishop. response:	Same, Pawn.
context: From a position like this?\It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver.\Same, Silver.\2-d-Bishop.\Same, Pawn. response:	Th-Then if I'd done this...
context: It was already going badly for me by then?\Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver.\Same, Silver.\2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this... response:	1-e-Pawn.
context: Okay, if I went to 5-d-Pawn?\Same, Gold.\Same, Silver.\Same, Silver.\2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn. response:	Same, Pawn.
context: Same, Gold.\Same, Silver.\Same, Silver.\2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn. response:	Then, how about 3-e-Silver?
context: Same, Silver.\Same, Silver.\2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver? response:	Same, Silver.
context: Same, Silver.\2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver. response:	Same, Bishop.
context: 2-d-Bishop.\Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop. response:	3-g-Pawn+.
context: Same, Pawn.\Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop.\3-g-Pawn+. response:	1-e-Lance.
context: Th-Then if I'd done this...\1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop.\3-g-Pawn+.\1-e-Lance. response:	Same, Lance.
context: 1-e-Pawn.\Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop.\3-g-Pawn+.\1-e-Lance.\Same, Lance. response:	3-d-Pawn.
context: Same, Pawn.\Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop.\3-g-Pawn+.\1-e-Lance.\Same, Lance.\3-d-Pawn. response:	4-b-Silver...
context: Then, how about 3-e-Silver?\Same, Silver.\Same, Bishop.\3-g-Pawn+.\1-e-Lance.\Same, Lance.\3-d-Pawn.\4-b-Silver... response:	Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?
context: Same, Silver.\Same, Bishop.\3-g-Pawn+.\1-e-Lance.\Same, Lance.\3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn? response:	5-g-Bishop+, same, Silver, 3-g-Bishop...
context: Same, Bishop.\3-g-Pawn+.\1-e-Lance.\Same, Lance.\3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop... response:	A complete defeat.
context: 3-g-Pawn+.\1-e-Lance.\Same, Lance.\3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat. response:	Both the match and my approach...
context: 1-e-Lance.\Same, Lance.\3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach... response:	Thank you...
context: Same, Lance.\3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach...\Thank you... response:	I was so embarrassed, my voice trembled.
context: 3-d-Pawn.\4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled. response:	Everything in front of me flickered in black and white.
context: 4-b-Silver...\Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white. response:	My insight, everything...
context: Th-Then what about 1-e-Pawn, same, Pawn, 6-e-Pawn?\5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything... response:	I...
context: 5-g-Bishop+, same, Silver, 3-g-Bishop...\A complete defeat.\Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything...\I... response:	Look at him go.
context: A complete defeat.\Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything...\I...\Look at him go. response:	Smith. Oh, today you have...
context: Both the match and my approach...\Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything...\I...\Look at him go.\Smith. Oh, today you have... response:	No, just here to practice a bit. Issa and I were discussing your match.
context: Thank you...\I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything...\I...\Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match. response:	I kind of feel bad for Kiriyama.
context: I was so embarrassed, my voice trembled.\Everything in front of me flickered in black and white.\My insight, everything...\I...\Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama. response:	With his inexperience, he misjudged his opponent's level,
context: Everything in front of me flickered in black and white.\My insight, everything...\I...\Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level, response:	got blown away, and now feels like he's lost everything.
context: My insight, everything...\I...\Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything. response:	I get it, I get it. The rashness of youth.
context: I...\Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth. response:	How embarrassing.
context: Look at him go.\Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing. response:	Sheesh...
context: Smith. Oh, today you have...\No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh... response:	Before this match, that punk only made copies of Mr. Gotou's and your game records.
context: No, just here to practice a bit. Issa and I were discussing your match.\I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records. response:	And I bet he focused on how Gotou has 20 games, but I only have five.
context: I kind of feel bad for Kiriyama.\With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five. response:	Wood Carving
context: With his inexperience, he misjudged his opponent's level,\got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving response:	What, I'm right?
context: got blown away, and now feels like he's lost everything.\I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right? response:	Wow, that kid pisses me off.
context: I get it, I get it. The rashness of youth.\How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right?\Wow, that kid pisses me off. response:	Well, I've done something similar before in the past.
context: How embarrassing.\Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past. response:	Although it wasn't anything as obvious as that.
context: Sheesh...\Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that. response:	Well, yeah. Well, everyone has. Well, a little bit.
context: Before this match, that punk only made copies of Mr. Gotou's and your game records.\And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit. response:	I don't want to remember mine, though.
context: And I bet he focused on how Gotou has 20 games, but I only have five.\Wood Carving\What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though. response:	So you've got Mr. Gotou next, huh?
context: Wood Carving\What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh? response:	Please do your best. He's scary, though. His face...
context: What, I'm right?\Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face... response:	Yeah. I want to win. Though he is scary... His face, anyway.
context: Wow, that kid pisses me off.\Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway. response:	I want to win, and then play against Souya.
context: Well, I've done something similar before in the past.\Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya. response:	The Title Match...
context: Although it wasn't anything as obvious as that.\Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match... response:	I'm starving. You want to stop somewhere?
context: Well, yeah. Well, everyone has. Well, a little bit.\I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere? response:	- I've kind of got something... - What, girlfriend?
context: I don't want to remember mine, though.\So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend? response:	Well, not exactly that...
context: So you've got Mr. Gotou next, huh?\Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend?\Well, not exactly that... response:	Well, fine then. Go on. Shoo, shoo.
context: Please do your best. He's scary, though. His face...\Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend?\Well, not exactly that...\Well, fine then. Go on. Shoo, shoo. response:	Then I'll see you. Good game today.
context: Yeah. I want to win. Though he is scary... His face, anyway.\I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend?\Well, not exactly that...\Well, fine then. Go on. Shoo, shoo.\Then I'll see you. Good game today. response:	Harunobu Nikaidou
context: I want to win, and then play against Souya.\The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend?\Well, not exactly that...\Well, fine then. Go on. Shoo, shoo.\Then I'll see you. Good game today.\Harunobu Nikaidou response:	Call Dialing
context: The Title Match...\I'm starving. You want to stop somewhere?\- I've kind of got something... - What, girlfriend?\Well, not exactly that...\Well, fine then. Go on. Shoo, shoo.\Then I'll see you. Good game today.\Harunobu Nikaidou\Call Dialing response:	Hello? Kiddo?
