context: Taichi. response:	Huh? What?
context: Rain takes longer to dry\Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations. response:	We should look towards a sport that isn't as harsh.
context: Naniwa Bay, now the flower blooms, but for winter\You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh. response:	Letting this slide won't teach our students anything.
context: You may be barred from playing in the tournament tomorrow.\No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything. response:	Committee Member Masuoka Masato (Grade 6)
context: No unauthorized personnel allowed\What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6) response:	If his purpose here is to participate in the individual tournament,
context: What do we do?\There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament, response:	it is our duty as educators to punish him by taking that away.
context: There's never been an incident with substituting before.\I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away. response:	B-But, you must realize...
context: I could ask a friend of mine who coaches baseball.\Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize... response:	They're close acquaintances
context: Wait, baseball is tough on violations.\We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances response:	So they can't say anything
context: We should look towards a sport that isn't as harsh.\Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances\So they can't say anything response:	Wataya Arata-kun is special.
context: Letting this slide won't teach our students anything.\Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances\So they can't say anything\Wataya Arata-kun is special. response:	Because he's the grandson of an Eternal Master?
context: Committee Member Masuoka Masato (Grade 6)\If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances\So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master? response:	No, that's not why.
context: If his purpose here is to participate in the individual tournament,\it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances\So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why. response:	He's a truly marvelous karuta player.
context: it is our duty as educators to punish him by taking that away.\B-But, you must realize...\They're close acquaintances\So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player. response:	Hello
context: B-But, you must realize...\They're close acquaintances\So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player.\Hello response:	I dare say that Master Suo can
context: They're close acquaintances\So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can response:	only be defeated if Wataya-kun continues to mature.
context: So they can't say anything\Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature. response:	Sunglasses aren't allowed?
context: Wataya Arata-kun is special.\Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed? response:	I can't deny that Master Suo is strong.
context: Because he's the grandson of an Eternal Master?\No, that's not why.\He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong. response:	Why not?
context: No, that's not why.\He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not? response:	But his strange behavior makes it difficult to use
context: He's a truly marvelous karuta player.\Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use response:	him as a role model for children.
context: Hello\I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use\him as a role model for children. response:	I truly believe that it is our duty to nurture Wataya-kun's growth!
context: I dare say that Master Suo can\only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth! response:	So much pressure on Arata-kun!
context: only be defeated if Wataya-kun continues to mature.\Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun! response:	So much hate for Master Suo.
context: Sunglasses aren't allowed?\I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo. response:	I don't know if I'll graduate this year.
context: I can't deny that Master Suo is strong.\Why not?\But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year. response:	He's right...
context: Why not?\But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right... response:	Master Suo is the biggest headache the karuta world has ever seen.
context: But his strange behavior makes it difficult to use\him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen. response:	Honestly, I want to see him lose as soon as possible,
context: him as a role model for children.\I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible, response:	I don't know when I will graduate.
context: I truly believe that it is our duty to nurture Wataya-kun's growth!\So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate. response:	but that doesn't make this right...
context: So much pressure on Arata-kun!\So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right... response:	Excuse me!
context: So much hate for Master Suo.\I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right...\Excuse me! response:	It wasn't Arata's fault!
context: I don't know if I'll graduate this year.\He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right...\Excuse me!\It wasn't Arata's fault! response:	I asked him to sit down with us!
context: He's right...\Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right...\Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us! response:	He helped make this tournament memorable for us!
context: Master Suo is the biggest headache the karuta world has ever seen.\Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right...\Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us! response:	We weren't trying to cheat our way to victory!
context: Honestly, I want to see him lose as soon as possible,\I don't know when I will graduate.\but that doesn't make this right...\Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory! response:	We just wanted to be able to play a match!
context: I don't know when I will graduate.\but that doesn't make this right...\Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match! response:	Shoji!
context: but that doesn't make this right...\Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji! response:	Please let Arata play in the individual tournament!
context: Excuse me!\It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament! response:	Shoji!
context: It wasn't Arata's fault!\I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament!\Shoji! response:	I beg you! I beg you!
context: I asked him to sit down with us!\He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you! response:	Is that so?
context: He helped make this tournament memorable for us!\We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you!\Is that so? response:	In that case...
context: We weren't trying to cheat our way to victory!\We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you!\Is that so?\In that case... response:	They can't do that!
context: We just wanted to be able to play a match!\Shoji!\Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you!\Is that so?\In that case...\They can't do that! response:	I have to accept my punishment.
context: Shoji!\Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you!\Is that so?\In that case...\They can't do that!\I have to accept my punishment. response:	Arata...
context: Please let Arata play in the individual tournament!\Shoji!\I beg you! I beg you!\Is that so?\In that case...\They can't do that!\I have to accept my punishment.\Arata... response:	But...
context: Shoji!\I beg you! I beg you!\Is that so?\In that case...\They can't do that!\I have to accept my punishment.\Arata...\But... response:	I'm focused on winning the individual tournament.
context: I beg you! I beg you!\Is that so?\In that case...\They can't do that!\I have to accept my punishment.\Arata...\But...\I'm focused on winning the individual tournament. response:	I'm not interested in team tournaments.
context: Is that so?\In that case...\They can't do that!\I have to accept my punishment.\Arata...\But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments. response:	Thank you...
context: In that case...\They can't do that!\I have to accept my punishment.\Arata...\But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you... response:	Thank you, Arata.
context: They can't do that!\I have to accept my punishment.\Arata...\But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you...\Thank you, Arata. response:	You should have started a team.
context: I have to accept my punishment.\Arata...\But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you...\Thank you, Arata.\You should have started a team. response:	I was just jealous.
context: Arata...\But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you...\Thank you, Arata.\You should have started a team.\I was just jealous. response:	Jealous that Taichi and Chihaya had their own team.
context: But...\I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you...\Thank you, Arata.\You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team. response:	Next time, we'll meet in a match. Arata
context: I'm focused on winning the individual tournament.\I'm not interested in team tournaments.\Thank you...\Thank you, Arata.\You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata response:	Sorry...
context: I'm not interested in team tournaments.\Thank you...\Thank you, Arata.\You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry... response:	I'm sorry...
context: Thank you...\Thank you, Arata.\You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry...\I'm sorry... response:	Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)
context: Thank you, Arata.\You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38) response:	Excuse me...
context: You should have started a team.\I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me... response:	Are you the coach for Yamaguchi Mioka High School?
context: I was just jealous.\Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School? response:	I'm Miyauchi, the advisor for Mizusawa.
context: Jealous that Taichi and Chihaya had their own team.\Next time, we'll meet in a match. Arata\Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa. response:	Oh, hello.
context: Next time, we'll meet in a match. Arata\Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello. response:	I'm very surprised.
context: Sorry...\I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised. response:	Your members are all third-years.
context: I'm sorry...\Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised.\Your members are all third-years. response:	They chose to participate in this tournament when they're
context: Yamaguchi Mioka High School Karuta Advisor Oikawa Tomonari (38)\Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're response:	probably busy studying for college exams?
context: Excuse me...\Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams? response:	Yes, karuta is very useful in studying for college exams.
context: Are you the coach for Yamaguchi Mioka High School?\I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams. response:	Oh, is that so?
context: I'm Miyauchi, the advisor for Mizusawa.\Oh, hello.\I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so? response:	It lets students train their concentration and memorization through a game.
context: Oh, hello.\I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game. response:	A convenient tool.
context: I'm very surprised.\Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool. response:	I'm not too interested in winning,
context: Your members are all third-years.\They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning, response:	but it's funny how we're beating schools that spend
context: They chose to participate in this tournament when they're\probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend response:	all their time practicing competitive karuta.
context: probably busy studying for college exams?\Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta. response:	My, that's terrifying.
context: Yes, karuta is very useful in studying for college exams.\Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying. response:	Beat the crap out of them.
context: Oh, is that so?\It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them. response:	Spends all her time practicing karuta
context: It lets students train their concentration and memorization through a game.\A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta response:	Especially you, Ayase-san!
context: A convenient tool.\I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta\Especially you, Ayase-san! response:	My life means nothing...
context: I'm not too interested in winning,\but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta\Especially you, Ayase-san!\My life means nothing... response:	The storm will soon carry...
context: but it's funny how we're beating schools that spend\all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta\Especially you, Ayase-san!\My life means nothing...\The storm will soon carry... response:	What now?
context: all their time practicing competitive karuta.\My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta\Especially you, Ayase-san!\My life means nothing...\The storm will soon carry...\What now? response:	My style is big on attacking the opponent's side,
context: My, that's terrifying.\Beat the crap out of them.\Spends all her time practicing karuta\Especially you, Ayase-san!\My life means nothing...\The storm will soon carry...\What now?\My style is big on attacking the opponent's side, response:	but I've never seen cards placed evenly in the middle like this!
