context: Conny! response:	Are there any survivors?
context: We're falling behind Gerger!\Reiner? Did you hear that?\The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but...\I think... response:	My mom...
context: Reiner? Did you hear that?\The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but...\I think...\My mom... response:	Conny! Do you understand the situation we're in?!
context: The Titan-\I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but...\I think...\My mom...\Conny! Do you understand the situation we're in?! response:	Hundreds of thousands of lives depend on whether we complete this mission or not!
context: I didn't hear anything at all.\Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but...\I think...\My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not! response:	Your family might have escaped, but it's not over yet!
context: Enough with the chit-chat. Focus on the mission!\But it... I think...\I don't know how, but...\I think...\My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet! response:	If you're a soldier, put the mission first!
context: But it... I think...\I don't know how, but...\I think...\My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first! response:	Yeah...
context: I don't know how, but...\I think...\My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah... response:	Good point.
context: I think...\My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah...\Good point. response:	He's absolutely right!
context: My mom...\Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah...\Good point.\He's absolutely right! response:	Southwestward
context: Conny! Do you understand the situation we're in?!\Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah...\Good point.\He's absolutely right!\Southwestward response:	7 hours after the Titan spotting Western Team
context: Hundreds of thousands of lives depend on whether we complete this mission or not!\Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah...\Good point.\He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team response:	We're getting close to the wall now, so there's no people living in the area.
context: Your family might have escaped, but it's not over yet!\If you're a soldier, put the mission first!\Yeah...\Good point.\He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area. response:	Right. That didn't take us very long.
context: If you're a soldier, put the mission first!\Yeah...\Good point.\He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long. response:	All right, let's head to the south.
context: Yeah...\Good point.\He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south. response:	What for?
context: Good point.\He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south.\What for? response:	There shouldn't be any villages south of here.
context: He's absolutely right!\Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south.\What for?\There shouldn't be any villages south of here. response:	We need to find the location the wall was breached.
context: Southwestward\7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south.\What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached. response:	We'll ride along the wall from the west until we find it.
context: 7 hours after the Titan spotting Western Team\We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south.\What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it. response:	But Christa and I don't have our battle gear.
context: We're getting close to the wall now, so there's no people living in the area.\Right. That didn't take us very long.\All right, let's head to the south.\What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear. response:	There's probably Titans roaming everywhere to our south.
context: Right. That didn't take us very long.\All right, let's head to the south.\What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south. response:	It's very possible that we'll become Titan fodder.
context: All right, let's head to the south.\What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder. response:	Let the two of us withdraw from the front.
context: What for?\There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front. response:	Ymir...
context: There shouldn't be any villages south of here.\We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir... response:	You can't. I'll need somebody to relay back a report.
context: We need to find the location the wall was breached.\We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report. response:	I know how you feel, but you signed up for this as a soldier.
context: We'll ride along the wall from the west until we find it.\But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier. response:	Ymir.
context: But Christa and I don't have our battle gear.\There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir. response:	I'm fine with putting my life on the line.
context: There's probably Titans roaming everywhere to our south.\It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line. response:	After all, I'm the one who chose to join the Scouts.
context: It's very possible that we'll become Titan fodder.\Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts. response:	But... it's not the same for you.
context: Let the two of us withdraw from the front.\Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you. response:	The only reason you joined the Scouts was because-
context: Ymir...\You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because- response:	Hmph! You think I did it for you?!
context: You can't. I'll need somebody to relay back a report.\I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?! response:	Then why are you even here?
context: I know how you feel, but you signed up for this as a soldier.\Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here? response:	You kept trying to convince me to join the Military Police.
context: Ymir.\I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police. response:	But then you gave that privilege to me!
context: I'm fine with putting my life on the line.\After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me! response:	There's no way I'm good enough to make the top ten on skill alone.
context: After all, I'm the one who chose to join the Scouts.\But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone. response:	I'm sure if I asked anyone, they'd say you deserved to be in it, not me.
context: But... it's not the same for you.\The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me. response:	I don't know how you did it, but...
context: The only reason you joined the Scouts was because-\Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but... response:	Why?
context: Hmph! You think I did it for you?!\Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why? response:	Why would you go that far for me?
context: Then why are you even here?\You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why?\Why would you go that far for me? response:	Does it...
context: You kept trying to convince me to join the Military Police.\But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why?\Why would you go that far for me?\Does it... response:	Yeah, it does.
context: But then you gave that privilege to me!\There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why?\Why would you go that far for me?\Does it...\Yeah, it does. response:	Christa...
context: There's no way I'm good enough to make the top ten on skill alone.\I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why?\Why would you go that far for me?\Does it...\Yeah, it does.\Christa... response:	Don't worry about it.
context: I'm sure if I asked anyone, they'd say you deserved to be in it, not me.\I don't know how you did it, but...\Why?\Why would you go that far for me?\Does it...\Yeah, it does.\Christa...\Don't worry about it. response:	The only reason I'm here... is for myself and nothing else.
context: I don't know how you did it, but...\Why?\Why would you go that far for me?\Does it...\Yeah, it does.\Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else. response:	I see...
context: Why?\Why would you go that far for me?\Does it...\Yeah, it does.\Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see... response:	Thank goodness.
context: Why would you go that far for me?\Does it...\Yeah, it does.\Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness. response:	9 hours after the Titan spotting Eastern defensive line
context: Does it...\Yeah, it does.\Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line response:	The target has come within range!
context: Yeah, it does.\Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range! response:	All cannons, prepare to fire!
context: Christa...\Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire! response:	Not yet! Wait for the order!
context: Don't worry about it.\The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order! response:	Sir!
context: The only reason I'm here... is for myself and nothing else.\I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order!\Sir! response:	Fire!
context: I see...\Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order!\Sir!\Fire! response:	Did I get'em?
context: Thank goodness.\9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order!\Sir!\Fire!\Did I get'em? response:	You did it, Captain Rico!
context: 9 hours after the Titan spotting Eastern defensive line\The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order!\Sir!\Fire!\Did I get'em?\You did it, Captain Rico! response:	At this rate, they'll never break our defense!
context: The target has come within range!\All cannons, prepare to fire!\Not yet! Wait for the order!\Sir!\Fire!\Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense! response:	No... The Titans' strength is in their numbers.
context: All cannons, prepare to fire!\Not yet! Wait for the order!\Sir!\Fire!\Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers. response:	If they attack as a group, this line won't stand a chance.
context: Not yet! Wait for the order!\Sir!\Fire!\Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance. response:	But... what is it?
context: Sir!\Fire!\Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it? response:	Something isn't...
context: Fire!\Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't... response:	This is strange...
context: Did I get'em?\You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't...\This is strange... response:	Captain Hannes! Is something wrong?
context: You did it, Captain Rico!\At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't...\This is strange...\Captain Hannes! Is something wrong? response:	We haven't even spotted a single Titan yet.
context: At this rate, they'll never break our defense!\No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't...\This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet. response:	We've got to be getting close to the hole now.
context: No... The Titans' strength is in their numbers.\If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't...\This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now. response:	And yet, doesn't it seem awful quiet around here?
context: If they attack as a group, this line won't stand a chance.\But... what is it?\Something isn't...\This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here? response:	Hopefully, we can sneak in and out without stirring up a storm.
context: But... what is it?\Something isn't...\This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm. response:	11 hours after the Titan spotting Southern Team
context: Something isn't...\This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team response:	When?
context: This is strange...\Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When? response:	When will they show?
context: Captain Hannes! Is something wrong?\We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When?\When will they show? response:	When will it happen?
context: We haven't even spotted a single Titan yet.\We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When?\When will they show?\When will it happen? response:	At any second, they could leap out from the shadows.
context: We've got to be getting close to the hole now.\And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When?\When will they show?\When will it happen?\At any second, they could leap out from the shadows. response:	No...
context: And yet, doesn't it seem awful quiet around here?\Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When?\When will they show?\When will it happen?\At any second, they could leap out from the shadows.\No... response:	The closer we get to the hole, the more inevitable it becomes.
context: Hopefully, we can sneak in and out without stirring up a storm.\11 hours after the Titan spotting Southern Team\When?\When will they show?\When will it happen?\At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes. response:	Damn it!
context: 11 hours after the Titan spotting Southern Team\When?\When will they show?\When will it happen?\At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes.\Damn it! response:	This is driving me crazy!
context: When?\When will they show?\When will it happen?\At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy! response:	Did you follow the wall here, too?
context: When will they show?\When will it happen?\At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy!\Did you follow the wall here, too? response:	Yeah. Where did you find the hole?
context: When will it happen?\At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole? response:	Huh?
context: At any second, they could leap out from the shadows.\No...\The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh? response:	We didn't find anything to the west.
context: No...\The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west. response:	Didn't you find it your way?
context: The closer we get to the hole, the more inevitable it becomes.\Damn it!\This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west.\Didn't you find it your way? response:	No...
context: Damn it!\This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west.\Didn't you find it your way?\No... response:	There's no hole this way either.
context: This is driving me crazy!\Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west.\Didn't you find it your way?\No...\There's no hole this way either. response:	Is it possible we missed it?
context: Did you follow the wall here, too?\Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west.\Didn't you find it your way?\No...\There's no hole this way either.\Is it possible we missed it? response:	No way.
context: Yeah. Where did you find the hole?\Huh?\We didn't find anything to the west.\Didn't you find it your way?\No...\There's no hole this way either.\Is it possible we missed it?\No way. response:	Not a hole big enough for Titans to use.
context: Huh?\We didn't find anything to the west.\Didn't you find it your way?\No...\There's no hole this way either.\Is it possible we missed it?\No way.\Not a hole big enough for Titans to use. response:	Should we go back and look again?
context: We didn't find anything to the west.\Didn't you find it your way?\No...\There's no hole this way either.\Is it possible we missed it?\No way.\Not a hole big enough for Titans to use.\Should we go back and look again? response:	We'll need to, but the horses and the rest of us are exhausted.
context: Didn't you find it your way?\No...\There's no hole this way either.\Is it possible we missed it?\No way.\Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted. response:	If only we had some moonlight...
context: No...\There's no hole this way either.\Is it possible we missed it?\No way.\Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight... response:	Yeah...
context: There's no hole this way either.\Is it possible we missed it?\No way.\Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah... response:	What's that?
context: Is it possible we missed it?\No way.\Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah...\What's that? response:	Castle ruins?
context: No way.\Not a hole big enough for Titans to use.\Should we go back and look again?\We'll need to, but the horses and the rest of us are exhausted.\If only we had some moonlight...\Yeah...\What's that?\Castle ruins? response:	Information Available for Public Disclosure Torches Though seemingly primitive, torches do not extinguish when dropped, making them ideal for night operations.
