context: Tsukuba-kun, please win for me. response:	Kana-chan?!
context: Oh, one of the hosts...\Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade, response:	when we were almost equals, we had a fateful encounter in Tokyo!
context: Members of Hokuo, too bad about that match.\Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo! response:	Oh, I just wanted to know if you were acquainted.
context: Do you need something?\Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted. response:	Wataya-kun came here to cheer for you,
context: Uh, do you know who Wataya Arata-kun is?\From Fukui...\Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you, response:	but due to a mishap, he wasn't able to watch in person.
context: From Fukui...\Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person. response:	Once the third place match is over, you should go see him.
context: Wataya Arata?!\He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him. response:	He's in the room at the end of the second floor.
context: He is my eternal rival!\Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor. response:	Wataya Arata came to cheer for us?
context: Back in the winter of sixth grade,\when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us? response:	Doesn't matter.
context: when we were almost equals, we had a fateful encounter in Tokyo!\Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter. response:	I don't have time to worry about another school.
context: Oh, I just wanted to know if you were acquainted.\Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school. response:	Because...
context: Wataya-kun came here to cheer for you,\but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school.\Because... response:	Bastards...
context: but due to a mishap, he wasn't able to watch in person.\Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school.\Because...\Bastards... response:	Are you ready to bunny hop down the Tokaido on the way home?
context: Once the third place match is over, you should go see him.\He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school.\Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home? response:	Just kidding. I was a fool.
context: He's in the room at the end of the second floor.\Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school.\Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool. response:	I was convinced that you would make the final,
context: Wataya Arata came to cheer for us?\Doesn't matter.\I don't have time to worry about another school.\Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final, response:	so I wasn't watching the last match.
context: Doesn't matter.\I don't have time to worry about another school.\Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match. response:	I was convinced that you would make the final,
context: I don't have time to worry about another school.\Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final, response:	so I wasn't focused.
context: Because...\Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused. response:	This time, I'll be watching...
context: Bastards...\Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching... response:	Huh?
context: Are you ready to bunny hop down the Tokaido on the way home?\Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching...\Huh? response:	Hokuo must end the tournament with a win!
context: Just kidding. I was a fool.\I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win! response:	The third-years are so good.
context: I was convinced that you would make the final,\so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win!\The third-years are so good. response:	I want to know what lineup we'll use for the final.
context: so I wasn't watching the last match.\I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final. response:	There's no reason to change lineups.
context: I was convinced that you would make the final,\so I wasn't focused.\This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups. response:	They're our best players.
context: so I wasn't focused.\This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players. response:	Stupid. Don't you know Coach Sakurazawa's style?
context: This time, I'll be watching...\Huh?\Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style? response:	She always switches in a younger player for the final!
context: Huh?\Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final! response:	Who will be dropped?
context: Hokuo must end the tournament with a win!\The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped? response:	Will it be me for being the single loss against Hokuo?
context: The third-years are so good.\I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo? response:	This is the best lineup we have, Coach.
context: I want to know what lineup we'll use for the final.\There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach. response:	Suzuki Manata.
context: There's no reason to change lineups.\They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata. response:	You're out.
context: They're our best players.\Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata.\You're out. response:	Wow, she's breaking up Fujisaki's Mana-Kana,
context: Stupid. Don't you know Coach Sakurazawa's style?\She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana, response:	Manata-senpai and Kanata-senpai!
context: She always switches in a younger player for the final!\Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai! response:	They're even, ability-wise,
context: Who will be dropped?\Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise, response:	but she only removed one from the lineup.
context: Will it be me for being the single loss against Hokuo?\This is the best lineup we have, Coach.\Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup. response:	Evil!
context: This is the best lineup we have, Coach.\Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup.\Evil! response:	C-Coach, why me?!
context: Suzuki Manata.\You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup.\Evil!\C-Coach, why me?! response:	Your knees.
context: You're out.\Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup.\Evil!\C-Coach, why me?!\Your knees. response:	You've put a lot of strain on those knee supports.
context: Wow, she's breaking up Fujisaki's Mana-Kana,\Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup.\Evil!\C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports. response:	Thank you.
context: Manata-senpai and Kanata-senpai!\They're even, ability-wise,\but she only removed one from the lineup.\Evil!\C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports.\Thank you. response:	We wouldn't have made it to the finals without your hard work.
context: They're even, ability-wise,\but she only removed one from the lineup.\Evil!\C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work. response:	Yamashiro Rion, you're in.
context: but she only removed one from the lineup.\Evil!\C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in. response:	Yes.
context: Evil!\C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes. response:	A second-year in the lineup...
context: C-Coach, why me?!\Your knees.\You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes.\A second-year in the lineup... response:	I knew it'd be Yamashiro.
context: Your knees.\You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes.\A second-year in the lineup...\I knew it'd be Yamashiro. response:	She's confirmed to be the next core of this team.
context: You've put a lot of strain on those knee supports.\Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes.\A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team. response:	I've heard rumors that the reader for the next match is
context: Thank you.\We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes.\A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is response:	Stop chattering.
context: We wouldn't have made it to the finals without your hard work.\Yamashiro Rion, you're in.\Yes.\A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering. response:	The finals are the best opportunity to learn.
context: Yamashiro Rion, you're in.\Yes.\A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn. response:	Watch carefully and consider the meaning of each card.
context: Yes.\A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card. response:	Yes!
context: A second-year in the lineup...\I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes! response:	Yamashiro Rion.
context: I knew it'd be Yamashiro.\She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion. response:	I figured she would be chosen.
context: She's confirmed to be the next core of this team.\I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion.\I figured she would be chosen. response:	Frightening...
context: I've heard rumors that the reader for the next match is\Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion.\I figured she would be chosen.\Frightening... response:	The third-years are all in love with her.
context: Stop chattering.\The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion.\I figured she would be chosen.\Frightening...\The third-years are all in love with her. response:	Frightening...
context: The finals are the best opportunity to learn.\Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion.\I figured she would be chosen.\Frightening...\The third-years are all in love with her.\Frightening... response:	Plus, she's copying my hairstyle.
context: Watch carefully and consider the meaning of each card.\Yes!\Yamashiro Rion.\I figured she would be chosen.\Frightening...\The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle. response:	Frightening...
context: Yes!\Yamashiro Rion.\I figured she would be chosen.\Frightening...\The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle.\Frightening... response:	Makoto-senpai.
context: Yamashiro Rion.\I figured she would be chosen.\Frightening...\The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai. response:	I was watching Mizusawa's match,
context: I figured she would be chosen.\Frightening...\The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai.\I was watching Mizusawa's match, response:	so I'm familiar with each player's
context: Frightening...\The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's response:	You think you can give advice to the third-years?!
context: The third-years are all in love with her.\Frightening...\Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?! response:	And why did you agree to enter the lineup?!
context: Frightening...\Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?! response:	You must know how hard Manata worked to get here!
context: Plus, she's copying my hairstyle.\Frightening...\Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here! response:	You should have refused to play!
context: Frightening...\Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play! response:	Hey, Makoto.
context: Makoto-senpai.\I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto. response:	We don't need you to win!
context: I was watching Mizusawa's match,\so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto.\We don't need you to win! response:	Stop it, Makoto!
context: so I'm familiar with each player's\You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto.\We don't need you to win!\Stop it, Makoto! response:	Why are you all so soft on Rion?
context: You think you can give advice to the third-years?!\And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto.\We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion? response:	Don't you find it creepy how she never shows any emotion?!
context: And why did you agree to enter the lineup?!\You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto.\We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?! response:	But if I play, we can win for sure.
context: You must know how hard Manata worked to get here!\You should have refused to play!\Hey, Makoto.\We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure. response:	Also, I wasn't the one who took Manata-senpai out of the lineup.
context: You should have refused to play!\Hey, Makoto.\We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure.\Also, I wasn't the one who took Manata-senpai out of the lineup. response:	I know that, you iron mask!
context: Hey, Makoto.\We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure.\Also, I wasn't the one who took Manata-senpai out of the lineup.\I know that, you iron mask! response:	I know that...
context: We don't need you to win!\Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure.\Also, I wasn't the one who took Manata-senpai out of the lineup.\I know that, you iron mask!\I know that... response:	The scariest person in Fujisaki is...
context: Stop it, Makoto!\Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure.\Also, I wasn't the one who took Manata-senpai out of the lineup.\I know that, you iron mask!\I know that...\The scariest person in Fujisaki is... response:	We will be fine this year.
context: Why are you all so soft on Rion?\Don't you find it creepy how she never shows any emotion?!\But if I play, we can win for sure.\Also, I wasn't the one who took Manata-senpai out of the lineup.\I know that, you iron mask!\I know that...\The scariest person in Fujisaki is...\We will be fine this year. response:	The problem is the year after next.
