context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: There's not much fluid left!\SWEAT\Isn't there...\Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS response:	S-Senpai!
context: SWEAT\Isn't there...\Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS\S-Senpai! response:	Is this really what the epidermis area looks like?
context: Isn't there...\Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like? response:	RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.
context: Isn't there anything we can do...\to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation. response:	It's nothing like the pamphlet.
context: to save this world from further global warming?\EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet. response:	It's dried up because of this heat.
context: EPISODE 11: HEAT STROKE\Heat Stroke!\SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat. response:	There used to be waterways and stuff before.
context: Heat Stroke!\SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before. response:	That's why we're walking through the capillaries to release heat.
context: SWEAT GLANDS\S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat. response:	THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.
context: S-Senpai!\Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature. response:	Thermolysis.
context: Is this really what the epidermis area looks like?\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis. response:	Dissipating heat by sending large amounts of blood to the skin.
context: RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin. response:	One of the body's ways of regulating body temperature.
context: It's nothing like the pamphlet.\It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature. response:	It's so hot!
context: It's dried up because of this heat.\There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot! response:	Don't worry! Once hidrosis starts, it gets really cool!
context: There used to be waterways and stuff before.\That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool! response:	See, the sweat glands are about to
context: That's why we're walking through the capillaries to release heat.\THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to response:	Excuse me!
context: THERMOLYSIS: Dissipating heat by sending large amounts of blood to the skin. One of the body's ways of regulating body temperature.\Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me! response:	Damn you, you're such a pain in the neck!
context: Thermolysis.\Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck! response:	This is U-1146.
context: Dissipating heat by sending large amounts of blood to the skin.\One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146. response:	WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.
context: One of the body's ways of regulating body temperature.\It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses. response:	I'm done exterminating the last of the germs.
context: It's so hot!\Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs. response:	Copy that!
context: Don't worry! Once hidrosis starts, it gets really cool!\See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that! response:	Whoa! It's a White Blood Cell.
context: See, the sweat glands are about to\Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell. response:	Running around in this scorching heat... He sure has energy!
context: Excuse me!\Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy! response:	Th-Thank you for your hard work, White Blood Cell!
context: Damn you, you're such a pain in the neck!\This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell! response:	PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.
context: This is U-1146.\WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down. response:	Wait! He's dissolving it!
context: WHITE BLOOD CELLS (NEUTROPHILS): Their main task is to eliminate foreign substances from outside, such as bacteria and viruses.\I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it! response:	Hey... Yo, Red Blood Cell...
context: I'm done exterminating the last of the germs.\Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell... response:	Is something wrong?
context: Copy that!\Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong? response:	No, it's nothing.
context: Whoa! It's a White Blood Cell.\Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing. response:	That outfit of yours sure looks hot, White Blood Cell!
context: Running around in this scorching heat... He sure has energy!\Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell! response:	Can't do my job as a first responder if I dress down.
context: Th-Thank you for your hard work, White Blood Cell!\PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down. response:	SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.
context: PHAGOCYTOSIS: When Phagocytes such as Monocytes, Macrophages and Neutrophils absorb bacteria and other foreign substances, and break them down.\Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat. response:	Sweat glands and sweat.
context: Wait! He's dissolving it!\Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat. response:	Sweat-secreting glands present in the skin.
context: Hey... Yo, Red Blood Cell...\Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin. response:	There are two types, apocrine glands and eccrine glands.
context: Is something wrong?\No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands. response:	Heat is removed by evaporation when you sweat.
context: No, it's nothing.\That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat. response:	They play a crucial role in adjusting body heat.
context: That outfit of yours sure looks hot, White Blood Cell!\Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat. response:	STATE OF THE SWEAT PORES
context: Can't do my job as a first responder if I dress down.\SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES response:	ECCRINE
context: SWEAT GLANDS AND SWEAT: Sweat-secreting glands present in the skin. There are two types, apocrine glands and eccrine glands. Heat is removed by evaporation when you sweat (heat of evaporation). They play a crucial role in adjusting body heat.\Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE response:	So these are the sweat glands!
context: Sweat glands and sweat.\Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands! response:	So hot!
context: Sweat-secreting glands present in the skin.\There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands!\So hot! response:	So hot!
context: There are two types, apocrine glands and eccrine glands.\Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands!\So hot!\So hot! response:	So hot!
context: Heat is removed by evaporation when you sweat.\They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands!\So hot!\So hot!\So hot! response:	BUCKWHEAT TEA
context: They play a crucial role in adjusting body heat.\STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands!\So hot!\So hot!\So hot!\BUCKWHEAT TEA response:	Hey, they said hidrosis is about to start!
context: STATE OF THE SWEAT PORES\ECCRINE\So these are the sweat glands!\So hot!\So hot!\So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start! response:	Thank goodness! Now it'll get cooler!
context: ECCRINE\So these are the sweat glands!\So hot!\So hot!\So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler! response:	Actually, something strange is going on.
context: So these are the sweat glands!\So hot!\So hot!\So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on. response:	Normally, sweat atomizes,
context: So hot!\So hot!\So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes, response:	and the heat of evaporation cools down the epidermis, but...
context: So hot!\So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but... response:	But it's still in fluid form.
context: So hot!\BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form. response:	Hey, what's the deal?
context: BUCKWHEAT TEA\Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal? response:	Give us a break, will you? It's so hot!
context: Hey, they said hidrosis is about to start!\Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot! response:	It's no good!
context: Thank goodness! Now it'll get cooler!\Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good! response:	Hidrosis was successfully initiated, but didn't lead to epidermal cooling!
context: Actually, something strange is going on.\Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling! response:	The sweat's not atomizing? Meaning the temperature outside the body's too high?
context: Normally, sweat atomizes,\and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high? response:	N-No good!
context: and the heat of evaporation cools down the epidermis, but...\But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good! response:	The body temperature's spiking!
context: But it's still in fluid form.\Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking! response:	This heat is unbearable!
context: Hey, what's the deal?\Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking!\This heat is unbearable! response:	What the heck is going on?
context: Give us a break, will you? It's so hot!\It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking!\This heat is unbearable!\What the heck is going on? response:	You said it was to promote hidrosis to make it cooler!
context: It's no good!\Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking!\This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler! response:	That's why we've been walking in this sweltering heat!
context: Hidrosis was successfully initiated, but didn't lead to epidermal cooling!\The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking!\This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat! response:	- That's right, that's right! - We wanna talk to whoever's in charge!
context: The sweat's not atomizing? Meaning the temperature outside the body's too high?\N-No good!\The body temperature's spiking!\This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge! response:	It's hot, dammit!
context: N-No good!\The body temperature's spiking!\This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit! response:	For now, we need to release the heat from the epidermis!
context: The body temperature's spiking!\This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis! response:	Wh-What's this?
context: This heat is unbearable!\What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this? response:	You guys, please try to keep walking to release the heat!
context: What the heck is going on?\You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat! response:	Let's do all we can to regulate the body temp!
context: You said it was to promote hidrosis to make it cooler!\That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp! response:	That's about all that we can do as blood cells, huh?
context: That's why we've been walking in this sweltering heat!\- That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh? response:	White Blood Cell, what's going on?
context: - That's right, that's right! - We wanna talk to whoever's in charge!\It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on? response:	Increased vascular flow.
context: It's hot, dammit!\For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow. response:	At a glance,
context: For now, we need to release the heat from the epidermis!\Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow.\At a glance, response:	it just seems like part of the thermoregulation system!
context: Wh-What's this?\You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow.\At a glance,\it just seems like part of the thermoregulation system! response:	Abnormal increased vascular flow!
context: You guys, please try to keep walking to release the heat!\Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow.\At a glance,\it just seems like part of the thermoregulation system!\Abnormal increased vascular flow! response:	Abortive attempt to cool the epidermis with sweat!
context: Let's do all we can to regulate the body temp!\That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow.\At a glance,\it just seems like part of the thermoregulation system!\Abnormal increased vascular flow!\Abortive attempt to cool the epidermis with sweat! response:	And a soaring temperature!
context: That's about all that we can do as blood cells, huh?\White Blood Cell, what's going on?\Increased vascular flow.\At a glance,\it just seems like part of the thermoregulation system!\Abnormal increased vascular flow!\Abortive attempt to cool the epidermis with sweat!\And a soaring temperature! response:	This must be...
