context: Crown Prince! response:	Crown Prince, I had a hard time finding you!
context: How did you know that I've returned?\I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened? response:	High God Bai Qian of Qing Qiu barged into Xiwu Palace
context: I checked the Book of Destiny.\I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace response:	and vanished after digging out Lady Su Jin's eyes.
context: I realized that your mortal self was so lovesick\that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes. response:	Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.
context: that you died young from illness.\It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin. response:	One said that Qing Qiu bullied her
context: It's good that you've returned.\Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her response:	and the other claimed that Lady Su Jin framed High God Bai Qian.
context: Trouble is brewing in the Grand Hall.\Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian. response:	It's a mess.
context: Please come with me immediately!\What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess. response:	Qian Qian took away Su Jin's eyes?
context: What happened?\High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes? response:	Yes.
context: High God Bai Qian of Qing Qiu barged into Xiwu Palace\and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes?\Yes. response:	Qian Qian...
context: and vanished after digging out Lady Su Jin's eyes.\Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian... response:	Your Highness, you can't leave.
context: Qing Qiu's Little Princess rushed in and had an argument with Lady Su Jin.\One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian...\Your Highness, you can't leave. response:	Lord Dong Hua said that only you could resolve this issue.
context: One said that Qing Qiu bullied her\and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue. response:	All right, I need you to bring three people here.
context: and the other claimed that Lady Su Jin framed High God Bai Qian.\It's a mess.\Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here. response:	My Uncle Sang Ji, Lian Song, and Yuan Zhen
context: It's a mess.\Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen response:	who just finished his trial in the Mortal Realm.
context: Qian Qian took away Su Jin's eyes?\Yes.\Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm. response:	Yes.
context: Yes.\Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes. response:	There's one more.
context: Qian Qian...\Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes.\There's one more. response:	It's a figurine called Su Su who served my mother in the Mortal Realm.
context: Your Highness, you can't leave.\Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm. response:	Su Su?
context: Lord Dong Hua said that only you could resolve this issue.\All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su? response:	I'll get it done right away.
context: All right, I need you to bring three people here.\My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away. response:	Crown Prince.
context: My Uncle Sang Ji, Lian Song, and Yuan Zhen\who just finished his trial in the Mortal Realm.\Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away.\Crown Prince. response:	I wonder why you asked to see me so urgently?
context: who just finished his trial in the Mortal Realm.\Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently? response:	Today, I'll uphold justice for Yuan Zhen and redress his case.
context: Yes.\There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case. response:	Forget it.
context: There's one more.\It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it. response:	Yuan Zhen has already returned from his trial.
context: It's a figurine called Su Su who served my mother in the Mortal Realm.\Su Su?\I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial. response:	High God Bai Qian had also kept him safe in the Mortal Realm.
context: Su Su?\I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm. response:	As for the case...
context: I'll get it done right away.\Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case... response:	We don't need it redressed.
context: Crown Prince.\I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed. response:	I know that Father punished Yuan Zhen
context: I wonder why you asked to see me so urgently?\Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen response:	because even after I was demoted to Water King of the North Sea
context: Today, I'll uphold justice for Yuan Zhen and redress his case.\Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea response:	I still doted on Shao Xing greatly.
context: Forget it.\Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly. response:	He was just too angry and wanted to teach me a lesson.
context: Yuan Zhen has already returned from his trial.\High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson. response:	In fact, as his son, I hurt him so deeply.
context: High God Bai Qian had also kept him safe in the Mortal Realm.\As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply. response:	There's not much to say now that my son had to pay for my sin.
context: As for the case...\We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin. response:	Ye Hua, I'm grateful for your kindness.
context: We don't need it redressed.\I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness. response:	Uncle Sang Ji, have you considered that
context: I know that Father punished Yuan Zhen\because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that response:	if we don't get this case straightened out today
context: because even after I was demoted to Water King of the North Sea\I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today response:	Yuan Zhen or even your other children will still continue to suffer from it?
context: I still doted on Shao Xing greatly.\He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it? response:	What will you do then?
context: He was just too angry and wanted to teach me a lesson.\In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then? response:	This is...
context: In fact, as his son, I hurt him so deeply.\There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is... response:	Brother Sang Ji, Ye Hua is right.
context: There's not much to say now that my son had to pay for my sin.\Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is...\Brother Sang Ji, Ye Hua is right. response:	We should always set things straight.
context: Ye Hua, I'm grateful for your kindness.\Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight. response:	Otherwise... It's unfair to Yuan Zhen.
context: Uncle Sang Ji, have you considered that\if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen. response:	Sure!
context: if we don't get this case straightened out today\Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure! response:	Once we get to the Grand Hall I'll do whatever you have me do.
context: Yuan Zhen or even your other children will still continue to suffer from it?\What will you do then?\This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do. response:	Just tell the truth, all right?
context: What will you do then?\This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right? response:	Yes.
context: This is...\Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes. response:	Crown Prince, is this the right person?
context: Brother Sang Ji, Ye Hua is right.\We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes.\Crown Prince, is this the right person? response:	Yes, it's her.
context: We should always set things straight.\Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes.\Crown Prince, is this the right person?\Yes, it's her. response:	Let's go in.
context: Otherwise... It's unfair to Yuan Zhen.\Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes.\Crown Prince, is this the right person?\Yes, it's her.\Let's go in. response:	Qing Qiu's Bai Qian threatened me
context: Sure!\Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes.\Crown Prince, is this the right person?\Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me response:	to seek punishment from Heavenly Lord to guard the...
context: Once we get to the Grand Hall I'll do whatever you have me do.\Just tell the truth, all right?\Yes.\Crown Prince, is this the right person?\Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the... response:	Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank
context: Just tell the truth, all right?\Yes.\Crown Prince, is this the right person?\Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank response:	and never return to the heavens, right?
context: Yes.\Crown Prince, is this the right person?\Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right? response:	Yes!
context: Crown Prince, is this the right person?\Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes! response:	Don't stand on ceremony.
context: Yes, it's her.\Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes!\Don't stand on ceremony. response:	Crown Prince, you've returned?
context: Let's go in.\Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes!\Don't stand on ceremony.\Crown Prince, you've returned? response:	I happened to make it back today.
context: Qing Qiu's Bai Qian threatened me\to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes!\Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today. response:	I've heard that there was a problem in the Grand Hall
context: to seek punishment from Heavenly Lord to guard the...\Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes!\Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall response:	so I came to take a look.
context: Guard the Bell of East Emperor that imprisons Qing Cang by Ruoshui Riverbank\and never return to the heavens, right?\Yes!\Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look. response:	You should be present.
context: and never return to the heavens, right?\Yes!\Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present. response:	This is after all an issue of your harem, but I ended up having to handle it.
context: Yes!\Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it. response:	It has put me in a tight spot.
context: Don't stand on ceremony.\Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot. response:	Yes.
context: Crown Prince, you've returned?\I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes. response:	Ye Hua!
context: I happened to make it back today.\I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes.\Ye Hua! response:	Ye Hua, you must uphold justice for me!
context: I've heard that there was a problem in the Grand Hall\so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes.\Ye Hua!\Ye Hua, you must uphold justice for me! response:	Ye Hua...
context: so I came to take a look.\You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes.\Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua... response:	Don't worry. I'm here to uphold justice.
context: You should be present.\This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes.\Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice. response:	Your Highness.
context: This is after all an issue of your harem, but I ended up having to handle it.\It has put me in a tight spot.\Yes.\Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness. response:	Who are you?
context: It has put me in a tight spot.\Yes.\Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness.\Who are you? response:	It's me, Your Highness.
context: Yes.\Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness.\Who are you?\It's me, Your Highness. response:	I don't know you.
context: Ye Hua!\Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness.\Who are you?\It's me, Your Highness.\I don't know you. response:	Don't address me!
context: Ye Hua, you must uphold justice for me!\Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness.\Who are you?\It's me, Your Highness.\I don't know you.\Don't address me! response:	Your Highness.
context: Ye Hua...\Don't worry. I'm here to uphold justice.\Your Highness.\Who are you?\It's me, Your Highness.\I don't know you.\Don't address me!\Your Highness. response:	Who is she?
context: Don't worry. I'm here to uphold justice.\Your Highness.\Who are you?\It's me, Your Highness.\I don't know you.\Don't address me!\Your Highness.\Who is she? response:	I don't know her!
context: Your Highness.\Who are you?\It's me, Your Highness.\I don't know you.\Don't address me!\Your Highness.\Who is she?\I don't know her! response:	Send her away!
context: Who are you?\It's me, Your Highness.\I don't know you.\Don't address me!\Your Highness.\Who is she?\I don't know her!\Send her away! response:	Don't let her come near me!
context: It's me, Your Highness.\I don't know you.\Don't address me!\Your Highness.\Who is she?\I don't know her!\Send her away!\Don't let her come near me! response:	Make her leave!
context: I don't know you.\Don't address me!\Your Highness.\Who is she?\I don't know her!\Send her away!\Don't let her come near me!\Make her leave! response:	This is...
context: Don't address me!\Your Highness.\Who is she?\I don't know her!\Send her away!\Don't let her come near me!\Make her leave!\This is... response:	She's a figurine?
context: Your Highness.\Who is she?\I don't know her!\Send her away!\Don't let her come near me!\Make her leave!\This is...\She's a figurine? response:	Heavenly Lord.
context: Who is she?\I don't know her!\Send her away!\Don't let her come near me!\Make her leave!\This is...\She's a figurine?\Heavenly Lord. response:	Ye Hua, what is this about?
context: I don't know her!\Send her away!\Don't let her come near me!\Make her leave!\This is...\She's a figurine?\Heavenly Lord.\Ye Hua, what is this about? response:	When I'm going through my trial in the Mortal Realm
context: Send her away!\Don't let her come near me!\Make her leave!\This is...\She's a figurine?\Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm response:	Su Jin made this figurine to seduce me.
context: Don't let her come near me!\Make her leave!\This is...\She's a figurine?\Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me. response:	According to the celestial law how would Father punish her?
context: Make her leave!\This is...\She's a figurine?\Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her? response:	It's the crime of seducing an apparent heir
context: This is...\She's a figurine?\Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir response:	of the celestial tribe with witchcraft.
context: She's a figurine?\Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft. response:	She is to be stripped of her celestial status
context: Heavenly Lord.\Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status response:	banished to tiryagyoni-gati to be reborn as animal.
context: Ye Hua, what is this about?\When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal. response:	Mark that down.
context: When I'm going through my trial in the Mortal Realm\Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down. response:	Yes.
context: Su Jin made this figurine to seduce me.\According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes. response:	No!
context: According to the celestial law how would Father punish her?\It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes.\No! response:	I didn't make this figurine!
context: It's the crime of seducing an apparent heir\of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes.\No!\I didn't make this figurine! response:	I didn't make it... It wasn't me...
context: of the celestial tribe with witchcraft.\She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes.\No!\I didn't make this figurine!\I didn't make it... It wasn't me... response:	Why would Water King of the North Sea have the time
context: She is to be stripped of her celestial status\banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes.\No!\I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time response:	to bring your eldest son to the Grand Hall today?
context: banished to tiryagyoni-gati to be reborn as animal.\Mark that down.\Yes.\No!\I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time\to bring your eldest son to the Grand Hall today? response:	I'm here for Yuan Zhen's wrongly accused crime.
context: Mark that down.\Yes.\No!\I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time\to bring your eldest son to the Grand Hall today?\I'm here for Yuan Zhen's wrongly accused crime. response:	Wrongly accused?
context: Yes.\No!\I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time\to bring your eldest son to the Grand Hall today?\I'm here for Yuan Zhen's wrongly accused crime.\Wrongly accused? response:	You mean that I've misjudged his case?
context: No!\I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time\to bring your eldest son to the Grand Hall today?\I'm here for Yuan Zhen's wrongly accused crime.\Wrongly accused?\You mean that I've misjudged his case? response:	Yuan Zhen, tell them what happened that day.
context: I didn't make this figurine!\I didn't make it... It wasn't me...\Why would Water King of the North Sea have the time\to bring your eldest son to the Grand Hall today?\I'm here for Yuan Zhen's wrongly accused crime.\Wrongly accused?\You mean that I've misjudged his case?\Yuan Zhen, tell them what happened that day. response:	Yes.
