context: You have Shinigami-sama's pardon. response:	I'll have you attend lessons from this afternoon on.
context: She really hates me...\I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right? response:	In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.
context: I called out to her many times, but she's just so scared of coming out...\In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can. response:	If that's all, then I'll be glad to do it!
context: In the end, she told me she doesn't know how to deal with zombies...\Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it! response:	I appreciate it.
context: Is that so?\If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it. response:	Getting lost in such a place...
context: If all she does is sulk, then even I can't help her.\The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place... response:	It's so cold.
context: The quarters are just ahead.\I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place...\It's so cold. response:	I'm bad with directions! How much longer?!
context: I'll finally be able to meet Crona!\You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?! response:	She's finally here...
context: You have a good grasp on Crona's soul's wavelength, right?\In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?!\She's finally here... response:	While you're at it, please show her around, too.
context: In order to get her used to Shibusen quickly, I'd like you to teach her whatever you can.\If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too. response:	I have a feeling I've walked through here already...
context: If that's all, then I'll be glad to do it!\I appreciate it.\Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already... response:	Sid!
context: I appreciate it.\Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid! response:	Excuse me for a moment.
context: Getting lost in such a place...\It's so cold.\I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid!\Excuse me for a moment. response:	I thought I was gonna die from being lost back there!
context: It's so cold.\I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there! response:	Didn't you graduate from here?
context: I'm bad with directions! How much longer?!\She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here? response:	A Delightful and Embarrassing Trial Attendance!
context: She's finally here...\While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance! response:	Shibusen's New Lifestyle Assistance Fair In Session?
context: While you're at it, please show her around, too.\I have a feeling I've walked through here already...\Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session? response:	Devil Sword Wielder, Crona...
context: I have a feeling I've walked through here already...\Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona... response:	The one who inherited the madness that the witch Medusa left behind.
context: Sid!\Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind. response:	By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,
context: Excuse me for a moment.\I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona, response:	To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...
context: I thought I was gonna die from being lost back there!\Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required... response:	In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...
context: Didn't you graduate from here?\A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead... response:	You can't stand it, can you?
context: A Delightful and Embarrassing Trial Attendance!\Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you? response:	Holding back isn't good, you know...
context: Shibusen's New Lifestyle Assistance Fair In Session?\Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know... response:	You want to tear things apart, right?
context: Devil Sword Wielder, Crona...\The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right? response:	Anything and everything...
context: The one who inherited the madness that the witch Medusa left behind.\By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything... response:	You want to know more about it, don't you?
context: By melting Ragnarok, a normal Demonic Weapon in the Black Blood, and infusing it into Crona,\To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you? response:	About that child I made...
context: To turn a Demonic Weapon into a Death Scythe, a witch's soul is required...\In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you?\About that child I made... response:	You're being infected with madness...
context: In the end, the ones to make the Demonic Weapons evolve might not be the Meister, but the witches instead...\You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you?\About that child I made...\You're being infected with madness... response:	I'm looking forward to it.
context: You can't stand it, can you?\Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you?\About that child I made...\You're being infected with madness...\I'm looking forward to it. response:	Pardon me for intruding!
context: Holding back isn't good, you know...\You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you?\About that child I made...\You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding! response:	Huh?
context: You want to tear things apart, right?\Anything and everything...\You want to know more about it, don't you?\About that child I made...\You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding!\Huh? response:	No one's here though...
context: Anything and everything...\You want to know more about it, don't you?\About that child I made...\You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding!\Huh?\No one's here though... response:	Maka...
context: You want to know more about it, don't you?\About that child I made...\You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding!\Huh?\No one's here though...\Maka... response:	What are you doing over there?
context: About that child I made...\You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding!\Huh?\No one's here though...\Maka...\What are you doing over there? response:	The room's Mr. Smith calms me down.
context: You're being infected with madness...\I'm looking forward to it.\Pardon me for intruding!\Huh?\No one's here though...\Maka...\What are you doing over there?\The room's Mr. Smith calms me down. response:	Don't give names to areas like that.
context: I'm looking forward to it.\Pardon me for intruding!\Huh?\No one's here though...\Maka...\What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that. response:	Here, stand up.
context: Pardon me for intruding!\Huh?\No one's here though...\Maka...\What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up. response:	O-Okay.
context: Huh?\No one's here though...\Maka...\What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up.\O-Okay. response:	I'll show you around the school now.
context: No one's here though...\Maka...\What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up.\O-Okay.\I'll show you around the school now. response:	Uhm...
context: Maka...\What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up.\O-Okay.\I'll show you around the school now.\Uhm... response:	You... You know...
context: What are you doing over there?\The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up.\O-Okay.\I'll show you around the school now.\Uhm...\You... You know... response:	Let's continue to get along, Crona.
context: The room's Mr. Smith calms me down.\Don't give names to areas like that.\Here, stand up.\O-Okay.\I'll show you around the school now.\Uhm...\You... You know...\Let's continue to get along, Crona. response:	Yeah.
context: Don't give names to areas like that.\Here, stand up.\O-Okay.\I'll show you around the school now.\Uhm...\You... You know...\Let's continue to get along, Crona.\Yeah. response:	Hey, hey!
context: Here, stand up.\O-Okay.\I'll show you around the school now.\Uhm...\You... You know...\Let's continue to get along, Crona.\Yeah.\Hey, hey! response:	This is Marie-sensei.
context: O-Okay.\I'll show you around the school now.\Uhm...\You... You know...\Let's continue to get along, Crona.\Yeah.\Hey, hey!\This is Marie-sensei. response:	Pleased to meet you. I'm also starting out in this school, as a teacher.
context: I'll show you around the school now.\Uhm...\You... You know...\Let's continue to get along, Crona.\Yeah.\Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher. response:	In that sense, I'm just like you, Crona.
context: Uhm...\You... You know...\Let's continue to get along, Crona.\Yeah.\Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona. response:	Let's do our best together.
context: You... You know...\Let's continue to get along, Crona.\Yeah.\Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together. response:	Yeah.
context: Let's continue to get along, Crona.\Yeah.\Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah. response:	Reassuring her by sharing the same worries...
context: Yeah.\Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah.\Reassuring her by sharing the same worries... response:	Nice job, Marie!
context: Hey, hey!\This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie! response:	Crona?
context: This is Marie-sensei.\Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie!\Crona? response:	The blue person is looking over here! It's scary!
context: Pleased to meet you. I'm also starting out in this school, as a teacher.\In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie!\Crona?\The blue person is looking over here! It's scary! response:	Sid, stop doing that, please!
context: In that sense, I'm just like you, Crona.\Let's do our best together.\Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie!\Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please! response:	Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.
context: Let's do our best together.\Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie!\Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax. response:	Okay...
context: Yeah.\Reassuring her by sharing the same worries...\Nice job, Marie!\Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay... response:	Now then! The short high-school life won't wait for us!
context: Reassuring her by sharing the same worries...\Nice job, Marie!\Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us! response:	Let's go outside.
context: Nice job, Marie!\Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us!\Let's go outside. response:	Don't think everything will go your way, you annoying bunch!
context: Crona?\The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch! response:	There he is. The little Ragnarok...
context: The blue person is looking over here! It's scary!\Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok... response:	What's that? So cute...
context: Sid, stop doing that, please!\Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute... response:	This was all your fault, you know?! Ugly woman!
context: Even though Sid-sensei looks like a blue hoodlum gorilla, he's really a nice person, so relax.\Okay...\Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman! response:	I don't know anything about that.
context: Okay...\Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that. response:	Besides, I don't remember ever becoming one of your buddies!
context: Now then! The short high-school life won't wait for us!\Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies! response:	But if you're like this, even if I get close, I won't be harmed.
context: Let's go outside.\Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed. response:	Those panties are even more boring than I thought.
context: Don't think everything will go your way, you annoying bunch!\There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought. response:	Ugly.
context: There he is. The little Ragnarok...\What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly. response:	I'm... I'm sorry! I'm sorry!
context: What's that? So cute...\This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry! response:	I won't do it anymore!
context: This was all your fault, you know?! Ugly woman!\I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore! response:	No, Crona...
context: I don't know anything about that.\Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona... response:	I'm the one who should apologize...
context: Besides, I don't remember ever becoming one of your buddies!\But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona...\I'm the one who should apologize... response:	Here, take a look, Crona...
context: But if you're like this, even if I get close, I won't be harmed.\Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona...\I'm the one who should apologize...\Here, take a look, Crona... response:	It won't be scary.
context: Those panties are even more boring than I thought.\Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona...\I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary. response:	It's bright...
context: Ugly.\I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona...\I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary.\It's bright... response:	Uhm... did I... Did I say something weird?
context: I'm... I'm sorry! I'm sorry!\I won't do it anymore!\No, Crona...\I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary.\It's bright...\Uhm... did I... Did I say something weird? response:	Uhm... did I... Did I say something weird?
context: I won't do it anymore!\No, Crona...\I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary.\It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird? response:	How was it? Being shown around the school?
context: No, Crona...\I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary.\It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school? response:	Think you'll do okay?
context: I'm the one who should apologize...\Here, take a look, Crona...\It won't be scary.\It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay? response:	Just as I thought, it's impossible for me...
context: Here, take a look, Crona...\It won't be scary.\It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me... response:	Don't worry, everyone's here for you.
context: It won't be scary.\It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you. response:	I can't do it! I want to go back to the room's Mr. Smith...
context: It's bright...\Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith... response:	I'll send you flying back!
context: Uhm... did I... Did I say something weird?\Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back! response:	Stop it!
context: Uhm... did I... Did I say something weird?\How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it! response:	If so, then how about this?
context: How was it? Being shown around the school?\Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it!\If so, then how about this? response:	Write poetry.
context: Think you'll do okay?\Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it!\If so, then how about this?\Write poetry. response:	Write poetry, you say...
context: Just as I thought, it's impossible for me...\Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it!\If so, then how about this?\Write poetry.\Write poetry, you say... response:	You know, when I feel down, I write lots of poetry.
context: Don't worry, everyone's here for you.\I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it!\If so, then how about this?\Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry. response:	Are you serious? You're a real gloomy one, aren't you?
context: I can't do it! I want to go back to the room's Mr. Smith...\I'll send you flying back!\Stop it!\If so, then how about this?\Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you? response:	Let me give you some counseling!
context: I'll send you flying back!\Stop it!\If so, then how about this?\Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling! response:	Let's write poetry together.
context: Stop it!\If so, then how about this?\Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together. response:	If Maka says so...
context: If so, then how about this?\Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together.\If Maka says so... response:	It... it... it... it... it...
context: Write poetry.\Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together.\If Maka says so...\It... it... it... it... it... response:	It... it... it... it... it...
context: Write poetry, you say...\You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together.\If Maka says so...\It... it... it... it... it...\It... it... it... it... it... response:	It... it... it... it... it...
context: You know, when I feel down, I write lots of poetry.\Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together.\If Maka says so...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... response:	It... it... it... it... it...
context: Are you serious? You're a real gloomy one, aren't you?\Let me give you some counseling!\Let's write poetry together.\If Maka says so...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... response:	It... it... it... it... it...
context: Let me give you some counseling!\Let's write poetry together.\If Maka says so...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... response:	It... it... it... it... it... it... it...
context: Let's write poetry together.\If Maka says so...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... it... it... response:	It... it... it... it... it... it... it...
context: If Maka says so...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it... response:	It... it... it... it... it... it... it...
context: It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it... response:	It... it... it... it... it... it... it...
context: It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it...\It... it... it... it... it... it... it... response:	It... it... it... it... it... it... it...
