context: Once upon a time, there was a man who fell in love with a doll. response:	Perhaps the man's love made itself felt, for one day, the doll came to life and began to dance.
context: Oh, I couldn't sleep.\Mytho...\I wonder why he did that?\For him to jump out of the window of his own will...\I wonder if it's because his heart isn't complete yet?\Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia response:	This is serious!
context: Mytho...\I wonder why he did that?\For him to jump out of the window of his own will...\I wonder if it's because his heart isn't complete yet?\Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia\This is serious! response:	I heard Mytho-sama was called into the office!
context: I wonder why he did that?\For him to jump out of the window of his own will...\I wonder if it's because his heart isn't complete yet?\Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia\This is serious!\I heard Mytho-sama was called into the office! response:	No way!
context: For him to jump out of the window of his own will...\I wonder if it's because his heart isn't complete yet?\Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia\This is serious!\I heard Mytho-sama was called into the office!\No way! response:	What about Fakir-senpai?
context: I wonder if it's because his heart isn't complete yet?\Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia\This is serious!\I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai? response:	I heard he was with Mytho!
context: Then I have to try even harder and get the rest of his heart back quickly!\What the hell happened?\Coppelia\This is serious!\I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai?\I heard he was with Mytho! response:	This has to be about how he got pushed out of the window yesterday.
context: What the hell happened?\Coppelia\This is serious!\I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday. response:	Huh? Push...
context: Coppelia\This is serious!\I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push... response:	You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!
context: This is serious!\I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window! response:	What?! That's some kind of misunderstanding!
context: I heard Mytho-sama was called into the office!\No way!\What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding! response:	Because Mytho jumped out himself...
context: No way!\What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself... response:	As if he'd do that!
context: What about Fakir-senpai?\I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that! response:	Everyone was watching, so there's no making excuses.
context: I heard he was with Mytho!\This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses. response:	But that's...
context: This has to be about how he got pushed out of the window yesterday.\Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's... response:	That was just too cruel, even for Fakir-sama.
context: Huh? Push...\You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama. response:	I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!
context: You don't know, Ahiru?! Fakir-sama pushed the unresisting Mytho-sama out of the window!\What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser! response:	Anyway, let's go see!
context: What?! That's some kind of misunderstanding!\Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see! response:	Yes, let's!
context: Because Mytho jumped out himself...\As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's! response:	But when I saw him, I'm sure that he...
context: As if he'd do that!\Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he... response:	Okay, then!
context: Everyone was watching, so there's no making excuses.\But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he...\Okay, then! response:	Quack!
context: But that's...\That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he...\Okay, then!\Quack! response:	Quack, quack, quack, quack, quack, quack, quack, quack...
context: That was just too cruel, even for Fakir-sama.\I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he...\Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack... response:	Unpleasant incidents just keep happening lately, don't they?
context: I hope he keeps this up and becomes a criminal, plunging headlong down the path of a loser!\Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he...\Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they? response:	Just what happened yesterday?
context: Anyway, let's go see!\Yes, let's!\But when I saw him, I'm sure that he...\Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday? response:	That was because of my carelessness.
context: Yes, let's!\But when I saw him, I'm sure that he...\Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness. response:	What?
context: But when I saw him, I'm sure that he...\Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness.\What? response:	It was an accident.
context: Okay, then!\Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness.\What?\It was an accident. response:	What?!
context: Quack!\Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness.\What?\It was an accident.\What?! response:	An accident?
context: Quack, quack, quack, quack, quack, quack, quack, quack...\Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness.\What?\It was an accident.\What?!\An accident? response:	Yes. I'm sorry to have caused you worry.
context: Unpleasant incidents just keep happening lately, don't they?\Just what happened yesterday?\That was because of my carelessness.\What?\It was an accident.\What?!\An accident?\Yes. I'm sorry to have caused you worry. response:	Why would you tell a lie like that?
context: Just what happened yesterday?\That was because of my carelessness.\What?\It was an accident.\What?!\An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that? response:	What do you mean by that, Fakir-san?
context: That was because of my carelessness.\What?\It was an accident.\What?!\An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san? response:	I do have to say, the incident seemed rather unnatural for an accident.
context: What?\It was an accident.\What?!\An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident. response:	Do you think Fakir pushed me, Cat-sensei?
context: It was an accident.\What?!\An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei? response:	Arguments sometimes happen.
context: What?!\An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen. response:	Albrecht and Hilarion both wanted to marry Giselle.
context: An accident?\Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle. response:	It's because they wanted to marry her that such terrible things...
context: Yes. I'm sorry to have caused you worry.\Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things... response:	Marria...
context: Why would you tell a lie like that?\What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria... response:	I suppose you're still too young for that particular problem.
context: What do you mean by that, Fakir-san?\I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem. response:	Well, that's fine. But I cannot let you continue to share a room.
context: I do have to say, the incident seemed rather unnatural for an accident.\Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room. response:	Then I'll...
context: Do you think Fakir pushed me, Cat-sensei?\Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll... response:	I'll leave.
context: Arguments sometimes happen.\Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave. response:	Fakir...
context: Albrecht and Hilarion both wanted to marry Giselle.\It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave.\Fakir... response:	It's quite audacious of you to eavesdrop.
context: It's because they wanted to marry her that such terrible things...\Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave.\Fakir...\It's quite audacious of you to eavesdrop. response:	If you keep that up, I'll have you marry...
context: Marria...\I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave.\Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry... response:	Quack, quack.
context: I suppose you're still too young for that particular problem.\Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave.\Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack. response:	Those eyes again...
context: Well, that's fine. But I cannot let you continue to share a room.\Then I'll...\I'll leave.\Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again... response:	What's happened to you, Mytho?
context: Then I'll...\I'll leave.\Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again...\What's happened to you, Mytho? response:	Mytho-sama looks like he's in so much pain.
context: I'll leave.\Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain. response:	Well, he was betrayed by the person he thought was his best friend.
context: Fakir...\It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend. response:	And I heard he covered for Fakir-senpai anyway!
context: It's quite audacious of you to eavesdrop.\If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway! response:	That's so like him.
context: If you keep that up, I'll have you marry...\Quack, quack.\Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him. response:	Quack!
context: Quack, quack.\Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack! response:	Who are you?
context: Those eyes again...\What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack!\Who are you? response:	What?
context: What's happened to you, Mytho?\Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack!\Who are you?\What? response:	Why are you inside me?!
context: Mytho-sama looks like he's in so much pain.\Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack!\Who are you?\What?\Why are you inside me?! response:	Who is he talking to?
context: Well, he was betrayed by the person he thought was his best friend.\And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack!\Who are you?\What?\Why are you inside me?!\Who is he talking to? response:	Pike?
context: And I heard he covered for Fakir-senpai anyway!\That's so like him.\Quack!\Who are you?\What?\Why are you inside me?!\Who is he talking to?\Pike? response:	Um, this might be none of my business, but...
context: That's so like him.\Quack!\Who are you?\What?\Why are you inside me?!\Who is he talking to?\Pike?\Um, this might be none of my business, but... response:	I don't think this is good!
context: Quack!\Who are you?\What?\Why are you inside me?!\Who is he talking to?\Pike?\Um, this might be none of my business, but...\I don't think this is good! response:	About Fakir-senpai... You two have been close friends for a long time,
context: Who are you?\What?\Why are you inside me?!\Who is he talking to?\Pike?\Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time, response:	so it's not that I don't understand why you'd want to cover for him...
context: What?\Why are you inside me?!\Who is he talking to?\Pike?\Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him... response:	But if something like this happens a second time, you might end up never being able to dance again.
context: Why are you inside me?!\Who is he talking to?\Pike?\Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again. response:	Why are you talking to me about this?
context: Who is he talking to?\Pike?\Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this? response:	I saw you. I saw you gliding down from the sky with a white bird.
context: Pike?\Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird. response:	What?
context: Um, this might be none of my business, but...\I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What? response:	When I saw that, I thought you were being protected by something like the God of Dance.
context: I don't think this is good!\About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance. response:	A white bird? Does she mean Tutu?
context: About Fakir-senpai... You two have been close friends for a long time,\so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu? response:	You say such cute things.
context: so it's not that I don't understand why you'd want to cover for him...\But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things. response:	And you have a forthright, strong, and beautiful heart.
context: But if something like this happens a second time, you might end up never being able to dance again.\Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart. response:	Excuse me!
context: Why are you talking to me about this?\I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me! response:	Pike...
context: I saw you. I saw you gliding down from the sky with a white bird.\What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike... response:	I saw that! I saw that!
context: What?\When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike...\I saw that! I saw that! response:	Quack...
context: When I saw that, I thought you were being protected by something like the God of Dance.\A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike...\I saw that! I saw that!\Quack... response:	Huh?
context: A white bird? Does she mean Tutu?\You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike...\I saw that! I saw that!\Quack...\Huh? response:	He's gone.
context: You say such cute things.\And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike...\I saw that! I saw that!\Quack...\Huh?\He's gone. response:	A crow's feather? Is this...
context: And you have a forthright, strong, and beautiful heart.\Excuse me!\Pike...\I saw that! I saw that!\Quack...\Huh?\He's gone.\A crow's feather? Is this... response:	I know, I'll go talk to Fakir about it.
context: Excuse me!\Pike...\I saw that! I saw that!\Quack...\Huh?\He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it. response:	Anyway, I have to turn back into a girl somewhere.
context: Pike...\I saw that! I saw that!\Quack...\Huh?\He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere. response:	No good, there's lots of people here.
context: I saw that! I saw that!\Quack...\Huh?\He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here. response:	Oh, I know where I can go!
context: Quack...\Huh?\He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go! response:	This place should be okay!
context: Huh?\He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay! response:	Man, I danced my butt off!
context: He's gone.\A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off! response:	Oh, where's Dylan-san?
context: A crow's feather? Is this...\I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san? response:	Oh, shoot!
context: I know, I'll go talk to Fakir about it.\Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot! response:	Armadylan-san!
context: Anyway, I have to turn back into a girl somewhere.\No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san! response:	Yes, sir!
context: No good, there's lots of people here.\Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san!\Yes, sir! response:	Jeez, he scared me!
context: Oh, I know where I can go!\This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san!\Yes, sir!\Jeez, he scared me! response:	Wait, this isn't the time to be doing stuff like this!
context: This place should be okay!\Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san!\Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this! response:	I wonder where Fakir is...
context: Man, I danced my butt off!\Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san!\Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is... response:	Is there something going on with him lately?
context: Oh, where's Dylan-san?\Oh, shoot!\Armadylan-san!\Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately? response:	With Fakir.
context: Oh, shoot!\Armadylan-san!\Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately?\With Fakir. response:	He's acting strange.
context: Armadylan-san!\Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately?\With Fakir.\He's acting strange. response:	I mean, in the library!
context: Yes, sir!\Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately?\With Fakir.\He's acting strange.\I mean, in the library! response:	He's been holed up in there forever!
context: Jeez, he scared me!\Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately?\With Fakir.\He's acting strange.\I mean, in the library!\He's been holed up in there forever! response:	The library?
context: Wait, this isn't the time to be doing stuff like this!\I wonder where Fakir is...\Is there something going on with him lately?\With Fakir.\He's acting strange.\I mean, in the library!\He's been holed up in there forever!\The library? response:	Oh, he really is here!
context: I wonder where Fakir is...\Is there something going on with him lately?\With Fakir.\He's acting strange.\I mean, in the library!\He's been holed up in there forever!\The library?\Oh, he really is here! response:	Hey, Fakir! Just now Mytho and Pike ran into each other,
context: Is there something going on with him lately?\With Fakir.\He's acting strange.\I mean, in the library!\He's been holed up in there forever!\The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other, response:	and it was kinda weird, and it was like it wasn't the normal Mytho,
context: With Fakir.\He's acting strange.\I mean, in the library!\He's been holed up in there forever!\The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho, response:	and what happened yesterday was weird too,
context: He's acting strange.\I mean, in the library!\He's been holed up in there forever!\The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too, response:	and I wondered if maybe Meowzinsky's shoes were Mytho's fault too,
context: I mean, in the library!\He's been holed up in there forever!\The library?\Oh, he really is here!\Hey, Fakir! Just now Mytho and Pike ran into each other,\and it was kinda weird, and it was like it wasn't the normal Mytho,\and what happened yesterday was weird too,\and I wondered if maybe Meowzinsky's shoes were Mytho's fault too, response:	but that might be my imagination, but...
