context: Jump! response:	We're here!
context: Let's go, Tsubaki-chan.\Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you!\Thanks! response:	Hey, let's get a photo taken together!
context: Yeah.\Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together! response:	Secchan's daddy!
context: Sumiya piano recitals\It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together!\Secchan's daddy! response:	Can you take a photo of me and Secchan?
context: It's been a while since we've come here as guests, hasn't it?\It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan? response:	Sure thing.
context: It sure has. It's nice not having to be nervous.\You're so cute!\That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing. response:	Alright, stand there next to each other.
context: You're so cute!\That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other. response:	Here I go. Say Cheese!
context: That dress looks really good on you!\Thanks!\Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese! response:	The rainbow after a storm
context: Thanks!\Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm response:	And the flowers blooming by the wayside
context: Hey, let's get a photo taken together!\Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside response:	Burst into color that day
context: Secchan's daddy!\Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day response:	When I saw you gazing at the crimson sky
context: Can you take a photo of me and Secchan?\Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky response:	And fell in love
context: Sure thing.\Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky\And fell in love response:	Every dramatic frame
context: Alright, stand there next to each other.\Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame response:	We painted on that film roll
context: Here I go. Say Cheese!\The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame\We painted on that film roll response:	Will stay forever etched
context: The rainbow after a storm\And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame\We painted on that film roll\Will stay forever etched response:	In my memories
context: And the flowers blooming by the wayside\Burst into color that day\When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame\We painted on that film roll\Will stay forever etched\In my memories response:	It was you, my special one
context: Burst into color that day\When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame\We painted on that film roll\Will stay forever etched\In my memories\It was you, my special one response:	It was you who opened my eyes
context: When I saw you gazing at the crimson sky\And fell in love\Every dramatic frame\We painted on that film roll\Will stay forever etched\In my memories\It was you, my special one\It was you who opened my eyes response:	The stars in the night sky show us
context: And fell in love\Every dramatic frame\We painted on that film roll\Will stay forever etched\In my memories\It was you, my special one\It was you who opened my eyes\The stars in the night sky show us response:	There can be light in darkness
context: Every dramatic frame\We painted on that film roll\Will stay forever etched\In my memories\It was you, my special one\It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness response:	Stop hiding your sorrow
context: We painted on that film roll\Will stay forever etched\In my memories\It was you, my special one\It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow response:	Behind that dazzling smile
context: Will stay forever etched\In my memories\It was you, my special one\It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile response:	For all the stars in the night sky
context: In my memories\It was you, my special one\It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky response:	Shine brightly on you
context: It was you, my special one\It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you response:	The hopes and fears we cling to
context: It was you who opened my eyes\The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to response:	Will be the guiding lights that lead us into brilliance
context: The stars in the night sky show us\There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance response:	You always get a soda ice block, don't you Emi?
context: There can be light in darkness\Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi? response:	Is it tasty, Emi?
context: Stop hiding your sorrow\Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi? response:	Yup.
context: Behind that dazzling smile\For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup. response:	Mako-chan's going up 7th, apparently.
context: For all the stars in the night sky\Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently. response:	I can't wait to hear her play!
context: Shine brightly on you\The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play! response:	She looked really nervous. Is she going to be alright?
context: The hopes and fears we cling to\Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright? response:	I wanted to go and play dodgeball with Yuuichi and everyone.
context: Will be the guiding lights that lead us into brilliance\You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone. response:	Hurry up Watari, it's this way!
context: You always get a soda ice block, don't you Emi?\Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way! response:	Hey, wait up will you?
context: Is it tasty, Emi?\Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you? response:	There was a really pretty lady
context: Yup.\Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady response:	Shut up!
context: Mako-chan's going up 7th, apparently.\I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady\Shut up! response:	Number 5, Arima Kousei-kun.
context: I can't wait to hear her play!\She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun. response:	What's he doing?
context: She looked really nervous. Is she going to be alright?\I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun.\What's he doing? response:	He looks really nervous.
context: I wanted to go and play dodgeball with Yuuichi and everyone.\Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous. response:	I did it!
context: Hurry up Watari, it's this way!\Hey, wait up will you?\There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous.\I did it! response:	What on Earth happened, Emi?
context: Hey, wait up will you?\There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous.\I did it!\What on Earth happened, Emi? response:	You ran out of there before even listening to Mako-chan play!
context: There was a really pretty lady\Shut up!\Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous.\I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play! response:	Number 5, Arima Kousei-kun.
context: Shut up!\Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous.\I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun. response:	Arima...
context: Number 5, Arima Kousei-kun.\What's he doing?\He looks really nervous.\I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima... response:	Emi!
context: What's he doing?\He looks really nervous.\I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima...\Emi! response:	What are you trying toWoah, hey, that's dangerous!
context: He looks really nervous.\I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima...\Emi!\What are you trying toWoah, hey, that's dangerous! response:	If you want to climb, do it on the slide!
context: I did it!\What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima...\Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide! response:	I'm gonna become a pianist!
context: What on Earth happened, Emi?\You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima...\Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist! response:	Primary schoolers' piano competition
context: You ran out of there before even listening to Mako-chan play!\Number 5, Arima Kousei-kun.\Arima...\Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition response:	Sumiya district
context: Number 5, Arima Kousei-kun.\Arima...\Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district response:	But you play the violin, Kao-chan!
context: Arima...\Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan! response:	I used to play when I was little.
context: Emi!\What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little. response:	We can go shopping after we watch for a little bit!
context: What are you trying toWoah, hey, that's dangerous!\If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit! response:	Fine, but just for a bit.
context: If you want to climb, do it on the slide!\I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit. response:	Thanks!
context: I'm gonna become a pianist!\Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks! response:	Arima Kousei-kun's gonna win again, don't you think?
context: Primary schoolers' piano competition\Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think? response:	With Arima-kun here, I feel bad for the children competing in this area.
context: Sumiya district\But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area. response:	Does it bother you?
context: But you play the violin, Kao-chan!\I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you? response:	It doesn't!
context: I used to play when I was little.\We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't! response:	Because he...
context: We can go shopping after we watch for a little bit!\Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't!\Because he... response:	Arima?
context: Fine, but just for a bit.\Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't!\Because he...\Arima? response:	Why's he alone? Doesn't he have anyone with him?
context: Thanks!\Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't!\Because he...\Arima?\Why's he alone? Doesn't he have anyone with him? response:	This is my chance to get close to him!
context: Arima Kousei-kun's gonna win again, don't you think?\With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't!\Because he...\Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him! response:	I think I'll have an ice block!
context: With Arima-kun here, I feel bad for the children competing in this area.\Does it bother you?\It doesn't!\Because he...\Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block! response:	Wow, this is the kind that splits in two!
context: Does it bother you?\It doesn't!\Because he...\Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two! response:	I don't think I can eat both!
context: It doesn't!\Because he...\Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both! response:	What should I do?
context: Because he...\Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do? response:	He's ignoring me!
context: Arima?\Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do?\He's ignoring me! response:	It's been a while, Ochiai-Sensei.
context: Why's he alone? Doesn't he have anyone with him?\This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei. response:	My, what a surprise it is to see you here, Takayanagi-Sensei.
context: This is my chance to get close to him!\I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei. response:	There's a child I'm teaching right now.
context: I think I'll have an ice block!\Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now. response:	You are?
context: Wow, this is the kind that splits in two!\I don't think I can eat both!\What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are? response:	This power-hungry snob is teaching a primary schooler?
context: I don't think I can eat both!\What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler? response:	His name is Aiza Takeshi.
context: What should I do?\He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi. response:	He has a very promising future ahead of him.
context: He's ignoring me!\It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him. response:	Nice to meet you.
context: It's been a while, Ochiai-Sensei.\My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you. response:	Yes, indeed.
context: My, what a surprise it is to see you here, Takayanagi-Sensei.\There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed. response:	I hear you're teaching a piano class now
context: There's a child I'm teaching right now.\You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now response:	Oh, but I suppose it is more your area of expertise to be coaching young children...
context: You are?\This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children... response:	Children can be very difficult to handle.
context: This power-hungry snob is teaching a primary schooler?\His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle. response:	You'll be drained dry if you don't know what you're doing.
context: His name is Aiza Takeshi.\He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing. response:	By the children.
context: He has a very promising future ahead of him.\Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children. response:	Your advice sure pains me so.
context: Nice to meet you.\Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so. response:	Why, I'm simply giving you a friendly warning.
context: Yes, indeed.\I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning. response:	Ha
context: I hear you're teaching a piano class now\Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha response:	Ha
context: Oh, but I suppose it is more your area of expertise to be coaching young children...\Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha\Ha response:	Ha
context: Children can be very difficult to handle.\You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha\Ha\Ha response:	Ha
context: You'll be drained dry if you don't know what you're doing.\By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha\Ha\Ha\Ha response:	Ha
context: By the children.\Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha\Ha\Ha\Ha\Ha response:	I get a Transformation Belt just for competing!
context: Your advice sure pains me so.\Why, I'm simply giving you a friendly warning.\Ha\Ha\Ha\Ha\Ha\I get a Transformation Belt just for competing! response:	And if I win, I'll get the Super Mech!
context: Why, I'm simply giving you a friendly warning.\Ha\Ha\Ha\Ha\Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech! response:	Piano's a breeze!
context: Ha\Ha\Ha\Ha\Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze! response:	Wait up!
context: Ha\Ha\Ha\Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up! response:	Wait up, Onii-chan!
context: Ha\Ha\Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up!\Wait up, Onii-chan! response:	Onii-chan!
context: Ha\Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up!\Wait up, Onii-chan!\Onii-chan! response:	Incredible! He's incredible!
context: Ha\I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up!\Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible! response:	He plays the sheet music perfectly!
context: I get a Transformation Belt just for competing!\And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up!\Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly! response:	Everyone's so on edge, but he doesn't even raise an eyebrow!
context: And if I win, I'll get the Super Mech!\Piano's a breeze!\Wait up!\Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow! response:	He's just like one of those Western cowboys!
context: Piano's a breeze!\Wait up!\Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys! response:	A heart of steel, and unmatched skill!
context: Wait up!\Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill! response:	He leaves the stage without smiling or saying a word!
context: Wait up, Onii-chan!\Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word! response:	He's like a Super Mech Robot!
context: Onii-chan!\Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot! response:	He's super strong, and super cool!
context: Incredible! He's incredible!\He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool! response:	Arima
context: He plays the sheet music perfectly!\Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool!\Arima response:	is a hero!
context: Everyone's so on edge, but he doesn't even raise an eyebrow!\He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool!\Arima\is a hero! response:	Dammit! I made another mistake!
context: He's just like one of those Western cowboys!\A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool!\Arima\is a hero!\Dammit! I made another mistake! response:	Why can't I play like he does?
context: A heart of steel, and unmatched skill!\He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool!\Arima\is a hero!\Dammit! I made another mistake!\Why can't I play like he does? response:	Just what kind of practice does he do?
context: He leaves the stage without smiling or saying a word!\He's like a Super Mech Robot!\He's super strong, and super cool!\Arima\is a hero!\Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do? response:	Has he been rebuilt on the inside?
context: He's like a Super Mech Robot!\He's super strong, and super cool!\Arima\is a hero!\Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside? response:	Takayanagi-Sensei just makes me play the same song over and over again.
context: He's super strong, and super cool!\Arima\is a hero!\Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again. response:	Let's see what his secret is!
context: Arima\is a hero!\Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is! response:	Huh? That's strange...
context: is a hero!\Dammit! I made another mistake!\Why can't I play like he does?\Just what kind of practice does he do?\Has he been rebuilt on the inside?\Takayanagi-Sensei just makes me play the same song over and over again.\Let's see what his secret is!\Huh? That's strange... response:	It should be around here somewhere...
