context: Archer, I don't believe it. You response:	Have you no pride as a hero?
context: Or did you honestly think you would succeed?\That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason... response:	Then answer me!
context: That if you stubbornly kept trying, your ideal self would be within your grasp?\Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me! response:	Do so and I will entrust my destiny to your sword!
context: Archer...\Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword! response:	On my honor as a Saber, I accept your oath.
context: Emiya Shirou has reached his limit.\A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath. response:	I accept you as my Master, Rin.
context: A fitting end for a fool who constantly tried to do the impossible.\Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin. response:	What will it be, Saber?
context: Heed my words.\My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber? response:	Now that you've made a pact with Rin,
context: My will creates your body, and your sword creates my destiny.\If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin, response:	it means you truly have no further ties to Emiya Shirou.
context: If you heed the Grail's call and obey my will and reason...\Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou. response:	Weren't you listening, Archer?
context: Then answer me!\Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer? response:	My pledge to Shirou stands.
context: Do so and I will entrust my destiny to your sword!\On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands. response:	And what will you do?
context: On my honor as a Saber, I accept your oath.\I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do? response:	As I am now, surely you do not think you can defeat me.
context: I accept you as my Master, Rin.\What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me. response:	How confident you've become, simply because your mana is restored.
context: What will it be, Saber?\Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored. response:	It's over, Archer.
context: Now that you've made a pact with Rin,\it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer. response:	Earlier, you voiced concern for my condition,
context: it means you truly have no further ties to Emiya Shirou.\Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition, response:	but now I could say the same to you.
context: Weren't you listening, Archer?\My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you. response:	You have nothing to anchor you to this world.
context: My pledge to Shirou stands.\And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world. response:	You have nothing to supply you with mana, so what can you do?
context: And what will you do?\As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do? response:	Servants of the Archer class have the ability to act independently.
context: As I am now, surely you do not think you can defeat me.\How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently. response:	Without a Master, I think I can last two days or so.
context: How confident you've become, simply because your mana is restored.\It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so. response:	More than enough time to put down that boy.
context: It's over, Archer.\Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy. response:	I can't believe it. You're still talking about that?
context: Earlier, you voiced concern for my condition,\but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that? response:	Or are you saying your wish was never the Holy Grail,
context: but now I could say the same to you.\You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail, response:	but killing Shirou?
context: You have nothing to anchor you to this world.\You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou? response:	Archer, your wish is mistaken.
context: You have nothing to supply you with mana, so what can you do?\Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken. response:	Mistaken, is it?
context: Servants of the Archer class have the ability to act independently.\Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it? response:	You took the words out of my mouth, Saber.
context: Without a Master, I think I can last two days or so.\More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber. response:	How long will you embrace your own mistaken wish?
context: More than enough time to put down that boy.\I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish? response:	You didn't fail to leave a legacy.
context: I can't believe it. You're still talking about that?\Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy. response:	Can't you think of it as an end to everything you could do?
context: Or are you saying your wish was never the Holy Grail,\but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do? response:	I am an Archer.
context: but killing Shirou?\Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer. response:	I was never meant to fight using swords.
context: Archer, your wish is mistaken.\Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords. response:	Admittedly...
context: Mistaken, is it?\You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords.\Admittedly... response:	My bow is just as much a borrowed forgery.
context: You took the words out of my mouth, Saber.\How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery. response:	I'm saying that I will show you my true nature.
context: How long will you embrace your own mistaken wish?\You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature. response:	That is the greatest recompense that I can offer you.
context: You didn't fail to leave a legacy.\Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you. response:	I am the bone of my sword.
context: Can't you think of it as an end to everything you could do?\I am an Archer.\I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword. response:	Stop, Archer!
context: I am an Archer.\I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer! response:	I do not wish to...
context: I was never meant to fight using swords.\Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer!\I do not wish to... response:	Unknown to Death,
context: Admittedly...\My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer!\I do not wish to...\Unknown to Death, response:	Nor known to Life.
context: My bow is just as much a borrowed forgery.\I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer!\I do not wish to...\Unknown to Death,\Nor known to Life. response:	Saber, one day, someone will appear who will free you.
context: I'm saying that I will show you my true nature.\That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer!\I do not wish to...\Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you. response:	But the sole objective of my current self is to kill Emiya Shirou.
context: That is the greatest recompense that I can offer you.\I am the bone of my sword.\Stop, Archer!\I do not wish to...\Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou. response:	If you try to prevent that, this world will not show mercy, even to you.
context: I am the bone of my sword.\Stop, Archer!\I do not wish to...\Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you. response:	Unlimited...
context: Stop, Archer!\I do not wish to...\Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited... response:	Blade Works.
context: I do not wish to...\Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works. response:	A Reality Marble?
context: Unknown to Death,\Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works.\A Reality Marble? response:	A forbidden spell that manifests the caster's inner world and encroaches on reality.
context: Nor known to Life.\Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality. response:	Which means that you aren't a swordsman or a bowman.
context: Saber, one day, someone will appear who will free you.\But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman. response:	Correct.
context: But the sole objective of my current self is to kill Emiya Shirou.\If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct. response:	When I was alive, I was a mage before I became a Heroic Spirit.
context: If you try to prevent that, this world will not show mercy, even to you.\Unlimited...\Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit. response:	Then what is your Noble Phantasm, Archer?
context: Unlimited...\Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer? response:	I owned neither a holy sword nor a demonic one.
context: Blade Works.\A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one. response:	All I have is this world.
context: A Reality Marble?\A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world. response:	If a Noble Phantasm is a Heroic Spirit's symbol,
context: A forbidden spell that manifests the caster's inner world and encroaches on reality.\Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol, response:	then this Reality Marble is my Noble Phantasm.
context: Which means that you aren't a swordsman or a bowman.\Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm. response:	It reproduces and stores any weapon whose original I've seen.
context: Correct.\When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen. response:	That is my ability as a Heroic Spirit.
context: When I was alive, I was a mage before I became a Heroic Spirit.\Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit. response:	Then this...
context: Then what is your Noble Phantasm, Archer?\I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this... response:	You're saying this wasteland is where you ended up in life, Archer?
context: I owned neither a holy sword nor a demonic one.\All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer? response:	You don't mince words.
context: All I have is this world.\If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words. response:	Care to test it, Saber?
context: If a Noble Phantasm is a Heroic Spirit's symbol,\then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber? response:	I'll faithfully replicate that holy sword of yours.
context: then this Reality Marble is my Noble Phantasm.\It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours. response:	My holy sword?
context: It reproduces and stores any weapon whose original I've seen.\That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword? response:	Yes, it's a projection that's certain to end in my destruction,
context: That is my ability as a Heroic Spirit.\Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction, response:	but I can produce a convincing replica.
context: Then this...\You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica. response:	It should last long enough to take you with me.
context: You're saying this wasteland is where you ended up in life, Archer?\You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me. response:	However, when two holy swords clash,
context: You don't mince words.\Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash, response:	will any humans in the vicinity survive?
context: Care to test it, Saber?\I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive? response:	That son of a...
context: I'll faithfully replicate that holy sword of yours.\My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a... response:	Feel free to dodge them.
context: My holy sword?\Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a...\Feel free to dodge them. response:	But if you do, you doom the man behind you.
context: Yes, it's a projection that's certain to end in my destruction,\but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you. response:	Shirou?!
context: but I can produce a convincing replica.\It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?! response:	If the rules and principles of all the copying I've done so far are right...
context: It should last long enough to take you with me.\However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right... response:	Trace...
context: However, when two holy swords clash,\will any humans in the vicinity survive?\That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace... response:	on!
context: will any humans in the vicinity survive?\That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace...\on! response:	Faster.
context: That son of a...\Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace...\on!\Faster. response:	Better.
context: Feel free to dodge them.\But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace...\on!\Faster.\Better. response:	Stronger.
context: But if you do, you doom the man behind you.\Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace...\on!\Faster.\Better.\Stronger. response:	I can see how this place works.
context: Shirou?!\If the rules and principles of all the copying I've done so far are right...\Trace...\on!\Faster.\Better.\Stronger.\I can see how this place works. response:	I'm sick of your crap!
context: If the rules and principles of all the copying I've done so far are right...\Trace...\on!\Faster.\Better.\Stronger.\I can see how this place works.\I'm sick of your crap! response:	Archer, what do you think you're...
