context: The Town Along the River (continued) response:	It still hasn't come.
context: Finally, the time has come to play against each other in a public forum.\CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long. response:	True, it took me two years longer to reach 4th dan, but now is the real beginning!
context: CREAK\This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning! response:	The beginning of true battle!
context: This came to my house, so I figured you would get one, too.\So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle! response:	You even opened the envelope! That's a crime!
context: So that's why I came over.\Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime! response:	To think, ever since the day I first played against you
context: Either way, I just felt like I had to deliver this letter to you with my own hands.\So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you response:	at the National Children's Shogi Championship ten years ago,
context: So you opened my mailbox?\Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago, response:	I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.
context: Without permission, Nikaido?\I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day. response:	I researched under the moonlight, read books by the light of fireflies,
context: I've waited for so long.\True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies, response:	and told myself that I was just a late bloomer.
context: True, it took me two years longer to reach 4th dan, but now is the real beginning!\The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer. response:	However, in the end, I too am a genius...
context: The beginning of true battle!\You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius... response:	Well, see you at the game. Goodnight.
context: You even opened the envelope! That's a crime!\To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight. response:	Ah!
context: To think, ever since the day I first played against you\at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah! response:	Hey!
context: at the National Children's Shogi Championship ten years ago,\I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah!\Hey! response:	Bastard!
context: I decided you'd be my lifelong rival and ever since, I put in effort to progress every day.\I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah!\Hey!\Bastard! response:	Listen when somebody's talking to you!
context: I researched under the moonlight, read books by the light of fireflies,\and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah!\Hey!\Bastard!\Listen when somebody's talking to you! response:	That's my line.
context: and told myself that I was just a late bloomer.\However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah!\Hey!\Bastard!\Listen when somebody's talking to you!\That's my line. response:	Take it, right from my hand!
context: However, in the end, I too am a genius...\Well, see you at the game. Goodnight.\Ah!\Hey!\Bastard!\Listen when somebody's talking to you!\That's my line.\Take it, right from my hand! response:	This declaration of war in the form of a game notification!
context: Well, see you at the game. Goodnight.\Ah!\Hey!\Bastard!\Listen when somebody's talking to you!\That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification! response:	I'll just call the federation myself for the info.
context: Ah!\Hey!\Bastard!\Listen when somebody's talking to you!\That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info. response:	Don't put me off like that, Kiriyama! We're friends, aren't we?
context: Hey!\Bastard!\Listen when somebody's talking to you!\That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we? response:	Friends? This is the first I'm hearing it!
context: Bastard!\Listen when somebody's talking to you!\That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it! response:	How did you come up with that?
context: Listen when somebody's talking to you!\That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that? response:	That's how it usually goes.
context: That's my line.\Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes. response:	We're rivals, we put in effort, and after overcoming those things,
context: Take it, right from my hand!\This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things, response:	In the end! We'll! High five each other!
context: This declaration of war in the form of a game notification!\I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other! response:	FRIENDSHIP
context: I'll just call the federation myself for the info.\Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP response:	EFFORT
context: Don't put me off like that, Kiriyama! We're friends, aren't we?\Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP\EFFORT response:	Like that!
context: Friends? This is the first I'm hearing it!\How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP\EFFORT\Like that! response:	BFFs
context: How did you come up with that?\That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP\EFFORT\Like that!\BFFs response:	Go with the flow here! This is the standard for boys' manga!
context: That's how it usually goes.\We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP\EFFORT\Like that!\BFFs\Go with the flow here! This is the standard for boys' manga! response:	The main character of an orthodox boys' manga
context: We're rivals, we put in effort, and after overcoming those things,\In the end! We'll! High five each other!\FRIENDSHIP\EFFORT\Like that!\BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga response:	wouldn't open somebody else's mail and appear with a smug expression on his face.
context: In the end! We'll! High five each other!\FRIENDSHIP\EFFORT\Like that!\BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face. response:	Wait, where's Mr. Hanaoka? He's usually with you.
context: FRIENDSHIP\EFFORT\Like that!\BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you. response:	My servant?
context: EFFORT\Like that!\BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant? response:	He's on vacation.
context: Like that!\BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation. response:	Thank you for always taking good care of Young Master.
context: BFFs\Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation.\Thank you for always taking good care of Young Master. response:	In appreciation of his 45 years of service to the Nikaido family,
context: Go with the flow here! This is the standard for boys' manga!\The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family, response:	we gifted him an 80-day cruise around the world.
context: The main character of an orthodox boys' manga\wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world. response:	BA-BAAM
context: wouldn't open somebody else's mail and appear with a smug expression on his face.\Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM response:	BA-BAAM! Like that.
context: Wait, where's Mr. Hanaoka? He's usually with you.\My servant?\He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that. response:	Master Harunobu,
context: My servant?\He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that.\Master Harunobu, response:	Please take special care of your health until I return.
context: He's on vacation.\Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return. response:	80 days? Then this strange beast will be loose the whole time?
context: Thank you for always taking good care of Young Master.\In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time? response:	Hey, about our upcoming game,
context: In appreciation of his 45 years of service to the Nikaido family,\we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game, response:	if I go first, will you go with a One-Turn Loss Bishop Exchange?
context: we gifted him an 80-day cruise around the world.\BA-BAAM\BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange? response:	Or a Cornering Rook?
context: BA-BAAM\BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook? response:	If you go first, will you do an Attacking Central Rook?
context: BA-BAAM! Like that.\Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook? response:	I could tell you, but how would you know if I was telling the truth?
context: Master Harunobu,\Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth? response:	Oh, come on. Don't be so cautious.
context: Please take special care of your health until I return.\80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious. response:	After all, once we start, your strategy will be obvious.
context: 80 days? Then this strange beast will be loose the whole time?\Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious. response:	Then why not keep your eyes peeled on that day and confirm it yourself?
context: Hey, about our upcoming game,\if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself? response:	That's different. I'm just trying to mentally prepare myself.
context: if I go first, will you go with a One-Turn Loss Bishop Exchange?\Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself. response:	Why do I have to help you with your mental preparation?
context: Or a Cornering Rook?\If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation? response:	I don't get it.
context: If you go first, will you do an Attacking Central Rook?\I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it. response:	Kiriyama, these cakes are delicious.
context: I could tell you, but how would you know if I was telling the truth?\Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious. response:	He's not even listening.
context: Oh, come on. Don't be so cautious.\After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening. response:	MIKAZUKI-DOU
context: After all, once we start, your strategy will be obvious.\Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU response:	Help me, Mr. Hanaoka!
context: Then why not keep your eyes peeled on that day and confirm it yourself?\That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka! response:	The Town Along the River
context: That's different. I'm just trying to mentally prepare myself.\Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River response:	Akari
context: Why do I have to help you with your mental preparation?\I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River\Akari response:	I like the river.
context: I don't get it.\Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River\Akari\I like the river. response:	There aren't many things that I like...
context: Kiriyama, these cakes are delicious.\He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River\Akari\I like the river.\There aren't many things that I like... response:	I go into a daze as my mind becomes quiet.
context: He's not even listening.\MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River\Akari\I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet. response:	It's only one subway stop to Sendagaya,
context: MIKAZUKI-DOU\Help me, Mr. Hanaoka!\The Town Along the River\Akari\I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya, response:	but on match days, I like to look at the river on the way,
context: Help me, Mr. Hanaoka!\The Town Along the River\Akari\I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way, response:	so I walk to the nearest JR Station.
context: The Town Along the River\Akari\I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station. response:	I cross various bridges as I go.
context: Akari\I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go. response:	It's strangely soothing,
context: I like the river.\There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing, response:	maybe because when I was young, I lived in a town surrounded by a river on all sides.
context: There aren't many things that I like...\I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides. response:	Although my memories of that time are faint now.
context: I go into a daze as my mind becomes quiet.\It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now. response:	A pro shogi player has 30 to 40 matches per year.
context: It's only one subway stop to Sendagaya,\but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year. response:	And there are title matches other than rank-deciding competitions,
context: but on match days, I like to look at the river on the way,\so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions, response:	most of them in tournaments, so the more you win,
context: so I walk to the nearest JR Station.\I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win, response:	the more matches you'll play.
context: I cross various bridges as I go.\It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play. response:	There are some top-class players who have 70 to 80 matches a year.
context: It's strangely soothing,\maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year. response:	Today's match is the qualifier for the NHK Cup.
context: maybe because when I was young, I lived in a town surrounded by a river on all sides.\Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup. response:	If I make it past the qualifying round of this TV station-sponsored tournament,
context: Although my memories of that time are faint now.\A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament, response:	and participate in the final tournament,
context: A pro shogi player has 30 to 40 matches per year.\And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament, response:	then, you can guess from the name, NHK Cup...
context: And there are title matches other than rank-deciding competitions,\most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup... response:	Please let me win this match and be on TV.
context: most of them in tournaments, so the more you win,\the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV. response:	May I beat my opponent, Kiriyama, with my way of shogi.
context: the more matches you'll play.\There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi. response:	May I incinerate his amoeba, conventional book play with my burning manly soul!
context: There are some top-class players who have 70 to 80 matches a year.\Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul! response:	Kiriyama!
context: Today's match is the qualifier for the NHK Cup.\If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama! response:	Kyaaa!
context: If I make it past the qualifying round of this TV station-sponsored tournament,\and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa! response:	Did you run? Did you just try to run?
context: and participate in the final tournament,\then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa!\Did you run? Did you just try to run? response:	You know what that is? That's called a spiritual defeat!
context: then, you can guess from the name, NHK Cup...\Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat! response:	His name is Issa Matsumoto.
context: Please let me win this match and be on TV.\May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto. response:	Rank C-2, 26 years old, 5th dan.
context: May I beat my opponent, Kiriyama, with my way of shogi.\May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan. response:	His playing style is aggressive.
context: May I incinerate his amoeba, conventional book play with my burning manly soul!\Kiriyama!\Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive. response:	In fact, all he does is attack.
context: Kiriyama!\Kyaaa!\Did you run? Did you just try to run?\You know what that is? That's called a spiritual defeat!\His name is Issa Matsumoto.\Rank C-2, 26 years old, 5th dan.\His playing style is aggressive.\In fact, all he does is attack. response:	He charges at his opponent like a wild boar or a ball of fire.
