context: There was this overwhelming emotion response:	I had while I was barely conscious.
context: You always think people are talking about you,\or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things!\Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic. response:	I apologize for being alive.
context: or I guess, it's better to say you have a huge ego.\Stop it...\Stop imagining things!\Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive. response:	Kaito-kun.
context: Stop it...\Stop imagining things!\Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun. response:	Wake up, Kaito-kun.
context: Stop imagining things!\Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun. response:	If you don't wake up soon,
context: Dear Sister,\this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon, response:	you're going to be late for school.
context: this is your humbled brother writing you.\Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school. response:	You don't even have time to eat...
context: Your dear brother has gone crazy and had it all blow up in his face.\I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat... response:	Huh?
context: I'm sorry for being so pathetic.\I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat...\Huh? response:	I'm staying home today.
context: I apologize for being alive.\Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat...\Huh?\I'm staying home today. response:	What's that?
context: Kaito-kun.\Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat...\Huh?\I'm staying home today.\What's that? response:	Staying home?
context: Wake up, Kaito-kun.\If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat...\Huh?\I'm staying home today.\What's that?\Staying home? response:	What's wrong, Kaito-kun?
context: If you don't wake up soon,\you're going to be late for school.\You don't even have time to eat...\Huh?\I'm staying home today.\What's that?\Staying home?\What's wrong, Kaito-kun? response:	Are you not feeling well?!
context: you're going to be late for school.\You don't even have time to eat...\Huh?\I'm staying home today.\What's that?\Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?! response:	Rinon!
context: You don't even have time to eat...\Huh?\I'm staying home today.\What's that?\Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon! response:	There's nothing wrong with his body?
context: Huh?\I'm staying home today.\What's that?\Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon!\There's nothing wrong with his body? response:	Then why...
context: I'm staying home today.\What's that?\Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon!\There's nothing wrong with his body?\Then why... response:	Kaito-kun! Kaito-kun!
context: What's that?\Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon!\There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun! response:	Please leave me alone. -Kaito
context: Staying home?\What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon!\There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito response:	Kaito-kun...
context: What's wrong, Kaito-kun?\Are you not feeling well?!\Rinon!\There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun... response:	I'm staying home today.
context: Are you not feeling well?!\Rinon!\There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today. response:	Please leave me alone.
context: Rinon!\There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today.\Please leave me alone. response:	Should I really leave him alone?
context: There's nothing wrong with his body?\Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today.\Please leave me alone.\Should I really leave him alone? response:	And why did he say that on paper
context: Then why...\Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today.\Please leave me alone.\Should I really leave him alone?\And why did he say that on paper response:	instead of just telling me?
context: Kaito-kun! Kaito-kun!\Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today.\Please leave me alone.\Should I really leave him alone?\And why did he say that on paper\instead of just telling me? response:	Is it some sort of code?!
context: Please leave me alone. -Kaito\Kaito-kun...\I'm staying home today.\Please leave me alone.\Should I really leave him alone?\And why did he say that on paper\instead of just telling me?\Is it some sort of code?! response:	You're really interesting, you know that?
context: Kaito-kun...\I'm staying home today.\Please leave me alone.\Should I really leave him alone?\And why did he say that on paper\instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that? response:	Did I get something wrong?
context: I'm staying home today.\Please leave me alone.\Should I really leave him alone?\And why did he say that on paper\instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong? response:	He's just skipping school, Ichika.
context: Please leave me alone.\Should I really leave him alone?\And why did he say that on paper\instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika. response:	Skipping school?
context: Should I really leave him alone?\And why did he say that on paper\instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika.\Skipping school? response:	Basically, for some reason,
context: And why did he say that on paper\instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika.\Skipping school?\Basically, for some reason, response:	he didn't want to go to school today.
context: instead of just telling me?\Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika.\Skipping school?\Basically, for some reason,\he didn't want to go to school today. response:	Maybe he doesn't feel like studying,
context: Is it some sort of code?!\You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika.\Skipping school?\Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying, response:	or he didn't want to run into someone.
context: You're really interesting, you know that?\Did I get something wrong?\He's just skipping school, Ichika.\Skipping school?\Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone. response:	Didn't want... to run into someone...
context: Did I get something wrong?\He's just skipping school, Ichika.\Skipping school?\Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone... response:	Reason...?
context: He's just skipping school, Ichika.\Skipping school?\Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...? response:	Did something happen last night?
context: Skipping school?\Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...?\Did something happen last night? response:	N-Nothing happened, but...
context: Basically, for some reason,\he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...?\Did something happen last night?\N-Nothing happened, but... response:	Something happened, didn't it?
context: he didn't want to go to school today.\Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...?\Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it? response:	Youth is great.
context: Maybe he doesn't feel like studying,\or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...?\Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it?\Youth is great. response:	Please leave me alone. -Kaito
context: or he didn't want to run into someone.\Didn't want... to run into someone...\Reason...?\Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito response:	Hey, Mio.
context: Didn't want... to run into someone...\Reason...?\Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito\Hey, Mio. response:	Do you remember what happened yesterday?
context: Reason...?\Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday? response:	Um... I remember us talking about the movie,
context: Did something happen last night?\N-Nothing happened, but...\Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie, response:	toasting, and playing cards...
context: N-Nothing happened, but...\Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards... response:	I don't really remember much after that...
context: Something happened, didn't it?\Youth is great.\Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that... response:	Yeah, me neither...
context: Youth is great.\Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither... response:	Next thing I knew I had fallen asleep,
context: Please leave me alone. -Kaito\Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep, response:	and my head hurt when I woke up...
context: Hey, Mio.\Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up... response:	I wonder what happened.
context: Do you remember what happened yesterday?\Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened. response:	Oh, hey.
context: Um... I remember us talking about the movie,\toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened.\Oh, hey. response:	Oh, Tetsuro.
context: toasting, and playing cards...\I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened.\Oh, hey.\Oh, Tetsuro. response:	Do you remember what happened yesterday?
context: I don't really remember much after that...\Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened.\Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday? response:	No, I don't really know...
context: Yeah, me neither...\Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened.\Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know... response:	Oh, yeah.
context: Next thing I knew I had fallen asleep,\and my head hurt when I woke up...\I wonder what happened.\Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah. response:	I ran into Remon-senpai on my way to school.
context: and my head hurt when I woke up...\I wonder what happened.\Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school. response:	She said to give this to you.
context: I wonder what happened.\Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you. response:	Remon-senpai?
context: Oh, hey.\Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai? response:	What could it be...
context: Oh, Tetsuro.\Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai?\What could it be... response:	What is it?!
context: Do you remember what happened yesterday?\No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai?\What could it be...\What is it?! response:	A picture?
context: No, I don't really know...\Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai?\What could it be...\What is it?!\A picture? response:	No, no, no, no.
context: Oh, yeah.\I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai?\What could it be...\What is it?!\A picture?\No, no, no, no. response:	You can't look!
context: I ran into Remon-senpai on my way to school.\She said to give this to you.\Remon-senpai?\What could it be...\What is it?!\A picture?\No, no, no, no.\You can't look! response:	Why?
context: She said to give this to you.\Remon-senpai?\What could it be...\What is it?!\A picture?\No, no, no, no.\You can't look!\Why? response:	I said no!
context: Remon-senpai?\What could it be...\What is it?!\A picture?\No, no, no, no.\You can't look!\Why?\I said no! response:	What? What is this?
context: What could it be...\What is it?!\A picture?\No, no, no, no.\You can't look!\Why?\I said no!\What? What is this? response:	What did I do yesterday?
context: What is it?!\A picture?\No, no, no, no.\You can't look!\Why?\I said no!\What? What is this?\What did I do yesterday? response:	Kanna?
context: A picture?\No, no, no, no.\You can't look!\Why?\I said no!\What? What is this?\What did I do yesterday?\Kanna? response:	Everyone take your seats.
context: No, no, no, no.\You can't look!\Why?\I said no!\What? What is this?\What did I do yesterday?\Kanna?\Everyone take your seats. response:	We'll start our morning homeroom session.
context: You can't look!\Why?\I said no!\What? What is this?\What did I do yesterday?\Kanna?\Everyone take your seats.\We'll start our morning homeroom session. response:	First...
context: Why?\I said no!\What? What is this?\What did I do yesterday?\Kanna?\Everyone take your seats.\We'll start our morning homeroom session.\First... response:	Kirishima-kun isn't feeling well.
context: I said no!\What? What is this?\What did I do yesterday?\Kanna?\Everyone take your seats.\We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well. response:	We received a call saying he'll be out.
context: What? What is this?\What did I do yesterday?\Kanna?\Everyone take your seats.\We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out. response:	Kai has a cold?
context: What did I do yesterday?\Kanna?\Everyone take your seats.\We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold? response:	He seemed fine yesterday.
context: Kanna?\Everyone take your seats.\We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday. response:	Make sure you all keep an eye on your health.
context: Everyone take your seats.\We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health. response:	Anyway, I'll begin taking attendance.
context: We'll start our morning homeroom session.\First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance. response:	Kaito-kun...
context: First...\Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun... response:	Aikawa-san.
context: Kirishima-kun isn't feeling well.\We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san. response:	Did he figure out what I really am?
context: We received a call saying he'll be out.\Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san.\Did he figure out what I really am? response:	Kaito-kun...
context: Kai has a cold?\He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san.\Did he figure out what I really am?\Kaito-kun... response:	Senpai...
context: He seemed fine yesterday.\Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san.\Did he figure out what I really am?\Kaito-kun...\Senpai... response:	Senpai...
context: Make sure you all keep an eye on your health.\Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san.\Did he figure out what I really am?\Kaito-kun...\Senpai...\Senpai... response:	I've figured it out.
context: Anyway, I'll begin taking attendance.\Kaito-kun...\Aikawa-san.\Did he figure out what I really am?\Kaito-kun...\Senpai...\Senpai...\I've figured it out. response:	You're not from this planet.
context: Kaito-kun...\Aikawa-san.\Did he figure out what I really am?\Kaito-kun...\Senpai...\Senpai...\I've figured it out.\You're not from this planet. response:	Th-That's...
context: Aikawa-san.\Did he figure out what I really am?\Kaito-kun...\Senpai...\Senpai...\I've figured it out.\You're not from this planet.\Th-That's... response:	This person's an alien! She's dangerous!
context: Did he figure out what I really am?\Kaito-kun...\Senpai...\Senpai...\I've figured it out.\You're not from this planet.\Th-That's...\This person's an alien! She's dangerous! response:	Help me, Men In Black!
context: Kaito-kun...\Senpai...\Senpai...\I've figured it out.\You're not from this planet.\Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black! response:	No, save me!
context: Senpai...\Senpai...\I've figured it out.\You're not from this planet.\Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me! response:	I don't want to be a guinea pig!
context: Senpai...\I've figured it out.\You're not from this planet.\Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me!\I don't want to be a guinea pig! response:	I don't want to be dissected either!
context: I've figured it out.\You're not from this planet.\Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either! response:	This is terrible...
context: You're not from this planet.\Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible... response:	How should I explain what's going on to Kaito-kun?
context: Th-That's...\This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun? response:	Maybe I should just tell him the truth.
context: This person's an alien! She's dangerous!\Help me, Men In Black!\No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth. response:	But then, Kaito-kun will...
context: Help me, Men In Black!\No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will... response:	Senpai's probably...
context: No, save me!\I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably... response:	What?! Kaito-kun told you he likes you?!
context: I don't want to be a guinea pig!\I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?! response:	Yeah, out of nowhere last night...
context: I don't want to be dissected either!\This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night... response:	And what did you tell him?!
context: This is terrible...\How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?! response:	No, of course.
context: How should I explain what's going on to Kaito-kun?\Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?!\No, of course. response:	Man, Kai should have known he was completely out of his element.
context: Maybe I should just tell him the truth.\But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element. response:	I don't think that'd work out.
context: But then, Kaito-kun will...\Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out. response:	Pretty reckless of him.
context: Senpai's probably...\What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him. response:	Why do I keep imagining such bad things happening?
context: What?! Kaito-kun told you he likes you?!\Yeah, out of nowhere last night...\And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening? response:	What do you want?!
context: Yeah, out of nowhere last night...\And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?! response:	Let's go home, Mio.
context: And what did you tell him?!\No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio. response:	Yeah.
context: No, of course.\Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio.\Yeah. response:	Huh? You're not going over there?
context: Man, Kai should have known he was completely out of his element.\I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio.\Yeah.\Huh? You're not going over there? response:	Going where?
context: I don't think that'd work out.\Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio.\Yeah.\Huh? You're not going over there?\Going where? response:	To Kai's place, to see how he's doing.
context: Pretty reckless of him.\Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio.\Yeah.\Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing. response:	If he's not feeling well, we'll just be bothering him.
context: Why do I keep imagining such bad things happening?\What do you want?!\Let's go home, Mio.\Yeah.\Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him. response:	He might be hungry or something.
context: What do you want?!\Let's go home, Mio.\Yeah.\Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something. response:	Takatsuki-senpai is with him.
context: Let's go home, Mio.\Yeah.\Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him. response:	She'll take care of him.
context: Yeah.\Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him. response:	That's true...
context: Huh? You're not going over there?\Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him.\That's true... response:	Ichika-senpai seems like the type
context: Going where?\To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him.\That's true...\Ichika-senpai seems like the type response:	of girl who'd tend to his every need.
context: To Kai's place, to see how he's doing.\If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him.\That's true...\Ichika-senpai seems like the type\of girl who'd tend to his every need. response:	I'm sure she's leading him step-by-waist.
context: If he's not feeling well, we'll just be bothering him.\He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him.\That's true...\Ichika-senpai seems like the type\of girl who'd tend to his every need.\I'm sure she's leading him step-by-waist. response:	Kaito-kun, let's clean you up.
context: He might be hungry or something.\Takatsuki-senpai is with him.\She'll take care of him.\That's true...\Ichika-senpai seems like the type\of girl who'd tend to his every need.\I'm sure she's leading him step-by-waist.\Kaito-kun, let's clean you up. response:	Thank you, Senpai!
