context: The serialization meeting starts at 2 PM. response:	It's starting soon.
context: I'm the editor in charge of this work.\After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes. response:	I have nothing to criticize about his artistry or skill.
context: After the results from the Golden Future Cup, I had them write serialization names.\The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill. response:	Personally, I'd like to give him his place in the spotlight.
context: The original story author, Aoki, is a third year university student, but...\she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight. response:	Both of them have quite a lot of experience.
context: she had three one-shots published in shoujo magazines over a relatively short period of time.\She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience. response:	Even after serialization, I think they're the types that would last a long time without losing momentum.
context: She can also produce original stories in the name form very efficiently.\I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum. response:	I wanted to think that shounen manga was the right way to go.
context: I'm sure many of you know about the artist Nakai,\who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go. response:	I was runner-up for the Story King...
context: who's been an assistant to various senseis over the past 12 years.\You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King... response:	But in the Golden Future Cup, although I felt good about it, the result was...
context: You could call him a veteran who has been supporting Jack from behind the scenes.\I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was... response:	That's because it's shounen manga!
context: I have nothing to criticize about his artistry or skill.\Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga! response:	No, I'm sure it'll be okay.
context: Personally, I'd like to give him his place in the spotlight.\Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay. response:	Nakai-san's drawings certainly bring out the view of Aoki-san's world.
context: Both of them have quite a lot of experience.\Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world. response:	Even though they didn't win the Golden Future Cup, they did receive good results.
context: Even after serialization, I think they're the types that would last a long time without losing momentum.\I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results. response:	Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.
context: I wanted to think that shounen manga was the right way to go.\I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting. response:	We have to balance them with the other works.
context: I was runner-up for the Story King...\But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works. response:	There's no fantasy story like this in Jack right now.
context: But in the Golden Future Cup, although I felt good about it, the result was...\That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now. response:	I think maybe we should hold onto it.
context: That's because it's shounen manga!\No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it. response:	It'll be fine to give it a yes.
context: No, I'm sure it'll be okay.\Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes. response:	Thank you.
context: Nakai-san's drawings certainly bring out the view of Aoki-san's world.\Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you. response:	Next is...
context: Even though they didn't win the Golden Future Cup, they did receive good results.\Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you.\Next is... response:	Ki wo Kikasete Kirakira.
context: Yes, but there were three works that got good results in the Golden Future Cup and they're all in this meeting.\We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you.\Next is...\Ki wo Kikasete Kirakira. response:	Ki wo Kikasete Kirakira = Play it Smart and Sparkle
context: We have to balance them with the other works.\There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you.\Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle response:	I told you, they're not done yet.
context: There's no fantasy story like this in Jack right now.\I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you.\Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet. response:	But I'm so worried about it.
context: I think maybe we should hold onto it.\It'll be fine to give it a yes.\Thank you.\Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it. response:	I said I'd call you when I heard more, so calm down.
context: It'll be fine to give it a yes.\Thank you.\Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down. response:	Okay...
context: Thank you.\Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay... response:	Geez.
context: Next is...\Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay...\Geez. response:	So what do you have?
context: Ki wo Kikasete Kirakira.\Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay...\Geez.\So what do you have? response:	Two pair, tens and fours.
context: Ki wo Kikasete Kirakira = Play it Smart and Sparkle\I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay...\Geez.\So what do you have?\Two pair, tens and fours. response:	Jacks, three of a kind.
context: I told you, they're not done yet.\But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay...\Geez.\So what do you have?\Two pair, tens and fours.\Jacks, three of a kind. response:	Jack...
context: But I'm so worried about it.\I said I'd call you when I heard more, so calm down.\Okay...\Geez.\So what do you have?\Two pair, tens and fours.\Jacks, three of a kind.\Jack... response:	It's been two hours already.
context: I said I'd call you when I heard more, so calm down.\Okay...\Geez.\So what do you have?\Two pair, tens and fours.\Jacks, three of a kind.\Jack...\It's been two hours already. response:	They usually finish in about two hours, right?
context: Okay...\Geez.\So what do you have?\Two pair, tens and fours.\Jacks, three of a kind.\Jack...\It's been two hours already.\They usually finish in about two hours, right? response:	If it goes quickly.
context: Geez.\So what do you have?\Two pair, tens and fours.\Jacks, three of a kind.\Jack...\It's been two hours already.\They usually finish in about two hours, right?\If it goes quickly. response:	This isn't working...
context: So what do you have?\Two pair, tens and fours.\Jacks, three of a kind.\Jack...\It's been two hours already.\They usually finish in about two hours, right?\If it goes quickly.\This isn't working... response:	Playing cards isn't getting my mind off it at all.
context: Two pair, tens and fours.\Jacks, three of a kind.\Jack...\It's been two hours already.\They usually finish in about two hours, right?\If it goes quickly.\This isn't working...\Playing cards isn't getting my mind off it at all. response:	Yeah, let's just stop.
context: Jacks, three of a kind.\Jack...\It's been two hours already.\They usually finish in about two hours, right?\If it goes quickly.\This isn't working...\Playing cards isn't getting my mind off it at all.\Yeah, let's just stop. response:	We'll be okay, right?
