context: If you keep adding all that extra stuff, you'll never get it right. response:	Jasminka, can't you take this more seriously?
context: You're the dunce, Amanda!\I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not! response:	Huh?! I do not!
context: I just gave you a little attitude adjustment.\I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not! response:	You dunce have nothing I could even be jealous of!
context: I just kindly adjusted your attitude a little.\I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of! response:	There's nothing to be jealous of a dunce like you!
context: I was just kindly adjusting your posture.\As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you! response:	I told you that you're the dunce here!
context: As if you can lecture anyone on their attitude!\You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here! response:	You're the dunce here!
context: You ain't got the right to lecture people on their posture.\You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here! response:	The biggest dunce here...
context: You've just got a grudge because you lost the race!\Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here... response:	Jeralitore!
context: Huh?! No, I'm not!\Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here...\Jeralitore! response:	It sounds like you're looking for some punishment.
context: Huh?! I do not!\You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment. response:	A punishment that will dry the blood from your veins!
context: You dunce have nothing I could even be jealous of!\There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins! response:	Why not use your time sitting in the corner to settle this?
context: There's nothing to be jealous of a dunce like you!\I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this? response:	The matter of which of you is the biggest dunce in school.
context: I told you that you're the dunce here!\You're the dunce here!\The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school. response:	The matter of who of you the biggest dunce in school is, that is.
context: You're the dunce here!\The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is. response:	Which of you is the biggest dunce in school.
context: The biggest dunce here...\Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school. response:	I don't give a damn what family she's from. That snobby attitude just pisses me off!
context: Jeralitore!\It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off! response:	A whole herd of dragons came and flew away with it!
context: It sounds like you're looking for some punishment.\A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it! response:	Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!
context: A punishment that will dry the blood from your veins!\Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too! response:	Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.
context: Why not use your time sitting in the corner to settle this?\The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry. response:	Without the Sorcerer's Stone, none of the fairies can move.
context: The matter of which of you is the biggest dunce in school.\The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move. response:	Anyway, why are Lotte and me even helping you with your punishment?
context: The matter of who of you the biggest dunce in school is, that is.\Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment? response:	Geez! We don't have time to waste doing all this!
context: Which of you is the biggest dunce in school.\I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this! response:	Take it down a notch with your pedaling. You're splashing water all the way over here.
context: I don't give a damn what family she's from. That snobby attitude just pisses me off!\A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here. response:	So, what are you saying we can do against the dragons?
context: A whole herd of dragons came and flew away with it!\Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons? response:	What are you saying we can do against dragons?
context: Let's go get back the Sorcerer's Stone right away! We'll lend you our help too!\Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons? response:	If they're from around here, I wonder if the one from the Rastaban Ruins is among them.
context: Atsuko Kagari, I am appointing you to hand wash all of the academy's laundry.\Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them. response:	If that dragon is from around here, then maybe it lives in the Rastaban Ruins?
context: Without the Sorcerer's Stone, none of the fairies can move.\Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins? response:	Lotte, you know which one?
context: Anyway, why are Lotte and me even helping you with your punishment?\Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one? response:	It had a reputation as being one of the more brutal dragons back in the day.
context: Geez! We don't have time to waste doing all this!\Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day. response:	But almost nobody's seen it in the last hundred years or so.
context: Take it down a notch with your pedaling. You're splashing water all the way over here.\So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so. response:	Curse you for rising from your hundred year break!
context: So, what are you saying we can do against the dragons?\What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break! response:	And there she goes with another one of her crazy ideas.
context: What are you saying we can do against dragons?\If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas. response:	The only thing you should concern yourself with is the laundry.
context: If they're from around here, I wonder if the one from the Rastaban Ruins is among them.\If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry. response:	The only thing you should be doing right now is laundry.
context: If that dragon is from around here, then maybe it lives in the Rastaban Ruins?\Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry. response:	We're not even close to being done with the laundry, though.
context: Lotte, you know which one?\It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though. response:	This effects you too, Diana!
context: It had a reputation as being one of the more brutal dragons back in the day.\But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana! response:	Without the Sorcerer's Stone, we won't be able to have any more classes!
context: But almost nobody's seen it in the last hundred years or so.\Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes! response:	People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.
context: Curse you for rising from your hundred year break!\And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere. response:	If people like you who cannot even keep up in class were to step in, the problem would only be compounded.
context: And there she goes with another one of her crazy ideas.\The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded. response:	Moreover, you act far too much without proper thought.
context: The only thing you should concern yourself with is the laundry.\The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought. response:	Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?
context: The only thing you should be doing right now is laundry.\We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve? response:	If you continue doing this, then one day even your friends will grow unable to put up with you.
context: We're not even close to being done with the laundry, though.\This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you. response:	Hey, what's that to you? Leave her alone!
context: This effects you too, Diana!\Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone! response:	You may have no ambitions, but please do not inconvenience your fellow witches.
context: Without the Sorcerer's Stone, we won't be able to have any more classes!\People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches. response:	Having no goals does not give you the right to inconvenience those around you.
context: People like you, who cannot even keep up in class, would certainly only compound the problem if they were to interfere.\If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you. response:	Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,
context: If people like you who cannot even keep up in class were to step in, the problem would only be compounded.\Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties, response:	We've got incoming!
context: Moreover, you act far too much without proper thought.\Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming! response:	Are we under the ruins?
context: Would it not benefit us all for you to be more aware of your habit of bothering everyone you involve?\If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins? response:	You'll get a stomach ache!
context: If you continue doing this, then one day even your friends will grow unable to put up with you.\Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins?\You'll get a stomach ache! response:	I apologize for this late visit.
context: Hey, what's that to you? Leave her alone!\You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit. response:	A-Absolutely not, Fafnir the Great!
context: You may have no ambitions, but please do not inconvenience your fellow witches.\Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great! response:	Do not think you can wriggle out of this!
context: Having no goals does not give you the right to inconvenience those around you.\Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this! response:	Luna Nova has an enormous amount of debt, and they owe it to yours truly.
context: Yes. Due to the fairies current inability to perform their cleaning, laundry, and cooking duties,\We've got incoming!\Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly. response:	Luna Nova has an enormous amount of debt, and my name's on the bill!
context: We've got incoming!\Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill! response:	But I haven't received a single payment of it in the last year.
context: Are we under the ruins?\You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year. response:	Not even a cent!
context: You'll get a stomach ache!\I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent! response:	W-We never thought you would make good on your promise...
context: I apologize for this late visit.\A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise... response:	Fafnir the Great, we beg your understanding.
context: A-Absolutely not, Fafnir the Great!\Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding. response:	You have only yourselves to blame for pushing magic as it falls out of favor.
context: Do not think you can wriggle out of this!\Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor. response:	I'm making immense profits from my online investments.
context: Luna Nova has an enormous amount of debt, and they owe it to yours truly.\Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments. response:	You don't really need the money right now. Don't be a stickler!
context: Luna Nova has an enormous amount of debt, and my name's on the bill!\But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler! response:	I still have things I need to achieve! I won't let you shut down Luna Nova!
context: But I haven't received a single payment of it in the last year.\Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova! response:	I have an ambition. I won't let you shut down Luna Nova!
context: Not even a cent!\W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova! response:	Promissory note?
context: W-We never thought you would make good on your promise...\Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note? response:	You were to have them pay nonexistent interest!
context: Fafnir the Great, we beg your understanding.\You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note?\You were to have them pay nonexistent interest! response:	A baseless accusation. There's no such thing as a non-interest loan these days.
context: You have only yourselves to blame for pushing magic as it falls out of favor.\I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note?\You were to have them pay nonexistent interest!\A baseless accusation. There's no such thing as a non-interest loan these days. response:	the amount of capital Luna Nova has paid off as interest has far exceeded the initial investment.
context: I'm making immense profits from my online investments.\You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note?\You were to have them pay nonexistent interest!\A baseless accusation. There's no such thing as a non-interest loan these days.\the amount of capital Luna Nova has paid off as interest has far exceeded the initial investment. response:	Regarding the refunding of the overpayments, we will file the proper documentation at a later date.
context: You don't really need the money right now. Don't be a stickler!\I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note?\You were to have them pay nonexistent interest!\A baseless accusation. There's no such thing as a non-interest loan these days.\the amount of capital Luna Nova has paid off as interest has far exceeded the initial investment.\Regarding the refunding of the overpayments, we will file the proper documentation at a later date. response:	In the light of these arguments, we request the immediate return of our Sorcerer's Stone, Mister Fafnir.
context: I still have things I need to achieve! I won't let you shut down Luna Nova!\I have an ambition. I won't let you shut down Luna Nova!\Promissory note?\You were to have them pay nonexistent interest!\A baseless accusation. There's no such thing as a non-interest loan these days.\the amount of capital Luna Nova has paid off as interest has far exceeded the initial investment.\Regarding the refunding of the overpayments, we will file the proper documentation at a later date.\In the light of these arguments, we request the immediate return of our Sorcerer's Stone, Mister Fafnir. response:	Considering the stated reasons, we request the immediate return of our Sorcerer's Stone, Mister Fafnir.
