context: I can't find the will to do anything. response:	It's summer.
context: You become sleepy because you've unknowingly been using your magic.\The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt, response:	he never learned to restrain himself, and he could never handle fire adequately.
context: The things we make are imbued with magic.\Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately. response:	You're far more deft and quick to learn.
context: Ainsworth should have taught you these things.\It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn. response:	What is that bonehead even...
context: It's because I can't ask him.\I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even... response:	Now, then, with your hair and this...
context: I don't like giving him trouble.\Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this... response:	Gems?
context: Taking care of youngsters doesn't even count as trouble.\You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this...\Gems? response:	I was given these by an acquaintance a long time ago.
context: You have no idea how much of a pain in the ass he's been.\Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago. response:	These stones are said to have been bathing
context: Years went by, but he still was terrible at skiing, his soup was always burnt,\he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing response:	in sunlight and moonlight for a thousand years at the bottom of a lake.
context: he never learned to restrain himself, and he could never handle fire adequately.\You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake. response:	They're shining.
context: You're far more deft and quick to learn.\What is that bonehead even...\Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining. response:	It's dim, but it ought to be enough to light the ground beneath your feet.
context: What is that bonehead even...\Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet. response:	I took the liberty of wrapping it around the outside.
context: Now, then, with your hair and this...\Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside. response:	It has a beautiful sunset color, after all.
context: Gems?\I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all. response:	This is your wand.
context: I was given these by an acquaintance a long time ago.\These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand. response:	Take good care of it.
context: These stones are said to have been bathing\in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand.\Take good care of it. response:	Okay.
context: in sunlight and moonlight for a thousand years at the bottom of a lake.\They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand.\Take good care of it.\Okay. response:	Where am I?
context: They're shining.\It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand.\Take good care of it.\Okay.\Where am I? response:	Hello, little mage. It has been some time.
context: It's dim, but it ought to be enough to light the ground beneath your feet.\I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand.\Take good care of it.\Okay.\Where am I?\Hello, little mage. It has been some time. response:	You're...
context: I took the liberty of wrapping it around the outside.\It has a beautiful sunset color, after all.\This is your wand.\Take good care of it.\Okay.\Where am I?\Hello, little mage. It has been some time.\You're... response:	Thank you for turning my branch into your wand.
context: It has a beautiful sunset color, after all.\This is your wand.\Take good care of it.\Okay.\Where am I?\Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand. response:	I'll use it well.
context: This is your wand.\Take good care of it.\Okay.\Where am I?\Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand.\I'll use it well. response:	Where are we?
context: Take good care of it.\Okay.\Where am I?\Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand.\I'll use it well.\Where are we? response:	Why are we here?
context: Okay.\Where am I?\Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand.\I'll use it well.\Where are we?\Why are we here? response:	Because we've established a bond of fate through the wand.
context: Where am I?\Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand.\I'll use it well.\Where are we?\Why are we here?\Because we've established a bond of fate through the wand. response:	A bond of fate?
context: Hello, little mage. It has been some time.\You're...\Thank you for turning my branch into your wand.\I'll use it well.\Where are we?\Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate? response:	We're at the border between travelers and those whose travels have ended.
context: You're...\Thank you for turning my branch into your wand.\I'll use it well.\Where are we?\Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended. response:	Those on the other side and those on this side.
context: Thank you for turning my branch into your wand.\I'll use it well.\Where are we?\Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side. response:	Those whose paths never meet can intersect here.
context: I'll use it well.\Where are we?\Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here. response:	So this is how it appears to your eyes.
context: Where are we?\Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes. response:	What a beautiful path.
context: Why are we here?\Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path. response:	Does it appear differently to your eyes?
context: Because we've established a bond of fate through the wand.\A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes? response:	I am already dead.
context: A bond of fate?\We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes?\I am already dead. response:	I depend on the vision of your excellent eyes.
context: We're at the border between travelers and those whose travels have ended.\Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes. response:	You always appear unhappy, Chise.
context: Those on the other side and those on this side.\Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise. response:	How about it?
context: Those whose paths never meet can intersect here.\So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it? response:	All that's here is an old geezer.
context: So this is how it appears to your eyes.\What a beautiful path.\Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it?\All that's here is an old geezer. response:	Why don't you try talking to yourself out loud?
context: What a beautiful path.\Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud? response:	I've become greedy.
context: Does it appear differently to your eyes?\I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy. response:	At first, I was content knowing I might get kicked out at any moment.
context: I am already dead.\I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment. response:	So I tried not to depend on him.
context: I depend on the vision of your excellent eyes.\You always appear unhappy, Chise.\How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him. response:	I was comfortable, because I knew he thought nothing of me.
context: You always appear unhappy, Chise.\How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me. response:	Because he called me family, even if it was only for show.
context: How about it?\All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show. response:	But...
context: All that's here is an old geezer.\Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But... response:	at some point, it began to upset me that heEliaswouldn't talk to me.
context: Why don't you try talking to yourself out loud?\I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me. response:	I became lonely and scared.
context: I've become greedy.\At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared. response:	I don't know why I couldn't stay distant.
context: At first, I was content knowing I might get kicked out at any moment.\So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant. response:	That way, I wouldn't have had to be worried.
context: So I tried not to depend on him.\I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried. response:	I could have given up, no matter when he'd thrown me out.
context: I was comfortable, because I knew he thought nothing of me.\Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out. response:	I realize it's tasteless of me to respond when you're just talking to yourself.
context: Because he called me family, even if it was only for show.\But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself. response:	But is your Elias someone who would suddenly throw you out?
context: But...\at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out? response:	Has he said such a thing?
context: at some point, it began to upset me that heEliaswouldn't talk to me.\I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing? response:	Has anything happened, even once, to give you cause for worry?
context: I became lonely and scared.\I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry? response:	No.
context: I don't know why I couldn't stay distant.\That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No. response:	Then you need to stop worrying as though the sky is falling.
context: That way, I wouldn't have had to be worried.\I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling. response:	But he might change his mind, even if he's okay now.
context: I could have given up, no matter when he'd thrown me out.\I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now. response:	He might get bored of me.
context: I realize it's tasteless of me to respond when you're just talking to yourself.\But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me. response:	Just like she did.
context: But is your Elias someone who would suddenly throw you out?\Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did. response:	Once he doesn't need me...
context: Has he said such a thing?\Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did.\Once he doesn't need me... response:	Shall I speak aloud to myself, too?
context: Has anything happened, even once, to give you cause for worry?\No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too? response:	I'm thankful to Chise's mother and father.
context: No.\Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father. response:	When a creature is struggling to survive, it often abandons or kills its young.
context: Then you need to stop worrying as though the sky is falling.\But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young. response:	If it can stay alive, it can have another child someday.
context: But he might change his mind, even if he's okay now.\He might get bored of me.\Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday. response:	Still, Chise's mother released her hands off of her neck.
context: He might get bored of me.\Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck. response:	Why?
context: Just like she did.\Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why? response:	Why did she not kill Chise?
context: Once he doesn't need me...\Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise? response:	Why did she kill herself instead, despite wishing she hadn't given birth to Chise?
context: Shall I speak aloud to myself, too?\I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise? response:	How would I know?
context: I'm thankful to Chise's mother and father.\When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know? response:	Because Chise came to see me, I spent my last moments flying through the sky.
context: When a creature is struggling to survive, it often abandons or kills its young.\If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky. response:	There were people and creatures that were saved by Chise.
context: If it can stay alive, it can have another child someday.\Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise. response:	A child was saved because Chise called them over.
context: Still, Chise's mother released her hands off of her neck.\Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over. response:	To value oneself so little, as though one were disposable,
context: Why?\Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable, response:	is to say that those of us they've saved are just as worthless.
context: Why did she not kill Chise?\Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless. response:	That's not...
context: Why did she kill herself instead, despite wishing she hadn't given birth to Chise?\How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not... response:	I wasn't even trying to do that.
context: How would I know?\Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that. response:	Be that as it may,
context: Because Chise came to see me, I spent my last moments flying through the sky.\There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that.\Be that as it may, response:	there are times when a simple word spoken or a hand offered saves another.
context: There were people and creatures that were saved by Chise.\A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another. response:	So I find myself wanting you to be proud of yourself.
context: A child was saved because Chise called them over.\To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself. response:	You yourself, because you were able to offer your hand to someone.
context: To value oneself so little, as though one were disposable,\is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone. response:	And I thank your mother and father for leaving you with us.
context: is to say that those of us they've saved are just as worthless.\That's not...\I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us. response:	Nevin...
context: That's not...\I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin... response:	You said my name.
context: I wasn't even trying to do that.\Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin...\You said my name. response:	Thank you.
context: Be that as it may,\there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin...\You said my name.\Thank you. response:	It's a lovely name given to me by Lindel.
context: there are times when a simple word spoken or a hand offered saves another.\So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin...\You said my name.\Thank you.\It's a lovely name given to me by Lindel. response:	Hatori Chise,
context: So I find myself wanting you to be proud of yourself.\You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin...\You said my name.\Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise, response:	you are free.
context: You yourself, because you were able to offer your hand to someone.\And I thank your mother and father for leaving you with us.\Nevin...\You said my name.\Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise,\you are free. response:	Even if you should be burdened by a curse and eventually fall, that, too, is your choice.
context: And I thank your mother and father for leaving you with us.\Nevin...\You said my name.\Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice. response:	Therefore, I want you to thinknot for anotherbut about what you want to do.
context: Nevin...\You said my name.\Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do. response:	That wand is my wand.
context: You said my name.\Thank you.\It's a lovely name given to me by Lindel.\Hatori Chise,\you are free.\Even if you should be burdened by a curse and eventually fall, that, too, is your choice.\Therefore, I want you to thinknot for anotherbut about what you want to do.\That wand is my wand. response:	No matter where you are, it will light your way.
