context: Misawa Batting Center response:	The Year Draws To A Close
context: No, it's okay.\I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you!\Stupid!\Look at him!\S-Sorry, Natsume-san. response:	Do you need something?
context: I should have returned this sooner.\I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you!\Stupid!\Look at him!\S-Sorry, Natsume-san.\Do you need something? response:	Huh?
context: I can be normal around Sasayan-kun.\Natsume-san!\He wants to talk to you!\Stupid!\Look at him!\S-Sorry, Natsume-san.\Do you need something?\Huh? response:	Don't...
context: Natsume-san!\He wants to talk to you!\Stupid!\Look at him!\S-Sorry, Natsume-san.\Do you need something?\Huh?\Don't... response:	If you don't need anything, I'm leaving.
context: He wants to talk to you!\Stupid!\Look at him!\S-Sorry, Natsume-san.\Do you need something?\Huh?\Don't...\If you don't need anything, I'm leaving. response:	W-Wait, did we make her mad?
context: Stupid!\Look at him!\S-Sorry, Natsume-san.\Do you need something?\Huh?\Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad? response:	Sorry, Yana.
context: Look at him!\S-Sorry, Natsume-san.\Do you need something?\Huh?\Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana. response:	Wild Angels Baseball Team Recruiting members!!
context: S-Sorry, Natsume-san.\Do you need something?\Huh?\Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!! response:	Natsume-san.
context: Do you need something?\Huh?\Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san. response:	Sorry, they didn't mean any harm.
context: Huh?\Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm. response:	They apologized, too,
context: Don't...\If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too, response:	so can't you forgive them?
context: If you don't need anything, I'm leaving.\W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them? response:	I hate it when that happens.
context: W-Wait, did we make her mad?\Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them?\I hate it when that happens. response:	This is why I hate boys.
context: Sorry, Yana.\Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them?\I hate it when that happens.\This is why I hate boys. response:	All they care about is their own fun.
context: Wild Angels Baseball Team Recruiting members!!\Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them?\I hate it when that happens.\This is why I hate boys.\All they care about is their own fun. response:	Doesn't matter to them if I end up shunned
context: Natsume-san.\Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them?\I hate it when that happens.\This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned response:	by the other girls.
context: Sorry, they didn't mean any harm.\They apologized, too,\so can't you forgive them?\I hate it when that happens.\This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls. response:	What?
context: They apologized, too,\so can't you forgive them?\I hate it when that happens.\This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls.\What? response:	Isn't it your own fault for letting it get to that point?
context: so can't you forgive them?\I hate it when that happens.\This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls.\What?\Isn't it your own fault for letting it get to that point? response:	See?
context: I hate it when that happens.\This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls.\What?\Isn't it your own fault for letting it get to that point?\See? response:	You're just like the rest of them.
context: This is why I hate boys.\All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls.\What?\Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them. response:	You underestimate female friendship!
context: All they care about is their own fun.\Doesn't matter to them if I end up shunned\by the other girls.\What?\Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them.\You underestimate female friendship! response:	Listen to me.
context: Doesn't matter to them if I end up shunned\by the other girls.\What?\Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them.\You underestimate female friendship!\Listen to me. response:	Female friendship is lateral.
context: by the other girls.\What?\Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them.\You underestimate female friendship!\Listen to me.\Female friendship is lateral. response:	The nail that sticks out gets hammered down.
context: What?\Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them.\You underestimate female friendship!\Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down. response:	In our world, we're supposed to all hold hands and
context: Isn't it your own fault for letting it get to that point?\See?\You're just like the rest of them.\You underestimate female friendship!\Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and response:	cross the finish line at the same time!
context: See?\You're just like the rest of them.\You underestimate female friendship!\Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time! response:	Finish Together
context: You're just like the rest of them.\You underestimate female friendship!\Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together response:	Finish Together
context: You underestimate female friendship!\Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together\Finish Together response:	Sounds like a pain...
context: Listen to me.\Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together\Finish Together\Sounds like a pain... response:	What's wrong with that Shimoyanagi-kun?
context: Female friendship is lateral.\The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together\Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun? response:	He kept smiling like a fool!
context: The nail that sticks out gets hammered down.\In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together\Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool! response:	How stupid is he?
context: In our world, we're supposed to all hold hands and\cross the finish line at the same time!\Finish Together\Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he? response:	Yana didn't do anything wrong.
context: cross the finish line at the same time!\Finish Together\Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong. response:	You're right.
context: Finish Together\Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong.\You're right. response:	I'm sorry. I shouldn't have said that.
context: Finish Together\Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that. response:	I was just a little irritated.
context: Sounds like a pain...\What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated. response:	Mitty's busy with her class,
context: What's wrong with that Shimoyanagi-kun?\He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class, response:	and Haru-kun's been in a bad mood.
context: He kept smiling like a fool!\How stupid is he?\Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood. response:	Plus, I'm having trouble talking to Mi-chan-san...
context: How stupid is he?\Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san... response:	Huh?
context: Yana didn't do anything wrong.\You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh? response:	Isn't that because you're in love with him?
context: You're right.\I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him? response:	Wha-Wha-Wha
context: I'm sorry. I shouldn't have said that.\I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha response:	What are you talking about, Sasayan-kun?!
context: I was just a little irritated.\Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?! response:	That's not possible!
context: Mitty's busy with her class,\and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible! response:	Huh?
context: and Haru-kun's been in a bad mood.\Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible!\Huh? response:	You're not?
context: Plus, I'm having trouble talking to Mi-chan-san...\Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible!\Huh?\You're not? response:	But if you can't even speak normally around him...
context: Huh?\Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible!\Huh?\You're not?\But if you can't even speak normally around him... response:	Y-You've got it all wrong!
context: Isn't that because you're in love with him?\Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible!\Huh?\You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong! response:	Well, I've never been in love, so I wouldn't know...
context: Wha-Wha-Wha\What are you talking about, Sasayan-kun?!\That's not possible!\Huh?\You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know... response:	I'm never going to fall in love with a man!
context: What are you talking about, Sasayan-kun?!\That's not possible!\Huh?\You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man! response:	Why not?
context: That's not possible!\Huh?\You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not? response:	I don't see a problem.
context: Huh?\You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not?\I don't see a problem. response:	It's perfectly natural.
context: You're not?\But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not?\I don't see a problem.\It's perfectly natural. response:	You're wrong! You're wrong!
context: But if you can't even speak normally around him...\Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not?\I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong! response:	You're absolutely wrong!
context: Y-You've got it all wrong!\Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not?\I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong! response:	Yo, whatcha guys doing?
context: Well, I've never been in love, so I wouldn't know...\I'm never going to fall in love with a man!\Why not?\I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing? response:	Y-You look happy, Haru-kun.
context: I'm never going to fall in love with a man!\Why not?\I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun. response:	Do I?
context: Why not?\I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I? response:	Did something good happen?
context: I don't see a problem.\It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I?\Did something good happen? response:	Were you stalking Mizutani-san again, today?
context: It's perfectly natural.\You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I?\Did something good happen?\Were you stalking Mizutani-san again, today? response:	What?
context: You're wrong! You're wrong!\You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I?\Did something good happen?\Were you stalking Mizutani-san again, today?\What? response:	That's not happening!
context: You're absolutely wrong!\Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I?\Did something good happen?\Were you stalking Mizutani-san again, today?\What?\That's not happening! response:	That's not what I meant.
context: Yo, whatcha guys doing?\Y-You look happy, Haru-kun.\Do I?\Did something good happen?\Were you stalking Mizutani-san again, today?\What?\That's not happening!\That's not what I meant. response:	Y-Yeah, I know...
context: Y-You look happy, Haru-kun.\Do I?\Did something good happen?\Were you stalking Mizutani-san again, today?\What?\That's not happening!\That's not what I meant.\Y-Yeah, I know... response:	Haru.
context: Do I?\Did something good happen?\Were you stalking Mizutani-san again, today?\What?\That's not happening!\That's not what I meant.\Y-Yeah, I know...\Haru. response:	Let's go on a picnic.
context: Did something good happen?\Were you stalking Mizutani-san again, today?\What?\That's not happening!\That's not what I meant.\Y-Yeah, I know...\Haru.\Let's go on a picnic. response:	Next year, after the New Year's rush.
context: Were you stalking Mizutani-san again, today?\What?\That's not happening!\That's not what I meant.\Y-Yeah, I know...\Haru.\Let's go on a picnic.\Next year, after the New Year's rush. response:	You missed the field trip last spring, right?
context: What?\That's not happening!\That's not what I meant.\Y-Yeah, I know...\Haru.\Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right? response:	Since you didn't come to school.
context: That's not happening!\That's not what I meant.\Y-Yeah, I know...\Haru.\Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school. response:	F-Field trip...
context: That's not what I meant.\Y-Yeah, I know...\Haru.\Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip... response:	We can go anywhere you want.
context: Y-Yeah, I know...\Haru.\Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip...\We can go anywhere you want. response:	W-Well, if you insist.
context: Haru.\Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip...\We can go anywhere you want.\W-Well, if you insist. response:	Okay, promise!
context: Let's go on a picnic.\Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip...\We can go anywhere you want.\W-Well, if you insist.\Okay, promise! response:	I'll pack lunches!
context: Next year, after the New Year's rush.\You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip...\We can go anywhere you want.\W-Well, if you insist.\Okay, promise!\I'll pack lunches! response:	In return,
context: You missed the field trip last spring, right?\Since you didn't come to school.\F-Field trip...\We can go anywhere you want.\W-Well, if you insist.\Okay, promise!\I'll pack lunches!\In return, response:	I want you to behave while I'm busy with my winter prep course.
context: Since you didn't come to school.\F-Field trip...\We can go anywhere you want.\W-Well, if you insist.\Okay, promise!\I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course. response:	Sure, I can do that!
context: F-Field trip...\We can go anywhere you want.\W-Well, if you insist.\Okay, promise!\I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that! response:	She bribed him.
context: We can go anywhere you want.\W-Well, if you insist.\Okay, promise!\I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him. response:	Um, are you sure, Haru-kun?
context: W-Well, if you insist.\Okay, promise!\I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun? response:	You're okay with this?
context: Okay, promise!\I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun?\You're okay with this? response:	You guys get to come, too!
context: I'll pack lunches!\In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too! response:	What? I can join you?
context: In return,\I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too!\What? I can join you? response:	Yep.
context: I want you to behave while I'm busy with my winter prep course.\Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too!\What? I can join you?\Yep. response:	We can all go on a picnic together?
context: Sure, I can do that!\She bribed him.\Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too!\What? I can join you?\Yep.\We can all go on a picnic together? response:	She's making him swallow her demands
context: She bribed him.\Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too!\What? I can join you?\Yep.\We can all go on a picnic together?\She's making him swallow her demands response:	while ignoring the problem at hand.
context: Um, are you sure, Haru-kun?\You're okay with this?\You guys get to come, too!\What? I can join you?\Yep.\We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand. response:	That's what you'd expect from a gigolo.
context: You're okay with this?\You guys get to come, too!\What? I can join you?\Yep.\We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo. response:	I didn't expect that desperate rue
context: You guys get to come, too!\What? I can join you?\Yep.\We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue response:	to be so effective.
context: What? I can join you?\Yep.\We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective. response:	I'll be going then.
context: Yep.\We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective.\I'll be going then. response:	Enjoy the rest of the year.
context: We can all go on a picnic together?\She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective.\I'll be going then.\Enjoy the rest of the year. response:	Yep. Work hard, Shizuku.
context: She's making him swallow her demands\while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective.\I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku. response:	Are you really okay with this?
context: while ignoring the problem at hand.\That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective.\I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this? response:	She told us to enjoy the rest of the year.
context: That's what you'd expect from a gigolo.\I didn't expect that desperate rue\to be so effective.\I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year. response:	That means she doesn't plan on seeing us again, this year.
context: I didn't expect that desperate rue\to be so effective.\I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year. response:	It's okay.
context: to be so effective.\I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay. response:	We made a promise for next year.
context: I'll be going then.\Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year. response:	I don't understand Haru-kun...
context: Enjoy the rest of the year.\Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year.\I don't understand Haru-kun... response:	How can he have such blind faith?
context: Yep. Work hard, Shizuku.\Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith? response:	He believes her, just like that?
context: Are you really okay with this?\She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that? response:	Let's try this place today!
context: She told us to enjoy the rest of the year.\That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that?\Let's try this place today! response:	Another monja place?
context: That means she doesn't plan on seeing us again, this year.\It's okay.\We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that?\Let's try this place today!\Another monja place? response:	Taiyaki this time.
context: It's okay.\We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that?\Let's try this place today!\Another monja place?\Taiyaki this time. response:	Taiyaki
context: We made a promise for next year.\I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that?\Let's try this place today!\Another monja place?\Taiyaki this time.\Taiyaki response:	I don't get why they'd use natto,
context: I don't understand Haru-kun...\How can he have such blind faith?\He believes her, just like that?\Let's try this place today!\Another monja place?\Taiyaki this time.\Taiyaki\I don't get why they'd use natto, response:	limited time or not.
context: How can he have such blind faith?\He believes her, just like that?\Let's try this place today!\Another monja place?\Taiyaki this time.\Taiyaki\I don't get why they'd use natto,\limited time or not. response:	I know.
context: He believes her, just like that?\Let's try this place today!\Another monja place?\Taiyaki this time.\Taiyaki\I don't get why they'd use natto,\limited time or not.\I know. response:	How's your salty and spicy one?
context: Let's try this place today!\Another monja place?\Taiyaki this time.\Taiyaki\I don't get why they'd use natto,\limited time or not.\I know.\How's your salty and spicy one? response:	Pretty nasty.
context: Another monja place?\Taiyaki this time.\Taiyaki\I don't get why they'd use natto,\limited time or not.\I know.\How's your salty and spicy one?\Pretty nasty. response:	Let's try the red bean soup place on the corner next time.
context: Taiyaki this time.\Taiyaki\I don't get why they'd use natto,\limited time or not.\I know.\How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time. response:	Well...
context: Taiyaki\I don't get why they'd use natto,\limited time or not.\I know.\How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well... response:	I feel safe around Haru-kun
context: I don't get why they'd use natto,\limited time or not.\I know.\How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun response:	because he only cares about Mitty.
context: limited time or not.\I know.\How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun\because he only cares about Mitty. response:	Oh, right.
context: I know.\How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right. response:	Mi-chan was worried about you.
context: How's your salty and spicy one?\Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you. response:	He was asking how you've been,
context: Pretty nasty.\Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you.\He was asking how you've been, response:	since you haven't dropped by.
context: Let's try the red bean soup place on the corner next time.\Well...\I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by. response:	You haven't visited in a while, huh?
context: Well...\I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh? response:	W-Well, there's...
context: I feel safe around Haru-kun\because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's... response:	no particular reason.
context: because he only cares about Mitty.\Oh, right.\Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's...\no particular reason. response:	Isn't that because you're in love with him?
context: Oh, right.\Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's...\no particular reason.\Isn't that because you're in love with him? response:	It's only harder after Sasayan-kun said that.
context: Mi-chan was worried about you.\He was asking how you've been,\since you haven't dropped by.\You haven't visited in a while, huh?\W-Well, there's...\no particular reason.\Isn't that because you're in love with him?\It's only harder after Sasayan-kun said that. response:	Why?
