context: FUCK YOUR SHIT I AM A SHARK response:	So hot...
context: But...\I need Jirou!\Huh?\It'll be all right.\You'll just feel a little sleepy.\You...\I'm sorry, Jirou.\A butler must follow their master's orders. response:	So... That's what's happening...
context: I need Jirou!\Huh?\It'll be all right.\You'll just feel a little sleepy.\You...\I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening... response:	Is it just me...
context: Huh?\It'll be all right.\You'll just feel a little sleepy.\You...\I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening...\Is it just me... response:	Or do you smell like meat and potatoes?
context: It'll be all right.\You'll just feel a little sleepy.\You...\I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes? response:	There's the faint smell of a girl too...
context: You'll just feel a little sleepy.\You...\I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too... response:	Let's elope!
context: You...\I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope! response:	Let's elope!
context: I'm sorry, Jirou.\A butler must follow their master's orders.\So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope!\Let's elope! response:	Where am I?
context: A butler must follow their master's orders.\So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope!\Let's elope!\Where am I? response:	Good morning, Jirou-kun.
context: So... That's what's happening...\Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope!\Let's elope!\Where am I?\Good morning, Jirou-kun. response:	How do you feel?
context: Is it just me...\Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope!\Let's elope!\Where am I?\Good morning, Jirou-kun.\How do you feel? response:	Terrible!
context: Or do you smell like meat and potatoes?\There's the faint smell of a girl too...\Let's elope!\Let's elope!\Where am I?\Good morning, Jirou-kun.\How do you feel?\Terrible! response:	Thanks to a certain someone's schemes, I was forced to drink something weird!
context: There's the faint smell of a girl too...\Let's elope!\Let's elope!\Where am I?\Good morning, Jirou-kun.\How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird! response:	I'm sorry.
context: Let's elope!\Let's elope!\Where am I?\Good morning, Jirou-kun.\How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry. response:	I really didn't want to resort to such brutish methods.
context: Let's elope!\Where am I?\Good morning, Jirou-kun.\How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods. response:	Suzutsuki...
context: Where am I?\Good morning, Jirou-kun.\How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki... response:	Well, I didn't mean to be so hard on you...
context: Good morning, Jirou-kun.\How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you... response:	I was worried that you'd never wake up.
context: How do you feel?\Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up. response:	Huh?
context: Terrible!\Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh? response:	It's the 7AM news.
context: Thanks to a certain someone's schemes, I was forced to drink something weird!\I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh?\It's the 7AM news. response:	7AM in the morning?!
context: I'm sorry.\I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh?\It's the 7AM news.\7AM in the morning?! response:	It should have been just after lunch when I met Konoe...
context: I really didn't want to resort to such brutish methods.\Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh?\It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe... response:	Well, actually, it seems the drug worked a little bit too well...
context: Suzutsuki...\Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh?\It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well... response:	Damn you!
context: Well, I didn't mean to be so hard on you...\I was worried that you'd never wake up.\Huh?\It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you! response:	So, Suzutsuki-san, where am I?
context: I was worried that you'd never wake up.\Huh?\It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I? response:	I'm glad that you shift moods so easily.
context: Huh?\It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily. response:	This is a certain hot spring inn located at a beach.
context: It's the 7AM news.\7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach. response:	A hot spring inn?
context: 7AM in the morning?!\It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn? response:	Yes, it's a luxurious inn with ties to my family.
context: It should have been just after lunch when I met Konoe...\Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family. response:	And to make things more luxurious, the place has been booked all to ourselves.
context: Well, actually, it seems the drug worked a little bit too well...\Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves. response:	So, are you surprised now?
context: Damn you!\So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now? response:	No, not surprised, but...
context: So, Suzutsuki-san, where am I?\I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but... response:	Why are we here?
context: I'm glad that you shift moods so easily.\This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but...\Why are we here? response:	Well, there happens to be certain circumstances that led to this.
context: This is a certain hot spring inn located at a beach.\A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this. response:	Huh?
context: A hot spring inn?\Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh? response:	I'm running away from home.
context: Yes, it's a luxurious inn with ties to my family.\And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home. response:	Huh?
context: And to make things more luxurious, the place has been booked all to ourselves.\So, are you surprised now?\No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home.\Huh? response:	My parents told me that we should go on a trip abroad for summer vacation.
context: So, are you surprised now?\No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation. response:	They completely ignore my will.
context: No, not surprised, but...\Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will. response:	Oh, really.
context: Why are we here?\Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really. response:	Don't you find it evil that they chose all by themselves?
context: Well, there happens to be certain circumstances that led to this.\Huh?\I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves? response:	It's the once-in-a-lifetime 11th grade summer vacation.
context: Huh?\I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation. response:	Y-You're deciding my schedule without my consent too!
context: I'm running away from home.\Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too! response:	Right.
context: Huh?\My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right. response:	Since I thought this might be a good occasion,
context: My parents told me that we should go on a trip abroad for summer vacation.\They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion, response:	I will now begin a summer camp to remedy Jirou-kun's fear of women.
context: They completely ignore my will.\Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women. response:	What?!
context: Oh, really.\Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?! response:	Preparations are going well.
context: Don't you find it evil that they chose all by themselves?\It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well. response:	I asked Kureha-chan to get a change of clothes and other necessities.
context: It's the once-in-a-lifetime 11th grade summer vacation.\Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities. response:	I told her it was a trip together.
context: Y-You're deciding my schedule without my consent too!\Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together. response:	That's some nice work.
context: Right.\Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work. response:	Actually, I'd like to change so could you go back to your own room?
context: Since I thought this might be a good occasion,\I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room? response:	What are you saying?
context: I will now begin a summer camp to remedy Jirou-kun's fear of women.\What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying? response:	This is our room.
context: What?!\Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room. response:	Huh?
context: Preparations are going well.\I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room.\Huh? response:	Hey, Jirou-kun, wouldn't you like to know?
context: I asked Kureha-chan to get a change of clothes and other necessities.\I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know? response:	A-About what?
context: I told her it was a trip together.\That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what? response:	The reason why we're in the same room.
context: That's some nice work.\Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room. response:	It has something to do with the pretext of this trip too.
context: Actually, I'd like to change so could you go back to your own room?\What are you saying?\This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too. response:	Pretext?
context: What are you saying?\This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext? response:	Eloping.
context: This is our room.\Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext?\Eloping. response:	Didn't you hear it from Subaru?
context: Huh?\Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext?\Eloping.\Didn't you hear it from Subaru? response:	We came here to elope.
context: Hey, Jirou-kun, wouldn't you like to know?\A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext?\Eloping.\Didn't you hear it from Subaru?\We came here to elope. response:	Ojou-sama, breakfast is ready.
context: A-About what?\The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext?\Eloping.\Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready. response:	Thank you, Subaru.
context: The reason why we're in the same room.\It has something to do with the pretext of this trip too.\Pretext?\Eloping.\Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru. response:	We're going to go to the beach today.
context: It has something to do with the pretext of this trip too.\Pretext?\Eloping.\Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today. response:	We should eat well before doing so, right?
context: Pretext?\Eloping.\Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right? response:	Y-Yeah...
context: Eloping.\Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah... response:	Jirou?
context: Didn't you hear it from Subaru?\We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah...\Jirou? response:	W-Weren't you just trying to kiss Ojou-sama?!
context: We came here to elope.\Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?! response:	Calm down, there's no way that would happen!
context: Ojou-sama, breakfast is ready.\Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen! response:	But you had your faces so close...
context: Thank you, Subaru.\We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close... response:	That was just Suzutsuki fooling around!
context: We're going to go to the beach today.\We should eat well before doing so, right?\Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around! response:	And there's no way I'd kiss her so easily!
context: We should eat well before doing so, right?\Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily! response:	Th-That's right.
context: Y-Yeah...\Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right. response:	Hey, we should have breakfast too...
context: Jirou?\W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too... response:	Yeah...
context: W-Weren't you just trying to kiss Ojou-sama?!\Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too...\Yeah... response:	Oh my, Sakamachi-sama.
context: Calm down, there's no way that would happen!\But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama. response:	Thank you so much for visiting our inn.
context: But you had your faces so close...\That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn. response:	Oh no, I just-
context: That was just Suzutsuki fooling around!\And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just- response:	But it sure must be tough for you.
context: And there's no way I'd kiss her so easily!\Th-That's right.\Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you. response:	Kanade-sama and Sakamachi-sama...
context: Th-That's right.\Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama... response:	After vowing to marry each other, people were against the marriage and now you're eloping...
context: Hey, we should have breakfast too...\Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping... response:	What?!
context: Yeah...\Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?! response:	But don't worry.
context: Oh my, Sakamachi-sama.\Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry. response:	We are on your side.
context: Thank you so much for visiting our inn.\Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry.\We are on your side. response:	Hey Konoe, why is this trip an elopement?
context: Oh no, I just-\But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement? response:	Huh?
context: But it sure must be tough for you.\Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement?\Huh? response:	You haven't heard from Ojou-sama?
context: Kanade-sama and Sakamachi-sama...\After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama? response:	No.
context: After vowing to marry each other, people were against the marriage and now you're eloping...\What?!\But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama?\No. response:	I heard she had a fight with her parents and is running away from home.
context: What?!\But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home. response:	Huh?
context: But don't worry.\We are on your side.\Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home.\Huh? response:	Jeez.
context: We are on your side.\Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home.\Huh?\Jeez. response:	You and Suzutsuki always toy around with me like this and never explain anything to me.
context: Hey Konoe, why is this trip an elopement?\Huh?\You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home.\Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me. response:	Look who's talking?
context: Huh?\You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home.\Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking? response:	You're hiding something from me too!
context: You haven't heard from Ojou-sama?\No.\I heard she had a fight with her parents and is running away from home.\Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too! response:	What are you talking about?
context: No.\I heard she had a fight with her parents and is running away from home.\Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too!\What are you talking about? response:	Hey...
context: I heard she had a fight with her parents and is running away from home.\Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too!\What are you talking about?\Hey... response:	How else could I have done it?
context: Huh?\Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too!\What are you talking about?\Hey...\How else could I have done it? response:	If I told them it was me just running away from home, they would contact the family.
context: Jeez.\You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too!\What are you talking about?\Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family. response:	And I might be taken back again.
context: You and Suzutsuki always toy around with me like this and never explain anything to me.\Look who's talking?\You're hiding something from me too!\What are you talking about?\Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again. response:	That doesn't mean you can...
context: Look who's talking?\You're hiding something from me too!\What are you talking about?\Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can... response:	O-Ojou-sama...
context: You're hiding something from me too!\What are you talking about?\Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama... response:	I was wondering why you were so late.
context: What are you talking about?\Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late. response:	Now don't be so shy.
context: Hey...\How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late.\Now don't be so shy. response:	J-Jirou, how is it?
context: How else could I have done it?\If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late.\Now don't be so shy.\J-Jirou, how is it? response:	Ojou-sama chose this swimsuit for me.
context: If I told them it was me just running away from home, they would contact the family.\And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late.\Now don't be so shy.\J-Jirou, how is it?\Ojou-sama chose this swimsuit for me. response:	I-I don't think it's bad.
context: And I might be taken back again.\That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late.\Now don't be so shy.\J-Jirou, how is it?\Ojou-sama chose this swimsuit for me.\I-I don't think it's bad. response:	Th-Thank you!
context: That doesn't mean you can...\O-Ojou-sama...\I was wondering why you were so late.\Now don't be so shy.\J-Jirou, how is it?\Ojou-sama chose this swimsuit for me.\I-I don't think it's bad.\Th-Thank you! response:	J-Jirou?
