context: As I watched the ice guy, response:	I thought, I can't beat him!
context: Here, I will become number one!\Midoriya.\I'm going to beat you.\I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet!\What?! response:	We're gonna get an indisputable first place!
context: Midoriya.\I'm going to beat you.\I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet!\What?!\We're gonna get an indisputable first place! response:	Die...!
context: I'm going to beat you.\I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet!\What?!\We're gonna get an indisputable first place!\Die...! response:	Stun Grenade!
context: I pledge-\That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet!\What?!\We're gonna get an indisputable first place!\Die...!\Stun Grenade! response:	Bakugo wins!
context: That I'll be number one.\Bastard, don't declare war to the wrong person!\Not yet!\What?!\We're gonna get an indisputable first place!\Die...!\Stun Grenade!\Bakugo wins! response:	With this, the final match will be between Todoroki and Bakugo!
context: Bastard, don't declare war to the wrong person!\Not yet!\What?!\We're gonna get an indisputable first place!\Die...!\Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo! response:	Player Waiting Room 2
context: Not yet!\What?!\We're gonna get an indisputable first place!\Die...!\Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2 response:	Shoto's... That child's left side sometimes looks very unsightly to me...
context: What?!\We're gonna get an indisputable first place!\Die...!\Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me... response:	Come at me with your full power!
context: We're gonna get an indisputable first place!\Die...!\Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power! response:	It's your power, isn't it?!
context: Die...!\Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?! response:	I wonder when it started.
context: Stun Grenade!\Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?!\I wonder when it started. response:	Until I fought with Midoriya, I didn't even think about thinking about it.
context: Bakugo wins!\With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it. response:	Mom, I...
context: With this, the final match will be between Todoroki and Bakugo!\Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I... response:	Huh?
context: Player Waiting Room 2\Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh? response:	Hey, why are you here?
context: Shoto's... That child's left side sometimes looks very unsightly to me...\Come at me with your full power!\It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh?\Hey, why are you here? response:	It's waiting room...
context: Come at me with your full power!\It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh?\Hey, why are you here?\It's waiting room... response:	Irritated
context: It's your power, isn't it?!\I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh?\Hey, why are you here?\It's waiting room...\Irritated response:	I may have gotten the room wrong,
context: I wonder when it started.\Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh?\Hey, why are you here?\It's waiting room...\Irritated\I may have gotten the room wrong, response:	but what's with that attitude against your opponent in the final?!
context: Until I fought with Midoriya, I didn't even think about thinking about it.\Mom, I...\Huh?\Hey, why are you here?\It's waiting room...\Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?! response:	Hey, hey, hey...
context: Mom, I...\Huh?\Hey, why are you here?\It's waiting room...\Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey... response:	Where are you looking, Half-and-Half Bastard?!
context: Huh?\Hey, why are you here?\It's waiting room...\Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?! response:	That's...
context: Hey, why are you here?\It's waiting room...\Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's... response:	Huh?
context: It's waiting room...\Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's...\Huh? response:	That guy acted recklessly and came to destroy all the problems I'd been carrying.
context: Irritated\I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying. response:	You guys are childhood friends, right?
context: I may have gotten the room wrong,\but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right? response:	Was Midoriya like that when you were young, too?
context: but what's with that attitude against your opponent in the final?!\Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too? response:	You looked like you were asking for help...
context: Hey, hey, hey...\Where are you looking, Half-and-Half Bastard?!\That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help... response:	Are you all right? Can you stand?
context: Where are you looking, Half-and-Half Bastard?!\That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand? response:	That damn nerd...
context: That's...\Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd... response:	Who cares about him?!
context: Huh?\That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd...\Who cares about him?! response:	Seriously, who the hell cares...?
context: That guy acted recklessly and came to destroy all the problems I'd been carrying.\You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd...\Who cares about him?!\Seriously, who the hell cares...? response:	Your family circumstances, and your feelings...
context: You guys are childhood friends, right?\Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd...\Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings... response:	I don't care about that stuff! Just use the flames on your left on me, too!
context: Was Midoriya like that when you were young, too?\You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd...\Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too! response:	I will hold them down from above.
context: You looked like you were asking for help...\Are you all right? Can you stand?\That damn nerd...\Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above. response:	I'll crush that half-and-half bastard indisputably,
context: Are you all right? Can you stand?\That damn nerd...\Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably, response:	and then I'll be at the top!
context: That damn nerd...\Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top! response:	Todoroki vs. Bakugo
context: Who cares about him?!\Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo response:	It's finally the last battle of the U.A. High School sports festival!
context: Seriously, who the hell cares...?\Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival! response:	The top of the first years will be decided with this one match!
context: Your family circumstances, and your feelings...\I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match! response:	Final Shoto Todoroki Katsuki Bakugo
context: I don't care about that stuff! Just use the flames on your left on me, too!\I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo response:	The final, so to speak!
context: I will hold them down from above.\I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak! response:	From the hero course, Shoto Todoroki!
context: I'll crush that half-and-half bastard indisputably,\and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki! response:	Versus-
context: and then I'll be at the top!\Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki!\Versus- response:	Also from the hero course, Katsuki Bakugo!
context: Todoroki vs. Bakugo\It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo! response:	Now-
context: It's finally the last battle of the U.A. High School sports festival!\The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo!\Now- response:	Start!
context: The top of the first years will be decided with this one match!\Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo!\Now-\Start! response:	Damn it!
context: Final Shoto Todoroki Katsuki Bakugo\The final, so to speak!\From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo!\Now-\Start!\Damn it! response:	Todoroki gets a blow in right away!
context: The final, so to speak!\From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo!\Now-\Start!\Damn it!\Todoroki gets a blow in right away! response:	Is he trying to avoid close combat with Bakugo?
context: From the hero course, Shoto Todoroki!\Versus-\Also from the hero course, Katsuki Bakugo!\Now-\Start!\Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo? response:	Has the winner been decided already?!
context: Versus-\Also from the hero course, Katsuki Bakugo!\Now-\Start!\Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?! response:	It's not on the same scale as in his match with Sero.
context: Also from the hero course, Katsuki Bakugo!\Now-\Start!\Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero. response:	He aimed his attack while being careful of what'll come next.
context: Now-\Start!\Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next. response:	What's that sound?
context: Start!\Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound? response:	It's Bakugo's doing.
context: Damn it!\Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing. response:	Did he dig his way out through the ice like a mole with his explosions?
context: Todoroki gets a blow in right away!\Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions? response:	That's so weird!
context: Is he trying to avoid close combat with Bakugo?\Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird! response:	The stronger the Quirk...
context: Has the winner been decided already?!\It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk... response:	He avoided his right side and grabbed him?!
context: It's not on the same scale as in his match with Sero.\He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?! response:	Wow!
context: He aimed his attack while being careful of what'll come next.\What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow! response:	Are you underestimating me?!
context: What's that sound?\It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?! response:	Idiot!
context: It's Bakugo's doing.\Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?!\Idiot! response:	He avoids going out of bounds with a wall of ice!
context: Did he dig his way out through the ice like a mole with his explosions?\That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice! response:	Looks like fun!
context: That's so weird!\The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun! response:	Use your left!
context: The stronger the Quirk...\He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left! response:	Use it, Shoto!
context: He avoided his right side and grabbed him?!\Wow!\Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left!\Use it, Shoto! response:	Stop screwing around.
context: Wow!\Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left!\Use it, Shoto!\Stop screwing around. response:	Am I not strong enough to make you use it?
context: Are you underestimating me?!\Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left!\Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it? response:	With the way he grabbed Todoroki's left side on purpose and timed his explosions...
context: Idiot!\He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left!\Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions... response:	He's been doing his research.
context: He avoids going out of bounds with a wall of ice!\Looks like fun!\Use your left!\Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research. response:	That kid's abilities shine every time he fights.
context: Looks like fun!\Use your left!\Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights. response:	I see.
context: Use your left!\Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights.\I see. response:	Todoroki's moving well, too, but his attacks are too simple.
context: Use it, Shoto!\Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple. response:	Ever since the match with Midoriya, he's lost his touch.
context: Stop screwing around.\Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch. response:	Bastard...
context: Am I not strong enough to make you use it?\With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard... response:	I'll show you what'll happen if you make a fool of me!
context: With the way he grabbed Todoroki's left side on purpose and timed his explosions...\He's been doing his research.\That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me! response:	I'll kill you!
context: He's been doing his research.\That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you! response:	I want an indisputable first place!
context: That kid's abilities shine every time he fights.\I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place! response:	I can't get that even if I beat scum that underestimates me!
context: I see.\Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me! response:	There's no point if I can't get higher up than Deku.
context: Todoroki's moving well, too, but his attacks are too simple.\Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku. response:	If you have no intention of winning, then don't stand in front of me!
context: Ever since the match with Midoriya, he's lost his touch.\Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me! response:	Why are you standing here, damn it!
context: Bastard...\I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it! response:	I want... to be a hero, too...!
context: I'll show you what'll happen if you make a fool of me!\I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...! response:	Sorry, Bakugo.
context: I'll kill you!\I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo. response:	Ever since I fought Midoriya, I became unsure of what I should do...
context: I want an indisputable first place!\I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do... response:	Of whether or not I was correct...
context: I can't get that even if I beat scum that underestimates me!\There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct... response:	Todoroki!
context: There's no point if I can't get higher up than Deku.\If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki! response:	Don't lose! Do your best!
context: If you have no intention of winning, then don't stand in front of me!\Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki!\Don't lose! Do your best! response:	Midoriya!
context: Why are you standing here, damn it!\I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki!\Don't lose! Do your best!\Midoriya! response:	That damn nerd!
context: I want... to be a hero, too...!\Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki!\Don't lose! Do your best!\Midoriya!\That damn nerd! response:	That's it! That's it!
context: Sorry, Bakugo.\Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki!\Don't lose! Do your best!\Midoriya!\That damn nerd!\That's it! That's it! response:	If you're gonna stand in front of me,
context: Ever since I fought Midoriya, I became unsure of what I should do...\Of whether or not I was correct...\Todoroki!\Don't lose! Do your best!\Midoriya!\That damn nerd!\That's it! That's it!\If you're gonna stand in front of me, response:	then you should just concentrate on winning!
context: Of whether or not I was correct...\Todoroki!\Don't lose! Do your best!\Midoriya!\That damn nerd!\That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning! response:	Howitzer...
context: Todoroki!\Don't lose! Do your best!\Midoriya!\That damn nerd!\That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer... response:	He added momentum and rotation to the huge blast
context: Don't lose! Do your best!\Midoriya!\That damn nerd!\That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast response:	he showed us in his fight with Uraraka!
context: Midoriya!\That damn nerd!\That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka! response:	He was like a human projectile!
context: That damn nerd!\That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile! response:	It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,
context: That's it! That's it!\If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya, response:	but the winner is-
context: If you're gonna stand in front of me,\then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is- response:	Huh?
context: then you should just concentrate on winning!\Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh? response:	You put out your flames!
context: Howitzer...\He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh?\You put out your flames! response:	Huh?
context: He added momentum and rotation to the huge blast\he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh?\You put out your flames!\Huh? response:	Hey...
context: he showed us in his fight with Uraraka!\He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh?\You put out your flames!\Huh?\Hey... response:	Hey!
context: He was like a human projectile!\It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh?\You put out your flames!\Huh?\Hey...\Hey! response:	Stop screwing around!
context: It looks like Todoroki didn't fire off the huge blast he used in his match with Midoriya,\but the winner is-\Huh?\You put out your flames!\Huh?\Hey...\Hey!\Stop screwing around! response:	Didn't I tell you that there was no point, damn it?!
context: but the winner is-\Huh?\You put out your flames!\Huh?\Hey...\Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?! response:	To get first place like this! Like this?!
context: Huh?\You put out your flames!\Huh?\Hey...\Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?! response:	Like...
context: You put out your flames!\Huh?\Hey...\Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like... response:	Todoroki is out of bounds!
context: Huh?\Hey...\Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like...\Todoroki is out of bounds! response:	Which means, Bakugo wins!
context: Hey...\Hey!\Stop screwing around!\Didn't I tell you that there was no point, damn it?!\To get first place like this! Like this?!\Like...\Todoroki is out of bounds!\Which means, Bakugo wins! response:	Katsuki Bakugo
