context: Allow me to introduce a new student. response:	This is Ange Lucare from Incognia.
context: You know, the colony...\I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee. response:	I believe that's proof enough of the plan's viability.
context: I'm... I'm Ange. I-I'm very pleased to meet you!\Aww, look at her!\She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability. response:	Ridiculous.
context: Aww, look at her!\She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous. response:	Never mind. Have you found the blueprints for the new warships the military requested?
context: She's so cute!\What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested? response:	The investigation is still underway.
context: What a funny girl!\Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway. response:	It would be easier to gather intelligence if we had a mole in the ruling family.
context: Do you really think this Operation: Changeling is possible?\Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family. response:	That is why we initiated Operation: Changeling.
context: Switching an enemy nation's princess with one of our own spies...\We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling. response:	I was surprised at how well he could dance.
context: We have authorization from the Defense Committee.\I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance. response:	Oh, do you suppose he took lessons?
context: I believe that's proof enough of the plan's viability.\Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons? response:	The roof?
context: Ridiculous.\Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof? response:	What?
context: Never mind. Have you found the blueprints for the new warships the military requested?\The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof?\What? response:	I'm sorry, I just remembered something I have to take care of.
context: The investigation is still underway.\It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof?\What?\I'm sorry, I just remembered something I have to take care of. response:	Hey... Dorothy?
context: It would be easier to gather intelligence if we had a mole in the ruling family.\That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof?\What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy? response:	Up here.
context: That is why we initiated Operation: Changeling.\I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof?\What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here. response:	I can't believe you went with THAT cover.
context: I was surprised at how well he could dance.\Oh, do you suppose he took lessons?\The roof?\What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here.\I can't believe you went with THAT cover. response:	Everything's easier when people underestimate you.
context: Oh, do you suppose he took lessons?\The roof?\What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you. response:	But I'm surprised.
context: The roof?\What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised. response:	I never expected you to be the operative waiting for me.
context: What?\I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me. response:	It is quite the coincidence.
context: I'm sorry, I just remembered something I have to take care of.\Hey... Dorothy?\Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence. response:	I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.
context: Hey... Dorothy?\Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are. response:	No, I'm surprised...
context: Up here.\I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised... response:	to find a 20-year-old masquerading as a secondary school student.
context: I can't believe you went with THAT cover.\Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student. response:	Wh-what choice did I have! I'm following orders!
context: Everything's easier when people underestimate you.\But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders! response:	Besides, I do LOOK like a secondary school student, don't I?
context: But I'm surprised.\I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I? response:	Your class must be very kind.
context: I never expected you to be the operative waiting for me.\It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind. response:	Don't make it sound like they pity me!
context: It is quite the coincidence.\I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me! response:	That reminds me...
context: I haven't been able to shake you since the orphanage, but I'm still just as surprised as you are.\No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me!\That reminds me... response:	About next week's tea party...
context: No, I'm surprised...\to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me!\That reminds me...\About next week's tea party... response:	Mm-hm.
context: to find a 20-year-old masquerading as a secondary school student.\Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me!\That reminds me...\About next week's tea party...\Mm-hm. response:	Occupied.
context: Wh-what choice did I have! I'm following orders!\Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me!\That reminds me...\About next week's tea party...\Mm-hm.\Occupied. response:	Y-yes, ma'am!
context: Besides, I do LOOK like a secondary school student, don't I?\Your class must be very kind.\Don't make it sound like they pity me!\That reminds me...\About next week's tea party...\Mm-hm.\Occupied.\Y-yes, ma'am! response:	Sorry to bother you!
context: Your class must be very kind.\Don't make it sound like they pity me!\That reminds me...\About next week's tea party...\Mm-hm.\Occupied.\Y-yes, ma'am!\Sorry to bother you! response:	That's what you get...
context: Don't make it sound like they pity me!\That reminds me...\About next week's tea party...\Mm-hm.\Occupied.\Y-yes, ma'am!\Sorry to bother you!\That's what you get... response:	Shut up!
context: That reminds me...\About next week's tea party...\Mm-hm.\Occupied.\Y-yes, ma'am!\Sorry to bother you!\That's what you get...\Shut up! response:	That is Princess.
context: About next week's tea party...\Mm-hm.\Occupied.\Y-yes, ma'am!\Sorry to bother you!\That's what you get...\Shut up!\That is Princess. response:	Even at school, she always has a guard posted nearby.
context: Mm-hm.\Occupied.\Y-yes, ma'am!\Sorry to bother you!\That's what you get...\Shut up!\That is Princess.\Even at school, she always has a guard posted nearby. response:	I've heard she's a princess of air with no political backing.
context: Occupied.\Y-yes, ma'am!\Sorry to bother you!\That's what you get...\Shut up!\That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing. response:	Even so, a princess is a princess.
context: Y-yes, ma'am!\Sorry to bother you!\That's what you get...\Shut up!\That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess. response:	Good grades, good looks, good personality... she has it all.
context: Sorry to bother you!\That's what you get...\Shut up!\That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all. response:	And she's a favorite of Her Majesty the Queen.
context: That's what you get...\Shut up!\That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen. response:	And who is that student?
context: Shut up!\That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student? response:	Beatrice.
context: That is Princess.\Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice. response:	She's from a low-ranking noble family.
context: Even at school, she always has a guard posted nearby.\I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice.\She's from a low-ranking noble family. response:	Princess makes no attempts to be unnecessarily friendly with anyone but her.
context: I've heard she's a princess of air with no political backing.\Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her. response:	That actually makes things harder than if she rejected everyone.
context: Even so, a princess is a princess.\Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone. response:	How do we capture her?
context: Good grades, good looks, good personality... she has it all.\And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her? response:	Good question.
context: And she's a favorite of Her Majesty the Queen.\And who is that student?\Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question. response:	We'll launch a surprise attack.
context: And who is that student?\Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question.\We'll launch a surprise attack. response:	Surprise?
context: Beatrice.\She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question.\We'll launch a surprise attack.\Surprise? response:	Two party dresses? As soon as possible?
context: She's from a low-ranking noble family.\Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question.\We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible? response:	Authorized. Send the dresses.
context: Princess makes no attempts to be unnecessarily friendly with anyone but her.\That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question.\We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses. response:	It's good to see you again.
context: That actually makes things harder than if she rejected everyone.\How do we capture her?\Good question.\We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again. response:	You are as beautiful as ever.
context: How do we capture her?\Good question.\We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever. response:	As expected from the Foreign Secretary, some of these party guests are from the West.
context: Good question.\We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West. response:	So? What's this surprise attack, then?
context: We'll launch a surprise attack.\Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then? response:	There's about to be a happening.
context: Surprise?\Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening. response:	And you're going to cause it?
context: Two party dresses? As soon as possible?\Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it? response:	Hey!
context: Authorized. Send the dresses.\It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it?\Hey! response:	What are we?
context: It's good to see you again.\You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it?\Hey!\What are we? response:	Spies. Creatures who live by lying.
context: You are as beautiful as ever.\As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it?\Hey!\What are we?\Spies. Creatures who live by lying. response:	Emergency orders!
context: As expected from the Foreign Secretary, some of these party guests are from the West.\So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it?\Hey!\What are we?\Spies. Creatures who live by lying.\Emergency orders! response:	You're cutting it rather close.
context: So? What's this surprise attack, then?\There's about to be a happening.\And you're going to cause it?\Hey!\What are we?\Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close. response:	I can't recommend giving these agents orders not related to Operation: Changeling.
context: There's about to be a happening.\And you're going to cause it?\Hey!\What are we?\Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling. response:	This is an emergency! Do you want to start a war with Northern Europe?
context: And you're going to cause it?\Hey!\What are we?\Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe? response:	I understand the military's sense of urgency.
context: Hey!\What are we?\Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency. response:	We will dispose of the stolen blueprints
context: What are we?\Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints response:	before Foreign Affairs Committee Member Morgan delivers them to the West.
context: Spies. Creatures who live by lying.\Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West. response:	We have pinpointed their location.
context: Emergency orders!\You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location. response:	They are in a bank vault in Zurich.
context: You're cutting it rather close.\I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich. response:	The Duke of Normandy will arrive in 30 minutes to complete the transaction.
context: I can't recommend giving these agents orders not related to Operation: Changeling.\This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction. response:	A and D will recover the key to the vault before he does.
context: This is an emergency! Do you want to start a war with Northern Europe?\I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does. response:	What a time to get a rush job.
context: I understand the military's sense of urgency.\We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job. response:	Princess will have to wait for now.
context: We will dispose of the stolen blueprints\before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now. response:	So who is this MP?
context: before Foreign Affairs Committee Member Morgan delivers them to the West.\We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now.\So who is this MP? response:	In the back, on the left.
context: We have pinpointed their location.\They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now.\So who is this MP?\In the back, on the left. response:	With the delegation from the West.
context: They are in a bank vault in Zurich.\The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now.\So who is this MP?\In the back, on the left.\With the delegation from the West. response:	All right, back me up.
context: The Duke of Normandy will arrive in 30 minutes to complete the transaction.\A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now.\So who is this MP?\In the back, on the left.\With the delegation from the West.\All right, back me up. response:	What's your plan?
context: A and D will recover the key to the vault before he does.\What a time to get a rush job.\Princess will have to wait for now.\So who is this MP?\In the back, on the left.\With the delegation from the West.\All right, back me up.\What's your plan? response:	There's no time.
context: What a time to get a rush job.\Princess will have to wait for now.\So who is this MP?\In the back, on the left.\With the delegation from the West.\All right, back me up.\What's your plan?\There's no time. response:	I'm taking the direct approach.
context: Princess will have to wait for now.\So who is this MP?\In the back, on the left.\With the delegation from the West.\All right, back me up.\What's your plan?\There's no time.\I'm taking the direct approach. response:	So the miners in my Bal were...
context: So who is this MP?\In the back, on the left.\With the delegation from the West.\All right, back me up.\What's your plan?\There's no time.\I'm taking the direct approach.\So the miners in my Bal were... response:	Are you Mr. Morgan?
context: In the back, on the left.\With the delegation from the West.\All right, back me up.\What's your plan?\There's no time.\I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan? response:	Hm?
context: With the delegation from the West.\All right, back me up.\What's your plan?\There's no time.\I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan?\Hm? response:	I was hoping you would tell me about the West.
context: All right, back me up.\What's your plan?\There's no time.\I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West. response:	Uh, yes...
context: What's your plan?\There's no time.\I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West.\Uh, yes... response:	If I might be so bold, may I have this dance?
context: There's no time.\I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance? response:	I'm sorry.
context: I'm taking the direct approach.\So the miners in my Bal were...\Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry. response:	He already promised me.
context: So the miners in my Bal were...\Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry.\He already promised me. response:	Caitlin!
context: Are you Mr. Morgan?\Hm?\I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry.\He already promised me.\Caitlin! response:	Over here!
context: Hm?\I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry.\He already promised me.\Caitlin!\Over here! response:	You're already taken?
context: I was hoping you would tell me about the West.\Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry.\He already promised me.\Caitlin!\Over here!\You're already taken? response:	What a shame. You're just my type.
context: Uh, yes...\If I might be so bold, may I have this dance?\I'm sorry.\He already promised me.\Caitlin!\Over here!\You're already taken?\What a shame. You're just my type. response:	They all walk at a rate of 80 paces a minute.
context: If I might be so bold, may I have this dance?\I'm sorry.\He already promised me.\Caitlin!\Over here!\You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute. response:	So they're former soldiers from the Highlanders.
context: I'm sorry.\He already promised me.\Caitlin!\Over here!\You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders. response:	I can't believe they already have him guarded.
context: He already promised me.\Caitlin!\Over here!\You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded. response:	Five against two. And we're in enemy territory.
context: Caitlin!\Over here!\You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory. response:	We couldn't ask for worse conditions.
context: Over here!\You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory.\We couldn't ask for worse conditions. response:	The Duke of Normandy will be here in less than 20 minutes.
context: You're already taken?\What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory.\We couldn't ask for worse conditions.\The Duke of Normandy will be here in less than 20 minutes. response:	How are we supposed to take the key?
context: What a shame. You're just my type.\They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory.\We couldn't ask for worse conditions.\The Duke of Normandy will be here in less than 20 minutes.\How are we supposed to take the key? response:	Keys are small; he could be keeping it anywhere.
context: They all walk at a rate of 80 paces a minute.\So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory.\We couldn't ask for worse conditions.\The Duke of Normandy will be here in less than 20 minutes.\How are we supposed to take the key?\Keys are small; he could be keeping it anywhere. response:	We just have to make sure the enemy doesn't get it, right?
context: So they're former soldiers from the Highlanders.\I can't believe they already have him guarded.\Five against two. And we're in enemy territory.\We couldn't ask for worse conditions.\The Duke of Normandy will be here in less than 20 minutes.\How are we supposed to take the key?\Keys are small; he could be keeping it anywhere.\We just have to make sure the enemy doesn't get it, right? response:	You're going to kill him?
