context: Oh, no! Nirvana's started to move! response:	Plus, Natsu and I are rockin' matching outfits for some reason.
context: I can hear you!\I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you. response:	Damn it, this guy's in our way.
context: I gotta do something to stop this thing!\I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way. response:	We aren't going to lose when it comes to teamwork!
context: I can hear you!\Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork! response:	Cobra, get rid of them.
context: Huh? Look at that, Natsu!\See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them. response:	I hear ya. He'll make a nice meal for Cubellios.
context: See? The Magic Circle is back to normal.\I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios. response:	We aren't food!
context: I thought your last attack erased it...\Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food! response:	Bring it on!
context: Which means that unless we beat up Mr. Smarty Pants, it's no use.\I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on! response:	Super Aerial Battle! Natsu vs. Cobra!
context: I can hear you! I won't let you.\Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra! response:	Cubellios!
context: Damn it, this guy's in our way.\We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios! response:	Natsu!
context: We aren't going to lose when it comes to teamwork!\Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu! response:	Dazzling Blaze of the Fire Dragon!
context: Cobra, get rid of them.\I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon! response:	It missed?
context: I hear ya. He'll make a nice meal for Cubellios.\We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon!\It missed? response:	No, I'm not through yet!
context: We aren't food!\Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet! response:	S-Seriously?
context: Bring it on!\Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet!\S-Seriously? response:	Natsu, you didn't hit him even once...
context: Super Aerial Battle! Natsu vs. Cobra!\Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once... response:	But I threw so many... At least one should have hit him, normally...
context: Cubellios!\Natsu!\Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally... response:	I wonder...
context: Natsu!\Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder... response:	I told you already! Your attacks can't hit me.
context: Dazzling Blaze of the Fire Dragon!\It missed?\No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me. response:	I can hear your movements!
context: It missed?\No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements! response:	Oh, you can, eh? Then take a listen to this!
context: No, I'm not through yet!\S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this! response:	Natsu, hang in there!
context: S-Seriously?\Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there! response:	Fall!
context: Natsu, you didn't hit him even once...\But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall! response:	Happy!
context: But I threw so many... At least one should have hit him, normally...\I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall!\Happy! response:	Aye, sir!
context: I wonder...\I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall!\Happy!\Aye, sir! response:	That was close... Nice one, Happy!
context: I told you already! Your attacks can't hit me.\I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall!\Happy!\Aye, sir!\That was close... Nice one, Happy! response:	Where'd he go?
context: I can hear your movements!\Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall!\Happy!\Aye, sir!\That was close... Nice one, Happy!\Where'd he go? response:	Run, run! It makes the hunt much more exciting!
context: Oh, you can, eh? Then take a listen to this!\Natsu, hang in there!\Fall!\Happy!\Aye, sir!\That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting! response:	Damn it... Really rubs our noses in his superiority, doesn't he?!
context: Natsu, hang in there!\Fall!\Happy!\Aye, sir!\That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?! response:	I bet women totally hate the guy.
context: Fall!\Happy!\Aye, sir!\That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy. response:	Wait, hold it Happy.
context: Happy!\Aye, sir!\That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy. response:	Shh!
context: Aye, sir!\That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy.\Shh! response:	We'll hide here.
context: That was close... Nice one, Happy!\Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy.\Shh!\We'll hide here. response:	Then do a surprise attack!
context: Where'd he go?\Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy.\Shh!\We'll hide here.\Then do a surprise attack! response:	Aye!
context: Run, run! It makes the hunt much more exciting!\Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy.\Shh!\We'll hide here.\Then do a surprise attack!\Aye! response:	Don't say anything, Happy.
context: Damn it... Really rubs our noses in his superiority, doesn't he?!\I bet women totally hate the guy.\Wait, hold it Happy.\Shh!\We'll hide here.\Then do a surprise attack!\Aye!\Don't say anything, Happy. response:	Aye.
context: I bet women totally hate the guy.\Wait, hold it Happy.\Shh!\We'll hide here.\Then do a surprise attack!\Aye!\Don't say anything, Happy.\Aye. response:	He's here!
context: Wait, hold it Happy.\Shh!\We'll hide here.\Then do a surprise attack!\Aye!\Don't say anything, Happy.\Aye.\He's here! response:	There you are!
context: Shh!\We'll hide here.\Then do a surprise attack!\Aye!\Don't say anything, Happy.\Aye.\He's here!\There you are! response:	Huh?
context: We'll hide here.\Then do a surprise attack!\Aye!\Don't say anything, Happy.\Aye.\He's here!\There you are!\Huh? response:	Not here.
context: Then do a surprise attack!\Aye!\Don't say anything, Happy.\Aye.\He's here!\There you are!\Huh?\Not here. response:	But why?!
context: Aye!\Don't say anything, Happy.\Aye.\He's here!\There you are!\Huh?\Not here.\But why?! response:	I can hear you!
context: Don't say anything, Happy.\Aye.\He's here!\There you are!\Huh?\Not here.\But why?!\I can hear you! response:	Damn it!
context: Aye.\He's here!\There you are!\Huh?\Not here.\But why?!\I can hear you!\Damn it! response:	But why?
context: He's here!\There you are!\Huh?\Not here.\But why?!\I can hear you!\Damn it!\But why? response:	And what do you mean, women hate guys like me?
context: There you are!\Huh?\Not here.\But why?!\I can hear you!\Damn it!\But why?\And what do you mean, women hate guys like me? response:	You heard that, too?
context: Huh?\Not here.\But why?!\I can hear you!\Damn it!\But why?\And what do you mean, women hate guys like me?\You heard that, too? response:	So, where are we?
context: Not here.\But why?!\I can hear you!\Damn it!\But why?\And what do you mean, women hate guys like me?\You heard that, too?\So, where are we? response:	It definitely looks like a city of some sort.
context: But why?!\I can hear you!\Damn it!\But why?\And what do you mean, women hate guys like me?\You heard that, too?\So, where are we?\It definitely looks like a city of some sort. response:	What kind of magic is this, anyway?
context: I can hear you!\Damn it!\But why?\And what do you mean, women hate guys like me?\You heard that, too?\So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway? response:	Some ruins with crazy huge legs?
context: Damn it!\But why?\And what do you mean, women hate guys like me?\You heard that, too?\So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs? response:	It seems like a really old city.
context: But why?\And what do you mean, women hate guys like me?\You heard that, too?\So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city. response:	Exactly! Yes...
context: And what do you mean, women hate guys like me?\You heard that, too?\So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes... response:	This is the fantastic city of Nirvana.
context: You heard that, too?\So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana. response:	Seeing you here as well gives me confidence!
context: So, where are we?\It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence! response:	The dude from Lyon's guild!
context: It definitely looks like a city of some sort.\What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild! response:	And a member of Oracion Seis?!
context: What kind of magic is this, anyway?\Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?! response:	But why?
context: Some ruins with crazy huge legs?\It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?!\But why? response:	Worry not. He has become our ally.
context: It seems like a really old city.\Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?!\But why?\Worry not. He has become our ally. response:	Huh?
context: Exactly! Yes...\This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?!\But why?\Worry not. He has become our ally.\Huh? response:	Love, throughout the world! Yes...
context: This is the fantastic city of Nirvana.\Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?!\But why?\Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes... response:	No way!
context: Seeing you here as well gives me confidence!\The dude from Lyon's guild!\And a member of Oracion Seis?!\But why?\Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes...\No way! response:	Didn't this case keep spouting money, money?
context: The dude from Lyon's guild!\And a member of Oracion Seis?!\But why?\Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money? response:	Can the old dude use magic to make people see the light?
context: And a member of Oracion Seis?!\But why?\Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light? response:	Well, this and that happened...
context: But why?\Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened... response:	Oh yeah... Sherry went and flipped out, too.
context: Worry not. He has become our ally.\Huh?\Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too. response:	Hate Jewel
context: Huh?\Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel response:	Love Love
context: Love, throughout the world! Yes...\No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love response:	Good and evil swapped places, yeah.
context: No way!\Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love\Good and evil swapped places, yeah. response:	What happened to Sherry?
context: Didn't this case keep spouting money, money?\Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love\Good and evil swapped places, yeah.\What happened to Sherry? response:	Well, we already returned her to normal.
context: Can the old dude use magic to make people see the light?\Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love\Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal. response:	This is the ancient capital in which once lived the ancient Nirvit people.
context: Well, this and that happened...\Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love\Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people. response:	Yes...
context: Oh yeah... Sherry went and flipped out, too.\Hate Jewel\Love Love\Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes... response:	The Nirvit?
context: Hate Jewel\Love Love\Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit? response:	Correct. It was around 4000 years ago.
context: Love Love\Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit?\Correct. It was around 4000 years ago. response:	Many wars were happening around the world, see.
context: Good and evil swapped places, yeah.\What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see. response:	The Nirvit maintained their neutrality, and lamented the state of the world.
context: What happened to Sherry?\Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world. response:	So they created a magic that would restore balance to the world. Yes...
context: Well, we already returned her to normal.\This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes... response:	You don't mean that magic is...
context: This is the ancient capital in which once lived the ancient Nirvit people.\Yes...\The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is... response:	Yes. An ultra-magic that swaps light and darkness.
context: Yes...\The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness. response:	That magic was given the name of the Kingdom of Peace, Nirvana.
context: The Nirvit?\Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana. response:	Yes...
context: Correct. It was around 4000 years ago.\Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes... response:	So this walking city...
context: Many wars were happening around the world, see.\The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city... response:	Ironic... Sheesh.
context: The Nirvit maintained their neutrality, and lamented the state of the world.\So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city...\Ironic... Sheesh. response:	It has the name that signifies peace, and yet is being used for evil.
context: So they created a magic that would restore balance to the world. Yes...\You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil. response:	It would've been a good magic,
context: You don't mean that magic is...\Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic, response:	if they hadn't originally used turning light into darkness as one of its elements.
context: Yes. An ultra-magic that swaps light and darkness.\That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements. response:	Nothing can be done now. The ancients likely never considered so far ahead.
context: That magic was given the name of the Kingdom of Peace, Nirvana.\Yes...\So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead. response:	Strong magic has strong secondary effects.
context: Yes...\So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects. response:	In any case, we are in trouble now that it is moving.
context: So this walking city...\Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving. response:	We must stop it without any further delay.
context: Ironic... Sheesh.\It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay. response:	Yes...
context: It has the name that signifies peace, and yet is being used for evil.\It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes... response:	Well, duh!
context: It would've been a good magic,\if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes...\Well, duh! response:	Yup!
context: if they hadn't originally used turning light into darkness as one of its elements.\Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes...\Well, duh!\Yup! response:	What?
context: Nothing can be done now. The ancients likely never considered so far ahead.\Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes...\Well, duh!\Yup!\What? response:	A light!
context: Strong magic has strong secondary effects.\In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes...\Well, duh!\Yup!\What?\A light! response:	That's Brain, yes...
context: In any case, we are in trouble now that it is moving.\We must stop it without any further delay.\Yes...\Well, duh!\Yup!\What?\A light!\That's Brain, yes... response:	He is probably moving this city from atop the King's Summit.
context: We must stop it without any further delay.\Yes...\Well, duh!\Yup!\What?\A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit. response:	While he is doing that, Brain cannot use other magic.
context: Yes...\Well, duh!\Yup!\What?\A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic. response:	It is our chance to strike!
context: Well, duh!\Yup!\What?\A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike! response:	Yes...
context: Yup!\What?\A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes... response:	If he's moving it... Then is he heading somewhere?
context: What?\A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere? response:	Perhaps...
context: A light!\That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere?\Perhaps... response:	However, I do not know where to.
context: That's Brain, yes...\He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to. response:	Yes.
context: He is probably moving this city from atop the King's Summit.\While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to.\Yes. response:	Only I understand what Father is thinking.
context: While he is doing that, Brain cannot use other magic.\It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to.\Yes.\Only I understand what Father is thinking. response:	Midnight.
context: It is our chance to strike!\Yes...\If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to.\Yes.\Only I understand what Father is thinking.\Midnight. response:	Oracion Seis!
context: Yes...\If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to.\Yes.\Only I understand what Father is thinking.\Midnight.\Oracion Seis! response:	It's the one that was always asleep!
context: If he's moving it... Then is he heading somewhere?\Perhaps...\However, I do not know where to.\Yes.\Only I understand what Father is thinking.\Midnight.\Oracion Seis!\It's the one that was always asleep! response:	Hot Eye... You betrayed my father?
context: Perhaps...\However, I do not know where to.\Yes.\Only I understand what Father is thinking.\Midnight.\Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father? response:	No, I did not.
context: However, I do not know where to.\Yes.\Only I understand what Father is thinking.\Midnight.\Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not. response:	I merely realized that Brain is wrong.
context: Yes.\Only I understand what Father is thinking.\Midnight.\Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong. response:	What?
context: Only I understand what Father is thinking.\Midnight.\Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong.\What? response:	You say my father is wrong?
context: Midnight.\Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong.\What?\You say my father is wrong? response:	When did he...
context: Oracion Seis!\It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong.\What?\You say my father is wrong?\When did he... response:	Wait, what do you mean, father?
context: It's the one that was always asleep!\Hot Eye... You betrayed my father?\No, I did not.\I merely realized that Brain is wrong.\What?\You say my father is wrong?\When did he...\Wait, what do you mean, father? response:	It's a father-son Dark Guild?
