context: This arrow is very precious. It's the only one there is. response:	It's my precious objective.
context: Which means it won't be good if something happens to this arrow.\If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that.\I'm like that, too. response:	Oh? You're gonna come into this house?
context: If the lady next door happens to see it, or if it snaps in half, that'd be bad news.\I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house? response:	Think before you speak!
context: I'm a very methodical type, you see,\so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak! response:	If I don't come in, I can't kick your ass and treat Koichi's wounds!
context: so I want to make sure I put the arrow away properly.\When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds! response:	Bro! I haven't lost yet!
context: When you're listening to CDs, you properly put the first one away in its case\before listening to the second one, right?\Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet! response:	Hold off on attacking him!
context: before listening to the second one, right?\Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him! response:	Attack?
context: Everyone's like that.\I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him!\Attack? response:	We ain't finished yet!
context: I'm like that, too.\Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him!\Attack?\We ain't finished yet! response:	Something's coming from...
context: Oh? You're gonna come into this house?\Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him!\Attack?\We ain't finished yet!\Something's coming from... response:	the darkness of the ceiling!
context: Think before you speak!\If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him!\Attack?\We ain't finished yet!\Something's coming from...\the darkness of the ceiling! response:	Jojo's Bizarre Adventure
context: If I don't come in, I can't kick your ass and treat Koichi's wounds!\Bro! I haven't lost yet!\Hold off on attacking him!\Attack?\We ain't finished yet!\Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: Bro! I haven't lost yet!\Hold off on attacking him!\Attack?\We ain't finished yet!\Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 4 The Nijimura Brothers, Part 2
context: Hold off on attacking him!\Attack?\We ain't finished yet!\Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2 response:	Okuyasu...
context: Attack?\We ain't finished yet!\Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu... response:	How stupid you are never ceases to amaze me.
context: We ain't finished yet!\Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me. response:	If you hadn't come staggering in here,
context: Something's coming from...\the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here, response:	my Worse Company would have attacked Josuke for sure.
context: the darkness of the ceiling!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure. response:	And you actually walked into its attack trajectory.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory. response:	Bro...
context: Diamond is Unbreakable\Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro... response:	Your Stand, The Hand, is terrifying, but you're completely incompetent.
context: Episode 4 The Nijimura Brothers, Part 2\Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent. response:	I told you over and over, ever since we were kids,
context: Okuyasu...\How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids, response:	that incompetent people drag down everyone around them, didn't I?
context: How stupid you are never ceases to amaze me.\If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I? response:	I told you over and over that people only have the right to live
context: If you hadn't come staggering in here,\my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live response:	if they keep growing, didn't I?
context: my Worse Company would have attacked Josuke for sure.\And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I? response:	What's with his injuries?
context: And you actually walked into its attack trajectory.\Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries? response:	What kind of attack makes you end up with wounds like that?
context: Bro...\Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that? response:	Anyway, it seems that something's up there.
context: Your Stand, The Hand, is terrifying, but you're completely incompetent.\I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there. response:	Little brother,
context: I told you over and over, ever since we were kids,\that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother, response:	I think it's only natural that morons like you should die!
context: that incompetent people drag down everyone around them, didn't I?\I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die! response:	It left a ton of holes again!
context: I told you over and over that people only have the right to live\if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again! response:	What kind of attack is that?
context: if they keep growing, didn't I?\What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that? response:	Shining Diamond!
context: What's with his injuries?\What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that?\Shining Diamond! response:	Are you trying to attack your brother, too?!
context: What kind of attack makes you end up with wounds like that?\Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?! response:	Josuke Higashikata...
context: Anyway, it seems that something's up there.\Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata... response:	I'm sure he won't abandon this brat he called Koichi.
context: Little brother,\I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi. response:	He'll most likely come in here again.
context: I think it's only natural that morons like you should die!\It left a ton of holes again!\What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again. response:	I'll kill him, no matter what...
context: It left a ton of holes again!\What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what... response:	I'll kill anyone who gets in the way of this bow and arrow's objective,
context: What kind of attack is that?\Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective, response:	no matter who they may be!
context: Shining Diamond!\Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be! response:	Now, then... How about you tell me about your brother's Stand?
context: Are you trying to attack your brother, too?!\Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand? response:	Tell me what his Stand really is!
context: Josuke Higashikata...\I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is! response:	If you tell me, I'll treat your wounds.
context: I'm sure he won't abandon this brat he called Koichi.\He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds. response:	Like hell... I'm gonna tell you...
context: He'll most likely come in here again.\I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you... response:	Dumbass...
context: I'll kill him, no matter what...\I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass... response:	As I thought.
context: I'll kill anyone who gets in the way of this bow and arrow's objective,\no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass...\As I thought. response:	Well, then... I guess I have no choice!
context: no matter who they may be!\Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass...\As I thought.\Well, then... I guess I have no choice! response:	I'm gonna go in there again, so just don't get in my way, Okuyasu.
context: Now, then... How about you tell me about your brother's Stand?\Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass...\As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu. response:	Koichi doesn't have much time!
context: Tell me what his Stand really is!\If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass...\As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time! response:	His Stand attacks from somewhere within this darkness.
context: If you tell me, I'll treat your wounds.\Like hell... I'm gonna tell you...\Dumbass...\As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness. response:	Going in here is pretty dangerous.
context: Like hell... I'm gonna tell you...\Dumbass...\As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous. response:	I've got no choice but to use all of my senses fully...
context: Dumbass...\As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully... response:	Hey, wait a minute!
context: As I thought.\Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute! response:	Huh?
context: Well, then... I guess I have no choice!\I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh? response:	Why, Josuke? Why did you treat my wounds?
context: I'm gonna go in there again, so just don't get in my way, Okuyasu.\Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds? response:	Shut up. I'll tell you later.
context: Koichi doesn't have much time!\His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later. response:	I might attack you! I'm your enemy!
context: His Stand attacks from somewhere within this darkness.\Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy! response:	You want a piece of me?
context: Going in here is pretty dangerous.\I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me? response:	After I hear your answer! Why did you treat my wounds?
context: I've got no choice but to use all of my senses fully...\Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds? response:	I'm not very smart, so you're gonna have to tell me!
context: Hey, wait a minute!\Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me! response:	And that wound on your hand!
context: Huh?\Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand! response:	You got that when you were pulling me outside, didn't you?
context: Why, Josuke? Why did you treat my wounds?\Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you? response:	I wanna know why you went through all that to save me.
context: Shut up. I'll tell you later.\I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me. response:	There's no deep reason.
context: I might attack you! I'm your enemy!\You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason. response:	There's no reason he has to die.
context: You want a piece of me?\After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die. response:	That's what I thought back there.
context: After I hear your answer! Why did you treat my wounds?\I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die.\That's what I thought back there. response:	Koichi...
context: I'm not very smart, so you're gonna have to tell me!\And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die.\That's what I thought back there.\Koichi... response:	The trail leads upstairs.
context: And that wound on your hand!\You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die.\That's what I thought back there.\Koichi...\The trail leads upstairs. response:	I still have more questions, Josuke!
context: You got that when you were pulling me outside, didn't you?\I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die.\That's what I thought back there.\Koichi...\The trail leads upstairs.\I still have more questions, Josuke! response:	What's your problem?!
context: I wanna know why you went through all that to save me.\There's no deep reason.\There's no reason he has to die.\That's what I thought back there.\Koichi...\The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?! response:	I'm begging you, just let me save Koichi!
context: There's no deep reason.\There's no reason he has to die.\That's what I thought back there.\Koichi...\The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi! response:	Why?!
context: There's no reason he has to die.\That's what I thought back there.\Koichi...\The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi!\Why?! response:	Why don't you use your Stand's powers to fix your own hand?
context: That's what I thought back there.\Koichi...\The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand? response:	You should just fix it up like you did with my face.
context: Koichi...\The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face. response:	My Shining Diamond can't repair my own wounds.
context: The trail leads upstairs.\I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds. response:	It just means life isn't that easy.
context: I still have more questions, Josuke!\What's your problem?!\I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy. response:	And, more than anything,
context: What's your problem?!\I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything, response:	I have no way of saving people who've already died.
context: I'm begging you, just let me save Koichi!\Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died. response:	Let me just say one thing, Okuyasu.
context: Why?!\Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu. response:	If Koichi dies, I don't know what I'm gonna do to your brother.
context: Why don't you use your Stand's powers to fix your own hand?\You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother. response:	So don't hold it against me. It was your brother who caused all this trouble.
context: You should just fix it up like you did with my face.\My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble. response:	You got that? If you do, stay outside.
context: My Shining Diamond can't repair my own wounds.\It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside. response:	Koichi!
context: It just means life isn't that easy.\And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi! response:	Damn it... This is definitely a trap.
context: And, more than anything,\I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap. response:	He plans to attack me from somewhere as soon as I get close to Koichi.
context: I have no way of saving people who've already died.\Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi. response:	But...
context: Let me just say one thing, Okuyasu.\If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But... response:	Even if I know it's a trap, I have no choice but to go!
context: If Koichi dies, I don't know what I'm gonna do to your brother.\So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go! response:	Koichi doesn't even have seconds left!
context: So don't hold it against me. It was your brother who caused all this trouble.\You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left! response:	What?!
context: You got that? If you do, stay outside.\Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?! response:	Okuyasu, you bastard!
context: Koichi!\Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard! response:	Josuke!
context: Damn it... This is definitely a trap.\He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard!\Josuke! response:	Gyaon
context: He plans to attack me from somewhere as soon as I get close to Koichi.\But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard!\Josuke!\Gyaon response:	Koichi just...
context: But...\Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard!\Josuke!\Gyaon\Koichi just... response:	Because I'm stupid, I just act on what's in my heart.
context: Even if I know it's a trap, I have no choice but to go!\Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard!\Josuke!\Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart. response:	Just once, just this once, I'll repay my debt to you.
context: Koichi doesn't even have seconds left!\What?!\Okuyasu, you bastard!\Josuke!\Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you. response:	I won't do anything else.
context: What?!\Okuyasu, you bastard!\Josuke!\Gyaon\Koichi just...\Because I'm stupid, I just act on what's in my heart.\Just once, just this once, I'll repay my debt to you.\I won't do anything else. response:	I won't help out my Bro, or do anything to you, either.
