context: I'm sorry. I mustn't go with you. response:	We would run and run, but to where?
context: It was you who betrayed us Magiuses.\I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless! response:	We haven't seen what the situation is in JIOR yet.
context: I did not betray you.\I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet. response:	Or met up with Ms. Rukino, either.
context: I simply wanted to do the right thing.\Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either. response:	But if we don't have a place to go home to, all this will have been for nothing!
context: Module 77 has been targeted for attack?!\Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing! response:	I know, but we...
context: Yes. A space-model Phantom is en route to the Moon.\But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we... response:	L-elf! What do we do?
context: But the Moon is neutral!\Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do? response:	I have a plan.
context: Yeah, but these guys attacked JIOR, and we were neutral, too.\Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do?\I have a plan. response:	The supplies we received from the Royalists also contained intel.
context: Let's go back to the Moon! Module 77 is completely defenseless!\We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel. response:	What is that, a rocket?
context: We haven't seen what the situation is in JIOR yet.\Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket? response:	Wow, what an antique.
context: Or met up with Ms. Rukino, either.\But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique. response:	It's a multi-stage design from over 100 years ago.
context: But if we don't have a place to go home to, all this will have been for nothing!\I know, but we...\L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago. response:	You want us to use this museum piece?
context: I know, but we...\L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece? response:	That's exactly why the Dorssian military security will be light.
context: L-elf! What do we do?\I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light. response:	And one more thing.
context: I have a plan.\The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing. response:	What's that?
context: The supplies we received from the Royalists also contained intel.\What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing.\What's that? response:	Those are JIORan names.
context: What is that, a rocket?\Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing.\What's that?\Those are JIORan names. response:	These are JIORans who were taken by force
context: Wow, what an antique.\It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing.\What's that?\Those are JIORan names.\These are JIORans who were taken by force response:	to the town where we're headed.
context: It's a multi-stage design from over 100 years ago.\You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing.\What's that?\Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed. response:	If we rescue them, we can ascertain the situation inside JIOR.
context: You want us to use this museum piece?\That's exactly why the Dorssian military security will be light.\And one more thing.\What's that?\Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR. response:	Which will essentially let us complete the
context: That's exactly why the Dorssian military security will be light.\And one more thing.\What's that?\Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the response:	objective of the force recon mission.
context: And one more thing.\What's that?\Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission. response:	But still...
context: What's that?\Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission.\But still... response:	That all depends on what sort of people were taken into custody.
context: Those are JIORan names.\These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody. response:	Whatever the reason, we gotta help these people.
context: These are JIORans who were taken by force\to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people. response:	What is it?
context: to the town where we're headed.\If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it? response:	My dad's name is on here!
context: If we rescue them, we can ascertain the situation inside JIOR.\Which will essentially let us complete the\objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here! response:	Seriously?
context: Which will essentially let us complete the\objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here!\Seriously? response:	Yes.
context: objective of the force recon mission.\But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here!\Seriously?\Yes. response:	SOUICHI TOKISHIMA
context: But still...\That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here!\Seriously?\Yes.\SOUICHI TOKISHIMA response:	Are there more? Do you recognize any others?
context: That all depends on what sort of people were taken into custody.\Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here!\Seriously?\Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others? response:	- Is my old man on there? - What about my mom?!
context: Whatever the reason, we gotta help these people.\What is it?\My dad's name is on here!\Seriously?\Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?! response:	Is my grandpa on there?
context: What is it?\My dad's name is on here!\Seriously?\Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there? response:	Is this the whole list?
context: My dad's name is on here!\Seriously?\Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list? response:	Hey, I know this name!
context: Seriously?\Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list?\Hey, I know this name! response:	It's not there! It's not there!
context: Yes.\SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list?\Hey, I know this name!\It's not there! It's not there! response:	It's possible that the families of everyone back at the Moon are on here.
context: SOUICHI TOKISHIMA\Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list?\Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here. response:	You're right!
context: Are there more? Do you recognize any others?\- Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list?\Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right! response:	Let's look for them!
context: - Is my old man on there? - What about my mom?!\Is my grandpa on there?\Is this the whole list?\Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them! response:	I apologize for making you go to all this trouble.
context: Is my grandpa on there?\Is this the whole list?\Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them!\I apologize for making you go to all this trouble. response:	Do not mention it.
context: Is this the whole list?\Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it. response:	However little it may be, locked away as I am,
context: Hey, I know this name!\It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am, response:	I will do anything in my power to assist you.
context: It's not there! It's not there!\It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you. response:	What sort of authorization is it this time?
context: It's possible that the families of everyone back at the Moon are on here.\You're right!\Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time? response:	Is it to help an ideological criminal?
context: You're right!\Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal? response:	Or someone with ties to the royal family, perhaps?
context: Let's look for them!\I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps? response:	It's for JIORans.
context: I apologize for making you go to all this trouble.\Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans. response:	The students who have come down to Earth.
context: Do not mention it.\However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth. response:	Surely you don't mean
context: However little it may be, locked away as I am,\I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth.\Surely you don't mean response:	Will this be a problem for you, Miss?
context: I will do anything in my power to assist you.\What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss? response:	No, none at all.
context: What sort of authorization is it this time?\Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss?\No, none at all. response:	Michael...
context: Is it to help an ideological criminal?\Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss?\No, none at all.\Michael... response:	The thing is, H-neun was selling military intel.
context: Or someone with ties to the royal family, perhaps?\It's for JIORans.\The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss?\No, none at all.\Michael...\The thing is, H-neun was selling military intel. response:	It had to be done, right?
context: It's for JIORans.\The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss?\No, none at all.\Michael...\The thing is, H-neun was selling military intel.\It had to be done, right? response:	Death to traitors and all that, you know?
context: The students who have come down to Earth.\Surely you don't mean\Will this be a problem for you, Miss?\No, none at all.\Michael...\The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know? response:	If I had known he was a traitor,
context: Surely you don't mean\Will this be a problem for you, Miss?\No, none at all.\Michael...\The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor, response:	I would have fought him myself...
context: Will this be a problem for you, Miss?\No, none at all.\Michael...\The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself... response:	It's old-fashioned, but this city is rather lovely.
context: No, none at all.\Michael...\The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely. response:	The old capital, Dorssiana.
context: Michael...\The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana. response:	It was the capital of the Kingdom of Dorssia for a thousand years.
context: The thing is, H-neun was selling military intel.\It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years. response:	A thousand?
context: It had to be done, right?\Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand? response:	I guess that shows how much support the
context: Death to traitors and all that, you know?\If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the response:	royal family had from the people.
context: If I had known he was a traitor,\I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the\royal family had from the people. response:	But they say most of the royals were locked up
context: I would have fought him myself...\It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up response:	in the coup 10 years ago.
context: It's old-fashioned, but this city is rather lovely.\The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago. response:	Red Thursday...
context: The old capital, Dorssiana.\It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday... response:	That marked the day that
context: It was the capital of the Kingdom of Dorssia for a thousand years.\A thousand?\I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday...\That marked the day that response:	Dorssia began expanding across the globe as a military state.
context: A thousand?\I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state. response:	This district has been turned into a total ghost town,
context: I guess that shows how much support the\royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town, response:	so I guess that make the
context: royal family had from the people.\But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the response:	Royalists feel free to operate with impunity here.
context: But they say most of the royals were locked up\in the coup 10 years ago.\Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here. response:	They're here!
context: in the coup 10 years ago.\Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here.\They're here! response:	Switch successful...
context: Red Thursday...\That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here.\They're here!\Switch successful... response:	This will let you see him.
context: That marked the day that\Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here.\They're here!\Switch successful...\This will let you see him. response:	Your father, I mean. I'm jealous.
context: Dorssia began expanding across the globe as a military state.\This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here.\They're here!\Switch successful...\This will let you see him.\Your father, I mean. I'm jealous. response:	But I...
context: This district has been turned into a total ghost town,\so I guess that make the\Royalists feel free to operate with impunity here.\They're here!\Switch successful...\This will let you see him.\Your father, I mean. I'm jealous.\But I... response:	Hey, don't feel guilty on our account.
context: so I guess that make the\Royalists feel free to operate with impunity here.\They're here!\Switch successful...\This will let you see him.\Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account. response:	It's okay to be happy.
context: Royalists feel free to operate with impunity here.\They're here!\Switch successful...\This will let you see him.\Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account.\It's okay to be happy. response:	It's not that.
context: They're here!\Switch successful...\This will let you see him.\Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that. response:	I haven't seen my father all that often.
context: Switch successful...\This will let you see him.\Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that.\I haven't seen my father all that often. response:	He was busy with work all the time. He was hardly ever at home.
context: This will let you see him.\Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home. response:	He was a researcher at a pharmaceutical company.
context: Your father, I mean. I'm jealous.\But I...\Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company. response:	A total genius.
context: But I...\Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius. response:	That's why I never knew what to say to him.
context: Hey, don't feel guilty on our account.\It's okay to be happy.\It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him. response:	I guess I was afraid that he'd be disappointed in me.
context: It's okay to be happy.\It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me. response:	But after all this,
context: It's not that.\I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this, response:	I think I'll be able to actually talk with him now.
context: I haven't seen my father all that often.\He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now. response:	Yes, this looks good.
context: He was busy with work all the time. He was hardly ever at home.\He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good. response:	Let's give it a try with this.
context: He was a researcher at a pharmaceutical company.\A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this. response:	Yes, Doctor.
context: A total genius.\That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this.\Yes, Doctor. response:	Hm? What's that, Doctor?
context: That's why I never knew what to say to him.\I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor? response:	Oh, this?
context: I guess I was afraid that he'd be disappointed in me.\But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor?\Oh, this? response:	Haruto Tokishima. He's my son.
context: But after all this,\I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son. response:	Your son?
context: I think I'll be able to actually talk with him now.\Yes, this looks good.\Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son.\Your son? response:	That's right.
context: Yes, this looks good.\Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son.\Your son?\That's right. response:	Haruto here is my pride and joy.
context: Let's give it a try with this.\Yes, Doctor.\Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son.\Your son?\That's right.\Haruto here is my pride and joy. response:	What's wrong, sir?
context: Yes, Doctor.\Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son.\Your son?\That's right.\Haruto here is my pride and joy.\What's wrong, sir? response:	Prepare for battle.
context: Hm? What's that, Doctor?\Oh, this?\Haruto Tokishima. He's my son.\Your son?\That's right.\Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle. response:	Backbone line infiltration successful.
context: Oh, this?\Haruto Tokishima. He's my son.\Your son?\That's right.\Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful. response:	Address: Kaiserburg, district 672, D-5421.
context: Haruto Tokishima. He's my son.\Your son?\That's right.\Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421. response:	The museum is now closed.
context: Your son?\That's right.\Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed. response:	We ask that all visitors please vacate the building immediately.
context: That's right.\Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed.\We ask that all visitors please vacate the building immediately. response:	Museum. Main system.
context: Haruto here is my pride and joy.\What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed.\We ask that all visitors please vacate the building immediately.\Museum. Main system. response:	Down a level. Guard room. Camera...
context: What's wrong, sir?\Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed.\We ask that all visitors please vacate the building immediately.\Museum. Main system.\Down a level. Guard room. Camera... response:	There's the signal from Akira!
context: Prepare for battle.\Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed.\We ask that all visitors please vacate the building immediately.\Museum. Main system.\Down a level. Guard room. Camera...\There's the signal from Akira! response:	We're leaving as soon as Haruto and the others get back.
context: Backbone line infiltration successful.\Address: Kaiserburg, district 672, D-5421.\The museum is now closed.\We ask that all visitors please vacate the building immediately.\Museum. Main system.\Down a level. Guard room. Camera...\There's the signal from Akira!\We're leaving as soon as Haruto and the others get back. response:	Let's get to work.
