context: Where did he go? response:	Behind you, Butta!
context: Then maybe you're second-fastest in the universe, ain't you?\H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!? response:	How should I know? It must be from my having trained so hard.
context: H - how can this be?\Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard. response:	Still, you can't win on speed alone!
context: Not only did he repel my Crusher Ball, he managed to slip behind Butta!\lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone! response:	Not if all you're doing is running away!
context: lt's as if l'm having a bad dream.\Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away! response:	Once you've worn yourself out running away, you'll lose those sharp reflexes,
context: Who are you!?\I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes, response:	and then you'll die!
context: I am a Saiyan, who was raised on Earth... I guess.\Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die! response:	Go ahead, dodge me!
context: Don't be ridiculous!\How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me! response:	C- can you see that?
context: How can a Saiyan have that kind of speed!?\How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me!\C- can you see that? response:	Not at all.
context: How should I know? It must be from my having trained so hard.\Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me!\C- can you see that?\Not at all. response:	Dammit!
context: Still, you can't win on speed alone!\Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me!\C- can you see that?\Not at all.\Dammit! response:	How can members of the Ginyu Special Corps
context: Not if all you're doing is running away!\Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me!\C- can you see that?\Not at all.\Dammit!\How can members of the Ginyu Special Corps response:	let that runt make fools of them!?
context: Once you've worn yourself out running away, you'll lose those sharp reflexes,\and then you'll die!\Go ahead, dodge me!\C- can you see that?\Not at all.\Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!? response:	It's all you can do to just evade me!
context: and then you'll die!\Go ahead, dodge me!\C- can you see that?\Not at all.\Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me! response:	I could defeat you right now!
context: Go ahead, dodge me!\C- can you see that?\Not at all.\Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now! response:	We'll see about that.
context: C- can you see that?\Not at all.\Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now!\We'll see about that. response:	What do you think you're doing!?
context: Not at all.\Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now!\We'll see about that.\What do you think you're doing!? response:	What about you? Where were you looking!?
context: Dammit!\How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now!\We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!? response:	What!?
context: How can members of the Ginyu Special Corps\let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now!\We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!?\What!? response:	Why you...
context: let that runt make fools of them!?\It's all you can do to just evade me!\I could defeat you right now!\We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!?\What!?\Why you... response:	Hold on. This is no time to be fighting each other.
context: It's all you can do to just evade me!\I could defeat you right now!\We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!?\What!?\Why you...\Hold on. This is no time to be fighting each other. response:	R- right.
context: I could defeat you right now!\We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!?\What!?\Why you...\Hold on. This is no time to be fighting each other.\R- right. response:	Shall I show you then?
context: We'll see about that.\What do you think you're doing!?\What about you? Where were you looking!?\What!?\Why you...\Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then? response:	How there's more to me than just speed?
context: What do you think you're doing!?\What about you? Where were you looking!?\What!?\Why you...\Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then?\How there's more to me than just speed? response:	-What!? -What!?
context: What about you? Where were you looking!?\What!?\Why you...\Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then?\How there's more to me than just speed?\-What!? -What!? response:	I hope you understand now. Give up this senseless fight.
context: What!?\Why you...\Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then?\How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight. response:	This guy, and the one before him, are both still alive.
context: Why you...\Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then?\How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive. response:	Hurry up and take the two of them and get off this planet.
context: Hold on. This is no time to be fighting each other.\R- right.\Shall I show you then?\How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet. response:	D- don't be a fool! Kakarrot, finish them! Finish them off!
context: R- right.\Shall I show you then?\How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off! response:	These two are all beat up.
context: Shall I show you then?\How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up. response:	There's no need to kill them for no reason!
context: How there's more to me than just speed?\-What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason! response:	H- how can this be? We're the Ginyu Special Corps, you know!
context: -What!? -What!?\I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know! response:	W- we're a super elite fighting force,
context: I hope you understand now. Give up this senseless fight.\This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force, response:	comprised of the five best warriors in all the universe!
context: This guy, and the one before him, are both still alive.\Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe! response:	How can we be beaten by such a low-level fighter!?
context: Hurry up and take the two of them and get off this planet.\D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!? response:	This is a nightmare!
context: D- don't be a fool! Kakarrot, finish them! Finish them off!\These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare! response:	I'm going to be done in, and there's nothing I can do!
context: These two are all beat up.\There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do! response:	He's running away!
context: There's no need to kill them for no reason!\H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away! response:	There's no helping some people, huh?
context: H- how can this be? We're the Ginyu Special Corps, you know!\W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh? response:	He just left his friends behind.
context: W- we're a super elite fighting force,\comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh?\He just left his friends behind. response:	Sorry, guys, there ain't any Senzu left.
context: comprised of the five best warriors in all the universe!\How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left. response:	Hey...
context: How can we be beaten by such a low-level fighter!?\This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey... response:	A- are you really Goku?
context: This is a nightmare!\I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku? response:	Yeah. I've just been through some incredible training is all.
context: I'm going to be done in, and there's nothing I can do!\He's running away!\There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all. response:	Vegeta!
context: He's running away!\There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta! response:	How could you!? I told you there was no need to finish them off!
context: There's no helping some people, huh?\He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off! response:	Those guys couldn't even move.
context: He just left his friends behind.\Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move. response:	It utterly sickens me with how lenient you always are!
context: Sorry, guys, there ain't any Senzu left.\Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are! response:	Why did you let that other one get away?
context: Hey...\A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away? response:	With your strength now, you could have easily disposed of him!
context: A- are you really Goku?\Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him! response:	It appears that you were unable to fully become a Super Saiyan after all.
context: Yeah. I've just been through some incredible training is all.\Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all. response:	Super Saiyan?
context: Vegeta!\How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan? response:	You seem to be proud with how overwhelmingly strong you've become,
context: How could you!? I told you there was no need to finish them off!\Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become, response:	but even so, there's no way you can beat Freeza.
context: Those guys couldn't even move.\It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza. response:	Not unless you make yourself immortal or something.
context: It utterly sickens me with how lenient you always are!\Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something. response:	You have no idea how terrible Freeza is!
context: Why did you let that other one get away?\With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is! response:	I hate to sound like I'm blowing my own horn,
context: With your strength now, you could have easily disposed of him!\It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn, response:	but I think I've become a lot stronger.
context: It appears that you were unable to fully become a Super Saiyan after all.\Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger. response:	Even so, you say that there's no way I can defeat this Freeza guy?
context: Super Saiyan?\You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy? response:	That's right. If you plan on fighting him, then brace yourself.
context: You seem to be proud with how overwhelmingly strong you've become,\but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself. response:	Freeza's strength goes far beyond anything you can even imagine.
context: but even so, there's no way you can beat Freeza.\Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine. response:	A- are you sure you're not exaggerating a little bit?
context: Not unless you make yourself immortal or something.\You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit? response:	I mean, you saw Goku's strength just now, right?
context: You have no idea how terrible Freeza is!\I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right? response:	Those guys were powerless against him!
context: I hate to sound like I'm blowing my own horn,\but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him! response:	Is there anyone who can beat Goku now?
context: but I think I've become a lot stronger.\Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now? response:	In that case, go ahead and try fighting him.
context: Even so, you say that there's no way I can defeat this Freeza guy?\That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him. response:	What's even worse is that by now,
context: That's right. If you plan on fighting him, then brace yourself.\Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now, response:	Freeza has probably become immortally young with the Dragon Balls.
context: Freeza's strength goes far beyond anything you can even imagine.\A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls. response:	Any way you cut it, there's no way to beat him now.
context: A- are you sure you're not exaggerating a little bit?\I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now. response:	We can only pray that we don't run into him.
context: I mean, you saw Goku's strength just now, right?\Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him. response:	I don't think he's made his wish yet.
context: Those guys were powerless against him!\Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet. response:	W- what? How can you tell!?
context: Is there anyone who can beat Goku now?\In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!? response:	If the Dragon Balls here are the same as the Dragon Balls on Earth,
context: In that case, go ahead and try fighting him.\What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth, response:	then when Shen Long appears, the sky is supposed to get dark, right?
context: What's even worse is that by now,\Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right? response:	But up to now, the sky has remained bright.
context: Freeza has probably become immortally young with the Dragon Balls.\Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright. response:	I don't think it's happened yet.
context: Any way you cut it, there's no way to beat him now.\We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet. response:	S- Shen Long? What is that?
context: We can only pray that we don't run into him.\I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that? response:	W- when you get the Dragon Balls together, does something come out?
context: I don't think he's made his wish yet.\W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out? response:	T- that's it! I've got it! He doesn't know what the password is!
context: W- what? How can you tell!?\If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is! response:	He must think that just gathering all seven Dragon Balls together will grant him his wish.
context: If the Dragon Balls here are the same as the Dragon Balls on Earth,\then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish. response:	A password? You need that too?
context: then when Shen Long appears, the sky is supposed to get dark, right?\But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too? response:	There's still a chance for us to get our wish granted!
context: But up to now, the sky has remained bright.\I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted! response:	Oh, yeah!
context: I don't think it's happened yet.\S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah! response:	Hey, Gohan! We still might be able to bring our dead friends back to life!
context: S- Shen Long? What is that?\W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life! response:	Hooray!
context: W- when you get the Dragon Balls together, does something come out?\T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray! response:	Isn't that great, Gohan?
context: T- that's it! I've got it! He doesn't know what the password is!\He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan? response:	Yeah!
context: He must think that just gathering all seven Dragon Balls together will grant him his wish.\A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan?\Yeah! response:	Yay! We're saved!
context: A password? You need that too?\There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan?\Yeah!\Yay! We're saved! response:	Goku, that means we have to get the Dragon Balls back, huh?
context: There's still a chance for us to get our wish granted!\Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan?\Yeah!\Yay! We're saved!\Goku, that means we have to get the Dragon Balls back, huh? response:	That's right.
context: Oh, yeah!\Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan?\Yeah!\Yay! We're saved!\Goku, that means we have to get the Dragon Balls back, huh?\That's right. response:	S - Shen Long...
context: Hey, Gohan! We still might be able to bring our dead friends back to life!\Hooray!\Isn't that great, Gohan?\Yeah!\Yay! We're saved!\Goku, that means we have to get the Dragon Balls back, huh?\That's right.\S - Shen Long... response:	To think that these things can grant any wish...
context: Hooray!\Isn't that great, Gohan?\Yeah!\Yay! We're saved!\Goku, that means we have to get the Dragon Balls back, huh?\That's right.\S - Shen Long...\To think that these things can grant any wish... response:	After Freeza- sama gets the password from the Namekians,
context: Isn't that great, Gohan?\Yeah!\Yay! We're saved!\Goku, that means we have to get the Dragon Balls back, huh?\That's right.\S - Shen Long...\To think that these things can grant any wish...\After Freeza- sama gets the password from the Namekians, response:	he'll be able to obtain eternal life...
