context: We have an update on the Neo Hundred, response:	who are believed to be behind the destruction of
context: What're you all doing?\There are still government buildings left standing.\Who are you?\Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity! response:	Nice.
context: There are still government buildings left standing.\Who are you?\Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity!\Nice. response:	But don't you get tired when you use the CROWDS ability?
context: Who are you?\Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability? response:	I agree.
context: Are you Future GALAX-san?\No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability?\I agree. response:	Yeah, definitely.
context: No one's really listening to you, though.\Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely. response:	I want one that doesn't make me tired next time.
context: Everyone has things they'd rather do.\Damn it...\I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely.\I want one that doesn't make me tired next time. response:	Yeah, seriously.
context: Damn it...\I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously. response:	Yeah.
context: I wanna do... Oh, abduct a celebrity!\Nice.\But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah. response:	Totally agree.
context: Nice.\But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah.\Totally agree. response:	If the Neo Hundred can't do it,
context: But don't you get tired when you use the CROWDS ability?\I agree.\Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah.\Totally agree.\If the Neo Hundred can't do it, response:	the world's seriously not gonna change.
context: I agree.\Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah.\Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change. response:	The Neo Hundred's a lame-ass.
context: Yeah, definitely.\I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah.\Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass. response:	I'll go help with land-mine removal.
context: I want one that doesn't make me tired next time.\Yeah, seriously.\Yeah.\Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal. response:	Maybe they really don't care what they do...
context: Yeah, seriously.\Yeah.\Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do... response:	Liar, you hypocrite!
context: Yeah.\Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite! response:	I wish there'd be an even more awesome festival...
context: Totally agree.\If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival... response:	An even more awesome festival...
context: If the Neo Hundred can't do it,\the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival... response:	There must be something...
context: the world's seriously not gonna change.\The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something... response:	Something more.
context: The Neo Hundred's a lame-ass.\I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something...\Something more. response:	X, what do you think?
context: I'll go help with land-mine removal.\Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something...\Something more.\X, what do you think? response:	Katze-san!
context: Maybe they really don't care what they do...\Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something...\Something more.\X, what do you think?\Katze-san! response:	Katze-san, where are you?
context: Liar, you hypocrite!\I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something...\Something more.\X, what do you think?\Katze-san!\Katze-san, where are you? response:	Oh, Hajime-tan!
context: I wish there'd be an even more awesome festival...\An even more awesome festival...\There must be something...\Something more.\X, what do you think?\Katze-san!\Katze-san, where are you?\Oh, Hajime-tan! response:	Katze-san, where are you?
context: An even more awesome festival...\There must be something...\Something more.\X, what do you think?\Katze-san!\Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you? response:	Right here!
context: There must be something...\Something more.\X, what do you think?\Katze-san!\Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you?\Right here! response:	What?
context: Something more.\X, what do you think?\Katze-san!\Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you?\Right here!\What? response:	Where?
context: X, what do you think?\Katze-san!\Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you?\Right here!\What?\Where? response:	Oh, I saw your Gatchannel.
context: Katze-san!\Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you?\Right here!\What?\Where?\Oh, I saw your Gatchannel. response:	I like how you're honest, Hajime-tan!
context: Katze-san, where are you?\Oh, Hajime-tan!\Katze-san, where are you?\Right here!\What?\Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan! response:	Thanks.
context: Oh, Hajime-tan!\Katze-san, where are you?\Right here!\What?\Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks. response:	Oh, are you the one controlling the Neo Hundred?
context: Katze-san, where are you?\Right here!\What?\Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred? response:	What, what?
context: Right here!\What?\Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what? response:	I don't know anything about that.
context: What?\Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that. response:	Oh, okay.
context: Where?\Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that.\Oh, okay. response:	Sorry to ask.
context: Oh, I saw your Gatchannel.\I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that.\Oh, okay.\Sorry to ask. response:	But from what I heard,
context: I like how you're honest, Hajime-tan!\Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that.\Oh, okay.\Sorry to ask.\But from what I heard, response:	the CROWDS are people, so you can't attack them.
context: Thanks.\Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that.\Oh, okay.\Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them. response:	I hear they'll just go into a coma.
context: Oh, are you the one controlling the Neo Hundred?\What, what?\I don't know anything about that.\Oh, okay.\Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma. response:	Oh, we've got that covered.
context: What, what?\I don't know anything about that.\Oh, okay.\Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered. response:	Oh?
context: I don't know anything about that.\Oh, okay.\Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered.\Oh? response:	Sounds fun.
context: Oh, okay.\Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered.\Oh?\Sounds fun. response:	I wonder what you'll do next.
context: Sorry to ask.\But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered.\Oh?\Sounds fun.\I wonder what you'll do next. response:	Yeah, I want you to look forward to it.
context: But from what I heard,\the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered.\Oh?\Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it. response:	The lord of the pinnacle of folly
context: the CROWDS are people, so you can't attack them.\I hear they'll just go into a coma.\Oh, we've got that covered.\Oh?\Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly response:	shall descend upon the promised land.
context: I hear they'll just go into a coma.\Oh, we've got that covered.\Oh?\Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land. response:	What? A poem?
context: Oh, we've got that covered.\Oh?\Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem? response:	What's it mean?
context: Oh?\Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem?\What's it mean? response:	We'll continue this online.
context: Sounds fun.\I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem?\What's it mean?\We'll continue this online. response:	Walky walk!
context: I wonder what you'll do next.\Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem?\What's it mean?\We'll continue this online.\Walky walk! response:	I couldn't see Katze-san again.
context: Yeah, I want you to look forward to it.\The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem?\What's it mean?\We'll continue this online.\Walky walk!\I couldn't see Katze-san again. response:	I wonder why.
context: The lord of the pinnacle of folly\shall descend upon the promised land.\What? A poem?\What's it mean?\We'll continue this online.\Walky walk!\I couldn't see Katze-san again.\I wonder why. response:	Woot!
context: shall descend upon the promised land.\What? A poem?\What's it mean?\We'll continue this online.\Walky walk!\I couldn't see Katze-san again.\I wonder why.\Woot! response:	Hajime-tan is looking everywhere for me.
context: What? A poem?\What's it mean?\We'll continue this online.\Walky walk!\I couldn't see Katze-san again.\I wonder why.\Woot!\Hajime-tan is looking everywhere for me. response:	So cute!
context: What's it mean?\We'll continue this online.\Walky walk!\I couldn't see Katze-san again.\I wonder why.\Woot!\Hajime-tan is looking everywhere for me.\So cute! response:	So cute!
context: We'll continue this online.\Walky walk!\I couldn't see Katze-san again.\I wonder why.\Woot!\Hajime-tan is looking everywhere for me.\So cute!\So cute! response:	I wanna kiss her!
context: Walky walk!\I couldn't see Katze-san again.\I wonder why.\Woot!\Hajime-tan is looking everywhere for me.\So cute!\So cute!\I wanna kiss her! response:	Rui.
context: I couldn't see Katze-san again.\I wonder why.\Woot!\Hajime-tan is looking everywhere for me.\So cute!\So cute!\I wanna kiss her!\Rui. response:	What is it?
context: I wonder why.\Woot!\Hajime-tan is looking everywhere for me.\So cute!\So cute!\I wanna kiss her!\Rui.\What is it? response:	It is a beautiful sunset.
context: Woot!\Hajime-tan is looking everywhere for me.\So cute!\So cute!\I wanna kiss her!\Rui.\What is it?\It is a beautiful sunset. response:	So it is!
context: Hajime-tan is looking everywhere for me.\So cute!\So cute!\I wanna kiss her!\Rui.\What is it?\It is a beautiful sunset.\So it is! response:	It looks just like the scarlet blood that'll be
context: So cute!\So cute!\I wanna kiss her!\Rui.\What is it?\It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be response:	gushing through this planet!
context: So cute!\I wanna kiss her!\Rui.\What is it?\It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be\gushing through this planet! response:	It does not look that way to me.
context: I wanna kiss her!\Rui.\What is it?\It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me. response:	It is very unfortunate...
context: Rui.\What is it?\It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me.\It is very unfortunate... response:	Oh, it's already out of juice.
context: What is it?\It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice. response:	Charge it up for me.
context: It is a beautiful sunset.\So it is!\It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me. response:	Yes, sir.
context: So it is!\It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me.\Yes, sir. response:	I'm so unlucky.
context: It looks just like the scarlet blood that'll be\gushing through this planet!\It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me.\Yes, sir.\I'm so unlucky. response:	The CROWDS, the Neo Hundred...
context: gushing through this planet!\It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me.\Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred... response:	Update the world, my ass.
context: It does not look that way to me.\It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me.\Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass. response:	Found fuel!
context: It is very unfortunate...\Oh, it's already out of juice.\Charge it up for me.\Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel! response:	What can they do?
context: Oh, it's already out of juice.\Charge it up for me.\Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel!\What can they do? response:	Sugayama Escaping to Tachikawa!!
context: Charge it up for me.\Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!! response:	Even though they now have power,
context: Yes, sir.\I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power, response:	they only use it for useless things.
context: I'm so unlucky.\The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things. response:	Declaration of War to Neo Hundred!!
context: The CROWDS, the Neo Hundred...\Update the world, my ass.\Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!! response:	They're just a pack of losers in denial!
context: Update the world, my ass.\Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial! response:	Oh, where are we headed?
context: Found fuel!\What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed? response:	The Tachikawa Wide-Area Disaster Management Base, sir.
context: What can they do?\Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir. response:	Okay, Tachikawa's finished!
context: Sugayama Escaping to Tachikawa!!\Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished! response:	My dear Neo Hundred,
context: Even though they now have power,\they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred, response:	the final boss of this nation has appeared, at last.
context: they only use it for useless things.\Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last. response:	Let us assemble in Tachikawa for the final battle.
context: Declaration of War to Neo Hundred!!\They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle. response:	To the one who succeeds in capturing Prime Minister Sugayama,
context: They're just a pack of losers in denial!\Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama, response:	I will present the ultra-rare CROWDS version 2.0,
context: Oh, where are we headed?\The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0, response:	which will not tire its user out, no matter how long it is used.
context: The Tachikawa Wide-Area Disaster Management Base, sir.\Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used. response:	Really?
context: Okay, Tachikawa's finished!\My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really? response:	I totally want that.
context: My dear Neo Hundred,\the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really?\I totally want that. response:	Just wait, Sugayama.
context: the final boss of this nation has appeared, at last.\Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really?\I totally want that.\Just wait, Sugayama. response:	But why Tachikawa?
context: Let us assemble in Tachikawa for the final battle.\To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really?\I totally want that.\Just wait, Sugayama.\But why Tachikawa? response:	Because the National Diet Building,
context: To the one who succeeds in capturing Prime Minister Sugayama,\I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really?\I totally want that.\Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building, response:	the Prime Minister's office,
context: I will present the ultra-rare CROWDS version 2.0,\which will not tire its user out, no matter how long it is used.\Really?\I totally want that.\Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office, response:	and the Ministry of Defense were all destroyed.
context: which will not tire its user out, no matter how long it is used.\Really?\I totally want that.\Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed. response:	The Prime Minister is evacuating
context: Really?\I totally want that.\Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating response:	to the Tachikawa Wide-Area Disaster Management Base.
context: I totally want that.\Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base. response:	What's going on?
context: Just wait, Sugayama.\But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on? response:	What's wrong, Papa?
context: But why Tachikawa?\Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa? response:	The number you dialed is no longer in use.
context: Because the National Diet Building,\the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa?\The number you dialed is no longer in use. response:	Damn it.
context: the Prime Minister's office,\and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa?\The number you dialed is no longer in use.\Damn it. response:	Mana, we're going home.
context: and the Ministry of Defense were all destroyed.\The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa?\The number you dialed is no longer in use.\Damn it.\Mana, we're going home. response:	Hajime-tan!
context: The Prime Minister is evacuating\to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa?\The number you dialed is no longer in use.\Damn it.\Mana, we're going home.\Hajime-tan! response:	Hajime-tan!
context: to the Tachikawa Wide-Area Disaster Management Base.\What's going on?\What's wrong, Papa?\The number you dialed is no longer in use.\Damn it.\Mana, we're going home.\Hajime-tan!\Hajime-tan! response:	Oh, Katze-san?
context: What's going on?\What's wrong, Papa?\The number you dialed is no longer in use.\Damn it.\Mana, we're going home.\Hajime-tan!\Hajime-tan!\Oh, Katze-san? response:	What's wrong?
context: What's wrong, Papa?\The number you dialed is no longer in use.\Damn it.\Mana, we're going home.\Hajime-tan!\Hajime-tan!\Oh, Katze-san?\What's wrong? response:	Hey, Hajime-tan.
context: The number you dialed is no longer in use.\Damn it.\Mana, we're going home.\Hajime-tan!\Hajime-tan!\Oh, Katze-san?\What's wrong?\Hey, Hajime-tan. response:	I think Tachikawa's gonna be in crisis.
context: Damn it.\Mana, we're going home.\Hajime-tan!\Hajime-tan!\Oh, Katze-san?\What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis. response:	Looks like the destruction of Earth is gonna start in Tachikawa.
context: Mana, we're going home.\Hajime-tan!\Hajime-tan!\Oh, Katze-san?\What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa. response:	I thought that might be your move.
context: Hajime-tan!\Hajime-tan!\Oh, Katze-san?\What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move. response:	You ready?
context: Hajime-tan!\Oh, Katze-san?\What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready? response:	You still look like you're having fun.
context: Oh, Katze-san?\What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready?\You still look like you're having fun. response:	I am!
context: What's wrong?\Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready?\You still look like you're having fun.\I am! response:	I'm bursting with excitement!
context: Hey, Hajime-tan.\I think Tachikawa's gonna be in crisis.\Looks like the destruction of Earth is gonna start in Tachikawa.\I thought that might be your move.\You ready?\You still look like you're having fun.\I am!\I'm bursting with excitement! response:	Wait! Where are you, Katze-san?
