context: The beach! response:	Take this!
context: Y-Y-You balut!\I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business. response:	Ohana!
context: I'm never gonna escape that word, am I?\Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana! response:	Put her in a full nelson!
context: Aren't you two going to swim?\Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana!\Put her in a full nelson! response:	Roger that!
context: Minchi doesn't wanna get sun-\T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana!\Put her in a full nelson!\Roger that! response:	Now, stand!
context: T-That's so cute!\That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana!\Put her in a full nelson!\Roger that!\Now, stand! response:	What's your problem?!
context: That's such a waste, Tsurugi.\We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana!\Put her in a full nelson!\Roger that!\Now, stand!\What's your problem?! response:	Heave-ho!
context: We didn't travel all this way on this field trip for nothing, you know.\Mind your own business.\Ohana!\Put her in a full nelson!\Roger that!\Now, stand!\What's your problem?!\Heave-ho! response:	B-Balut-
context: Mind your own business.\Ohana!\Put her in a full nelson!\Roger that!\Now, stand!\What's your problem?!\Heave-ho!\B-Balut- response:	Episode 14 This is My Way of Life
context: Ohana!\Put her in a full nelson!\Roger that!\Now, stand!\What's your problem?!\Heave-ho!\B-Balut-\Episode 14 This is My Way of Life response:	Kourin High School Field Trip Group
context: Put her in a full nelson!\Roger that!\Now, stand!\What's your problem?!\Heave-ho!\B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group response:	Seriously? You're gonna try asking her out again?
context: Roger that!\Now, stand!\What's your problem?!\Heave-ho!\B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again? response:	Yeah.
context: Now, stand!\What's your problem?!\Heave-ho!\B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah. response:	I just can't give up on Tsurugi.
context: What's your problem?!\Heave-ho!\B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi. response:	I see...
context: Heave-ho!\B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi.\I see... response:	Dear Lord...
context: B-Balut-\Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi.\I see...\Dear Lord... response:	Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table
context: Episode 14 This is My Way of Life\Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi.\I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table response:	Setting a table...
context: Kourin High School Field Trip Group\Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi.\I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table... response:	What else...
context: Seriously? You're gonna try asking her out again?\Yeah.\I just can't give up on Tsurugi.\I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else... response:	The correct posture while answering a customer's questions!
context: Yeah.\I just can't give up on Tsurugi.\I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else...\The correct posture while answering a customer's questions! response:	Spirited, aren't you?
context: I just can't give up on Tsurugi.\I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else...\The correct posture while answering a customer's questions!\Spirited, aren't you? response:	We only finished working yesterday.
context: I see...\Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else...\The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday. response:	It's my first time visiting another hot spring inn.
context: Dear Lord...\Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else...\The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn. response:	I'm just so excited!
context: Things to learn: Welcoming the customer upon their arrival Escorting them to their rooms Setting a table\Setting a table...\What else...\The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited! response:	I'm going to learn so much from them!
context: Setting a table...\What else...\The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them! response:	Thank you! I'll be here all week!
context: What else...\The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week! response:	Next up is Ohana!
context: The correct posture while answering a customer's questions!\Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana! response:	What?
context: Spirited, aren't you?\We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana!\What? response:	I haven't heard you sing yet.
context: We only finished working yesterday.\It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana!\What?\I haven't heard you sing yet. response:	That's true!
context: It's my first time visiting another hot spring inn.\I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana!\What?\I haven't heard you sing yet.\That's true! response:	We've never been to karaoke together.
context: I'm just so excited!\I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana!\What?\I haven't heard you sing yet.\That's true!\We've never been to karaoke together. response:	I wanna hear you sing!
context: I'm going to learn so much from them!\Thank you! I'll be here all week!\Next up is Ohana!\What?\I haven't heard you sing yet.\That's true!\We've never been to karaoke together.\I wanna hear you sing! response:	Here.
context: Thank you! I'll be here all week!\Next up is Ohana!\What?\I haven't heard you sing yet.\That's true!\We've never been to karaoke together.\I wanna hear you sing!\Here. response:	All right!
context: Next up is Ohana!\What?\I haven't heard you sing yet.\That's true!\We've never been to karaoke together.\I wanna hear you sing!\Here.\All right! response:	I'll sing Grey Heron Romance: Wintry Landscape
context: What?\I haven't heard you sing yet.\That's true!\We've never been to karaoke together.\I wanna hear you sing!\Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape response:	Why on earth are you singing enka?
context: I haven't heard you sing yet.\That's true!\We've never been to karaoke together.\I wanna hear you sing!\Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka? response:	A customer taught me this the other day!
context: That's true!\We've never been to karaoke together.\I wanna hear you sing!\Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day! response:	You're so funny, Ohana!
context: We've never been to karaoke together.\I wanna hear you sing!\Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana! response:	This song goes straight to my heart.
context: I wanna hear you sing!\Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart. response:	Oh, Mister Grey Heron, why do you cry?
context: Here.\All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry? response:	It's bigger than Kissuiso...
context: All right!\I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso... response:	Of course it is.
context: I'll sing Grey Heron Romance: Wintry Landscape\Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is. response:	Just look at how many there are of us alone.
context: Why on earth are you singing enka?\A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone. response:	Thank you for coming all this way.
context: A customer taught me this the other day!\You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way. response:	Thank you.
context: You're so funny, Ohana!\This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you. response:	Please, come this way.
context: This song goes straight to my heart.\Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you.\Please, come this way. response:	Allow me to show you to your rooms.
context: Oh, Mister Grey Heron, why do you cry?\It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you.\Please, come this way.\Allow me to show you to your rooms. response:	This feels so odd...
context: It's bigger than Kissuiso...\Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you.\Please, come this way.\Allow me to show you to your rooms.\This feels so odd... response:	What?
context: Of course it is.\Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you.\Please, come this way.\Allow me to show you to your rooms.\This feels so odd...\What? response:	Usually, I'm the one escorting the customers,
context: Just look at how many there are of us alone.\Thank you for coming all this way.\Thank you.\Please, come this way.\Allow me to show you to your rooms.\This feels so odd...\What?\Usually, I'm the one escorting the customers, response:	so I'm feeling a little uneasy.
context: Thank you for coming all this way.\Thank you.\Please, come this way.\Allow me to show you to your rooms.\This feels so odd...\What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy. response:	Come on, we're the customers here!
context: Thank you.\Please, come this way.\Allow me to show you to your rooms.\This feels so odd...\What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here! response:	What's with those nails?!
context: Please, come this way.\Allow me to show you to your rooms.\This feels so odd...\What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?! response:	Didn't you read the manual?!
context: Allow me to show you to your rooms.\This feels so odd...\What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?! response:	Employees must have short, trimmed nails
context: This feels so odd...\What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails response:	and must not wear any nail polish!
context: What?\Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish! response:	What? But...
context: Usually, I'm the one escorting the customers,\so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish!\What? But... response:	Remove that stuff immediately!
context: so I'm feeling a little uneasy.\Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish!\What? But...\Remove that stuff immediately! response:	You're also wearing too much make up!
context: Come on, we're the customers here!\What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish!\What? But...\Remove that stuff immediately!\You're also wearing too much make up! response:	My bad.
context: What's with those nails?!\Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish!\What? But...\Remove that stuff immediately!\You're also wearing too much make up!\My bad. response:	You mean I'm sorry!
context: Didn't you read the manual?!\Employees must have short, trimmed nails\and must not wear any nail polish!\What? But...\Remove that stuff immediately!\You're also wearing too much make up!\My bad.\You mean I'm sorry! response:	What's the point of him yelling?
context: Employees must have short, trimmed nails\and must not wear any nail polish!\What? But...\Remove that stuff immediately!\You're also wearing too much make up!\My bad.\You mean I'm sorry!\What's the point of him yelling? response:	I'm glad he's not my boss...
context: and must not wear any nail polish!\What? But...\Remove that stuff immediately!\You're also wearing too much make up!\My bad.\You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss... response:	Hey, it's Yosuke!
context: What? But...\Remove that stuff immediately!\You're also wearing too much make up!\My bad.\You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke! response:	Yosuke! Howdy!
context: Remove that stuff immediately!\You're also wearing too much make up!\My bad.\You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy! response:	Yuina?!
context: You're also wearing too much make up!\My bad.\You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?! response:	It really is you!
context: My bad.\You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?!\It really is you! response:	What a surprise!
context: You mean I'm sorry!\What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?!\It really is you!\What a surprise! response:	I never imagined that the group
context: What's the point of him yelling?\I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?!\It really is you!\What a surprise!\I never imagined that the group response:	staying here today was from your school!
context: I'm glad he's not my boss...\Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?!\It really is you!\What a surprise!\I never imagined that the group\staying here today was from your school! response:	You're not the only one who's surprised!
context: Hey, it's Yosuke!\Yosuke! Howdy!\Yuina?!\It really is you!\What a surprise!\I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised! response:	Just look at your outfit!
context: Yosuke! Howdy!\Yuina?!\It really is you!\What a surprise!\I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit! response:	Oh, you mean this?
context: Yuina?!\It really is you!\What a surprise!\I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this? response:	Last year, I was promoted to head clerk.
context: It really is you!\What a surprise!\I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk. response:	But don't get me wrong. I've still got a lot to learn.
context: What a surprise!\I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn. response:	Looks like you were born to be the heir of this inn!
context: I never imagined that the group\staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn! response:	I'm so proud of you!
context: staying here today was from your school!\You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you! response:	Who the hell is he?
context: You're not the only one who's surprised!\Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he? response:	He's calling the princess by her first name!
context: Just look at your outfit!\Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name! response:	Y-Yuina!
context: Oh, you mean this?\Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name!\Y-Yuina! response:	Sorry, I'll be right there!
context: Last year, I was promoted to head clerk.\But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there! response:	Well then, we're in your care, Yosuke!
context: But don't get me wrong. I've still got a lot to learn.\Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke! response:	No problem!
context: Looks like you were born to be the heir of this inn!\I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem! response:	So... who was he?
context: I'm so proud of you!\Who the hell is he?\He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem!\So... who was he? response:	Yosuke Hiwatari.
context: Who the hell is he?\He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem!\So... who was he?\Yosuke Hiwatari. response:	A distant relative, and the heir to this inn.
context: He's calling the princess by her first name!\Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem!\So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn. response:	Oh, he's also my fiance.
context: Y-Yuina!\Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem!\So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance. response:	I see...
context: Sorry, I'll be right there!\Well then, we're in your care, Yosuke!\No problem!\So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see... response:	F-
context: Well then, we're in your care, Yosuke!\No problem!\So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see...\F- response:	F-
context: No problem!\So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see...\F-\F- response:	Fiance?!
context: So... who was he?\Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see...\F-\F-\Fiance?! response:	Here I go!
context: Yosuke Hiwatari.\A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see...\F-\F-\Fiance?!\Here I go! response:	Her family runs a long-established, first-class inn.
context: A distant relative, and the heir to this inn.\Oh, he's also my fiance.\I see...\F-\F-\Fiance?!\Here I go!\Her family runs a long-established, first-class inn. response:	She's the idol of our class, and has a great body.
context: Oh, he's also my fiance.\I see...\F-\F-\Fiance?!\Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body. response:	She's also got a fiance.
context: I see...\F-\F-\Fiance?!\Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance. response:	I'm also... of a Madam...
context: F-\F-\Fiance?!\Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam... response:	yet I'm nothing like her...
context: F-\Fiance?!\Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her... response:	But the inn your grandmother runs is in no way inferior to hers.
context: Fiance?!\Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers. response:	But that does mean that
context: Here I go!\Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that response:	in terms of everything else I've just listed, I am inferior.
context: Her family runs a long-established, first-class inn.\She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior. response:	Hey, check that out!
context: She's the idol of our class, and has a great body.\She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out! response:	You're kidding?!
context: She's also got a fiance.\I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?! response:	What's going on?
context: I'm also... of a Madam...\yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?!\What's going on? response:	He's probably gonna ask her out.
context: yet I'm nothing like her...\But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?!\What's going on?\He's probably gonna ask her out. response:	She has a fiance.
context: But the inn your grandmother runs is in no way inferior to hers.\But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?!\What's going on?\He's probably gonna ask her out.\She has a fiance. response:	What's he thinking?
context: But that does mean that\in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?!\What's going on?\He's probably gonna ask her out.\She has a fiance.\What's he thinking? response:	If you like someone,
context: in terms of everything else I've just listed, I am inferior.\Hey, check that out!\You're kidding?!\What's going on?\He's probably gonna ask her out.\She has a fiance.\What's he thinking?\If you like someone, response:	you shouldn't allow yourself to be asked by anyone else.
context: Hey, check that out!\You're kidding?!\What's going on?\He's probably gonna ask her out.\She has a fiance.\What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else. response:	Is that because you don't want to make Tohru sad?
context: You're kidding?!\What's going on?\He's probably gonna ask her out.\She has a fiance.\What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad? response:	I'm not talking about myself here!
context: What's going on?\He's probably gonna ask her out.\She has a fiance.\What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here! response:	Can I talk to you for a sec, Tsurugi?
context: He's probably gonna ask her out.\She has a fiance.\What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi? response:	Hey, look over there!
context: She has a fiance.\What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there! response:	Is someone gonna ask Tsurugi out too?
context: What's he thinking?\If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too? response:	I'm heading back to the inn.
context: If you like someone,\you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn. response:	Wait, Tsurugi!
context: you shouldn't allow yourself to be asked by anyone else.\Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn.\Wait, Tsurugi! response:	No.
context: Is that because you don't want to make Tohru sad?\I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn.\Wait, Tsurugi!\No. response:	My feelings won't change! I like you!
context: I'm not talking about myself here!\Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn.\Wait, Tsurugi!\No.\My feelings won't change! I like you! response:	Are you going out with the guy you spoke about last time?!
context: Can I talk to you for a sec, Tsurugi?\Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn.\Wait, Tsurugi!\No.\My feelings won't change! I like you!\Are you going out with the guy you spoke about last time?! response:	If you're not, then...
context: Hey, look over there!\Is someone gonna ask Tsurugi out too?\I'm heading back to the inn.\Wait, Tsurugi!\No.\My feelings won't change! I like you!\Are you going out with the guy you spoke about last time?!\If you're not, then... response:	You balut!
