context: What's going on? response:	W-Who are you?!
context: We all are still in the darkness\Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day response:	The words of our oath
context: Right now I just\Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath response:	Will make a miracle happen
context: Want to touch you deep in your heart\And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen response:	My pounding heart, take off now!
context: And give you all of my overflowing passion\I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now! response:	My wish can fly high, high up
context: I spread out my wings\Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up response:	Feather 5: The Water Sekirei
context: Toward the future of our dreams\On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei response:	Feather 5: The Water Sekirei I'm home!
context: On them are engraved\The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home! response:	I'm home!
context: The feeling you gave me that day\The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home! response:	Oh, no! Your clothes are all torn up.
context: The words of our oath\Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up. response:	Something fell down from the sky while I was shopping.
context: Will make a miracle happen\My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping. response:	Did you get hurt?
context: My pounding heart, take off now!\My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt? response:	No, and I also finished shopping... Ah!
context: My wish can fly high, high up\Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah! response:	I was in such a hurry I forgot to buy daikon radishes and cabbage.
context: Feather 5: The Water Sekirei\Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage. response:	I'm going right now!
context: Feather 5: The Water Sekirei I'm home!\I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now! response:	Musubi-san, that look isn't modest.
context: I'm home!\Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest. response:	You don't need to go shopping, so go take a bath and change your clothes.
context: Oh, no! Your clothes are all torn up.\Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes. response:	Minato Sahashi, 19 years old.
context: Something fell down from the sky while I was shopping.\Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old. response:	You're part of a family of four with your mother, sister, and grandmother.
context: Did you get hurt?\No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother. response:	No data is available about your father.
context: No, and I also finished shopping... Ah!\I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father. response:	You got top grades all through elementary,
context: I was in such a hurry I forgot to buy daikon radishes and cabbage.\I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary, response:	junior high and high school in your hometown.
context: I'm going right now!\Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown. response:	But you never do yourself justice in critical situations,
context: Musubi-san, that look isn't modest.\You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations, response:	and now you've failed the university entrance exams twice.
context: You don't need to go shopping, so go take a bath and change your clothes.\Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice. response:	Why do you know about me?
context: Minato Sahashi, 19 years old.\You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me? response:	In short, you're what we call a wimp.
context: You're part of a family of four with your mother, sister, and grandmother.\No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp. response:	But you are my Ashikabi.
context: No data is available about your father.\You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi. response:	Please cool down my hot body with your DNA.
context: You got top grades all through elementary,\junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA. response:	Huh? Is there anybody in the bath?
context: junior high and high school in your hometown.\But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath? response:	Minato-san!
context: But you never do yourself justice in critical situations,\and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san! response:	Musubi-chan!
context: and now you've failed the university entrance exams twice.\Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan! response:	Wow! I can wash your back.
context: Why do you know about me?\In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan!\Wow! I can wash your back. response:	No, um, actually, uh...
context: In short, you're what we call a wimp.\But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh... response:	Huh? Who is that?
context: But you are my Ashikabi.\Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that? response:	Here you are, my enemy.
context: Please cool down my hot body with your DNA.\Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy. response:	You came back 300 seconds earlier than I expected.
context: Huh? Is there anybody in the bath?\Minato-san!\Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected. response:	Quite impressive... but this is within my calculation!
context: Minato-san!\Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation! response:	Where the hell is that coming from?!
context: Musubi-chan!\Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?! response:	Musubi-chan!
context: Wow! I can wash your back.\No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan! response:	Special synthetic fiber net made by MBI.
context: No, um, actually, uh...\Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI. response:	It's impossible to sever.
context: Huh? Who is that?\Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever. response:	I can't get out!
context: Here you are, my enemy.\You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out! response:	I've contained the obstacle, so...
context: You came back 300 seconds earlier than I expected.\Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out!\I've contained the obstacle, so... response:	Now let's have love's intercourse!
context: Quite impressive... but this is within my calculation!\Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse! response:	No!
context: Where the hell is that coming from?!\Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse!\No! response:	You don't need to be scared like that.
context: Musubi-chan!\Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse!\No!\You don't need to be scared like that. response:	I'll experiment on you gently.
context: Special synthetic fiber net made by MBI.\It's impossible to sever.\I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse!\No!\You don't need to be scared like that.\I'll experiment on you gently. response:	I was wondering why the bath was noisy, so I came to take a look.
context: It's impossible to sever.\I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse!\No!\You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look. response:	Illicit sexual relations in the bath are prohibited in Maison Izumo...
context: I can't get out!\I've contained the obstacle, so...\Now let's have love's intercourse!\No!\You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo... response:	Matsu-san...
context: I've contained the obstacle, so...\Now let's have love's intercourse!\No!\You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san... response:	Please let me introduce myself. My name is Matsu.
context: Now let's have love's intercourse!\No!\You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu. response:	She's also a resident of Maison Izumo, and lives in room 201.
context: No!\You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201. response:	Room 201?
context: You don't need to be scared like that.\I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201? response:	Well, just like this.
context: I'll experiment on you gently.\I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this. response:	Th-There was a trick door?
context: I was wondering why the bath was noisy, so I came to take a look.\Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this.\Th-There was a trick door? response:	Then, the ghost Ku-chan saw was...
context: Illicit sexual relations in the bath are prohibited in Maison Izumo...\Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was... response:	Yes, that was me. I'm living in hiding.
context: Matsu-san...\Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding. response:	How come?
context: Please let me introduce myself. My name is Matsu.\She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come? response:	Ah... some things happened when I left MBI, so...
context: She's also a resident of Maison Izumo, and lives in room 201.\Room 201?\Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so... response:	To tell the truth, I'm being chased.
context: Room 201?\Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased. response:	Being chased?
context: Well, just like this.\Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased? response:	As I told you before...
context: Th-There was a trick door?\Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased?\As I told you before... response:	My husband never refused anyone who came.
context: Then, the ghost Ku-chan saw was...\Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased?\As I told you before...\My husband never refused anyone who came. response:	This door was also made by him as a lark.
context: Yes, that was me. I'm living in hiding.\How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased?\As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark. response:	As a matter of fact, my husband was a part of MBI...
context: How come?\Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased?\As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI... response:	He got acquainted with Matsu-san because of that.
context: Ah... some things happened when I left MBI, so...\To tell the truth, I'm being chased.\Being chased?\As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that. response:	I'm sorry I didn't tell you.
context: To tell the truth, I'm being chased.\Being chased?\As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you. response:	Oh, not at all!
context: Being chased?\As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all! response:	But since she caused such trouble...
context: As I told you before...\My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble... response:	I may have to take steps...
context: My husband never refused anyone who came.\This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble...\I may have to take steps... response:	Kick out, Kick out, Kick out... I may have to take steps...
context: This door was also made by him as a lark.\As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps... response:	I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!
context: As a matter of fact, my husband was a part of MBI...\He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan! response:	Do you really mean it?
context: He got acquainted with Matsu-san because of that.\I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it? response:	Yes, I really, really mean it.
context: I'm sorry I didn't tell you.\Oh, not at all!\But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it. response:	Everyone, I'm very sorry.
context: Oh, not at all!\But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry. response:	Now, please excuse me...
context: But since she caused such trouble...\I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me... response:	Ghost...
context: I may have to take steps...\Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me...\Ghost... response:	How did it go?
context: Kick out, Kick out, Kick out... I may have to take steps...\I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me...\Ghost...\How did it go? response:	Me too. I looked and looked, but... To think some ordinary passerby took him!
context: I'm sorry! I'm sorry! I will never do it again! Forgive me, Miya-tan!\Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me...\Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him! response:	What can I say to Master?
context: Do you really mean it?\Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me...\Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master? response:	A Sekirei and Ashikabi led by their fate properly...
context: Yes, I really, really mean it.\Everyone, I'm very sorry.\Now, please excuse me...\Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly... response:	are brought together even though they don't intend to be.
context: Everyone, I'm very sorry.\Now, please excuse me...\Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be. response:	You are...
context: Now, please excuse me...\Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are... response:	That's why their bond is valuable.
context: Ghost...\How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are...\That's why their bond is valuable. response:	Ignoring that and making Sekireis emerge like they're some collection
context: How did it go?\Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection response:	is nothing but bad taste!
context: Me too. I looked and looked, but... To think some ordinary passerby took him!\What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste! response:	Mind your own business!
context: What can I say to Master?\A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business! response:	I know that you are a Sekirei not yet emerged!
context: A Sekirei and Ashikabi led by their fate properly...\are brought together even though they don't intend to be.\You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged! response:	Do it, Akitsu!
context: are brought together even though they don't intend to be.\You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu! response:	The discarded number... you again.
context: You are...\That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again. response:	I missed number 107, but maybe I can take you instead.
context: That's why their bond is valuable.\Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead. response:	Master will force you to emerge
context: Ignoring that and making Sekireis emerge like they're some collection\is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge response:	and become his submissive Sekirei!
context: is nothing but bad taste!\Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei! response:	Good grief...
context: Mind your own business!\I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei!\Good grief... response:	You cannot beat me.
context: I know that you are a Sekirei not yet emerged!\Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei!\Good grief...\You cannot beat me. response:	I'll let you owe me one for today.
context: Do it, Akitsu!\The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei!\Good grief...\You cannot beat me.\I'll let you owe me one for today. response:	Akitsu!
context: The discarded number... you again.\I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei!\Good grief...\You cannot beat me.\I'll let you owe me one for today.\Akitsu! response:	Wait!
context: I missed number 107, but maybe I can take you instead.\Master will force you to emerge\and become his submissive Sekirei!\Good grief...\You cannot beat me.\I'll let you owe me one for today.\Akitsu!\Wait! response:	I brought him to my room on impulse...
context: Master will force you to emerge\and become his submissive Sekirei!\Good grief...\You cannot beat me.\I'll let you owe me one for today.\Akitsu!\Wait!\I brought him to my room on impulse... response:	What should I do?
context: and become his submissive Sekirei!\Good grief...\You cannot beat me.\I'll let you owe me one for today.\Akitsu!\Wait!\I brought him to my room on impulse...\What should I do? response:	Man, though, he really is cute...
context: Good grief...\You cannot beat me.\I'll let you owe me one for today.\Akitsu!\Wait!\I brought him to my room on impulse...\What should I do?\Man, though, he really is cute... response:	A small face!
context: You cannot beat me.\I'll let you owe me one for today.\Akitsu!\Wait!\I brought him to my room on impulse...\What should I do?\Man, though, he really is cute...\A small face! response:	Slender hips!
