context: He's taken a real turn for the worse since this morning. response:	I've taken him to a number of doctors, but the cause is still unknown.
context: Yes.\Lately, an awful lot of people have died on the same day of the year they were born...\And there's a rumor going around that it's the work of some disease.\Please take a look.\A funeral?\Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing... response:	Huh?
context: Lately, an awful lot of people have died on the same day of the year they were born...\And there's a rumor going around that it's the work of some disease.\Please take a look.\A funeral?\Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh? response:	In fact, before this child got sick,
context: And there's a rumor going around that it's the work of some disease.\Please take a look.\A funeral?\Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick, response:	two others at the orphanage died due to some unknown medical condition.
context: Please take a look.\A funeral?\Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition. response:	Counting suspicious deaths alone, the total is five now.
context: A funeral?\Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now. response:	All of them were orphans whose birthdays were unknown...
context: Yes...\The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown... response:	Something as absurd as all this...
context: The deceased's ashes are returned to the Abyss together with Eternal Fortune flowers.\That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this... response:	I'd like to think it's just a stupid made-up story, but...
context: That funeral is for someone who passed away from this same thing...\Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but... response:	Hey, you alright now?
context: Huh?\In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now? response:	Yeah...
context: In fact, before this child got sick,\two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah... response:	Where... am I?
context: two others at the orphanage died due to some unknown medical condition.\Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah...\Where... am I? response:	I didn't even do anything.
context: Counting suspicious deaths alone, the total is five now.\All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah...\Where... am I?\I didn't even do anything. response:	What could this possibly mean?
context: All of them were orphans whose birthdays were unknown...\Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah...\Where... am I?\I didn't even do anything.\What could this possibly mean? response:	This boy is so healthy it's hard to believe he even had a fever.
context: Something as absurd as all this...\I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah...\Where... am I?\I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever. response:	At this point, I suppose it is some kind of curse or spell...
context: I'd like to think it's just a stupid made-up story, but...\Hey, you alright now?\Yeah...\Where... am I?\I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell... response:	Which reminds me, there's been something like it before - something completely absurd...
context: Hey, you alright now?\Yeah...\Where... am I?\I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd... response:	The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...
context: Yeah...\Where... am I?\I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse... response:	Longing seizes people more powerfully than poison and more deeply than illness.
context: Where... am I?\I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness. response:	Once it catches hold of you, there is absolutely no escape.
context: I didn't even do anything.\What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape. response:	That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.
context: What could this possibly mean?\This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit. response:	For them, a life without longing is more terrifying than death itself.
context: This boy is so healthy it's hard to believe he even had a fever.\At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself. response:	Daremo ga sakaraezu ni mogutteiku
context: At this point, I suppose it is some kind of curse or spell...\Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku response:	Sono me o tomoshibi yori kagayakasete
context: Which reminds me, there's been something like it before - something completely absurd...\The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete response:	Mezasu saki wa fukaku
context: The mysterious Great Pit of the Netherworld, which is itself referred to as a curse...\Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku response:	Massugu ni mayoikomu
context: Longing seizes people more powerfully than poison and more deeply than illness.\Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu response:	Kuchiaketa naraku no wana
context: Once it catches hold of you, there is absolutely no escape.\That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana response:	Shinjitsu no ato o oikakeyou
context: That is quite a curse, and yet the adventurers all willingly devote themselves to its pursuit.\For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou response:	Ima kotae ga mitsukaru nara zenbu nakushitemo ii
context: For them, a life without longing is more terrifying than death itself.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii response:	Sono koe o hanasanai youni kodama ga mada hibiiteru
context: Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru response:	Rashinban wa zutto
context: Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto response:	Yami o sashita mama
context: Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama response:	Nigeba no nai
context: Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai response:	Hou e
context: Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e response:	Sore ga noroi demo
context: Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo response:	Kodou wa honmono
context: Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono response:	Nidoto akogare wa tomaranai
context: Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai response:	It wasn't this place...
context: Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place... response:	Was it the scenery of somewhere similar?
context: Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar? response:	Also, that voice...
context: Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice... response:	If I'm not mistaken...
context: Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken... response:	that was one of my own...
context: Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken...\that was one of my own... response:	my own memories...
context: Kodou wa honmono\Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken...\that was one of my own...\my own memories... response:	wasn't it?
context: Nidoto akogare wa tomaranai\It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken...\that was one of my own...\my own memories...\wasn't it? response:	In that case, the one who was mourning for Lyza was...
context: It wasn't this place...\Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken...\that was one of my own...\my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was... response:	Did I bury her?
context: Was it the scenery of somewhere similar?\Also, that voice...\If I'm not mistaken...\that was one of my own...\my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her? response:	No, Ozen said, No one was buried there.
context: Also, that voice...\If I'm not mistaken...\that was one of my own...\my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there. response:	What does it all mean...?
context: If I'm not mistaken...\that was one of my own...\my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...? response:	S-stop it!
context: that was one of my own...\my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it! response:	Get away from Riko!
context: my own memories...\wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it!\Get away from Riko! response:	I said stop it! You little...
context: wasn't it?\In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it!\Get away from Riko!\I said stop it! You little... response:	Just relax.
context: In that case, the one who was mourning for Lyza was...\Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it!\Get away from Riko!\I said stop it! You little...\Just relax. response:	Mitty won't attack humans.
context: Did I bury her?\No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it!\Get away from Riko!\I said stop it! You little...\Just relax.\Mitty won't attack humans. response:	Normally Mitty doesn't get emotionally attached to visitors, though.
context: No, Ozen said, No one was buried there.\What does it all mean...?\S-stop it!\Get away from Riko!\I said stop it! You little...\Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though. response:	They're close in age, so maybe Mitty took a liking to her.
context: What does it all mean...?\S-stop it!\Get away from Riko!\I said stop it! You little...\Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her. response:	Before becoming like this, Mitty was also a girl, you see.
context: S-stop it!\Get away from Riko!\I said stop it! You little...\Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see. response:	Huh?!
context: Get away from Riko!\I said stop it! You little...\Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?! response:	M-Mitty...?
context: I said stop it! You little...\Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...? response:	Just please don't eat the mushrooms, okay?
context: Just relax.\Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay? response:	She's not one to treat others so cruelly.
context: Mitty won't attack humans.\Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly. response:	It was thanks to Mitty, after all, that we got the poison out.
context: Normally Mitty doesn't get emotionally attached to visitors, though.\They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out. response:	Huh?
context: They're close in age, so maybe Mitty took a liking to her.\Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh? response:	What do you mean?
context: Before becoming like this, Mitty was also a girl, you see.\Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean? response:	That medicine was made by injecting Mitty with an orbed-piercer's poison.
context: Huh?!\M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison. response:	What?!
context: M-Mitty...?\Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?! response:	Why'd you do such a thing?
context: Just please don't eat the mushrooms, okay?\She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing? response:	Mitty has the ability to neutralize poisons all on her own.
context: She's not one to treat others so cruelly.\It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own. response:	Amazing, huh?
context: It was thanks to Mitty, after all, that we got the poison out.\Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh? response:	So I then used her blood to produce the medicine, you see.
context: Huh?\What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see. response:	Nanachi, who exactly were you two before you became Hollows?
context: What do you mean?\That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows? response:	Oh... You really wanna ask that?
context: That medicine was made by injecting Mitty with an orbed-piercer's poison.\What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that? response:	It's best you don't.
context: What?!\Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't. response:	If you do, you're gonna end up wanting to help us.
context: Why'd you do such a thing?\Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us. response:	Wh-what?!
context: Mitty has the ability to neutralize poisons all on her own.\Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?! response:	You saved us, didn't you?!
context: Amazing, huh?\So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?! response:	Of course I'll try to help-
context: So I then used her blood to produce the medicine, you see.\Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?!\Of course I'll try to help- response:	Alright!
context: Nanachi, who exactly were you two before you became Hollows?\Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?!\Of course I'll try to help-\Alright! response:	Look, it's done!
context: Oh... You really wanna ask that?\It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?!\Of course I'll try to help-\Alright!\Look, it's done! response:	My special Netherworld Stew!
context: It's best you don't.\If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?!\Of course I'll try to help-\Alright!\Look, it's done!\My special Netherworld Stew! response:	Go on and try some.
context: If you do, you're gonna end up wanting to help us.\Wh-what?!\You saved us, didn't you?!\Of course I'll try to help-\Alright!\Look, it's done!\My special Netherworld Stew!\Go on and try some. response:	Here!
context: Wh-what?!\You saved us, didn't you?!\Of course I'll try to help-\Alright!\Look, it's done!\My special Netherworld Stew!\Go on and try some.\Here! response:	It looks like sticky... mud...
context: You saved us, didn't you?!\Of course I'll try to help-\Alright!\Look, it's done!\My special Netherworld Stew!\Go on and try some.\Here!\It looks like sticky... mud... response:	This... was made with the ingredients I collected, correct?
context: Of course I'll try to help-\Alright!\Look, it's done!\My special Netherworld Stew!\Go on and try some.\Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct? response:	Don't worry about, um, how it looks.
context: Alright!\Look, it's done!\My special Netherworld Stew!\Go on and try some.\Here!\It looks like sticky... mud...\This... was made with the ingredients I collected, correct?\Don't worry about, um, how it looks. response:	It has an oddly fishy scent...
