context: See ya. response:	S-See you later?
context: I'll tell you right now.\Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun!\Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true. response:	It's because of the surface people!
context: Surface people have no business concerning themselves with the Village of the Sea...\Um... Jeez...\Hii-kun!\Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people! response:	He's guilty by association!
context: Um... Jeez...\Hii-kun!\Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people!\He's guilty by association! response:	B-But... Tsumugu-kun saved me!
context: Hii-kun!\Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me! response:	Tsu-mu-gu-kun?!
context: Hii-kun! That was really rude!\Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?! response:	Huh? Wh-Why are you so mad?!
context: Seriously?\I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?! response:	You're suddenly sounding so buddy-buddy with him!
context: I heard about it! You had a rough time because of him, right?\What? That's not true.\It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him! response:	Huh?
context: What? That's not true.\It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh? response:	Th-Then Tsumugu... san?
context: It's because of the surface people!\He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san? response:	W-Well, I don't know his last name!
context: He's guilty by association!\B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name! response:	You're acting really strange lately, Hii-kun!
context: B-But... Tsumugu-kun saved me!\Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun! response:	And you're always so angry!
context: Tsu-mu-gu-kun?!\Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry! response:	Oh, is that right?
context: Huh? Wh-Why are you so mad?!\You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right? response:	Huh?
context: You're suddenly sounding so buddy-buddy with him!\Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right?\Huh? response:	What's wrong, Manaka?
context: Huh?\Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right?\Huh?\What's wrong, Manaka? response:	Eh?
context: Th-Then Tsumugu... san?\W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right?\Huh?\What's wrong, Manaka?\Eh? response:	I-I messed up!
context: W-Well, I don't know his last name!\You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right?\Huh?\What's wrong, Manaka?\Eh?\I-I messed up! response:	Messed up?
context: You're acting really strange lately, Hii-kun!\And you're always so angry!\Oh, is that right?\Huh?\What's wrong, Manaka?\Eh?\I-I messed up!\Messed up? response:	Tsumugu-kun saved me...
context: And you're always so angry!\Oh, is that right?\Huh?\What's wrong, Manaka?\Eh?\I-I messed up!\Messed up?\Tsumugu-kun saved me... response:	But Hii-kun worried about me a lot, too...
context: Oh, is that right?\Huh?\What's wrong, Manaka?\Eh?\I-I messed up!\Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too... response:	and I yelled at him.
context: Huh?\What's wrong, Manaka?\Eh?\I-I messed up!\Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him. response:	I messed up!
context: What's wrong, Manaka?\Eh?\I-I messed up!\Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up! response:	Yeah.
context: Eh?\I-I messed up!\Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up!\Yeah. response:	Hikari was really worried about you, Manaka.
context: I-I messed up!\Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up!\Yeah.\Hikari was really worried about you, Manaka. response:	Chii-chan.
context: Messed up?\Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up!\Yeah.\Hikari was really worried about you, Manaka.\Chii-chan. response:	Really worried...
context: Tsumugu-kun saved me...\But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up!\Yeah.\Hikari was really worried about you, Manaka.\Chii-chan.\Really worried... response:	Even though his Ena was dry, and he couldn't breathe that well,
context: But Hii-kun worried about me a lot, too...\and I yelled at him.\I messed up!\Yeah.\Hikari was really worried about you, Manaka.\Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well, response:	he was really determined...
context: and I yelled at him.\I messed up!\Yeah.\Hikari was really worried about you, Manaka.\Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined... response:	Y-Yeah...
context: I messed up!\Yeah.\Hikari was really worried about you, Manaka.\Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah... response:	Hikari isn't really mad.
context: Yeah.\Hikari was really worried about you, Manaka.\Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah...\Hikari isn't really mad. response:	So try not to be afraid of him.
context: Hikari was really worried about you, Manaka.\Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him. response:	That'll just annoy him even more.
context: Chii-chan.\Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more. response:	Okay.
context: Really worried...\Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more.\Okay. response:	How do you know all this, Chii-chan?
context: Even though his Ena was dry, and he couldn't breathe that well,\he was really determined...\Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan? response:	About Hii-kun's feelings and my feelings.
context: he was really determined...\Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings. response:	Well... It's because I've been watching you guys since we were little.
context: Y-Yeah...\Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little. response:	Both you...
context: Hikari isn't really mad.\So try not to be afraid of him.\That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you... response:	and Hikari.
context: So try not to be afraid of him.\That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari. response:	Hey, stop, Forehead.
context: That'll just annoy him even more.\Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari.\Hey, stop, Forehead. response:	Huh?
context: Okay.\How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari.\Hey, stop, Forehead.\Huh? response:	You're the two from the other day...
context: How do you know all this, Chii-chan?\About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari.\Hey, stop, Forehead.\Huh?\You're the two from the other day... response:	Do you know that woman?
context: About Hii-kun's feelings and my feelings.\Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari.\Hey, stop, Forehead.\Huh?\You're the two from the other day...\Do you know that woman? response:	That woman?
context: Well... It's because I've been watching you guys since we were little.\Both you...\and Hikari.\Hey, stop, Forehead.\Huh?\You're the two from the other day...\Do you know that woman?\That woman? response:	Oh.
context: Both you...\and Hikari.\Hey, stop, Forehead.\Huh?\You're the two from the other day...\Do you know that woman?\That woman?\Oh. response:	Do you know her?
context: and Hikari.\Hey, stop, Forehead.\Huh?\You're the two from the other day...\Do you know that woman?\That woman?\Oh.\Do you know her? response:	She's my older sister.
context: Hey, stop, Forehead.\Huh?\You're the two from the other day...\Do you know that woman?\That woman?\Oh.\Do you know her?\She's my older sister. response:	Liar! You octopus-head!
context: Huh?\You're the two from the other day...\Do you know that woman?\That woman?\Oh.\Do you know her?\She's my older sister.\Liar! You octopus-head! response:	O-Octopus?
context: You're the two from the other day...\Do you know that woman?\That woman?\Oh.\Do you know her?\She's my older sister.\Liar! You octopus-head!\O-Octopus? response:	He was calling her by her name.
context: Do you know that woman?\That woman?\Oh.\Do you know her?\She's my older sister.\Liar! You octopus-head!\O-Octopus?\He was calling her by her name. response:	They've got to be a couple, Miuna.
context: That woman?\Oh.\Do you know her?\She's my older sister.\Liar! You octopus-head!\O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna. response:	Uh, I don't really know what's going on here,
context: Oh.\Do you know her?\She's my older sister.\Liar! You octopus-head!\O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here, response:	but shouldn't you two be in school?
context: Do you know her?\She's my older sister.\Liar! You octopus-head!\O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school? response:	Your teacher's going to get mad...
context: She's my older sister.\Liar! You octopus-head!\O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad... response:	Don't treat me like a brat, you brat!
context: Liar! You octopus-head!\O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat! response:	I don't need some brat telling me that.
context: O-Octopus?\He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that. response:	What's wrong?
context: He was calling her by her name.\They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong? response:	You brought backup, you cheater!
context: They've got to be a couple, Miuna.\Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater! response:	Seriously, you're one to talk.
context: Uh, I don't really know what's going on here,\but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk. response:	Come on, Hikari.
context: but shouldn't you two be in school?\Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari. response:	You shouldn't pick on little kids.
context: Your teacher's going to get mad...\Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids. response:	Are you okay?
context: Don't treat me like a brat, you brat!\I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids.\Are you okay? response:	D-Don't touch me with your fishy-smelly hands!
context: I don't need some brat telling me that.\What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands! response:	Oh, sorry.
context: What's wrong?\You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry. response:	Ow!
context: You brought backup, you cheater!\Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow! response:	Sayu!
context: Seriously, you're one to talk.\Come on, Hikari.\You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow!\Sayu! response:	Serves you rice dumplings!
context: Come on, Hikari.\You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow!\Sayu!\Serves you rice dumplings! response:	The hell?
context: You shouldn't pick on little kids.\Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow!\Sayu!\Serves you rice dumplings!\The hell? response:	All right, that's the end of class for today.
context: Are you okay?\D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow!\Sayu!\Serves you rice dumplings!\The hell?\All right, that's the end of class for today. response:	Oh, that's right.
context: D-Don't touch me with your fishy-smelly hands!\Oh, sorry.\Ow!\Sayu!\Serves you rice dumplings!\The hell?\All right, that's the end of class for today.\Oh, that's right. response:	Who here wants to try to make an Ojoushi-sama?
context: Oh, sorry.\Ow!\Sayu!\Serves you rice dumplings!\The hell?\All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama? response:	What's an Ojoushi-sama?
context: Ow!\Sayu!\Serves you rice dumplings!\The hell?\All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama? response:	Do you mean the doll we'd send off in the Ofunehiki?
context: Sayu!\Serves you rice dumplings!\The hell?\All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki? response:	Right.
context: Serves you rice dumplings!\The hell?\All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right. response:	Originally, when the Ofunehiki started,
context: The hell?\All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started, response:	a girl would be sent off as a sacrifice and offered to the Sea God.
context: All right, that's the end of class for today.\Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God. response:	Nowadays, instead of an actual girl,
context: Oh, that's right.\Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl, response:	we send off a wooden doll called an Ojoushi-sama.
context: Who here wants to try to make an Ojoushi-sama?\What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama. response:	Why do we have to make an Ojoushi-sama?
context: What's an Ojoushi-sama?\Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama? response:	Aren't adults supposed to do that kind of stuff?
context: Do you mean the doll we'd send off in the Ofunehiki?\Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff? response:	Oh, I heard they weren't doing the Ofunehiki this year.
context: Right.\Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year. response:	Yeah...
context: Originally, when the Ofunehiki started,\a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah... response:	that's why we were thinking of doing
context: a girl would be sent off as a sacrifice and offered to the Sea God.\Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing response:	something like a voluntary Ofunehiki at our school.
context: Nowadays, instead of an actual girl,\we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school. response:	What?
context: we send off a wooden doll called an Ojoushi-sama.\Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What? response:	What the heck?
context: Why do we have to make an Ojoushi-sama?\Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What?\What the heck? response:	So annoying.
context: Aren't adults supposed to do that kind of stuff?\Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What?\What the heck?\So annoying. response:	Hikari, calm down.
context: Oh, I heard they weren't doing the Ofunehiki this year.\Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What?\What the heck?\So annoying.\Hikari, calm down. response:	Is there anyone who wants to do it?
context: Yeah...\that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What?\What the heck?\So annoying.\Hikari, calm down.\Is there anyone who wants to do it? response:	All right, Tsumugu.
context: that's why we were thinking of doing\something like a voluntary Ofunehiki at our school.\What?\What the heck?\So annoying.\Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu. response:	Why do we have to...
context: something like a voluntary Ofunehiki at our school.\What?\What the heck?\So annoying.\Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to... response:	This is the job of the surface people!
context: What?\What the heck?\So annoying.\Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to...\This is the job of the surface people! response:	Then you shouldn't have volunteered.
context: What the heck?\So annoying.\Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to...\This is the job of the surface people!\Then you shouldn't have volunteered. response:	The surface people don't have a clue.
context: So annoying.\Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to...\This is the job of the surface people!\Then you shouldn't have volunteered.\The surface people don't have a clue. response:	That's why we have to keep an eye on them.
context: Hikari, calm down.\Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to...\This is the job of the surface people!\Then you shouldn't have volunteered.\The surface people don't have a clue.\That's why we have to keep an eye on them. response:	Jeez.
context: Is there anyone who wants to do it?\All right, Tsumugu.\Why do we have to...\This is the job of the surface people!\Then you shouldn't have volunteered.\The surface people don't have a clue.\That's why we have to keep an eye on them.\Jeez. response:	Why did you offer to make this?
