context: What is this warm light? response:	Am I the princess? What should I do?
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Mamoru was badly injured, trying to protect Usagi!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi! response:	Then the rainbow crystals reacted to Usagi's tears
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears response:	and turned into the legendary Silver Crystal.
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal. response:	I never imagined that Usagi was the princess!
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess! response:	But there's no doubt about it.
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it. response:	This warm aura around her...
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her... response:	She's the Moon Princess! She's finally awakened!
context: I believe in it, miracle romance\Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened! response:	Memories Return! Usagi and Mamoru's Past
context: Mamoru was badly injured, trying to protect Usagi!\Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past response:	Sailor Moon...
context: Then the rainbow crystals reacted to Usagi's tears\and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon... response:	Princess... Princess Serenity...
context: and turned into the legendary Silver Crystal.\I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity... response:	What?!
context: I never imagined that Usagi was the princess!\But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity...\What?! response:	Princess?!
context: But there's no doubt about it.\This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity...\What?!\Princess?! response:	Then Sailor Moon was the princess we've been looking for?
context: This warm aura around her...\She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity...\What?!\Princess?!\Then Sailor Moon was the princess we've been looking for? response:	And the true identity of Tuxedo Mask was Mamoru.
context: She's the Moon Princess! She's finally awakened!\Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity...\What?!\Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru. response:	The princess has awakened.
context: Memories Return! Usagi and Mamoru's Past\Sailor Moon...\Princess... Princess Serenity...\What?!\Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened. response:	In that case, I'll just kill you and take the Silver Crystal!
context: Sailor Moon...\Princess... Princess Serenity...\What?!\Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal! response:	Zoi!
context: Princess... Princess Serenity...\What?!\Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi! response:	What?!
context: What?!\Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?! response:	Tuxedo Mask...
context: Princess?!\Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?!\Tuxedo Mask... response:	All this for me...
context: Then Sailor Moon was the princess we've been looking for?\And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?!\Tuxedo Mask...\All this for me... response:	Serenity...
context: And the true identity of Tuxedo Mask was Mamoru.\The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?!\Tuxedo Mask...\All this for me...\Serenity... response:	I remember everything now.
context: The princess has awakened.\In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?!\Tuxedo Mask...\All this for me...\Serenity...\I remember everything now. response:	Serenity, I am Endymion.
context: In that case, I'll just kill you and take the Silver Crystal!\Zoi!\What?!\Tuxedo Mask...\All this for me...\Serenity...\I remember everything now.\Serenity, I am Endymion. response:	Endymion...
context: Zoi!\What?!\Tuxedo Mask...\All this for me...\Serenity...\I remember everything now.\Serenity, I am Endymion.\Endymion... response:	Now, I know. I am Serenity!
context: What?!\Tuxedo Mask...\All this for me...\Serenity...\I remember everything now.\Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity! response:	Endymion!
context: Tuxedo Mask...\All this for me...\Serenity...\I remember everything now.\Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity!\Endymion! response:	Endymion!
context: All this for me...\Serenity...\I remember everything now.\Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity!\Endymion!\Endymion! response:	Endymion...
context: Serenity...\I remember everything now.\Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity!\Endymion!\Endymion!\Endymion... response:	So, you're Endymion.
context: I remember everything now.\Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity!\Endymion!\Endymion!\Endymion...\So, you're Endymion. response:	Endymion...
context: Serenity, I am Endymion.\Endymion...\Now, I know. I am Serenity!\Endymion!\Endymion!\Endymion...\So, you're Endymion.\Endymion... response:	Sailor Moon!
context: Endymion...\Now, I know. I am Serenity!\Endymion!\Endymion!\Endymion...\So, you're Endymion.\Endymion...\Sailor Moon! response:	She's all right. She just fainted.
context: Now, I know. I am Serenity!\Endymion!\Endymion!\Endymion...\So, you're Endymion.\Endymion...\Sailor Moon!\She's all right. She just fainted. response:	Thank goodness.
context: Endymion!\Endymion!\Endymion...\So, you're Endymion.\Endymion...\Sailor Moon!\She's all right. She just fainted.\Thank goodness. response:	Her memories of when she was the princess
context: Endymion!\Endymion...\So, you're Endymion.\Endymion...\Sailor Moon!\She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess response:	probably came back to her and overwhelmed her.
context: Endymion...\So, you're Endymion.\Endymion...\Sailor Moon!\She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her. response:	Mamoru, please wake up!
context: So, you're Endymion.\Endymion...\Sailor Moon!\She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up! response:	He's badly injured.
context: Endymion...\Sailor Moon!\She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured. response:	This is nothing...
context: Sailor Moon!\She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured.\This is nothing... response:	Master Kunzite...
context: She's all right. She just fainted.\Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured.\This is nothing...\Master Kunzite... response:	Master Kunzite,
context: Thank goodness.\Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured.\This is nothing...\Master Kunzite...\Master Kunzite, response:	Sailor Moon is the Moon Princess.
context: Her memories of when she was the princess\probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured.\This is nothing...\Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess. response:	I see. So the princess awoke,
context: probably came back to her and overwhelmed her.\Mamoru, please wake up!\He's badly injured.\This is nothing...\Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke, response:	and the rainbow crystals were drawn to her.
context: Mamoru, please wake up!\He's badly injured.\This is nothing...\Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her. response:	I will allow you to live for a while longer yet.
context: He's badly injured.\This is nothing...\Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet. response:	What?!
context: This is nothing...\Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?! response:	What did he mean by that?
context: Master Kunzite...\Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?!\What did he mean by that? response:	You allowed the Moon Princess to awaken
context: Master Kunzite,\Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?!\What did he mean by that?\You allowed the Moon Princess to awaken response:	and lost the Silver Crystal as well.
context: Sailor Moon is the Moon Princess.\I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?!\What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well. response:	That was poorly executed, Kunzite.
context: I see. So the princess awoke,\and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?!\What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite. response:	My lady, I am very sorry.
context: and the rainbow crystals were drawn to her.\I will allow you to live for a while longer yet.\What?!\What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry. response:	However, the princess has just now awoken
context: I will allow you to live for a while longer yet.\What?!\What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken response:	and has yet to fully master the use of the Silver Crystal.
context: What?!\What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal. response:	I would ask that you wait a while longer.
context: What did he mean by that?\You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer. response:	Very well. I will leave it to you.
context: You allowed the Moon Princess to awaken\and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you. response:	By the way, Zoisite, I hope you are ready to face your fate.
context: and lost the Silver Crystal as well.\That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate. response:	Please wait. Just one more chance.
context: That was poorly executed, Kunzite.\My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance. response:	You tried to kill Tuxedo Mask against my orders, did you not?!
context: My lady, I am very sorry.\However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?! response:	But I...
context: However, the princess has just now awoken\and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I... response:	Did you think you could fool me?!
context: and has yet to fully master the use of the Silver Crystal.\I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?! response:	I will take responsibility for that.
context: I would ask that you wait a while longer.\Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?!\I will take responsibility for that. response:	Please wai...
context: Very well. I will leave it to you.\By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?!\I will take responsibility for that.\Please wai... response:	Master Kunzite!
context: By the way, Zoisite, I hope you are ready to face your fate.\Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?!\I will take responsibility for that.\Please wai...\Master Kunzite! response:	Clean up that mess!
context: Please wait. Just one more chance.\You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?!\I will take responsibility for that.\Please wai...\Master Kunzite!\Clean up that mess! response:	Yes, my lady.
context: You tried to kill Tuxedo Mask against my orders, did you not?!\But I...\Did you think you could fool me?!\I will take responsibility for that.\Please wai...\Master Kunzite!\Clean up that mess!\Yes, my lady. response:	My great ruler, Queen Metalia, please awaken.
context: But I...\Did you think you could fool me?!\I will take responsibility for that.\Please wai...\Master Kunzite!\Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken. response:	Endymion, I have so longed to see you.
context: Did you think you could fool me?!\I will take responsibility for that.\Please wai...\Master Kunzite!\Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you. response:	He was once the prince of the Earth.
context: I will take responsibility for that.\Please wai...\Master Kunzite!\Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth. response:	To think he had transmigrated into this world somehow.
context: Please wai...\Master Kunzite!\Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow. response:	Use the power of darkness to restore Endymion immediately.
context: Master Kunzite!\Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately. response:	Yes, my lady.
context: Clean up that mess!\Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady. response:	I am sorry, Zoisite.
context: Yes, my lady.\My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite. response:	I tried to ask Queen Beryl to revive you, but...
context: My great ruler, Queen Metalia, please awaken.\Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but... response:	I am happy.
context: Endymion, I have so longed to see you.\He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy. response:	For I will die in your arms.
context: He was once the prince of the Earth.\To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms. response:	But please grant me my last wish.
context: To think he had transmigrated into this world somehow.\Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms.\But please grant me my last wish. response:	What is it?
context: Use the power of darkness to restore Endymion immediately.\Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms.\But please grant me my last wish.\What is it? response:	I want to die beautifully.
context: Yes, my lady.\I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms.\But please grant me my last wish.\What is it?\I want to die beautifully. response:	How beautiful. I am so happy, Master Kunzite.
context: I am sorry, Zoisite.\I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms.\But please grant me my last wish.\What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite. response:	I loved you, Master Kunzite.
context: I tried to ask Queen Beryl to revive you, but...\I am happy.\For I will die in your arms.\But please grant me my last wish.\What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite. response:	Forgive me, Zoisite.
context: I am happy.\For I will die in your arms.\But please grant me my last wish.\What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite. response:	Is there really an exit around here?
context: For I will die in your arms.\But please grant me my last wish.\What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here? response:	There is definitely a way out,
context: But please grant me my last wish.\What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out, response:	but it's a little troublesome.
context: What is it?\I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome. response:	What do you mean?
context: I want to die beautifully.\How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome.\What do you mean? response:	This dimension is apparently an imaginary space
context: How beautiful. I am so happy, Master Kunzite.\I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space response:	that's been sealed off.
context: I loved you, Master Kunzite.\Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space\that's been sealed off. response:	In short, theoretically, the real dimension we were in
context: Forgive me, Zoisite.\Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in response:	is not directly connected to the three-dimensional space here.
context: Is there really an exit around here?\There is definitely a way out,\but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here. response:	Instead, they should be connected only in two-dimensional space
context: There is definitely a way out,\but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space response:	with the positive and negative phases reversed
context: but it's a little troublesome.\What do you mean?\This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed response:	and passing through zero-dimensional space.
context: What do you mean?\This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space. response:	Anyway, can you hurry up?
context: This dimension is apparently an imaginary space\that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up? response:	I guess we can only depend on Sailor Mercury now.
context: that's been sealed off.\In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now. response:	We're counting on you.
context: In short, theoretically, the real dimension we were in\is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you. response:	We can't just hang around here forever.
context: is not directly connected to the three-dimensional space here.\Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever. response:	I know.
context: Instead, they should be connected only in two-dimensional space\with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever.\I know. response:	Sailor Moon.
context: with the positive and negative phases reversed\and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever.\I know.\Sailor Moon. response:	It looks like you're awake.
context: and passing through zero-dimensional space.\Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever.\I know.\Sailor Moon.\It looks like you're awake. response:	Tuxedo Mask!
context: Anyway, can you hurry up?\I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever.\I know.\Sailor Moon.\It looks like you're awake.\Tuxedo Mask! response:	Where? Where? Where is he?! Tell me!
context: I guess we can only depend on Sailor Mercury now.\We're counting on you.\We can't just hang around here forever.\I know.\Sailor Moon.\It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me! response:	He couldn't have...
context: We're counting on you.\We can't just hang around here forever.\I know.\Sailor Moon.\It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have... response:	He's alive!
context: We can't just hang around here forever.\I know.\Sailor Moon.\It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive! response:	Really?
context: I know.\Sailor Moon.\It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive!\Really? response:	But he was taken by our enemy.
context: Sailor Moon.\It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive!\Really?\But he was taken by our enemy. response:	By our enemy?
context: It looks like you're awake.\Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive!\Really?\But he was taken by our enemy.\By our enemy? response:	I see.
context: Tuxedo Mask!\Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive!\Really?\But he was taken by our enemy.\By our enemy?\I see. response:	Everyone, please listen to me!
context: Where? Where? Where is he?! Tell me!\He couldn't have...\He's alive!\Really?\But he was taken by our enemy.\By our enemy?\I see.\Everyone, please listen to me! response:	Now that the princess has awakened,
