context: What's that? response:	A tatami?
context: Club in vain...\Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu response:	Oe-san! Where did you go?
context: Chihaya, we're attracting too much attention.\Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go? response:	Oe-san!
context: Hey, where's Oe-san?\She was here a moment ago...\Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san! response:	The upperclassmen are throwing a fit!
context: She was here a moment ago...\Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit! response:	I-I'm sorry!
context: Is she skipping practice again?\The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry! response:	Chihaya Furu
context: The captain will have a fit.\So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu response:	Verse 6
context: So spring ends and summer comes\now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu\Verse 6 response:	Now Bloom Inside the Ninefold Palace
context: now white robes hang to dry on Mount Amanokagu\Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace response:	This is it.
context: Oe-san! Where did you go?\Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace\This is it. response:	Huh?
context: Oe-san!\The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace\This is it.\Huh? response:	We finally made it!
context: The upperclassmen are throwing a fit!\I-I'm sorry!\Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace\This is it.\Huh?\We finally made it! response:	This is our clubroom?
context: I-I'm sorry!\Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace\This is it.\Huh?\We finally made it!\This is our clubroom? response:	Yeah.
context: Chihaya Furu\Verse 6\Now Bloom Inside the Ninefold Palace\This is it.\Huh?\We finally made it!\This is our clubroom?\Yeah. response:	I kept begging the Empress and she finally gave it to us.
context: Verse 6\Now Bloom Inside the Ninefold Palace\This is it.\Huh?\We finally made it!\This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us. response:	It's a storage room.
context: Now Bloom Inside the Ninefold Palace\This is it.\Huh?\We finally made it!\This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room. response:	There's dust everywhere.
context: This is it.\Huh?\We finally made it!\This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere. response:	Don't complain!
context: Huh?\We finally made it!\This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere.\Don't complain! response:	It's quiet. Perfect for playing karuta!
context: We finally made it!\This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta! response:	Okay, back we go!
context: This is our clubroom?\Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go! response:	We need three more!
context: Yeah.\I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more! response:	What? This is enough...
context: I kept begging the Empress and she finally gave it to us.\It's a storage room.\There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more!\What? This is enough... response:	How can you say that,
context: It's a storage room.\There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more!\What? This is enough...\How can you say that, response:	after the nice man agreed to share these with us?!
context: There's dust everywhere.\Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more!\What? This is enough...\How can you say that,\after the nice man agreed to share these with us?! response:	Once we have five members, we'll be recognized as an official club,
context: Don't complain!\It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more!\What? This is enough...\How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club, response:	and they'll even assign us a teacher!
context: It's quiet. Perfect for playing karuta!\Okay, back we go!\We need three more!\What? This is enough...\How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher! response:	Can we even find three more people?
context: Okay, back we go!\We need three more!\What? This is enough...\How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people? response:	We can!
context: We need three more!\What? This is enough...\How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people?\We can! response:	We absolutely can!
context: What? This is enough...\How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people?\We can!\We absolutely can! response:	Now look, Chihaya.
context: How can you say that,\after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people?\We can!\We absolutely can!\Now look, Chihaya. response:	Hmm?
context: after the nice man agreed to share these with us?!\Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people?\We can!\We absolutely can!\Now look, Chihaya.\Hmm? response:	Do we really need more members?
context: Once we have five members, we'll be recognized as an official club,\and they'll even assign us a teacher!\Can we even find three more people?\We can!\We absolutely can!\Now look, Chihaya.\Hmm?\Do we really need more members? response:	I was pretty surprised.
context: and they'll even assign us a teacher!\Can we even find three more people?\We can!\We absolutely can!\Now look, Chihaya.\Hmm?\Do we really need more members?\I was pretty surprised. response:	I never knew that was how you felt.
context: Can we even find three more people?\We can!\We absolutely can!\Now look, Chihaya.\Hmm?\Do we really need more members?\I was pretty surprised.\I never knew that was how you felt. response:	If I can be the best in the world at something,
context: We can!\We absolutely can!\Now look, Chihaya.\Hmm?\Do we really need more members?\I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something, response:	I think it's worth a shot.
context: We absolutely can!\Now look, Chihaya.\Hmm?\Do we really need more members?\I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot. response:	Your goal is to become the Queen, right?
context: Now look, Chihaya.\Hmm?\Do we really need more members?\I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right? response:	Huh?
context: Hmm?\Do we really need more members?\I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right?\Huh? response:	Y-Yeah...
context: Do we really need more members?\I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right?\Huh?\Y-Yeah... response:	You're not serious about this at all, are you?!
context: I was pretty surprised.\I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right?\Huh?\Y-Yeah...\You're not serious about this at all, are you?! response:	You were just following Arata's lead!
context: I never knew that was how you felt.\If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right?\Huh?\Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead! response:	Anyway!
context: If I can be the best in the world at something,\I think it's worth a shot.\Your goal is to become the Queen, right?\Huh?\Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway! response:	We have to carry three more tatami mats over!
context: I think it's worth a shot.\Your goal is to become the Queen, right?\Huh?\Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over! response:	Then we practice!
context: Your goal is to become the Queen, right?\Huh?\Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over!\Then we practice! response:	Right. Yeah, yeah.
context: Huh?\Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah. response:	What's Oe-san like?
context: Y-Yeah...\You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah.\What's Oe-san like? response:	Archery Club
context: You're not serious about this at all, are you?!\You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah.\What's Oe-san like?\Archery Club response:	No idea. She's always reading old books by herself.
context: You were just following Arata's lead!\Anyway!\We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah.\What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself. response:	She was born in the wrong era.
context: Anyway!\We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah.\What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era. response:	I'm sorry,
context: We have to carry three more tatami mats over!\Then we practice!\Right. Yeah, yeah.\What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry, response:	but I can't do it!
context: Then we practice!\Right. Yeah, yeah.\What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry,\but I can't do it! response:	Why must I run in a hakama?
context: Right. Yeah, yeah.\What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry,\but I can't do it!\Why must I run in a hakama? response:	That would be so embarrassing!
context: What's Oe-san like?\Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry,\but I can't do it!\Why must I run in a hakama?\That would be so embarrassing! response:	And I'll never be able to hit a target with an arrow!
context: Archery Club\No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry,\but I can't do it!\Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow! response:	I just want to wear traditional clothes!
context: No idea. She's always reading old books by herself.\She was born in the wrong era.\I'm sorry,\but I can't do it!\Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes! response:	Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!
context: She was born in the wrong era.\I'm sorry,\but I can't do it!\Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!! response:	Ayase Chihaya-san in class 1-2...
context: I'm sorry,\but I can't do it!\Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2... response:	The lovely girl who turns heads everywhere
context: but I can't do it!\Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere response:	is looking for people who know the poems of the Hundred Poets.
context: Why must I run in a hakama?\That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets. response:	Oh, dear. You took another card off me.
context: That would be so embarrassing!\And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me. response:	You're still very strong, Lady Chihaya.
context: And I'll never be able to hit a target with an arrow!\I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya. response:	I should have knocked on this door instead!
context: I just want to wear traditional clothes!\Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead! response:	I thought that Ms. Miyauchi was using the old student council room.
context: Let's start a competitive karuta club! Please come see Ayase Chihaya in class 1-2!!\Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room. response:	Oh, no...
context: Ayase Chihaya-san in class 1-2...\The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no... response:	What if they already have too many members?
context: The lovely girl who turns heads everywhere\is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members? response:	when people and grass grow scarce
context: is looking for people who know the poems of the Hundred Poets.\Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members?\when people and grass grow scarce response:	Rain takes...
context: Oh, dear. You took another card off me.\You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members?\when people and grass grow scarce\Rain takes... response:	leaving a hovering mist above the trees and grass
context: You're still very strong, Lady Chihaya.\I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members?\when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass response:	Huh?!
context: I should have knocked on this door instead!\I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members?\when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass\Huh?! response:	You're too good at first-syllable cards.
context: I thought that Ms. Miyauchi was using the old student council room.\Oh, no...\What if they already have too many members?\when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards. response:	Huh? Huh?
context: Oh, no...\What if they already have too many members?\when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards.\Huh? Huh? response:	The storm blasts...
context: What if they already have too many members?\when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards.\Huh? Huh?\The storm blasts... response:	Wait... What...
context: when people and grass grow scarce\Rain takes...\leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards.\Huh? Huh?\The storm blasts...\Wait... What... response:	I wish I could show...
context: Rain takes...\leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards.\Huh? Huh?\The storm blasts...\Wait... What...\I wish I could show... response:	What is this?
context: leaving a hovering mist above the trees and grass\Huh?!\You're too good at first-syllable cards.\Huh? Huh?\The storm blasts...\Wait... What...\I wish I could show...\What is this? response:	My fear is not of...
context: Huh?!\You're too good at first-syllable cards.\Huh? Huh?\The storm blasts...\Wait... What...\I wish I could show...\What is this?\My fear is not of... response:	Don't tell me that...
context: You're too good at first-syllable cards.\Huh? Huh?\The storm blasts...\Wait... What...\I wish I could show...\What is this?\My fear is not of...\Don't tell me that... response:	Thank you very much!
context: Huh? Huh?\The storm blasts...\Wait... What...\I wish I could show...\What is this?\My fear is not of...\Don't tell me that...\Thank you very much! response:	I won!
context: The storm blasts...\Wait... What...\I wish I could show...\What is this?\My fear is not of...\Don't tell me that...\Thank you very much!\I won! response:	But you're actually pretty good.
context: Wait... What...\I wish I could show...\What is this?\My fear is not of...\Don't tell me that...\Thank you very much!\I won!\But you're actually pretty good. response:	You took a bunch of cards in the first half.
context: I wish I could show...\What is this?\My fear is not of...\Don't tell me that...\Thank you very much!\I won!\But you're actually pretty good.\You took a bunch of cards in the first half. response:	I think I've figured out why you always start slow.
context: What is this?\My fear is not of...\Don't tell me that...\Thank you very much!\I won!\But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow. response:	Huh?
context: My fear is not of...\Don't tell me that...\Thank you very much!\I won!\But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh? response:	You rely on the advantage of your ears so much
context: Don't tell me that...\Thank you very much!\I won!\But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much response:	that you haven't learned how to memorize card positions.
context: Thank you very much!\I won!\But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions. response:	You still can't memorize where the cards are.
context: I won!\But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are. response:	That's not true.
context: But you're actually pretty good.\You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true. response:	Today was just a fluke.
context: You took a bunch of cards in the first half.\I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true.\Today was just a fluke. response:	I have no trouble in the first half at the Shiranami Society.
context: I think I've figured out why you always start slow.\Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society. response:	You've only been practicing at the Shiranami Society, right?
context: Huh?\You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right? response:	People who train together tend to use the same positioning techniques, so it's easier.
context: You rely on the advantage of your ears so much\that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier. response:	Against me, you kept touching the wrong cards.
context: that you haven't learned how to memorize card positions.\You still can't memorize where the cards are.\That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards. response:	So in other words,
context: You still can't memorize where the cards are.\That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words, response:	you're an idiot.
context: That's not true.\Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words,\you're an idiot. response:	Yet you lost to that idiot!
context: Today was just a fluke.\I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words,\you're an idiot.\Yet you lost to that idiot! response:	Idiot!
context: I have no trouble in the first half at the Shiranami Society.\You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words,\you're an idiot.\Yet you lost to that idiot!\Idiot! response:	You even talk like an idiot, idiot.
context: You've only been practicing at the Shiranami Society, right?\People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words,\you're an idiot.\Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot. response:	Oh?
context: People who train together tend to use the same positioning techniques, so it's easier.\Against me, you kept touching the wrong cards.\So in other words,\you're an idiot.\Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot.\Oh? response:	Huh?
context: Against me, you kept touching the wrong cards.\So in other words,\you're an idiot.\Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot.\Oh?\Huh? response:	Huh?
context: So in other words,\you're an idiot.\Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot.\Oh?\Huh?\Huh? response:	Wait!
context: you're an idiot.\Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot.\Oh?\Huh?\Huh?\Wait! response:	I'm sorry! I'm sorry! I'm sorry!
context: Yet you lost to that idiot!\Idiot!\You even talk like an idiot, idiot.\Oh?\Huh?\Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry! response:	Why are you running away?!
context: Idiot!\You even talk like an idiot, idiot.\Oh?\Huh?\Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?! response:	Are you here because you're interested in karuta?!
context: You even talk like an idiot, idiot.\Oh?\Huh?\Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?! response:	Do you like karuta?!
context: Oh?\Huh?\Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?! response:	Y-Yes, I guess...
context: Huh?\Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess... response:	As you already know,
context: Huh?\Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess...\As you already know, response:	the Ogura Hundred Poets lived during the Kamakura period.
context: Wait!\I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period. response:	Fujiwara no Teika
context: I'm sorry! I'm sorry! I'm sorry!\Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika response:	compiled them by taking one poem each from 100 of the best poets,
context: Why are you running away?!\Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets, response:	in chronological order from Emperor Tenji to the Retired Emperor Juntoku
context: Are you here because you're interested in karuta?!\Do you like karuta?!\Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku response:	to decorate the sliding doors at the Ogura mountain villa,
context: Do you like karuta?!\Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa, response:	the summer home of the general and poet Utsunomiya Yoritsuna.
context: Y-Yes, I guess...\As you already know,\the Ogura Hundred Poets lived during the Kamakura period.\Fujiwara no Teika\compiled them by taking one poem each from 100 of the best poets,\in chronological order from Emperor Tenji to the Retired Emperor Juntoku\to decorate the sliding doors at the Ogura mountain villa,\the summer home of the general and poet Utsunomiya Yoritsuna. response:	I love the backstory.
