context: I was reunited with the young man at my friend's residence. response:	His soul, which does not know what it means to love another,
context: As luck would have it, I managed to secure an open box at the opera house.\If you like, would you care to join me this evening?\By all means, please bring your fiancee.\I can't imagine how there could be any open boxes at the opera house...\You're right.\I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father? response:	Considerate little touches like this will win her over little by little.
context: If you like, would you care to join me this evening?\By all means, please bring your fiancee.\I can't imagine how there could be any open boxes at the opera house...\You're right.\I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little. response:	Pull!
context: By all means, please bring your fiancee.\I can't imagine how there could be any open boxes at the opera house...\You're right.\I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little.\Pull! response:	Act 6: Her Melancholy, My Melancholy
context: I can't imagine how there could be any open boxes at the opera house...\You're right.\I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy response:	Don't wake her this morning.
context: You're right.\I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning. response:	Is Monsieur Debray here?
context: I'm sorry, but could you deliver this to Eugenie?\Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here? response:	Here comes Mademoiselle!
context: Albert, you're going to deliver it.\Father?\Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle! response:	Good morning, Mademoiselle.
context: Father?\Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle. response:	Good morning. Is Mother still sleeping?
context: Considerate little touches like this will win her over little by little.\Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping? response:	Yes, Mademoiselle, it looks that way.
context: Pull!\Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way. response:	Good morning, Eugenie. You're as lovely as ever.
context: Act 6: Her Melancholy, My Melancholy\Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever. response:	Good morning.
context: Don't wake her this morning.\Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning. response:	You spent the night, I see.
context: Is Monsieur Debray here?\Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see. response:	Father, your soup is getting cold.
context: Here comes Mademoiselle!\Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see.\Father, your soup is getting cold. response:	Yes, of course...
context: Good morning, Mademoiselle.\Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see.\Father, your soup is getting cold.\Yes, of course... response:	Good morning, Baron.
context: Good morning. Is Mother still sleeping?\Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see.\Father, your soup is getting cold.\Yes, of course...\Good morning, Baron. response:	Hello. I trust you slept well last night?
context: Yes, Mademoiselle, it looks that way.\Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see.\Father, your soup is getting cold.\Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night? response:	Yes, sir. Thank you for your hospitality.
context: Good morning, Eugenie. You're as lovely as ever.\Good morning.\You spent the night, I see.\Father, your soup is getting cold.\Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality. response:	By the way, about Olympus Trading...
context: Good morning.\You spent the night, I see.\Father, your soup is getting cold.\Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading... response:	I'm sure of it.
context: You spent the night, I see.\Father, your soup is getting cold.\Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it. response:	That's a valuable piece of information... Thank you!
context: Father, your soup is getting cold.\Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you! response:	I give appropriate compensation to those who give me information before anyone else.
context: Yes, of course...\Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else. response:	If you're not in a hurry, would you care to join us for breakfast?
context: Good morning, Baron.\Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast? response:	Thank you for the invitation.
context: Hello. I trust you slept well last night?\Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation. response:	I was on my way to give Eugenie her ticket.
context: Yes, sir. Thank you for your hospitality.\By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket. response:	I am on my way to visit Baron Danglars to see to some business negotiations.
context: By the way, about Olympus Trading...\I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations. response:	What a lucky coincidence! Please, allow me to introduce you to them!
context: I'm sure of it.\That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them! response:	This is indeed an unexpected stroke of good luck.
context: That's a valuable piece of information... Thank you!\I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck. response:	There are many things at their estate that you will find interesting.
context: I give appropriate compensation to those who give me information before anyone else.\If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting. response:	That reminds me, if you have time, you should ask them to show you the stables.
context: If you're not in a hurry, would you care to join us for breakfast?\Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables. response:	Madame Danglars has a horse named Eclipse that is the finest in all of Paris.
context: Thank you for the invitation.\I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris. response:	This way, Messieurs. If you will wait in the parlor for a moment...
context: I was on my way to give Eugenie her ticket.\I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment... response:	Albert!
context: I am on my way to visit Baron Danglars to see to some business negotiations.\What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert! response:	Lucien! What brings you here so early in the morning?
context: What a lucky coincidence! Please, allow me to introduce you to them!\This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning? response:	Oh, I had my hands full with this and that.
context: This is indeed an unexpected stroke of good luck.\There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that. response:	Eugenie! Good morning!
context: There are many things at their estate that you will find interesting.\That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning! response:	A man has to play his cards right.
context: That reminds me, if you have time, you should ask them to show you the stables.\Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right. response:	Right?
context: Madame Danglars has a horse named Eclipse that is the finest in all of Paris.\This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right.\Right? response:	Count! Do me the honor of allowing me to invite you to my home next time.
context: This way, Messieurs. If you will wait in the parlor for a moment...\Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time. response:	Of course. Gladly.
context: Albert!\Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly. response:	That reminds me, I'll stop by your room later!
context: Lucien! What brings you here so early in the morning?\Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later! response:	Michelle, Olympus Trading has started to fall.
context: Oh, I had my hands full with this and that.\Eugenie! Good morning!\A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall. response:	We'll pretend to prop it up, and then make it fall even farther!
context: Eugenie! Good morning!\A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther! response:	Further buying is inadvisable. It is below the insolvency line.
context: A man has to play his cards right.\Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line. response:	I don't care. Wait until it hits bottom, and then buy them out.
context: Right?\Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out. response:	Understood.
context: Count! Do me the honor of allowing me to invite you to my home next time.\Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood. response:	A few hundred investors are gonna hang themselves over this.
context: Of course. Gladly.\That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this. response:	Monsieur, the Count of Monte Cristo is waiting in the parlor.
context: That reminds me, I'll stop by your room later!\Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor. response:	He is, eh?
context: Michelle, Olympus Trading has started to fall.\We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh? response:	Michelle, have the credit assessment results...
context: We'll pretend to prop it up, and then make it fall even farther!\Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results... response:	Out of three investigatory agencies, two rate him as AA+,
context: Further buying is inadvisable. It is below the insolvency line.\I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+, response:	His peerage title is valid, as well.
context: I don't care. Wait until it hits bottom, and then buy them out.\Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well. response:	I bet. He probably paid a lot of money for it.
context: Understood.\A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it. response:	I'm terribly sorry to keep you waiting.
context: A few hundred investors are gonna hang themselves over this.\Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting. response:	Oh, you're here, too, Albert?
context: Monsieur, the Count of Monte Cristo is waiting in the parlor.\He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert? response:	Good morning, Baron. This is the Count of Monte Cristo.
context: He is, eh?\Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo. response:	I had hoped to put in a good word for him.
context: Michelle, have the credit assessment results...\Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him. response:	His Excellency mentioned that he doesn't have a bank,
context: Out of three investigatory agencies, two rate him as AA+,\His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank, response:	That was most considerate of you.
context: His peerage title is valid, as well.\I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you. response:	I'm always glad to meet fine new customers.
context: I bet. He probably paid a lot of money for it.\I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers. response:	Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.
context: I'm terribly sorry to keep you waiting.\Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now. response:	It is a pleasure to make your acquaintance.
context: Oh, you're here, too, Albert?\Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance. response:	Look, you missed a spot over here, too!
context: Good morning, Baron. This is the Count of Monte Cristo.\I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too! response:	You need to be more careful with Eclipse's grooming.
context: I had hoped to put in a good word for him.\His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming. response:	Yes, Madame.
context: His Excellency mentioned that he doesn't have a bank,\That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame. response:	And never give him anything but the feed I've specified.
context: That was most considerate of you.\I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified. response:	Yes, Madame.
context: I'm always glad to meet fine new customers.\Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame. response:	I've received a letter of introduction and contract papers...
context: Allow me to introduce Baron Danglars, the most powerful banker in Paris right now.\It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers... response:	To tell you the truth, I'm amazed that they would act as guarantor for an individual.
context: It is a pleasure to make your acquaintance.\Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual. response:	They are the largest banking firm in Eastern Space.
context: Look, you missed a spot over here, too!\You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space. response:	Indeed they are. However, there is one item in this contract that concerns me.
context: You need to be more careful with Eclipse's grooming.\Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me. response:	That concerns you?
context: Yes, Madame.\And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you? response:	According to this, no upper limit has been set to your line of credit.
context: And never give him anything but the feed I've specified.\Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit. response:	In short, it could be interpreted that my bank...
context: Yes, Madame.\I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank... response:	And does that present a problem?
context: I've received a letter of introduction and contract papers...\To tell you the truth, I'm amazed that they would act as guarantor for an individual.\They are the largest banking firm in Eastern Space.\Indeed they are. However, there is one item in this contract that concerns me.\That concerns you?\According to this, no upper limit has been set to your line of credit.\In short, it could be interpreted that my bank...\And does that present a problem? response:	This is a bit of an awkward situation.
