context: Interviews with Monster Girls response:	Oh, you're awake.
context: Yeah, it's the same as for nocturnal animals.\Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason. response:	I'm so glad I asked you!
context: Nocturnal animals have a mirror-like layer at the back of their eyes.\That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you! response:	But that same quality also makes them sensitive to bright light.
context: That layer reflects the light that enters through the retina,\allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light. response:	I know! That's why you can't take flash photos at the zoo!
context: allowing them to see clearly, even in the faintest light.\Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo! response:	Well, that's also true, but...
context: Oh! So that glow you always see in pictures of them...\Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but... response:	You should be careful not to damage your eyes.
context: Their eyes are reflecting the light that humans shine on them.\Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes. response:	The reason vampires don't handle sunlight well is probably similar.
context: Wow, that's so cool!\Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar. response:	Oh.
context: Vampires probably see well at night for the same reason.\I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh. response:	On sunny days like today, especially,
context: I'm so glad I asked you!\But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially, response:	you should look out for dizzy spells,
context: But that same quality also makes them sensitive to bright light.\I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially,\you should look out for dizzy spells, response:	and also protect yourself from sunburn.
context: I know! That's why you can't take flash photos at the zoo!\Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn. response:	Right.
context: Well, that's also true, but...\You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn.\Right. response:	Also
context: You should be careful not to damage your eyes.\The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn.\Right.\Also response:	Sensei?
context: The reason vampires don't handle sunlight well is probably similar.\Oh.\On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn.\Right.\Also\Sensei? response:	I already know all that.
context: Oh.\On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn.\Right.\Also\Sensei?\I already know all that. response:	How many years do you think I've been a vampire?
context: On sunny days like today, especially,\you should look out for dizzy spells,\and also protect yourself from sunburn.\Right.\Also\Sensei?\I already know all that.\How many years do you think I've been a vampire? response:	Oh, right... Sorry.
context: you should look out for dizzy spells,\and also protect yourself from sunburn.\Right.\Also\Sensei?\I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry. response:	It's just, well...
context: and also protect yourself from sunburn.\Right.\Also\Sensei?\I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well... response:	Earlier, I had a dream that a vampire attacked me.
context: Right.\Also\Sensei?\I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me. response:	Was it scary?
context: Also\Sensei?\I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary? response:	It made a lot of sense.
context: Sensei?\I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense. response:	How do I put it?
context: I already know all that.\How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense.\How do I put it? response:	It made me think that vampires' tendency to attack in darkness
context: How many years do you think I've been a vampire?\Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness response:	is something that comes very naturally.
context: Oh, right... Sorry.\It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally. response:	Achieving your goal
context: It's just, well...\Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal response:	by concealing your weaknesses, while fully using your strengths...
context: Earlier, I had a dream that a vampire attacked me.\Was it scary?\It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths... response:	Just as with animals,
context: Was it scary?\It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals, response:	that must be the most comfortable way for vampires to live.
context: It made a lot of sense.\How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live. response:	When I think about it like that, I feel modern vampires,
context: How do I put it?\It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires, response:	who adjust themselves to live like humans, must feel constricted.
context: It made me think that vampires' tendency to attack in darkness\is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted. response:	So I ended up giving you a lecture you didn't need.
context: is something that comes very naturally.\Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need. response:	Nah, I'm really glad you're concerned for me.
context: Achieving your goal\by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me. response:	However! You're wrong about one thing!
context: by concealing your weaknesses, while fully using your strengths...\Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing! response:	Stand up!
context: Just as with animals,\that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up! response:	Take off the lab coat!
context: that must be the most comfortable way for vampires to live.\When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up!\Take off the lab coat! response:	Wriggle, wriggle, wriggle...
context: When I think about it like that, I feel modern vampires,\who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle... response:	Ta-dah!
context: who adjust themselves to live like humans, must feel constricted.\So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah! response:	Modern vampires can hunt comfortably, too!
context: So I ended up giving you a lecture you didn't need.\Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too! response:	The vampire's white cape flows
context: Nah, I'm really glad you're concerned for me.\However! You're wrong about one thing!\Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows response:	as she searches for her prey!
context: However! You're wrong about one thing!\Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey! response:	Shiba Shortbread
context: Stand up!\Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread response:	Is that...
context: Take off the lab coat!\Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread\Is that... response:	Yes! Time to attack!
context: Wriggle, wriggle, wriggle...\Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread\Is that...\Yes! Time to attack! response:	Your panties are showing.
context: Ta-dah!\Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread\Is that...\Yes! Time to attack!\Your panties are showing. response:	Sorry! I'm really sorry!
context: Modern vampires can hunt comfortably, too!\The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread\Is that...\Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry! response:	That was an extremely insensitive thing to say...
context: The vampire's white cape flows\as she searches for her prey!\Shiba Shortbread\Is that...\Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say... response:	Then, you...
context: as she searches for her prey!\Shiba Shortbread\Is that...\Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you... response:	You should also do something silly!
context: Shiba Shortbread\Is that...\Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you...\You should also do something silly! response:	Are you nuts?
context: Is that...\Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you...\You should also do something silly!\Are you nuts? response:	Act like a vampire, too!
context: Yes! Time to attack!\Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you...\You should also do something silly!\Are you nuts?\Act like a vampire, too! response:	A vampire?
context: Your panties are showing.\Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you...\You should also do something silly!\Are you nuts?\Act like a vampire, too!\A vampire? response:	Hiss... I'm going to suck your blood.
context: Sorry! I'm really sorry!\That was an extremely insensitive thing to say...\Then, you...\You should also do something silly!\Are you nuts?\Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood. response:	His eyes aren't shining.
context: That was an extremely insensitive thing to say...\Then, you...\You should also do something silly!\Are you nuts?\Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining. response:	He's a fake vampire! Get him!
context: Then, you...\You should also do something silly!\Are you nuts?\Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him! response:	You little...
context: You should also do something silly!\Are you nuts?\Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him!\You little... response:	Oh, I have another favor to ask you...
context: Are you nuts?\Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you... response:	This Saturday, could we borrow the school pool?
context: Act like a vampire, too!\A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool? response:	The school pool is outdoors.
context: A vampire?\Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors. response:	Wouldn't an indoor one be better?
context: Hiss... I'm going to suck your blood.\His eyes aren't shining.\He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better? response:	Nah, it's fine!
context: His eyes aren't shining.\He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine! response:	Well, I guess it wouldn't be impossible.
context: He's a fake vampire! Get him!\You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible. response:	Really?
context: You little...\Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really? response:	A teacher needs to be present, though.
context: Oh, I have another favor to ask you...\This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though. response:	That's totally fine.
context: This Saturday, could we borrow the school pool?\The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though.\That's totally fine. response:	Okay, I'll ask the principal.
context: The school pool is outdoors.\Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal. response:	Yay!
context: Wouldn't an indoor one be better?\Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal.\Yay! response:	That doesn't mean anything is decided yet.
context: Nah, it's fine!\Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet. response:	I know! Splish, splish, splash.
context: Well, I guess it wouldn't be impossible.\Really?\A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash. response:	Takahashi-sensei!
context: Really?\A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei! response:	Himari-chan, good timing.
context: A teacher needs to be present, though.\That's totally fine.\Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing. response:	I wanted to ask
context: That's totally fine.\Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask response:	I understand you saw my sister's underwear?
context: Okay, I'll ask the principal.\Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear? response:	Sensei saw my panties! Now I can never get married
context: Yay!\That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married response:	Care to explain what this is all about?
context: That doesn't mean anything is decided yet.\I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about? response:	I understand now... I'm sorry this keeps happening.
context: I know! Splish, splish, splash.\Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening. response:	No, I was partially at fault this time.
context: Takahashi-sensei!\Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time. response:	Sorry for that.
context: Himari-chan, good timing.\I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that. response:	Anyway, what did you want to ask me?
context: I wanted to ask\I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me? response:	Oh, that's right.
context: I understand you saw my sister's underwear?\Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right. response:	It's just, Hikari said she wants to swim in the pool.
context: Sensei saw my panties! Now I can never get married\Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool. response:	She did?
context: Care to explain what this is all about?\I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did? response:	Sunlight is hard on vampires, as it is.
context: I understand now... I'm sorry this keeps happening.\No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is. response:	Wouldn't swimming outdoors be really uncomfortable for her?
context: No, I was partially at fault this time.\Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her? response:	Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.
context: Sorry for that.\Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei. response:	It seemed wrong to proceed without permission from you and your parents.
context: Anyway, what did you want to ask me?\Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents. response:	I don't see any problem.
context: Oh, that's right.\It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem. response:	Yeah, I figured...
context: It's just, Hikari said she wants to swim in the pool.\She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured... response:	Wait, you don't?
context: She did?\Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured...\Wait, you don't? response:	If that's what she wants, it'll be fine.
context: Sunlight is hard on vampires, as it is.\Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine. response:	The way my sister is...
context: Wouldn't swimming outdoors be really uncomfortable for her?\Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is... response:	Spending a summer day, just playing around isn't unusual for her.
context: Sensei saw my panties! Now I can never get married! I just heard the whole story from Takahashi-sensei.\It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her. response:	Let her do as she pleases.
context: It seemed wrong to proceed without permission from you and your parents.\I don't see any problem.\Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases. response:	Really?
context: I don't see any problem.\Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really? response:	Why don't we go for drinks sometime?
context: Yeah, I figured...\Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really?\Why don't we go for drinks sometime? response:	What if we really do end up going?
context: Wait, you don't?\If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really?\Why don't we go for drinks sometime?\What if we really do end up going? response:	What should I drink?
context: If that's what she wants, it'll be fine.\The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really?\Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink? response:	I like beer, but that might make me seem like an old man.
context: The way my sister is...\Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really?\Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink?\I like beer, but that might make me seem like an old man. response:	Cocktails? Shochu highball?
context: Spending a summer day, just playing around isn't unusual for her.\Let her do as she pleases.\Really?\Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink?\I like beer, but that might make me seem like an old man.\Cocktails? Shochu highball? response:	A lemon highball seems like an old man's drink, too!
context: Let her do as she pleases.\Really?\Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink?\I like beer, but that might make me seem like an old man.\Cocktails? Shochu highball?\A lemon highball seems like an old man's drink, too! response:	More importantly, what if something happens due to the alcohol?
context: Really?\Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink?\I like beer, but that might make me seem like an old man.\Cocktails? Shochu highball?\A lemon highball seems like an old man's drink, too!\More importantly, what if something happens due to the alcohol? response:	Ugaki-san
context: Why don't we go for drinks sometime?\What if we really do end up going?\What should I drink?\I like beer, but that might make me seem like an old man.\Cocktails? Shochu highball?\A lemon highball seems like an old man's drink, too!\More importantly, what if something happens due to the alcohol?\Ugaki-san response:	Satou Sakie
