context: Doctor! Doctor Koike! response:	How are you feeling?
context: I'm sure it's rough on you being so sudden.\But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything.\Hey...\did I...\do even one thing for her...\Was I able... response:	to repay her?
context: But for her sake, you have to keep looking forward, okay?\Time can heal many wounds in this world.\Though it won't heal everything.\Hey...\did I...\do even one thing for her...\Was I able...\to repay her? response:	Not yet...
context: Time can heal many wounds in this world.\Though it won't heal everything.\Hey...\did I...\do even one thing for her...\Was I able...\to repay her?\Not yet... response:	I didn't repay her at all.
context: Though it won't heal everything.\Hey...\did I...\do even one thing for her...\Was I able...\to repay her?\Not yet...\I didn't repay her at all. response:	To think she would be gone so fast...
context: Hey...\did I...\do even one thing for her...\Was I able...\to repay her?\Not yet...\I didn't repay her at all.\To think she would be gone so fast... response:	I didn't even think about it.
context: did I...\do even one thing for her...\Was I able...\to repay her?\Not yet...\I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it. response:	Even if I wanted to repay...
context: do even one thing for her...\Was I able...\to repay her?\Not yet...\I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay... response:	I can't repay her anymore...
context: Was I able...\to repay her?\Not yet...\I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore... response:	Episode 7 The End of the Exodus
context: to repay her?\Not yet...\I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus response:	Was there... anything left?
context: Not yet...\I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left? response:	Otosaka house - Secret Pizza Sauce
context: I didn't repay her at all.\To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce response:	Otosaka!
context: To think she would be gone so fast...\I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka! response:	Otosaka, if you haven't eaten yet, would you like to eat together?
context: I didn't even think about it.\Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together? response:	Here, see, I made some cream stew!
context: Even if I wanted to repay...\I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew! response:	It's Yusarin's special cream stew, you know?
context: I can't repay her anymore...\Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know? response:	I don't want any.
context: Episode 7 The End of the Exodus\Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any. response:	Well... what should we do?
context: Was there... anything left?\Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do? response:	Let's look again.
context: Otosaka house - Secret Pizza Sauce\Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do?\Let's look again. response:	Unfortunately, he's already gone back.
context: Otosaka!\Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do?\Let's look again.\Unfortunately, he's already gone back. response:	Something always worth eating! Yusarin's special cream stew is...
context: Otosaka, if you haven't eaten yet, would you like to eat together?\Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do?\Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is... response:	Such a turn-off!
context: Here, see, I made some cream stew!\It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do?\Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off! response:	I'll make Yusa make as much as you want!
context: It's Yusarin's special cream stew, you know?\I don't want any.\Well... what should we do?\Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want! response:	So use your power to break this door!
context: I don't want any.\Well... what should we do?\Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door! response:	I can break fortified glass, but this door is impossible!
context: Well... what should we do?\Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible! response:	Due to security reasons,
context: Let's look again.\Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons, response:	it's made a lot sturdier than normal condos!
context: Unfortunately, he's already gone back.\Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos! response:	You're so useless...
context: Something always worth eating! Yusarin's special cream stew is...\Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless... response:	Even if I burn this, nothing comes of it...
context: Such a turn-off!\I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it... response:	My usual sense doesn't shine through at all!
context: I'll make Yusa make as much as you want!\So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all! response:	And I thought I knew the pain of losing
context: So use your power to break this door!\I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing response:	a sister more than the average person...
context: I can break fortified glass, but this door is impossible!\Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person... response:	Well... what happened in the end?
context: Due to security reasons,\it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end? response:	It seems we need a bit more time.
context: it's made a lot sturdier than normal condos!\You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time. response:	Indeed. Then, let's come back again later.
context: You're so useless...\Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later. response:	Excuse me, I'm going to just barge in without permission.
context: Even if I burn this, nothing comes of it...\My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission. response:	Um, it's me, Shirayanagi.
context: My usual sense doesn't shine through at all!\And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi. response:	Well...
context: And I thought I knew the pain of losing\a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well... response:	Was he all right?
context: a sister more than the average person...\Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well...\Was he all right? response:	Yes! I think he's all right!
context: Well... what happened in the end?\It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well...\Was he all right?\Yes! I think he's all right! response:	Then, I'm leaving you with the rest!
context: It seems we need a bit more time.\Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well...\Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest! response:	Who is it...
context: Indeed. Then, let's come back again later.\Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well...\Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it... response:	It's me, Shirayanagi, the one you saved the life of in the past.
context: Excuse me, I'm going to just barge in without permission.\Um, it's me, Shirayanagi.\Well...\Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past. response:	So?
context: Um, it's me, Shirayanagi.\Well...\Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So? response:	I heard that you haven't been to school ever since...
context: Well...\Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since... response:	About your little sister...
context: Was he all right?\Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since...\About your little sister... response:	I'm terribly sorry.
context: Yes! I think he's all right!\Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry. response:	I'm in no position to be able to say this, but is there anything I can do
context: Then, I'm leaving you with the rest!\Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do response:	Nothing.
context: Who is it...\It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing. response:	Anything is fine. Otosaka, I want to be of help to you!
context: It's me, Shirayanagi, the one you saved the life of in the past.\So?\I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you! response:	Help to me? There's no need for that. I'm totally fine.
context: So?\I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine. response:	There's no way that's true.
context: I heard that you haven't been to school ever since...\About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true. response:	I mean, you've only been eating cup-o-noodles, right?
context: About your little sister...\I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right? response:	I like them, so it's fine.
context: I'm terribly sorry.\I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine. response:	Well then... those pancakes we ate together.
context: I'm in no position to be able to say this, but is there anything I can do\Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together. response:	How about we go eat that again?
context: Nothing.\Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again? response:	Pancakes? When did we eat that?
context: Anything is fine. Otosaka, I want to be of help to you!\Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that? response:	The day you saved my life.
context: Help to me? There's no need for that. I'm totally fine.\There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life. response:	Cup-o-noodles and pancakes...
context: There's no way that's true.\I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes... response:	aren't they about the same nutrition-wise?
context: I mean, you've only been eating cup-o-noodles, right?\I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise? response:	That may be true... but...
context: I like them, so it's fine.\Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but... response:	in any case, we should head outside?
context: Well then... those pancakes we ate together.\How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside? response:	Oh yeah.
context: How about we go eat that again?\Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside?\Oh yeah. response:	I'm so glad...
context: Pancakes? When did we eat that?\The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside?\Oh yeah.\I'm so glad... response:	Then, can I ask you to go buy cases of cup-o-noodles?
context: The day you saved my life.\Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside?\Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles? response:	You're going to run an errand for me, right?
context: Cup-o-noodles and pancakes...\aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside?\Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right? response:	Cup-o-noodles. I don't care what kind.
context: aren't they about the same nutrition-wise?\That may be true... but...\in any case, we should head outside?\Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind. response:	No, no... Otosaka, you're coming with me!
context: That may be true... but...\in any case, we should head outside?\Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me! response:	I'm not going to go. I'll pay you back later.
context: in any case, we should head outside?\Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later. response:	I won't go unless you're coming with me!
context: Oh yeah.\I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me! response:	You won't go unless I'm coming with you?
context: I'm so glad...\Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you? response:	Shirayanagi, was it?
context: Then, can I ask you to go buy cases of cup-o-noodles?\You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it? response:	Are you... my legal guardian?
context: You're going to run an errand for me, right?\Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian? response:	No, I don't mean it like that at all!
context: Cup-o-noodles. I don't care what kind.\No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all! response:	But, in my own way, I think about you
context: No, no... Otosaka, you're coming with me!\I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you response:	- You're not here to run errands for me?
context: I'm not going to go. I'll pay you back later.\I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me? response:	Right now, Otosaka, it's important for you to step outside!
context: I won't go unless you're coming with me!\You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside! response:	If you stay cooped up, your get more and more ill mentally...
context: You won't go unless I'm coming with you?\Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally... response:	Mentally ill?
context: Shirayanagi, was it?\Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill? response:	Yes.
context: Are you... my legal guardian?\No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes. response:	That's why I've been telling you.
context: No, I don't mean it like that at all!\But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes.\That's why I've been telling you. response:	I'm totally fine.
context: But, in my own way, I think about you\- You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes.\That's why I've been telling you.\I'm totally fine. response:	People who are fine don't live like this!
context: - You're not here to run errands for me?\Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes.\That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this! response:	It's proof that you are mentally ill!
context: Right now, Otosaka, it's important for you to step outside!\If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes.\That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill! response:	Don't go off and treat people like they're sick!!
context: If you stay cooped up, your get more and more ill mentally...\Mentally ill?\Yes.\That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!! response:	If you won't run errands, can you go home?
context: Mentally ill?\Yes.\That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home? response:	Fine... I'm sorry for doing something unnecessary.
context: Yes.\That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary. response:	I have to go stock up again...
context: That's why I've been telling you.\I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again... response:	I guess they're here to capture me by force...
context: I'm totally fine.\People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force... response:	Shirayanagi may have been acting because she was asked to.
context: People who are fine don't live like this!\It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to. response:	Which means, this may be the timing for my exit.
context: It's proof that you are mentally ill!\Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit. response:	I'll be going out for a while.
context: Don't go off and treat people like they're sick!!\If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while. response:	With this much, I'm sure I can live for a while without going back home...
context: If you won't run errands, can you go home?\Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home... response:	Withdrawal Fee Balance Left
context: Fine... I'm sorry for doing something unnecessary.\I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left response:	So that the soaking wet guy can't find me,
context: I have to go stock up again...\I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me, response:	I need to escape to somewhere far away...
context: I guess they're here to capture me by force...\Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away... response:	I think I've come pretty far now...
context: Shirayanagi may have been acting because she was asked to.\Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away...\I think I've come pretty far now... response:	Internet and Comic Cafe
context: Which means, this may be the timing for my exit.\I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away...\I think I've come pretty far now...\Internet and Comic Cafe response:	I've gotten sick of noodles, so I guess I'll have some pizza.
context: I'll be going out for a while.\With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away...\I think I've come pretty far now...\Internet and Comic Cafe\I've gotten sick of noodles, so I guess I'll have some pizza. response:	Surprisingly enough, I can be hard to find...
context: With this much, I'm sure I can live for a while without going back home...\Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away...\I think I've come pretty far now...\Internet and Comic Cafe\I've gotten sick of noodles, so I guess I'll have some pizza.\Surprisingly enough, I can be hard to find... response:	Excuse me.
context: Withdrawal Fee Balance Left\So that the soaking wet guy can't find me,\I need to escape to somewhere far away...\I think I've come pretty far now...\Internet and Comic Cafe\I've gotten sick of noodles, so I guess I'll have some pizza.\Surprisingly enough, I can be hard to find...\Excuse me. response:	Your pizza... and a salad.
