context: It was a cliff. response:	A cliff?
context: You said so yourself, right? That we'll stay alive together!\But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing. response:	It's pointless to argue. I won't change my mind.
context: But you were already planning to...\Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind. response:	I did what I can today.
context: Yeah. Sorry, I lied.\I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today. response:	I'm leaving the rest to you.
context: I can't afford to make a mistake.\Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you. response:	Make sure the escape succe
context: Because I can't let anyone die.\If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe response:	Wait, Norman.
context: If I run away, the plan will deviate.\If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman. response:	So warm...
context: If it deviates even a little, it'll be problematic.\I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman.\So warm... response:	Thank you for everything.
context: I don't even want a chance of losing.\It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman.\So warm...\Thank you for everything. response:	Because of you two, I had a good life.
context: It's pointless to argue. I won't change my mind.\I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman.\So warm...\Thank you for everything.\Because of you two, I had a good life. response:	I had fun.
context: I did what I can today.\I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman.\So warm...\Thank you for everything.\Because of you two, I had a good life.\I had fun. response:	I was happy.
context: I'm leaving the rest to you.\Make sure the escape succe\Wait, Norman.\So warm...\Thank you for everything.\Because of you two, I had a good life.\I had fun.\I was happy. response:	I was fortunate.
context: Make sure the escape succe\Wait, Norman.\So warm...\Thank you for everything.\Because of you two, I had a good life.\I had fun.\I was happy.\I was fortunate. response:	Damn.
context: Wait, Norman.\So warm...\Thank you for everything.\Because of you two, I had a good life.\I had fun.\I was happy.\I was fortunate.\Damn. response:	Damn it.
context: So warm...\Thank you for everything.\Because of you two, I had a good life.\I had fun.\I was happy.\I was fortunate.\Damn.\Damn it. response:	Damn it!
context: Thank you for everything.\Because of you two, I had a good life.\I had fun.\I was happy.\I was fortunate.\Damn.\Damn it.\Damn it! response:	Hey, Norman.
context: Because of you two, I had a good life.\I had fun.\I was happy.\I was fortunate.\Damn.\Damn it.\Damn it!\Hey, Norman. response:	It's still not too late to run away.
context: I had fun.\I was happy.\I was fortunate.\Damn.\Damn it.\Damn it!\Hey, Norman.\It's still not too late to run away. response:	Run and hide in the forest.
context: I was happy.\I was fortunate.\Damn.\Damn it.\Damn it!\Hey, Norman.\It's still not too late to run away.\Run and hide in the forest. response:	Like I just said, I'm not going to change my mind.
context: I was fortunate.\Damn.\Damn it.\Damn it!\Hey, Norman.\It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind. response:	See you.
context: Damn.\Damn it.\Damn it!\Hey, Norman.\It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you. response:	You've caught a cold again.
context: Damn it.\Damn it!\Hey, Norman.\It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again. response:	No more snowball fights, okay?
context: Damn it!\Hey, Norman.\It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again.\No more snowball fights, okay? response:	We can't play with Norman?
context: Hey, Norman.\It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman? response:	Not until he gets better.
context: It's still not too late to run away.\Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman?\Not until he gets better. response:	So listen everyone, don't enter the infirmary for a while, all right?
context: Run and hide in the forest.\Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right? response:	Okay.
context: Like I just said, I'm not going to change my mind.\See you.\You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay. response:	E-Emma!
context: See you.\You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma! response:	I came to visit!
context: You've caught a cold again.\No more snowball fights, okay?\We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma!\I came to visit! response:	Why? You can't come in here.
context: No more snowball fights, okay?\We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma!\I came to visit!\Why? You can't come in here. response:	But Norman, you always feel lonely every time you get sick.
context: We can't play with Norman?\Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma!\I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick. response:	I didn't want you to feel sad.
context: Not until he gets better.\So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma!\I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad. response:	I'll talk so you don't have to, so let's hang out!
context: So listen everyone, don't enter the infirmary for a while, all right?\Okay.\E-Emma!\I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out! response:	No, we can't. You'll catch my cold.
context: Okay.\E-Emma!\I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold. response:	I won't.
context: E-Emma!\I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't. response:	I was told that I don't get sick.
context: I came to visit!\Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick. response:	Oh, Emma!
context: Why? You can't come in here.\But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick.\Oh, Emma! response:	When did you sneak in?
context: But Norman, you always feel lonely every time you get sick.\I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick.\Oh, Emma!\When did you sneak in? response:	What would you do if you got sick, too.
context: I didn't want you to feel sad.\I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick.\Oh, Emma!\When did you sneak in?\What would you do if you got sick, too. response:	But Ray said I'll be fine.
context: I'll talk so you don't have to, so let's hang out!\No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick.\Oh, Emma!\When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine. response:	Ray?
context: No, we can't. You'll catch my cold.\I won't.\I was told that I don't get sick.\Oh, Emma!\When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine.\Ray? response:	This book said idiots don't get sick.
context: I won't.\I was told that I don't get sick.\Oh, Emma!\When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine.\Ray?\This book said idiots don't get sick. response:	In any case...
context: I was told that I don't get sick.\Oh, Emma!\When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine.\Ray?\This book said idiots don't get sick.\In any case... response:	you can't be here.
context: Oh, Emma!\When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine.\Ray?\This book said idiots don't get sick.\In any case...\you can't be here. response:	Don't go near the infirmary anymore.
context: When did you sneak in?\What would you do if you got sick, too.\But Ray said I'll be fine.\Ray?\This book said idiots don't get sick.\In any case...\you can't be here.\Don't go near the infirmary anymore. response:	Understood, Emma?
context: What would you do if you got sick, too.\But Ray said I'll be fine.\Ray?\This book said idiots don't get sick.\In any case...\you can't be here.\Don't go near the infirmary anymore.\Understood, Emma? response:	Okay.
context: But Ray said I'll be fine.\Ray?\This book said idiots don't get sick.\In any case...\you can't be here.\Don't go near the infirmary anymore.\Understood, Emma?\Okay. response:	I'm back!
context: Ray?\This book said idiots don't get sick.\In any case...\you can't be here.\Don't go near the infirmary anymore.\Understood, Emma?\Okay.\I'm back! response:	- Emma, you can't... - Here, this is for you.
context: This book said idiots don't get sick.\In any case...\you can't be here.\Don't go near the infirmary anymore.\Understood, Emma?\Okay.\I'm back!\- Emma, you can't... - Here, this is for you. response:	A cup?
context: In any case...\you can't be here.\Don't go near the infirmary anymore.\Understood, Emma?\Okay.\I'm back!\- Emma, you can't... - Here, this is for you.\A cup? response:	Ray taught me how to make it.
context: you can't be here.\Don't go near the infirmary anymore.\Understood, Emma?\Okay.\I'm back!\- Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it. response:	Emma!
context: Don't go near the infirmary anymore.\Understood, Emma?\Okay.\I'm back!\- Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it.\Emma! response:	Geez, you really don't give up, do you?
context: Understood, Emma?\Okay.\I'm back!\- Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you? response:	He said we can talk by using these!
context: Okay.\I'm back!\- Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you?\He said we can talk by using these! response:	Hello?
context: I'm back!\- Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you?\He said we can talk by using these!\Hello? response:	Norman, can you hear me?
context: - Emma, you can't... - Here, this is for you.\A cup?\Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you?\He said we can talk by using these!\Hello?\Norman, can you hear me? response:	Yeah, I can hear you.
context: A cup?\Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you?\He said we can talk by using these!\Hello?\Norman, can you hear me?\Yeah, I can hear you. response:	Ray!
context: Ray taught me how to make it.\Emma!\Geez, you really don't give up, do you?\He said we can talk by using these!\Hello?\Norman, can you hear me?\Yeah, I can hear you.\Ray! response:	Amazing! Now we can talk even though I'm out here! Yay!
context: Emma!\Geez, you really don't give up, do you?\He said we can talk by using these!\Hello?\Norman, can you hear me?\Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay! response:	If you yell like that, you don't even need the string phone.
context: Geez, you really don't give up, do you?\He said we can talk by using these!\Hello?\Norman, can you hear me?\Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone. response:	Oh yeah.
context: He said we can talk by using these!\Hello?\Norman, can you hear me?\Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah. response:	Thanks for waiting, Mom.
context: Hello?\Norman, can you hear me?\Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom. response:	Sure. Let's go, Norman.
context: Norman, can you hear me?\Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman. response:	Everyone's waiting.
context: Yeah, I can hear you.\Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting. response:	- Don't get sick, okay? - Good luck.
context: Ray!\Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck. response:	Norman!
context: Amazing! Now we can talk even though I'm out here! Yay!\If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman! response:	Sherry, please don't cry.
context: If you yell like that, you don't even need the string phone.\Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry. response:	Instead of a crying face, send me off with a smile, okay?
context: Oh yeah.\Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay? response:	Okay.
context: Thanks for waiting, Mom.\Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay. response:	Norman...
context: Sure. Let's go, Norman.\Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay.\Norman... response:	Phil.
context: Everyone's waiting.\- Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay.\Norman...\Phil. response:	Can I count on you to help Emma in my place?
context: - Don't get sick, okay? - Good luck.\Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay.\Norman...\Phil.\Can I count on you to help Emma in my place? response:	Yes.
context: Norman!\Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay.\Norman...\Phil.\Can I count on you to help Emma in my place?\Yes. response:	Emma, where's Ray?
context: Sherry, please don't cry.\Instead of a crying face, send me off with a smile, okay?\Okay.\Norman...\Phil.\Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray? response:	The infirmary.
context: Instead of a crying face, send me off with a smile, okay?\Okay.\Norman...\Phil.\Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray?\The infirmary. response:	He said he didn't want to see Norman off.
context: Okay.\Norman...\Phil.\Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off. response:	I see.
context: Norman...\Phil.\Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off.\I see. response:	Don. Gilda.
context: Phil.\Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off.\I see.\Don. Gilda. response:	Take care of Emma and Ray, okay?
context: Can I count on you to help Emma in my place?\Yes.\Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off.\I see.\Don. Gilda.\Take care of Emma and Ray, okay? response:	O-Of course. Leave it to us!
context: Yes.\Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off.\I see.\Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us! response:	Emma.
context: Emma, where's Ray?\The infirmary.\He said he didn't want to see Norman off.\I see.\Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma. response:	Take care of everyone, okay?
context: The infirmary.\He said he didn't want to see Norman off.\I see.\Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma.\Take care of everyone, okay? response:	Okay, everyone. Goodbye.
context: He said he didn't want to see Norman off.\I see.\Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye. response:	Norman!
context: I see.\Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman! response:	Thank you for everything.
context: Don. Gilda.\Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman!\Thank you for everything. response:	- See you later! - Good luck!
context: Take care of Emma and Ray, okay?\O-Of course. Leave it to us!\Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman!\Thank you for everything.\- See you later! - Good luck! response:	- Norman! - Bye!
context: O-Of course. Leave it to us!\Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman!\Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye! response:	Norman!
context: Emma.\Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman!\Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye!\Norman! response:	Emma.
context: Take care of everyone, okay?\Okay, everyone. Goodbye.\Norman!\Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye!\Norman!\Emma. response:	I'll distract Mom.
context: Okay, everyone. Goodbye.\Norman!\Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye!\Norman!\Emma.\I'll distract Mom. response:	Please, run!
context: Norman!\Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye!\Norman!\Emma.\I'll distract Mom.\Please, run! response:	Idiot! I know you're reckless, but this is too far, Emma!
context: Thank you for everything.\- See you later! - Good luck!\- Norman! - Bye!\Norman!\Emma.\I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma! response:	This isn't what you should be doing right now!
context: - See you later! - Good luck!\- Norman! - Bye!\Norman!\Emma.\I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now! response:	Shut up! I won't let you go!
context: - Norman! - Bye!\Norman!\Emma.\I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go! response:	A fight?
context: Norman!\Emma.\I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight? response:	Why can't you understand?
context: Emma.\I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight?\Why can't you understand? response:	I'm not wishing for any of that.
context: I'll distract Mom.\Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight?\Why can't you understand?\I'm not wishing for any of that. response:	I just want you to send me off with a smile.
context: Please, run!\Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight?\Why can't you understand?\I'm not wishing for any of that.\I just want you to send me off with a smile. response:	Please understand how I feel.
context: Idiot! I know you're reckless, but this is too far, Emma!\This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight?\Why can't you understand?\I'm not wishing for any of that.\I just want you to send me off with a smile.\Please understand how I feel. response:	No. I just can't respect those feelings!
context: This isn't what you should be doing right now!\Shut up! I won't let you go!\A fight?\Why can't you understand?\I'm not wishing for any of that.\I just want you to send me off with a smile.\Please understand how I feel.\No. I just can't respect those feelings! response:	Especially if you don't even want to go!
