context: Signs response:	Are you looking for something, Ivica?
context: I know!\If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well. response:	Aren't they just playing you for a fool?
context: If you don't come back on time, I'll call the police!\Oh, come on...\Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool? response:	Oh, shut up.
context: Oh, come on...\Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up. response:	We went over this already!
context: Such a drag.\But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up.\We went over this already! response:	It's the newest beacon controller.
context: But you know,\a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up.\We went over this already!\It's the newest beacon controller. response:	As long as this is online, the Japanese army will lead us safely and soundly to them.
context: a hundred thousand for delivering the IFO's ECU is easy money.\But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up.\We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them. response:	That's what they said.
context: But Gazelle, are you sure it's a good idea to trust the Japanese army?\And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up.\We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said. response:	I'm more concerned with what they didn't tell us.
context: And they gave you that weird gadget as well.\Aren't they just playing you for a fool?\Oh, shut up.\We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us. response:	If you guys aren't interested, feel free to go home.
context: Aren't they just playing you for a fool?\Oh, shut up.\We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home. response:	I'll keep all the money.
context: Oh, shut up.\We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money. response:	Gazelle!
context: We went over this already!\It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle! response:	What's wrong? What happened, Gazelle?
context: It's the newest beacon controller.\As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle? response:	I'm okay, but something's on fire.
context: As long as this is online, the Japanese army will lead us safely and soundly to them.\That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire. response:	Looks like my generator's blown.
context: That's what they said.\I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown. response:	I need to land. Keep a lookout for me.
context: I'm more concerned with what they didn't tell us.\If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me. response:	Roger!
context: If you guys aren't interested, feel free to go home.\I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger! response:	What was that?
context: I'll keep all the money.\Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger!\What was that? response:	God dammit!
context: Gazelle!\What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger!\What was that?\God dammit! response:	You brat!
context: What's wrong? What happened, Gazelle?\I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger!\What was that?\God dammit!\You brat! response:	The fuck are you doing here, brat?!
context: I'm okay, but something's on fire.\Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger!\What was that?\God dammit!\You brat!\The fuck are you doing here, brat?! response:	What? You nearly killed me because you can't drive!
context: Looks like my generator's blown.\I need to land. Keep a lookout for me.\Roger!\What was that?\God dammit!\You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive! response:	Try saying that again!
context: I need to land. Keep a lookout for me.\Roger!\What was that?\God dammit!\You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again! response:	You're a terrible driver!
context: Roger!\What was that?\God dammit!\You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver! response:	Wait, Gazelle!
context: What was that?\God dammit!\You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver!\Wait, Gazelle! response:	We don't have time to deal with kids!
context: God dammit!\You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids! response:	Pippo!
context: You brat!\The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids!\Pippo! response:	What the hell are you doing?!
context: The fuck are you doing here, brat?!\What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids!\Pippo!\What the hell are you doing?! response:	But...
context: What? You nearly killed me because you can't drive!\Try saying that again!\You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids!\Pippo!\What the hell are you doing?!\But... response:	What are we gonna do if the cargo gets damaged?
context: Try saying that again!\You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids!\Pippo!\What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged? response:	We won't even see a cent of our money!
context: You're a terrible driver!\Wait, Gazelle!\We don't have time to deal with kids!\Pippo!\What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money! response:	Oh, come on...
context: Wait, Gazelle!\We don't have time to deal with kids!\Pippo!\What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on... response:	What's this?
context: We don't have time to deal with kids!\Pippo!\What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on...\What's this? response:	Anyway, just hurry!
context: Pippo!\What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on...\What's this?\Anyway, just hurry! response:	If there's a transmitter on the case, the Japanese army will wonder why we opened it!
context: What the hell are you doing?!\But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on...\What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it! response:	The Japanese army?
context: But...\What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on...\What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army? response:	Come on, Pippo. We should hurry.
context: What are we gonna do if the cargo gets damaged?\We won't even see a cent of our money!\Oh, come on...\What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry. response:	You're lucky. If we weren't in a hurry...
context: We won't even see a cent of our money!\Oh, come on...\What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry... response:	No luck here, Gazelle.
context: Oh, come on...\What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle. response:	I've never seen an ECU act like this. I can't do anything about it!
context: What's this?\Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it! response:	It's your job to do something about it!
context: Anyway, just hurry!\If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it! response:	Easier said than done...
context: If there's a transmitter on the case, the Japanese army will wonder why we opened it!\The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done... response:	I've never seen something like this before.
context: The Japanese army?\Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done...\I've never seen something like this before. response:	What should we do?
context: Come on, Pippo. We should hurry.\You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done...\I've never seen something like this before.\What should we do? response:	We don't have time.
context: You're lucky. If we weren't in a hurry...\No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done...\I've never seen something like this before.\What should we do?\We don't have time. response:	Hey, where do you think you're going?
context: No luck here, Gazelle.\I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done...\I've never seen something like this before.\What should we do?\We don't have time.\Hey, where do you think you're going? response:	You're the kid who lives at Fukai's, right?
context: I've never seen an ECU act like this. I can't do anything about it!\It's your job to do something about it!\Easier said than done...\I've never seen something like this before.\What should we do?\We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right? response:	You mind lending me an FP?
context: It's your job to do something about it!\Easier said than done...\I've never seen something like this before.\What should we do?\We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP? response:	He must have some spares laying around.
context: Easier said than done...\I've never seen something like this before.\What should we do?\We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around. response:	I mean, since he has the money to raise some random foreign kid and all.
context: I've never seen something like this before.\What should we do?\We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all. response:	What?
context: What should we do?\We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What? response:	What happened?
context: We don't have time.\Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What?\What happened? response:	The ECU!
context: Hey, where do you think you're going?\You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What?\What happened?\The ECU! response:	The ECU suddenly
context: You're the kid who lives at Fukai's, right?\You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What?\What happened?\The ECU!\The ECU suddenly response:	Don't just stare at it!
context: You mind lending me an FP?\He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What?\What happened?\The ECU!\The ECU suddenly\Don't just stare at it! response:	What the hell are you doing?!
context: He must have some spares laying around.\I mean, since he has the money to raise some random foreign kid and all.\What?\What happened?\The ECU!\The ECU suddenly\Don't just stare at it!\What the hell are you doing?! response:	What do you mean what?!
context: I mean, since he has the money to raise some random foreign kid and all.\What?\What happened?\The ECU!\The ECU suddenly\Don't just stare at it!\What the hell are you doing?!\What do you mean what?! response:	You should've learned about this in school!
context: What?\What happened?\The ECU!\The ECU suddenly\Don't just stare at it!\What the hell are you doing?!\What do you mean what?!\You should've learned about this in school! response:	It's a Scub Burst!
context: What happened?\The ECU!\The ECU suddenly\Don't just stare at it!\What the hell are you doing?!\What do you mean what?!\You should've learned about this in school!\It's a Scub Burst! response:	We can't do anything about it. Our FPs
context: The ECU!\The ECU suddenly\Don't just stare at it!\What the hell are you doing?!\What do you mean what?!\You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs response:	Where are you going?!
context: The ECU suddenly\Don't just stare at it!\What the hell are you doing?!\What do you mean what?!\You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?! response:	Gazelle! Hey, Gazelle!
context: Don't just stare at it!\What the hell are you doing?!\What do you mean what?!\You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle! response:	What are you doing! We should run away!
context: What the hell are you doing?!\What do you mean what?!\You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away! response:	This is bad...
context: What do you mean what?!\You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad... response:	This could turn into an ugly mess!
context: You should've learned about this in school!\It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad...\This could turn into an ugly mess! response:	This may have been an ugly mess all along.
context: It's a Scub Burst!\We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along. response:	I'm already done with today's data...
context: We can't do anything about it. Our FPs\Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data... response:	Sorry, it's time to scramble.
context: Where are you going?!\Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble. response:	Why can't you call on another team?
context: Gazelle! Hey, Gazelle!\What are you doing! We should run away!\This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team? response:	We should let the kids rest.
context: What are you doing! We should run away!\This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest. response:	There was a Scub Coral signal.
context: This is bad...\This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal. response:	That happens all the time, Rebecka!
context: This could turn into an ugly mess!\This may have been an ugly mess all along.\I'm already done with today's data...\Sorry, it's time to scramble.\Why can't you call on another team?\We should let the kids rest.\There was a Scub Coral signal.\That happens all the time, Rebecka! response:	That's true, but take a look at the location.
