context: Signs response:	Opening
context: Sure is a lot.\But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong!\You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you! response:	Good morning!
context: But you bought this one with the money you got from New Year's...\Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong!\You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning! response:	Mom, it's Yuuta's entrance ceremony today.
context: Can you just leave it alone?\I remember you declaring you would rule the world with this, though.\You remember wrong!\You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today. response:	Remember?
context: I remember you declaring you would rule the world with this, though.\You remember wrong!\You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember? response:	Oh, right!
context: You remember wrong!\You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right! response:	Don't worry about it.
context: You did!\You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right!\Don't worry about it. response:	Parents don't usually attend high school entrance ceremonies anyway.
context: You used to wear that weird coat a lot back then too.\Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway. response:	Sorry!
context: Shut up! If I can live without remembering that, so can you!\Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry! response:	I'm sorry.
context: Good morning!\Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry. response:	Please, you first.
context: Mom, it's Yuuta's entrance ceremony today.\Remember?\Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry.\Please, you first. response:	Thanks!
context: Remember?\Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry.\Please, you first.\Thanks! response:	Judging from her uniform, she goes to the same high school as me.
context: Oh, right!\Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry.\Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me. response:	It's her! That girl from yesterday!
context: Don't worry about it.\Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry.\Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday! response:	It opened?!
context: Parents don't usually attend high school entrance ceremonies anyway.\Sorry!\I'm sorry.\Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?! response:	For some reason I got on a later train!
context: Sorry!\I'm sorry.\Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train! response:	I don't know anyone here.
context: I'm sorry.\Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train!\I don't know anyone here. response:	Well, that's no surprise.
context: Please, you first.\Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise. response:	I intentionally chose a different high school to everyone else from my junior high.
context: Thanks!\Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high. response:	The first impression is the most important!
context: Judging from her uniform, she goes to the same high school as me.\It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important! response:	Don't be over-conscious!
context: It's her! That girl from yesterday!\It opened?!\For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious! response:	Just blend in smoothly!
context: It opened?!\For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly! response:	I'm Togashi Yuuta.
context: For some reason I got on a later train!\I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta. response:	I can never loose this cursed bandage from my arm, and for good reason.
context: I don't know anyone here.\Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason. response:	Doing so would unleash the Black Flame Dragon on this world.
context: Well, that's no surprise.\I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world. response:	That memory pains my heart.
context: I intentionally chose a different high school to everyone else from my junior high.\The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart. response:	I've been on my own in that class ever since.
context: The first impression is the most important!\Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since. response:	Whatever! Don't worry about the past!
context: Don't be over-conscious!\Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past! response:	No one here knows me from back then!
context: Just blend in smoothly!\I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then! response:	I am the Dark Flame Master!
context: I'm Togashi Yuuta.\I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master! response:	Perish, enveloped in the flames of darkness!
context: I can never loose this cursed bandage from my arm, and for good reason.\Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness! response:	Contained and sealed!
context: Doing so would unleash the Black Flame Dragon on this world.\That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed! response:	This is mine?
context: That memory pains my heart.\I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine? response:	Hey, hey.
context: I've been on my own in that class ever since.\Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine?\Hey, hey. response:	Could you spare me some pencil lead?
context: Whatever! Don't worry about the past!\No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine?\Hey, hey.\Could you spare me some pencil lead? response:	Oh, sure.
context: No one here knows me from back then!\I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine?\Hey, hey.\Could you spare me some pencil lead?\Oh, sure. response:	Which junior high are you from?
context: I am the Dark Flame Master!\Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine?\Hey, hey.\Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from? response:	Ishiyama.
context: Perish, enveloped in the flames of darkness!\Contained and sealed!\This is mine?\Hey, hey.\Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from?\Ishiyama. response:	That's quite far from here.
context: Contained and sealed!\This is mine?\Hey, hey.\Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from?\Ishiyama.\That's quite far from here. response:	Yeah, there's no one else from my old school here.
context: This is mine?\Hey, hey.\Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from?\Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here. response:	Ah, thanks.
context: Hey, hey.\Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from?\Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks. response:	Yeah, I hardly know anyone too.
context: Could you spare me some pencil lead?\Oh, sure.\Which junior high are you from?\Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too. response:	Nice to meet you, man.
context: Oh, sure.\Which junior high are you from?\Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man. response:	I'm Isshiki Makoto.
context: Which junior high are you from?\Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto. response:	I'm Togashi Yuuta.
context: Ishiyama.\That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta. response:	Yeah, yeah! Just play it straight!
context: That's quite far from here.\Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight! response:	Hooray for my high school debut!
context: Yeah, there's no one else from my old school here.\Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut! response:	Say, how do you like the girls in this class?
context: Ah, thanks.\Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class? response:	The girls?
context: Yeah, I hardly know anyone too.\Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls? response:	Nice collection of hotties, don't you think so?
context: Nice to meet you, man.\I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so? response:	Pretty sweet, if you ask me.
context: I'm Isshiki Makoto.\I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me. response:	I don't really know...
context: I'm Togashi Yuuta.\Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know... response:	Oh, she's in my class?
context: Yeah, yeah! Just play it straight!\Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class? response:	Oh? Aiming high, aren't you? Nibutani, huh?
context: Hooray for my high school debut!\Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh? response:	Nibutani?
context: Say, how do you like the girls in this class?\The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani? response:	Yeah. Nibutani Shinka.
context: The girls?\Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka. response:	She's easily in first place on my list.
context: Nice collection of hotties, don't you think so?\Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list. response:	Could this be fate?
context: Pretty sweet, if you ask me.\I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate? response:	I have finally found you.
context: I don't really know...\Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate?\I have finally found you. response:	My eye... My eye is reacting!
context: Oh, she's in my class?\Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate?\I have finally found you.\My eye... My eye is reacting! response:	Friend of yours?
context: Oh? Aiming high, aren't you? Nibutani, huh?\Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate?\I have finally found you.\My eye... My eye is reacting!\Friend of yours? response:	I don't know her!
context: Nibutani?\Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate?\I have finally found you.\My eye... My eye is reacting!\Friend of yours?\I don't know her! response:	I crossed the pits of Hell to meet you here!
context: Yeah. Nibutani Shinka.\She's easily in first place on my list.\Could this be fate?\I have finally found you.\My eye... My eye is reacting!\Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here! response:	Dude, she just confessed to you! I'm so jealous!
context: She's easily in first place on my list.\Could this be fate?\I have finally found you.\My eye... My eye is reacting!\Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous! response:	No, you're getting it all wrong!
context: Could this be fate?\I have finally found you.\My eye... My eye is reacting!\Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong! response:	She's... Yeah, I'm sure she's...
context: I have finally found you.\My eye... My eye is reacting!\Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's... response:	She's... She's got eighth-grader syndrome!
context: My eye... My eye is reacting!\Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome! response:	My eye... My eye!
context: Friend of yours?\I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye! response:	My eye...
context: I don't know her!\I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye... response:	Me?
context: I crossed the pits of Hell to meet you here!\Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye...\Me? response:	The bottom shelf... The bottom shelf...
context: Dude, she just confessed to you! I'm so jealous!\No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye...\Me?\The bottom shelf... The bottom shelf... response:	Ah, this one?
context: No, you're getting it all wrong!\She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye...\Me?\The bottom shelf... The bottom shelf...\Ah, this one? response:	The nurse had to go somewhere, so I was told to give you these eyedrops.
context: She's... Yeah, I'm sure she's...\She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye...\Me?\The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops. response:	Hurry up or we'll be late for the opening ceremony.
context: She's... She's got eighth-grader syndrome!\My eye... My eye!\My eye...\Me?\The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops.\Hurry up or we'll be late for the opening ceremony. response:	You were the one on my balcony last night, right?
context: My eye... My eye!\My eye...\Me?\The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops.\Hurry up or we'll be late for the opening ceremony.\You were the one on my balcony last night, right? response:	What do you want?
context: My eye...\Me?\The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops.\Hurry up or we'll be late for the opening ceremony.\You were the one on my balcony last night, right?\What do you want? response:	It reacted...
context: Me?\The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops.\Hurry up or we'll be late for the opening ceremony.\You were the one on my balcony last night, right?\What do you want?\It reacted... response:	My eye.
context: The bottom shelf... The bottom shelf...\Ah, this one?\The nurse had to go somewhere, so I was told to give you these eyedrops.\Hurry up or we'll be late for the opening ceremony.\You were the one on my balcony last night, right?\What do you want?\It reacted...\My eye. response:	Indeed, our paths once crossed, measureless eons before this age.
