context: This is Earthland, in the outskirts of Magnolia. response:	We're back!
context: They're dangerous!\We should return them to Edolas.\Come on, now...\Extalia's gone, remember?\Forgive them, will you?\No.\I'm sorry I threw stones at you.\I'm sorry! response:	But, we don't have any place to return to.
context: We should return them to Edolas.\Come on, now...\Extalia's gone, remember?\Forgive them, will you?\No.\I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to. response:	We'll change our ways!
context: Come on, now...\Extalia's gone, remember?\Forgive them, will you?\No.\I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to.\We'll change our ways! response:	Please, forgive us!
context: Extalia's gone, remember?\Forgive them, will you?\No.\I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to.\We'll change our ways!\Please, forgive us! response:	Who cares about that?
context: Forgive them, will you?\No.\I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to.\We'll change our ways!\Please, forgive us!\Who cares about that? response:	You sent me to Earthland with orders to eliminate the Dragon Slayers!
context: No.\I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to.\We'll change our ways!\Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers! response:	That's right!
context: I'm sorry I threw stones at you.\I'm sorry!\But, we don't have any place to return to.\We'll change our ways!\Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right! response:	The Queen stole our eggs!
context: I'm sorry!\But, we don't have any place to return to.\We'll change our ways!\Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs! response:	I ain't ever gonna forget that, no way!
context: But, we don't have any place to return to.\We'll change our ways!\Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way! response:	Dear...
context: We'll change our ways!\Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear... response:	Hey, Mister!
context: Please, forgive us!\Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear...\Hey, Mister! response:	But even if you tell us to go back...
context: Who cares about that?\You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear...\Hey, Mister!\But even if you tell us to go back... response:	We never really explained carefully, did we?
context: You sent me to Earthland with orders to eliminate the Dragon Slayers!\That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear...\Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we? response:	This story goes back 6 years ago.
context: That's right!\The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear...\Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago. response:	I believe we've mentioned how the Queen, Chagot,
context: The Queen stole our eggs!\I ain't ever gonna forget that, no way!\Dear...\Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot, response:	has the power to see the future, yes?
context: I ain't ever gonna forget that, no way!\Dear...\Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes? response:	One day...
context: Dear...\Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day... response:	Extalia is falling!
context: Hey, Mister!\But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day...\Extalia is falling! response:	If the Queen saw such a vision, there can be no mistake...
context: But even if you tell us to go back...\We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake... response:	Such violence... The only ones who could do such a thing...
context: We never really explained carefully, did we?\This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing... response:	It must be the humans!
context: This story goes back 6 years ago.\I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans! response:	Thinking back on it now,
context: I believe we've mentioned how the Queen, Chagot,\has the power to see the future, yes?\One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now, response:	it was probably the drying up of magic power that would cause the islands to fall naturally...
context: has the power to see the future, yes?\One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally... response:	However, at the time, we thought the cause would surely be the humans.
context: One day...\Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans. response:	What shall we do?
context: Extalia is falling!\If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do? response:	We would not win a war against the humans.
context: If the Queen saw such a vision, there can be no mistake...\Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans. response:	We'll evacuate the children...
context: Such violence... The only ones who could do such a thing...\It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans.\We'll evacuate the children... response:	Evacuate?!
context: It must be the humans!\Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans.\We'll evacuate the children...\Evacuate?! response:	Then, that means...
context: Thinking back on it now,\it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans.\We'll evacuate the children...\Evacuate?!\Then, that means... response:	Huh? That's not exactly... what you told us before...
context: it was probably the drying up of magic power that would cause the islands to fall naturally...\However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans.\We'll evacuate the children...\Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before... response:	Indeed.
context: However, at the time, we thought the cause would surely be the humans.\What shall we do?\We would not win a war against the humans.\We'll evacuate the children...\Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before...\Indeed. response:	This plan was kept secret even from the citizens of Extalia.
context: What shall we do?\We would not win a war against the humans.\We'll evacuate the children...\Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia. response:	And the Queen lied... She put on an act.
context: We would not win a war against the humans.\We'll evacuate the children...\Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act. response:	This is a plan to destroy monsters from another world... The Dragon Slayers!
context: We'll evacuate the children...\Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers! response:	Please, I wish for everyone to trust me.
context: Evacuate?!\Then, that means...\Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me. response:	Having the Queen lie like that pained my heart so...
context: Then, that means...\Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so... response:	We had no other choice.
context: Huh? That's not exactly... what you told us before...\Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice. response:	How could we say publicly that Extalia would crash into the ground?
context: Indeed.\This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground? response:	And of course, we had no particular grudge against Dragon Slayers.
context: This plan was kept secret even from the citizens of Extalia.\And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers. response:	We know!
context: And the Queen lied... She put on an act.\This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know! response:	You needed to create a convincing story, right?
context: This is a plan to destroy monsters from another world... The Dragon Slayers!\Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right? response:	Plus, if you told the truth I'm sure everyone would panic.
context: Please, I wish for everyone to trust me.\Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic. response:	No kidding.
context: Having the Queen lie like that pained my heart so...\We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding. response:	We borrowed the human's Anima, and our plan was a success.
context: We had no other choice.\How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success. response:	But...
context: How could we say publicly that Extalia would crash into the ground?\And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success.\But... response:	There was just one thing that happened we didn't account for...
context: And of course, we had no particular grudge against Dragon Slayers.\We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for... response:	It was... your power, Carla.
context: We know!\You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for...\It was... your power, Carla. response:	You have a similar power to mine that can predict the future!
context: You needed to create a convincing story, right?\Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future! response:	But you seem to activate it subconsciously and confuse it with your own memories.
context: Plus, if you told the truth I'm sure everyone would panic.\No kidding.\We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories. response:	Out of the 100 Exceeds that evacuated...
context: No kidding.\We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated... response:	I suspect you're the only one who foresaw fragments of Edolas's future...
context: We borrowed the human's Anima, and our plan was a success.\But...\There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future... response:	Everything is for the Kingdom...
context: But...\There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom... response:	The magic power in this world is vanishing.
context: There was just one thing that happened we didn't account for...\It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing. response:	The children are for defeating the Dragon Slayers...
context: It was... your power, Carla.\You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers... response:	That is their mission...
context: You have a similar power to mine that can predict the future!\But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission... response:	And, it seems like you mistook it for your mission.
context: But you seem to activate it subconsciously and confuse it with your own memories.\Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission. response:	But...
context: Out of the 100 Exceeds that evacuated...\I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission.\But... response:	Then, I'm...
context: I suspect you're the only one who foresaw fragments of Edolas's future...\Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission.\But...\Then, I'm... response:	There never was such a mission.
context: Everything is for the Kingdom...\The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission.\But...\Then, I'm...\There never was such a mission. response:	Bad luck piled up and you somehow created a non-existent mission for yourself.
context: The magic power in this world is vanishing.\The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission.\But...\Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself. response:	That was all seeing the future, too?
context: The children are for defeating the Dragon Slayers...\That is their mission...\And, it seems like you mistook it for your mission.\But...\Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too? response:	We took advantage of the fact that you didn't know your own power
context: That is their mission...\And, it seems like you mistook it for your mission.\But...\Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power response:	by making you think you were being manipulated.
context: And, it seems like you mistook it for your mission.\But...\Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated. response:	Sorry!
context: But...\Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry! response:	It was all an act to maintain the majesty of the Queen!
context: Then, I'm...\There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen! response:	I truly apologize...
context: There never was such a mission.\Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize... response:	Much bad luck, and the false front I had to show the citizens,
context: Bad luck piled up and you somehow created a non-existent mission for yourself.\That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens, response:	combined to cause you great suffering.
context: That was all seeing the future, too?\We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering. response:	And moreover, six years ago,
context: We took advantage of the fact that you didn't know your own power\by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago, response:	when I stole up the eggs from people's families, I caused incredible sorrow...
context: by making you think you were being manipulated.\Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow... response:	That is why I handed you that sword.
context: Sorry!\It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword. response:	It is not the Exceed as a whole who are at fault.
context: It was all an act to maintain the majesty of the Queen!\I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault. response:	It is I alone.
context: I truly apologize...\Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone. response:	Men!
context: Much bad luck, and the false front I had to show the citizens,\combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone.\Men! response:	That's not true, Queen!
context: combined to cause you great suffering.\And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone.\Men!\That's not true, Queen! response:	Everything you did, Queen, you did looking out for us!
context: And moreover, six years ago,\when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone.\Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us! response:	And we were overconfident in ourselves.
context: when I stole up the eggs from people's families, I caused incredible sorrow...\That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone.\Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves. response:	Since we're here in Earthland and all...
context: That is why I handed you that sword.\It is not the Exceed as a whole who are at fault.\It is I alone.\Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all... response:	We've discovered a new goal!
context: It is not the Exceed as a whole who are at fault.\It is I alone.\Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal! response:	This time, let's get along with the humans!
context: It is I alone.\Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans! response:	It's our big new start!
context: Men!\That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start! response:	Forward-looking bunch, aren't they?
context: That's not true, Queen!\Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they? response:	Everyone...
context: Everything you did, Queen, you did looking out for us!\And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they?\Everyone... response:	A new beginning... What a wonderful thing to be able to say!
context: And we were overconfident in ourselves.\Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say! response:	Fine. I'll accept it.
context: Since we're here in Earthland and all...\We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it. response:	Carla...
context: We've discovered a new goal!\This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla... response:	But, why do I have the same power you do?
context: This time, let's get along with the humans!\It's our big new start!\Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla...\But, why do I have the same power you do? response:	G-Good question...
context: It's our big new start!\Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla...\But, why do I have the same power you do?\G-Good question... response:	I'm hungry...
context: Forward-looking bunch, aren't they?\Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla...\But, why do I have the same power you do?\G-Good question...\I'm hungry... response:	Nice weather we're having...
context: Everyone...\A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla...\But, why do I have the same power you do?\G-Good question...\I'm hungry...\Nice weather we're having... response:	They're acting weird...
context: A new beginning... What a wonderful thing to be able to say!\Fine. I'll accept it.\Carla...\But, why do I have the same power you do?\G-Good question...\I'm hungry...\Nice weather we're having...\They're acting weird... response:	Hey, Mister.
context: Fine. I'll accept it.\Carla...\But, why do I have the same power you do?\G-Good question...\I'm hungry...\Nice weather we're having...\They're acting weird...\Hey, Mister. response:	Yeah?
context: Carla...\But, why do I have the same power you do?\G-Good question...\I'm hungry...\Nice weather we're having...\They're acting weird...\Hey, Mister.\Yeah? response:	Don't you think the Queen and Carla look kinda similar?
